_step,_runtime,cpu/logical_core_count,memory/total_memory_sys_MB,_timestamp,cpu/load/avg_sys_load_fifteen_min_percent,disk/time/disk_read_time_sys_s,disk/time/disk_busy_time_sys_s,memory/used_memory_sys_MB,bandwidth/disk_write_sys_bandwidth_MBs,cpu/interrupts/ctx_switches_count,bandwidth/net_sent_sys_bandwidth_Mbits,process/memory/shared_memory_proc_MB,disk/counter/disk_write_sys_count,process/memory/resident_set_size_proc_MB,disk/counter/disk_read_sys_count,process/memory/dirty_pages_proc_count,bandwidth/disk_read_sys_bandwidth_MBs,cpu/load/avg_sys_load_one_min_percent,cpu/interrupts/soft_interrupts_count,bandwidth/net_recv_sys_bandwidth_Mbits,memory/available_memory_sys_MB,process/memory/text_resident_set_proc_MB,process/voluntary_proc_ctx_switches,disk/time/disk_write_time_sys_s,process/memory/lib_memory_proc_MB,process/memory/data_resident_set_proc_MB,cpu/interrupts/interrupts_count,memory/used_memory_sys_percent,cpu/load/avg_sys_load_five_min_percent,process/memory/virtual_memory_size_proc_MB,process/involuntary_proc_ctx_switches,02_timing/dataload_cuda_move_time_s,03_hivemind/num_peers,02_timing/loss_calc_time_s,02_timing/forward_time_s,02_timing/opt_step_time_s,01_general/locally_processed_samples,01_general/minibatch_loss,02_timing/backward_time_s,02_timing/step_time_s,03_hivemind/global_epoch,01_general/lr,02_timing/dataload_time_s,01_general/dataset_iteration_count,01_general/step
0,1,30.0,211076.595712,1683048490,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,,,1683048490,3.6000000000000005,0.0,0.0,1250.869248,0.0,42.0,0.436415908817987,178.11456,0.0,394.530816,0.0,0.0,0.0,2.7,19.0,0.48931477624027,208073.58464,2.711552,138.0,0.0,2481.43872,0.0,39.0,1.4,4.066666666666666,9975.291904,52.0,,,,,,,,,,,,,,
2,2,,,1683048491,3.6000000000000005,0.0,0.007999999999981355,1772.2368,0.012254954340542265,3005.0,0.30606269760324384,182.992896,3.0,794.25536,0.0,0.0,0.0,2.7,1144.0,0.296807653960798,207552.212992,2.711552,157.0,0.0010000000000331966,2895.982592,0.0,2891.0,1.7,4.066666666666666,10523.795456,56.0,,,,,,,,,,,,,,
3,3,,,1683048492,3.6000000000000005,0.0,0.012000000000000455,2178.809856,0.004085985486711683,7378.0,0.007980440368123369,185.286656,4.0,1196.122112,0.0,0.0,0.0,2.7,4110.0,0.008116107900775677,207145.63584,2.711552,209.0,0.0010000000000331966,3539.255296,0.0,12190.0,1.9,4.066666666666666,13109.41184,72.0,,,,,,,,,,,,,,
4,4,,,1683048493,3.6000000000000005,0.0,0.01599999999996271,2712.649728,0.004086617242597667,10295.0,0.06637560354043157,345.88672,5.0,1811.976192,0.0,0.0,0.0,2.7,5895.0,0.060421274639718414,206601.310208,2.711552,268.0,0.0010000000000331966,4006.592512,0.0,17937.0,2.1,4.066666666666666,14252.294144,82.0,,,,,,,,,,,,,,
5,5,,,1683048494,3.6000000000000005,0.0,0.02400000000000091,2846.437376,0.5149230818884455,13723.0,0.04666171156891033,752.88576,86.0,2417.938432,0.0,0.0,0.0,2.7,7350.0,0.006433345767224416,206182.846464,2.711552,484.0,0.019000000000005457,4244.959232,0.0,21312.0,2.3,4.066666666666666,16660.590592,95.0,,,,,,,,,,,,,,
6,6,,,1683048495,4.1000000000000005,0.0,0.031999999999982265,5655.887872,0.1590556431196811,19811.0,0.0042137638180041225,1508.233216,89.0,5465.64096,0.0,0.0,0.0,10.5,10553.0,0.008053147682358581,202622.189568,2.711552,817.0,0.021000000000015007,6538.129408,0.0,814276.0,4.0,5.666666666666666,22358.163456,106.0,,,,,,,,,,,,,,
7,7,,,1683048496,4.1000000000000005,0.0,0.036000000000001364,6232.199168,0.004080268656420612,23874.0,0.05947469729050018,2046.509056,90.0,6259.027968,0.0,0.0,0.0,10.5,12490.0,0.015587901305672162,201498.0096,2.711552,989.0,0.02199999999999136,6801.702912,0.0,934221.0,4.5,5.666666666666666,23227.322368,112.0,,,,,,,,,,,,,,
8,8,,,1683048497,4.1000000000000005,0.0,0.03999999999996362,6234.517504,0.004084147681256272,24655.0,0.02389864535658827,2046.513152,91.0,6259.142656,0.0,0.0,0.0,10.5,12906.0,0.03812934759330019,201495.691264,2.711552,989.0,0.02199999999999136,6810.226688,0.0,934830.0,4.5,5.666666666666666,23302.823936,112.0,,,,,,,,,,,,,,
9,9,,,1683048498,4.1000000000000005,0.0,0.04399999999998272,6234.710016,0.00408539665773546,25359.0,0.05910260362418226,2046.513152,92.0,6259.142656,0.0,0.0,0.0,10.5,13166.0,0.8154754946881859,201495.478272,2.711552,989.0,0.02199999999999136,6810.226688,0.0,935273.0,4.5,5.666666666666666,23302.823936,112.0,,,,,,,,,,,,,,
