03_hivemind/num_peers,03_hivemind/next_fetch_time_s,04_peers/peer_2_samples_accumulated,04_peers/peer_4_samples_accumulated,03_hivemind/actual_total_samples_per_second,03_hivemind/overshot_TBS,03_hivemind/eta_next_epoch_s,04_peers/peer_3_samples_accumulated,03_hivemind/global_samples_accumulated,03_hivemind/epoch_based_sps,04_peers/peer_1_samples_per_second,_step,_runtime,04_peers/peer_1_epoch,04_peers/peer_4_epoch,03_hivemind/global_epoch,04_peers/peer_4_epoch_oos,04_peers/peer_1_samples_accumulated,03_hivemind/optimistic_total_samples_per_second,03_hivemind/epoch_s,04_peers/peer_3_epoch,04_peers/peer_2_epoch_oos,04_peers/peer_3_epoch_oos,03_hivemind/total_training_samples,04_peers/peer_2_epoch,03_hivemind/undershot_TBS,04_peers/peer_1_epoch_oos,03_hivemind/estimated_current_samples,04_peers/peer_4_samples_per_second,03_hivemind/per_epoch_training_samples,_timestamp,03_hivemind/num_clients,03_hivemind/reached_TBS,04_peers/peer_2_samples_per_second,04_peers/peer_3_samples_per_second
4,0.5,7456.0,4736.0,2671.564716839458,,0.0,7232.0,32832,,651.07,24,73,0.0,0.0,0,0.0,13408.0,2671.564716839458,,0.0,0.0,0.0,,0.0,,0.0,64838,645.55,,1680697841.0,0,,701.38,673.56
4,0.5,7456.0,4736.0,2671.564716839458,,0.0,7232.0,32832,,651.07,25,74,0.0,0.0,0,0.0,13408.0,2671.564716839458,,0.0,0.0,0.0,,0.0,,0.0,68055,645.55,,1680697842.0,0,,701.38,673.56
4,0.5,7456.0,4736.0,2671.564716839458,,0.0,7232.0,32832,,651.07,26,75,0.0,0.0,0,0.0,13408.0,2671.564716839458,,0.0,0.0,0.0,,0.0,,0.0,71263,645.55,,1680697843.0,0,,701.38,673.56
4,0.5,7456.0,4736.0,2671.564716839458,,0.0,7232.0,32832,,651.07,27,76,0.0,0.0,0,0.0,13408.0,2671.564716839458,,0.0,0.0,0.0,,0.0,,0.0,74477,645.55,,1680697844.0,0,,701.38,673.56
4,0.5,7456.0,4736.0,2671.564716839458,,0.0,7232.0,32832,,651.07,28,77,0.0,0.0,0,0.0,13408.0,2671.564716839458,,0.0,0.0,0.0,,0.0,,0.0,77697,645.55,,1680697845.0,0,,701.38,673.56
4,5.89,7456.0,4736.0,2765.2613586747657,,10.31,7232.0,3712,,651.07,29,79,0.0,0.0,1,0.0,13408.0,2765.2613586747657,,0.0,0.0,0.0,,0.0,,0.0,4254,645.55,,1680697847.0,0,,701.38,673.56
4,6.54,928.0,960.0,2257.362863057396,1.0,11.45,928.0,6464,863.7050593102466,670.86,30,80,1.0,1.0,1,0.0,896.0,2257.362863057396,38.012976358179,1.0,0.0,0.0,32832.0,1.0,0.0,0.0,6926,717.02,32832.0,1680697848.0,0,0.0,692.16,685.22
4,6.98,1376.0,1760.0,1950.551832866785,,12.21,1568.0,8320,,654.66,31,81,1.0,1.0,1,0.0,1760.0,1950.551832866785,,1.0,0.0,0.0,,1.0,,0.0,8950,642.94,,1680697849.0,0,,293.74,666.03
4,5.27,1504.0,2560.0,2301.3699270415063,,9.23,1728.0,11264,,663.68,32,82,1.0,1.0,1,0.0,2528.0,2301.3699270415063,,1.0,0.0,0.0,,1.0,,0.0,11532,669.33,,1680697850.0,0,,345.61,271.93
4,3.95,2080.0,3392.0,2599.948453274799,,6.92,2368.0,14304,,705.35,33,83,1.0,1.0,1,0.0,3424.0,2599.948453274799,,1.0,0.0,0.0,,1.0,,0.0,14781,679.68,,1680697851.0,0,,414.15,502.19
