03_hivemind/estimated_current_samples,03_hivemind/optimistic_total_samples_per_second,03_hivemind/num_peers,03_hivemind/global_samples_accumulated,_step,03_hivemind/eta_next_epoch_s,_runtime,03_hivemind/global_epoch,03_hivemind/next_fetch_time_s,03_hivemind/actual_total_samples_per_second,_timestamp,03_hivemind/num_clients,04_peers/peer_1_samples_accumulated,04_peers/peer_1_epoch,04_peers/peer_1_samples_per_second,04_peers/peer_1_epoch_oos,04_peers/peer_2_samples_accumulated,04_peers/peer_2_epoch,03_hivemind/epoch_s,03_hivemind/undershot_TBS,03_hivemind/total_training_samples,04_peers/peer_2_epoch_oos,03_hivemind/per_epoch_training_samples,03_hivemind/reached_TBS,04_peers/peer_2_samples_per_second,03_hivemind/epoch_based_sps,03_hivemind/overshot_TBS
173,36.39003395787643,2,160,35,2.29,90,2,0.92,36.39003395787643,1696171418,0,40.0,2.0,12.03,0.0,40.0,2.0,29.89471846597735,1.0,520.0,0.0,280.0,0.0,19.49,9.366202940451272,1.0
215,36.39003395787643,2,160,36,1.13,91,2,0.5,36.39003395787643,1696171419,0,80.0,2.0,14.11,0.0,80.0,2.0,,,,0.0,,,22.28,,
256,36.39003395787643,2,160,37,0.0,92,2,0.5,36.39003395787643,1696171420,0,80.0,2.0,14.11,0.0,80.0,2.0,,,,0.0,,,22.28,,
251,31.700267516570108,2,180,38,0.14,93,2,0.5,31.700267516570108,1696171421,0,80.0,2.0,14.11,0.0,80.0,2.0,,,,0.0,,,22.28,,
288,31.700267516570108,2,180,39,0.0,94,2,0.5,31.700267516570108,1696171422,0,80.0,2.0,14.11,0.0,100.0,2.0,,,,0.0,,,17.59,,
271,28.726075049653044,2,200,40,0.0,95,2,0.5,28.726075049653044,1696171423,0,80.0,2.0,14.11,0.0,100.0,2.0,,,,0.0,,,17.59,,
303,28.726075049653044,2,200,41,0.0,97,2,0.5,28.726075049653044,1696171425,0,100.0,2.0,11.13,0.0,100.0,2.0,,,,0.0,,,17.59,,
336,28.726075049653044,2,200,42,0.0,98,2,0.5,28.726075049653044,1696171426,0,100.0,2.0,11.13,0.0,100.0,2.0,,,,0.0,,,17.59,,
370,28.726075049653044,2,200,43,0.0,99,2,0.5,28.726075049653044,1696171427,0,100.0,2.0,11.13,0.0,100.0,2.0,,,,0.0,,,17.59,,
403,28.726075049653044,2,200,44,0.0,100,2,0.5,28.726075049653044,1696171428,0,100.0,2.0,11.13,0.0,100.0,2.0,,,,0.0,,,17.59,,
436,28.726075049653044,2,200,45,0.0,101,2,0.5,28.726075049653044,1696171429,0,100.0,2.0,11.13,0.0,100.0,2.0,,,,0.0,,,17.59,,
469,28.726075049653044,2,200,46,0.0,102,2,0.5,28.726075049653044,1696171430,0,100.0,2.0,11.13,0.0,100.0,2.0,,,,0.0,,,17.59,,
502,28.726075049653044,2,200,47,0.0,104,2,0.5,28.726075049653044,1696171432,0,100.0,2.0,11.13,0.0,100.0,2.0,,,,0.0,,,17.59,,
535,28.726075049653044,2,200,48,0.0,105,2,0.5,28.726075049653044,1696171433,0,100.0,2.0,11.13,0.0,100.0,2.0,,,,0.0,,,17.59,,
568,28.726075049653044,2,200,49,0.0,106,2,0.5,28.726075049653044,1696171434,0,100.0,2.0,11.13,0.0,100.0,2.0,,,,0.0,,,17.59,,
601,28.726075049653044,2,200,50,0.0,107,2,0.5,28.726075049653044,1696171435,0,100.0,2.0,11.13,0.0,100.0,2.0,,,,0.0,,,17.59,,
634,28.726075049653044,2,200,51,0.0,108,2,0.5,28.726075049653044,1696171436,0,100.0,2.0,11.13,0.0,100.0,2.0,,,,0.0,,,17.59,,
667,28.726075049653044,2,200,52,0.0,109,2,0.5,28.726075049653044,1696171437,0,100.0,2.0,11.13,0.0,100.0,2.0,,,,0.0,,,17.59,,
10,28.726075049653044,2,0,53,8.57,110,3,3.43,28.726075049653044,1696171438,0,100.0,2.0,11.13,0.0,100.0,2.0,,,,0.0,,,17.59,,
111,35.019687682527035,2,100,54,4.13,112,3,1.65,35.019687682527035,1696171440,0,0.0,3.0,11.13,0.0,0.0,3.0,21.842597422015388,2.0,720.0,0.0,200.0,0.0,17.59,9.15642018830681,1.0
188,38.10067642835905,2,160,55,1.78,113,3,0.71,38.10067642835905,1696171441,0,40.0,3.0,13.11,0.0,60.0,3.0,,,,0.0,,,21.91,,
232,38.10067642835905,2,160,56,0.63,114,3,0.5,38.10067642835905,1696171442,0,80.0,3.0,15.01,0.0,80.0,3.0,,,,0.0,,,23.09,,
203,31.440059432123213,2,200,57,1.68,115,3,0.67,31.440059432123213,1696171443,0,80.0,3.0,15.01,0.0,80.0,3.0,,,,0.0,,,23.09,,
239,31.440059432123213,2,200,58,0.53,116,3,0.5,31.440059432123213,1696171444,0,100.0,3.0,13.44,0.0,100.0,3.0,,,,0.0,,,18.0,,
275,31.440059432123213,2,200,59,0.0,117,3,0.5,31.440059432123213,1696171445,0,100.0,3.0,13.44,0.0,100.0,3.0,,,,0.0,,,18.0,,
312,31.440059432123213,2,200,60,0.0,118,3,0.5,31.440059432123213,1696171446,0,100.0,3.0,13.44,0.0,100.0,3.0,,,,0.0,,,18.0,,
348,31.440059432123213,2,200,61,0.0,120,3,0.5,31.440059432123213,1696171448,0,100.0,3.0,13.44,0.0,100.0,3.0,,,,0.0,,,18.0,,
384,31.440059432123213,2,200,62,0.0,121,3,0.5,31.440059432123213,1696171449,0,100.0,3.0,13.44,0.0,100.0,3.0,,,,0.0,,,18.0,,
420,31.440059432123213,2,200,63,0.0,122,3,0.5,31.440059432123213,1696171450,0,100.0,3.0,13.44,0.0,100.0,3.0,,,,0.0,,,18.0,,
456,31.440059432123213,2,200,64,0.0,123,3,0.5,31.440059432123213,1696171451,0,100.0,3.0,13.44,0.0,100.0,3.0,,,,0.0,,,18.0,,
492,31.440059432123213,2,200,65,0.0,124,3,0.5,31.440059432123213,1696171452,0,100.0,3.0,13.44,0.0,100.0,3.0,,,,0.0,,,18.0,,
528,31.440059432123213,2,200,66,0.0,125,3,0.5,31.440059432123213,1696171453,0,100.0,3.0,13.44,0.0,100.0,3.0,,,,0.0,,,18.0,,
564,31.440059432123213,2,200,67,0.0,127,3,0.5,31.440059432123213,1696171455,0,100.0,3.0,13.44,0.0,100.0,3.0,,,,0.0,,,18.0,,
600,31.440059432123213,2,200,68,0.0,128,3,0.5,31.440059432123213,1696171456,0,100.0,3.0,13.44,0.0,100.0,3.0,,,,0.0,,,18.0,,
636,31.440059432123213,2,200,69,0.0,129,3,0.5,31.440059432123213,1696171457,0,100.0,3.0,13.44,0.0,100.0,3.0,,,,0.0,,,18.0,,
672,31.440059432123213,2,200,70,0.0,130,3,0.5,31.440059432123213,1696171458,0,100.0,3.0,13.44,0.0,100.0,3.0,,,,0.0,,,18.0,,
709,31.440059432123213,2,200,71,0.0,131,3,0.5,31.440059432123213,1696171459,0,100.0,3.0,13.44,0.0,100.0,3.0,,,,0.0,,,18.0,,
745,31.440059432123213,2,200,72,0.0,132,3,0.5,31.440059432123213,1696171460,0,100.0,3.0,13.44,0.0,100.0,3.0,,,,0.0,,,18.0,,
18,31.440059432123213,2,0,73,7.57,133,4,3.03,31.440059432123213,1696171461,0,100.0,3.0,13.44,0.0,100.0,3.0,,,,0.0,,,18.0,,
133,38.470092729435024,2,120,74,3.21,135,4,1.28,38.470092729435024,1696171463,0,0.0,4.0,13.44,0.0,0.0,4.0,22.97042990900809,3.0,920.0,0.0,200.0,0.0,18.0,8.7068461840833,1.0
211,42.11131161215316,2,180,75,1.06,136,4,0.5,42.11131161215316,1696171464,0,60.0,4.0,16.58,0.0,60.0,4.0,,,,0.0,,,21.89,,
260,42.11131161215316,2,180,76,0.0,137,4,0.5,42.11131161215316,1696171465,0,80.0,4.0,17.55,0.0,100.0,4.0,,,,0.0,,,24.56,,
276,39.71961243101541,2,200,77,0.0,138,4,0.5,39.71961243101541,1696171466,0,80.0,4.0,17.55,0.0,100.0,4.0,,,,0.0,,,24.56,,
322,39.71961243101541,2,200,78,0.0,139,4,0.5,39.71961243101541,1696171467,0,100.0,4.0,15.16,0.0,100.0,4.0,,,,0.0,,,24.56,,
269,31.54642441887968,2,220,79,0.0,140,4,0.5,31.54642441887968,1696171468,0,100.0,4.0,15.16,0.0,100.0,4.0,,,,0.0,,,24.56,,
306,31.54642441887968,2,220,80,0.0,141,4,0.5,31.54642441887968,1696171469,0,100.0,4.0,15.16,0.0,120.0,4.0,,,,0.0,,,16.39,,
342,31.54642441887968,2,220,81,0.0,143,4,0.5,31.54642441887968,1696171471,0,100.0,4.0,15.16,0.0,120.0,4.0,,,,0.0,,,16.39,,
378,31.54642441887968,2,220,82,0.0,144,4,0.5,31.54642441887968,1696171472,0,100.0,4.0,15.16,0.0,120.0,4.0,,,,0.0,,,16.39,,
414,31.54642441887968,2,220,83,0.0,145,4,0.5,31.54642441887968,1696171473,0,100.0,4.0,15.16,0.0,120.0,4.0,,,,0.0,,,16.39,,
451,31.54642441887968,2,220,84,0.0,146,4,0.5,31.54642441887968,1696171474,0,100.0,4.0,15.16,0.0,120.0,4.0,,,,0.0,,,16.39,,
487,31.54642441887968,2,220,85,0.0,147,4,0.5,31.54642441887968,1696171475,0,100.0,4.0,15.16,0.0,120.0,4.0,,,,0.0,,,16.39,,
523,31.54642441887968,2,220,86,0.0,148,4,0.5,31.54642441887968,1696171476,0,100.0,4.0,15.16,0.0,120.0,4.0,,,,0.0,,,16.39,,
560,31.54642441887968,2,220,87,0.0,149,4,0.5,31.54642441887968,1696171477,0,100.0,4.0,15.16,0.0,120.0,4.0,,,,0.0,,,16.39,,
596,31.54642441887968,2,220,88,0.0,151,4,0.5,31.54642441887968,1696171479,0,100.0,4.0,15.16,0.0,120.0,4.0,,,,0.0,,,16.39,,
632,31.54642441887968,2,220,89,0.0,152,4,0.5,31.54642441887968,1696171480,0,100.0,4.0,15.16,0.0,120.0,4.0,,,,0.0,,,16.39,,
668,31.54642441887968,2,220,90,0.0,153,4,0.5,31.54642441887968,1696171481,0,100.0,4.0,15.16,0.0,120.0,4.0,,,,0.0,,,16.39,,
704,31.54642441887968,2,220,91,0.0,154,4,0.5,31.54642441887968,1696171482,0,100.0,4.0,15.16,0.0,120.0,4.0,,,,0.0,,,16.39,,
741,31.54642441887968,2,220,92,0.0,155,4,0.5,31.54642441887968,1696171483,0,100.0,4.0,15.16,0.0,120.0,4.0,,,,0.0,,,16.39,,
25,31.54642441887968,2,0,93,7.32,156,5,2.93,31.54642441887968,1696171484,0,100.0,4.0,15.16,0.0,120.0,4.0,,,,0.0,,,16.39,,
61,31.54642441887968,2,0,94,6.17,158,5,2.47,31.54642441887968,1696171486,0,0.0,5.0,15.16,0.0,0.0,5.0,22.979721063980833,4.0,1140.0,0.0,220.0,0.0,16.39,9.573658417674842,1.0
98,31.54642441887968,2,0,95,5.01,159,5,2.01,31.54642441887968,1696171487,0,0.0,5.0,15.16,0.0,0.0,5.0,,,,0.0,,,16.39,,
134,31.54642441887968,2,0,96,3.87,160,5,1.55,31.54642441887968,1696171488,0,0.0,5.0,15.16,0.0,0.0,5.0,,,,0.0,,,16.39,,
261,31.54642441887968,2,0,97,0.0,164,5,0.5,31.54642441887968,1696171492,0,0.0,5.0,15.16,0.0,0.0,5.0,,,,0.0,,,16.39,,
293,31.54642441887968,2,0,98,0.0,165,5,0.5,31.54642441887968,1696171493,0,0.0,5.0,15.16,0.0,0.0,5.0,,,,0.0,,,16.39,,
325,31.54642441887968,2,0,99,0.0,166,5,0.5,31.54642441887968,1696171494,0,0.0,5.0,15.16,0.0,0.0,5.0,,,,0.0,,,16.39,,
358,31.54642441887968,2,0,100,0.0,167,5,0.5,31.54642441887968,1696171495,0,0.0,5.0,15.16,0.0,0.0,5.0,,,,0.0,,,16.39,,
390,31.54642441887968,2,0,101,0.0,168,5,0.5,31.54642441887968,1696171496,0,0.0,5.0,15.16,0.0,0.0,5.0,,,,0.0,,,16.39,,
422,31.54642441887968,2,0,102,0.0,169,5,0.5,31.54642441887968,1696171497,0,0.0,5.0,15.16,0.0,0.0,5.0,,,,0.0,,,16.39,,
454,31.54642441887968,2,0,103,0.0,170,5,0.5,31.54642441887968,1696171498,0,0.0,5.0,15.16,0.0,0.0,5.0,,,,0.0,,,16.39,,
486,31.54642441887968,2,0,104,0.0,171,5,0.5,31.54642441887968,1696171499,0,0.0,5.0,15.16,0.0,0.0,5.0,,,,0.0,,,16.39,,
