03_hivemind/epoch_s,04_peers/peer_5_epoch_oos,04_peers/peer_3_samples_accumulated,04_peers/peer_4_samples_accumulated,04_peers/peer_6_samples_accumulated,03_hivemind/optimistic_total_samples_per_second,_step,04_peers/peer_6_epoch_oos,04_peers/peer_3_samples_per_second,_timestamp,04_peers/peer_5_epoch,03_hivemind/num_clients,04_peers/peer_4_samples_per_second,04_peers/peer_6_samples_per_second,03_hivemind/actual_total_samples_per_second,03_hivemind/num_peers,04_peers/peer_3_epoch,04_peers/peer_1_epoch_oos,03_hivemind/next_fetch_time_s,04_peers/peer_5_samples_per_second,04_peers/peer_5_samples_accumulated,03_hivemind/estimated_current_samples,03_hivemind/reached_TBS,04_peers/peer_2_epoch_oos,03_hivemind/total_training_samples,04_peers/peer_1_samples_per_second,04_peers/peer_2_samples_per_second,04_peers/peer_2_samples_accumulated,04_peers/peer_2_epoch,04_peers/peer_6_epoch,03_hivemind/undershot_TBS,03_hivemind/global_samples_accumulated,03_hivemind/per_epoch_training_samples,03_hivemind/epoch_based_sps,_runtime,04_peers/peer_1_epoch,04_peers/peer_4_epoch,03_hivemind/global_epoch,03_hivemind/overshot_TBS,04_peers/peer_3_epoch_oos,04_peers/peer_4_epoch_oos,03_hivemind/eta_next_epoch_s,04_peers/peer_1_samples_accumulated
,0.0,1024.0,992.0,896.0,684.2109007986334,20,0.0,108.82,1681315394.0,0.0,0,108.05,104.57,684.2109007986334,6,0.0,0.0,10.0,103.95,928.0,9509,,0.0,,118.77,112.59,1088.0,0.0,0.0,,9312,,,81,0.0,0.0,0,,0.0,0.0,33.99,3424.0
,0.0,1184.0,1152.0,1056.0,701.1472004604782,21,0.0,113.69,1681315395.0,0.0,0,113.35,111.68,701.1472004604782,6,0.0,0.0,10.0,110.3,1088.0,10508,,0.0,,118.8,116.4,1248.0,0.0,0.0,,10272,,,82,0.0,0.0,0,,0.0,0.0,31.75,3584.0
,0.0,1344.0,1312.0,1216.0,711.3636172066565,22,0.0,116.51,1681315396.0,0.0,0,116.88,116.19,711.3636172066565,6,0.0,0.0,10.0,114.16,1248.0,11507,,0.0,,118.7,118.71,1408.0,0.0,0.0,,11264,,,83,0.0,0.0,0,,0.0,0.0,29.89,3744.0
,0.0,1504.0,1472.0,1408.0,718.2357179937924,23,0.0,118.23,1681315398.0,0.0,0,118.65,119.44,718.2357179937924,6,0.0,0.0,10.0,116.56,1408.0,12502,,0.0,,118.41,120.07,1568.0,0.0,0.0,,12384,,,85,0.0,0.0,0,,0.0,0.0,28.22,3904.0
,0.0,1696.0,1664.0,1568.0,720.2162507468049,24,0.0,119.37,1681315399.0,0.0,0,120.12,120.87,720.2162507468049,6,0.0,0.0,10.0,118.3,1600.0,13495,,0.0,,118.43,121.14,1760.0,0.0,0.0,,13344,,,86,0.0,0.0,0,,0.0,0.0,26.76,4096.0
,0.0,1856.0,1824.0,1728.0,721.7570949610373,25,0.0,119.7,1681315401.0,0.0,0,120.7,121.36,721.7570949610373,6,0.0,0.0,10.0,118.82,1760.0,14488,,0.0,,118.45,121.18,1920.0,0.0,0.0,,14304,,,88,0.0,0.0,0,,0.0,0.0,25.33,4256.0
,0.0,2016.0,1984.0,1888.0,722.7603546354275,26,0.0,119.99,1681315402.0,0.0,0,120.89,121.87,722.7603546354275,6,0.0,0.0,10.0,119.14,1920.0,15478,,0.0,,118.37,121.49,2080.0,0.0,0.0,,15296,,,89,0.0,0.0,0,,0.0,0.0,23.92,4416.0
,0.0,2176.0,2144.0,2080.0,723.151641424877,27,0.0,120.21,1681315403.0,0.0,0,120.85,122.3,723.151641424877,6,0.0,0.0,10.0,119.43,2080.0,16470,,0.0,,118.3,121.68,2240.0,0.0,0.0,,16288,,,90,0.0,0.0,0,,0.0,0.0,22.54,4576.0
,0.0,2336.0,2304.0,2240.0,723.3163385178937,28,0.0,120.07,1681315405.0,0.0,0,120.92,122.43,723.3163385178937,6,0.0,0.0,10.0,119.44,2240.0,17462,,0.0,,118.37,121.92,2432.0,0.0,0.0,,17280,,,92,0.0,0.0,0,,0.0,0.0,21.16,4736.0
,0.0,2496.0,2496.0,2400.0,723.3210983612486,29,0.0,120.14,1681315406.0,0.0,0,120.91,122.59,723.3210983612486,6,0.0,0.0,10.0,119.43,2400.0,18454,,0.0,,118.21,122.04,2592.0,0.0,0.0,,18272,,,93,0.0,0.0,0,,0.0,0.0,19.79,4896.0
