_step,_runtime,cpu/logical_core_count,memory/total_memory_sys_MB,_timestamp,cpu/load/avg_sys_load_fifteen_min_percent,disk/time/disk_read_time_sys_s,disk/time/disk_busy_time_sys_s,memory/used_memory_sys_MB,bandwidth/disk_write_sys_bandwidth_MBs,cpu/interrupts/ctx_switches_count,bandwidth/net_sent_sys_bandwidth_Mbits,process/memory/shared_memory_proc_MB,disk/counter/disk_write_sys_count,process/memory/resident_set_size_proc_MB,disk/counter/disk_read_sys_count,process/memory/dirty_pages_proc_count,bandwidth/disk_read_sys_bandwidth_MBs,cpu/load/avg_sys_load_one_min_percent,cpu/interrupts/soft_interrupts_count,bandwidth/net_recv_sys_bandwidth_Mbits,memory/available_memory_sys_MB,process/memory/text_resident_set_proc_MB,process/voluntary_proc_ctx_switches,disk/time/disk_write_time_sys_s,process/memory/lib_memory_proc_MB,process/memory/data_resident_set_proc_MB,cpu/interrupts/interrupts_count,memory/used_memory_sys_percent,cpu/load/avg_sys_load_five_min_percent,process/memory/virtual_memory_size_proc_MB,process/involuntary_proc_ctx_switches,02_timing/dataload_cuda_move_time_s,03_hivemind/num_peers,02_timing/loss_calc_time_s,02_timing/forward_time_s,02_timing/opt_step_time_s,01_general/locally_processed_samples,01_general/minibatch_loss,02_timing/backward_time_s,02_timing/step_time_s,03_hivemind/global_epoch,01_general/lr,02_timing/dataload_time_s,01_general/dataset_iteration_count,01_general/step
0,0,30.0,211076.599808,1682960663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,,,1682960663,4.333333333333334,0.0,0.0,1255.288832,0.0,27.0,0.21741532633399627,178.266112,0.0,394.71104,0.0,0.0,0.0,10.200000000000001,20.0,0.24376868565003437,208046.362624,2.719744,139.0,0.0,2481.324032,0.0,32.0,1.4,4.866666666666666,9963.692032,56.0,,,,,,,,,,,,,,
2,1,,,1682960664,4.333333333333334,0.0,0.007999999999981355,1793.503232,0.012253305273303304,2971.0,0.31806740516817245,303.423488,3.0,841.74848,0.0,0.0,0.0,10.200000000000001,1059.0,0.8950098163084215,207497.76896,2.719744,170.0,0.0009999999999763531,2836.549632,0.0,3004.0,1.7,4.866666666666666,11125.997568,77.0,,,,,,,,,,,,,,
3,2,,,1682960665,4.333333333333334,0.0,0.015999999999991132,2637.193216,0.4085704653614975,5231.0,0.018194153533281784,528.44544,44.0,1918.836736,0.0,0.0,0.0,10.200000000000001,2113.0,0.021194592982319262,206589.640704,2.719744,341.0,0.01999999999998181,3962.896384,0.0,7058.0,2.1,4.866666666666666,14937.735168,87.0,,,,,,,,,,,,,,
4,3,,,1682960666,4.300000000000001,0.0,0.01999999999998181,3002.146816,0.004084174859915676,8659.0,0.0691597579348554,665.62048,45.0,2335.940608,0.0,0.0,0.0,9.366666666666665,3073.0,0.06322494126502336,206083.424256,2.719744,534.0,0.01999999999998181,4259.794944,0.0,282080.0,2.4,4.766666666666667,15770.15296,88.0,,,,,,,,,,,,,,
5,4,,,1682960667,4.300000000000001,0.0,0.02400000000000091,3003.949056,0.00408438751234423,9092.0,0.051086753127214724,665.62048,46.0,2336.03072,0.0,0.0,0.0,9.366666666666665,3217.0,0.004794368986374137,206081.61792,2.719744,534.0,0.01999999999998181,4259.794944,0.0,282329.0,2.4,4.766666666666667,15770.15296,88.0,,,,,,,,,,,,,,
6,5,,,1682960668,4.300000000000001,0.0,0.027999999999991587,3004.207104,0.004087616799220011,9633.0,0.004430912745270354,665.624576,47.0,2336.145408,0.0,0.0,0.0,9.366666666666665,3366.0,0.009109317918029514,206081.359872,2.719744,534.0,0.020999999999958163,4268.31872,0.0,282667.0,2.4,4.766666666666667,15845.654528,88.0,,,,,,,,,,,,,,
7,6,,,1682960669,4.300000000000001,0.0,0.036000000000001364,3004.465152,0.3350184597589546,10162.0,0.04807751095830559,665.624576,93.0,2336.145408,0.0,0.0,0.0,9.366666666666665,3586.0,0.006487471534935279,206081.101824,2.719744,534.0,0.05200000000002092,4268.31872,0.0,283035.0,2.4,4.766666666666667,15845.654528,88.0,,,,,,,,,,,,,,
8,7,,,1682960670,4.300000000000001,0.0,0.04399999999998272,3004.452864,0.11842792315255851,10627.0,0.003948129174860022,665.624576,96.0,2336.145408,0.0,0.0,0.0,9.366666666666665,3707.0,0.00894909280408714,206081.101824,2.719744,534.0,0.053999999999973625,4268.31872,0.0,283314.0,2.4,4.766666666666667,15845.654528,88.0,,,,,,,,,,,,,,
9,8,,,1682960671,4.300000000000001,0.0,0.04800000000000182,3004.440576,0.004087561363529153,11090.0,0.002251352158702812,665.624576,97.0,2336.145408,0.0,0.0,0.0,8.633333333333333,3859.0,0.0032173578580530567,206081.118208,2.719744,534.0,0.053999999999973625,4268.31872,0.0,283623.0,2.4,4.7,15845.654528,88.0,,,,,,,,,,,,,,
10,9,,,1682960672,4.300000000000001,0.0,0.0519999999999925,3004.440576,0.004085672593313657,11684.0,0.05947366758885962,665.624576,98.0,2336.145408,0.0,0.0,0.0,8.633333333333333,4014.0,0.011570752534732644,206081.118208,2.719744,534.0,0.053999999999973625,4268.31872,0.0,284000.0,2.4,4.7,15845.654528,88.0,,,,,,,,,,,,,,
11,10,,,1682960673,4.300000000000001,0.0,0.055999999999983174,3004.440576,0.004085883443732123,12090.0,0.0022504279919390107,665.624576,99.0,2336.145408,0.0,0.0,0.0,8.633333333333333,4115.0,0.003216037151655271,206081.118208,2.719744,534.0,0.05499999999994998,4268.31872,0.0,284260.0,2.4,4.7,15845.654528,88.0,,,,,,,,,,,,,,
12,11,,,1682960674,4.300000000000001,0.0,0.060000000000002274,3004.440576,0.004085890253213003,12805.0,0.04795334864656136,665.624576,100.0,2336.145408,0.0,0.0,0.0,8.633333333333333,4282.0,0.011683092437564244,206081.118208,2.719744,534.0,0.05499999999994998,4268.31872,0.0,284679.0,2.4,4.7,15845.654528,88.0,,,,,,,,,,,,,,
13,12,,,1682960675,4.300000000000001,0.0,0.0759999999999934,3004.440576,0.13883732298679208,13296.0,0.00295093115067738,665.624576,121.0,2336.145408,0.0,0.0,0.0,8.633333333333333,4408.0,0.002456450700499549,206081.118208,2.719744,534.0,0.06499999999994088,4268.31872,0.0,284962.0,2.4,4.7,15845.654528,88.0,,,,,,,,,,,,,,
14,13,,,1682960676,4.266666666666667,0.0,0.07999999999998408,3004.440576,0.004086084604748594,13708.0,0.0472134307423258,665.624576,122.0,2336.145408,0.0,0.0,0.0,7.933333333333333,4530.0,0.011348461556917119,206081.118208,2.719744,534.0,0.06499999999994088,4268.31872,0.0,285215.0,2.4,4.6,15845.654528,88.0,,,,,,,,,,,,,,
15,14,,,1682960677,4.266666666666667,0.0,0.08400000000000318,3004.420096,0.004087841482308329,14264.0,0.0029541041947811235,665.624576,123.0,2336.145408,0.0,0.0,0.0,7.933333333333333,4664.0,0.002459092158379782,206081.138688,2.719744,534.0,0.06499999999994088,4268.31872,0.0,285533.0,2.4,4.6,15845.654528,88.0,,,,,,,,,,,,,,
16,15,,,1682960678,4.266666666666667,0.0,0.09199999999998454,3004.420096,0.004086050590624934,14732.0,0.04586432179819221,665.624576,124.0,2336.145408,0.0,0.0,0.0,7.933333333333333,4806.0,0.011819220559586572,206081.138688,2.719744,534.0,0.06600000000003092,4268.31872,0.0,285809.0,2.4,4.6,15845.654528,88.0,,,,,,,,,,,,,,
17,16,,,1682960679,4.266666666666667,0.0,0.09600000000000364,3004.416,0.004085921349377512,15253.0,0.026358980868779115,665.624576,125.0,2336.161792,0.0,0.0,0.0,7.933333333333333,5046.0,0.06291680451163444,206081.138688,2.719744,534.0,0.06600000000003092,4268.31872,0.0,286147.0,2.4,4.6,15845.654528,88.0,,,,,,,,,,,,,,
18,17,,,1682960680,4.266666666666667,0.0,0.09999999999999432,3004.669952,0.004085716310513612,16050.0,0.13134141563443139,665.624576,126.0,2336.161792,0.0,0.0,0.0,7.933333333333333,5337.0,0.04215788915848675,206080.88064,2.719744,534.0,0.06600000000003092,4268.31872,0.0,286653.0,2.4,4.6,15845.654528,88.0,,,,,,,,,,,,,,
19,18,,,1682960681,4.233333333333333,0.0,0.10800000000000409,3004.669952,0.06129244992336462,16524.0,0.02980824224724836,665.624576,132.0,2336.161792,0.0,0.0,0.0,7.3,5484.0,0.007015112426984248,206080.88064,2.719744,534.0,0.06899999999995998,4268.31872,0.0,286966.0,2.4,4.533333333333333,15845.654528,88.0,,,,,,,,,,,,,,
