03_hivemind/estimated_current_samples,03_hivemind/optimistic_total_samples_per_second,03_hivemind/num_peers,03_hivemind/global_samples_accumulated,_step,03_hivemind/eta_next_epoch_s,_runtime,03_hivemind/global_epoch,03_hivemind/next_fetch_time_s,03_hivemind/actual_total_samples_per_second,_timestamp,03_hivemind/num_clients,04_peers/peer_1_samples_accumulated,04_peers/peer_1_epoch,04_peers/peer_1_samples_per_second,04_peers/peer_1_epoch_oos,04_peers/peer_2_samples_accumulated,04_peers/peer_2_epoch,04_peers/peer_2_epoch_oos,04_peers/peer_2_samples_per_second,03_hivemind/epoch_s,03_hivemind/undershot_TBS,03_hivemind/total_training_samples,03_hivemind/per_epoch_training_samples,03_hivemind/reached_TBS,03_hivemind/epoch_based_sps,03_hivemind/overshot_TBS
865,51.86475898889866,1,704,0,615.11,42,0,10.0,51.86475898889866,1683042311,0,,,,,,,,,,,,,,,
4310,837.2079852923797,1,4224,1,33.99,43,0,8.5,837.2079852923797,1683042312,0,704.0,0.0,51.86,0.0,,,,,,,,,,,
5292,835.9042025383663,1,5216,2,32.87,44,0,8.22,835.9042025383663,1683042313,0,4224.0,0.0,837.21,0.0,,,,,,,,,,,
7267,1449.9866190908976,2,7136,3,17.59,46,0,7.03,1449.9866190908976,1683042315,0,5216.0,0.0,835.9,0.0,,,,,,,,,,,
9233,1627.886189692825,2,9056,4,14.46,47,0,5.78,1627.886189692825,1683042316,0,6208.0,0.0,841.62,0.0,928.0,0.0,0.0,608.37,,,,,,,
11141,1599.010307042569,2,10976,5,13.52,48,0,5.41,1599.010307042569,1683042317,0,7168.0,0.0,828.85,0.0,1888.0,0.0,0.0,799.04,,,,,,,
13109,1639.8983729245567,2,12928,6,11.99,49,0,4.8,1639.8983729245567,1683042318,0,8160.0,0.0,832.01,0.0,2816.0,0.0,0.0,767.0,,,,,,,
15072,1658.1742116823862,2,14880,7,10.67,50,0,4.27,1658.1742116823862,1683042319,0,9152.0,0.0,823.62,0.0,3776.0,0.0,0.0,816.27,,,,,,,
17051,1647.0003284015347,2,16896,8,9.54,51,0,3.82,1647.0003284015347,1683042320,0,10112.0,0.0,832.19,0.0,4768.0,0.0,0.0,825.98,,,,,,,
19018,1666.4448029381974,2,18848,9,8.25,53,0,3.3,1666.4448029381974,1683042322,0,11136.0,0.0,838.21,0.0,5760.0,0.0,0.0,808.79,,,,,,,
20990,1660.1060383732504,2,20800,10,7.09,54,0,2.84,1660.1060383732504,1683042323,0,12128.0,0.0,831.27,0.0,6720.0,0.0,0.0,835.17,,,,,,,
22950,1655.8831714912774,2,22752,11,5.93,55,0,2.37,1655.8831714912774,1683042324,0,13088.0,0.0,831.03,0.0,7712.0,0.0,0.0,829.08,,,,,,,
24894,1617.435614130287,2,24736,12,4.87,56,0,1.95,1617.435614130287,1683042325,0,14080.0,0.0,828.91,0.0,8672.0,0.0,0.0,826.97,,,,,,,
26843,1645.1222662879832,2,26656,13,3.6,57,0,1.44,1645.1222662879832,1683042326,0,15072.0,0.0,811.01,0.0,9664.0,0.0,0.0,806.43,,,,,,,
28803,1653.1816265680134,2,28608,14,2.4,59,0,0.96,1653.1816265680134,1683042328,0,16032.0,0.0,820.96,0.0,10624.0,0.0,0.0,824.16,,,,,,,
30780,1663.0081125159204,2,30592,15,1.2,60,0,0.5,1663.0081125159204,1683042329,0,16992.0,0.0,822.44,0.0,11616.0,0.0,0.0,830.74,,,,,,,
32742,1647.7281076736872,2,32576,16,0.02,61,0,0.5,1647.7281076736872,1683042330,0,17984.0,0.0,826.12,0.0,12608.0,0.0,0.0,836.89,,,,,,,
34698,1648.4197719751855,2,32800,17,0.0,62,0,0.5,1648.4197719751855,1683042331,0,18976.0,0.0,829.39,0.0,13600.0,0.0,0.0,818.34,,,,,,,
36656,1648.4197719751855,2,32800,18,0.0,63,0,0.5,1648.4197719751855,1683042332,0,19104.0,0.0,822.95,0.0,13696.0,0.0,0.0,825.47,,,,,,,
416,1453.8289849567748,2,256,19,22.25,65,1,8.9,1453.8289849567748,1683042334,0,19104.0,0.0,822.95,0.0,13696.0,0.0,0.0,825.47,,,,,,,
2245,1621.6170721189428,2,2080,20,18.82,66,1,7.53,1621.6170721189428,1683042335,0,128.0,1.0,742.09,0.0,128.0,1.0,0.0,711.73,22.562272349372506,0.0,32800.0,32800.0,0.0,1453.7542802470525,1.0
4222,1662.2428968246127,2,4032,21,17.17,67,1,6.87,1662.2428968246127,1683042336,0,1056.0,1.0,812.84,0.0,1024.0,1.0,0.0,808.78,,,,,,,
6197,1650.7465148516449,2,6016,22,16.1,68,1,6.44,1650.7465148516449,1683042337,0,2016.0,1.0,827.64,0.0,2016.0,1.0,0.0,834.6,,,,,,,
8191,1668.1261596717973,2,8000,23,14.73,69,1,5.89,1668.1261596717973,1683042338,0,3008.0,1.0,822.95,0.0,3008.0,1.0,0.0,827.79,,,,,,,
10134,1624.7468812018224,2,9952,24,13.93,71,1,5.57,1624.7468812018224,1683042340,0,4000.0,1.0,833.65,0.0,4000.0,1.0,0.0,834.47,,,,,,,
12091,1636.655600743581,2,11904,25,12.63,72,1,5.05,1636.655600743581,1683042341,0,4992.0,1.0,829.77,0.0,4960.0,1.0,0.0,794.97,,,,,,,
14019,1648.3803839058394,2,13824,26,11.37,73,1,4.55,1648.3803839058394,1683042342,0,5984.0,1.0,820.64,0.0,5920.0,1.0,0.0,816.02,,,,,,,
15991,1645.9383439963713,2,15808,27,10.19,74,1,4.08,1645.9383439963713,1683042343,0,6944.0,1.0,825.28,0.0,6880.0,1.0,0.0,823.1,,,,,,,
17906,1625.7617806097242,2,17728,28,9.14,75,1,3.66,1625.7617806097242,1683042344,0,7936.0,1.0,831.49,0.0,7872.0,1.0,0.0,814.45,,,,,,,
19885,1656.3265430792223,2,19712,29,7.78,76,1,3.11,1656.3265430792223,1683042345,0,8864.0,1.0,794.4,0.0,8864.0,1.0,0.0,831.36,,,,,,,
21861,1660.8219142239332,2,21664,30,6.57,78,1,2.63,1660.8219142239332,1683042347,0,9856.0,1.0,827.39,0.0,9856.0,1.0,0.0,828.94,,,,,,,
23839,1659.8855239363133,2,23648,31,5.38,79,1,2.15,1659.8855239363133,1683042348,0,10848.0,1.0,835.6,0.0,10816.0,1.0,0.0,825.22,,,,,,,
25820,1652.9058223246948,2,25632,32,4.2,80,1,1.68,1652.9058223246948,1683042349,0,11840.0,1.0,831.97,0.0,11808.0,1.0,0.0,827.92,,,,,,,
27699,1539.534709311165,2,27520,33,3.29,81,1,1.32,1539.534709311165,1683042350,0,12832.0,1.0,833.85,0.0,12800.0,1.0,0.0,819.05,,,,,,,
29676,1641.9480096770644,2,29504,34,1.88,82,1,0.75,1641.9480096770644,1683042351,0,13824.0,1.0,835.54,0.0,13696.0,1.0,0.0,703.99,,,,,,,
31630,1646.2488621950424,2,31456,35,0.69,84,1,0.5,1646.2488621950424,1683042353,0,14816.0,1.0,818.46,0.0,14688.0,1.0,0.0,823.49,,,,,,,
33426,1552.8889681547828,2,32704,36,0.0,85,1,0.5,1552.8889681547828,1683042354,0,15776.0,1.0,822.65,0.0,15680.0,1.0,0.0,823.6,,,,,,,
35274,1552.8889681547828,2,32704,37,0.0,86,1,0.5,1552.8889681547828,1683042355,0,16352.0,1.0,731.52,0.0,16352.0,1.0,0.0,821.37,,,,,,,
37128,1552.8889681547828,2,32704,38,0.0,87,1,0.5,1552.8889681547828,1683042356,0,16352.0,1.0,731.52,0.0,16352.0,1.0,0.0,821.37,,,,,,,
1598,1626.9673017650682,2,1440,39,19.16,88,2,7.66,1626.9673017650682,1683042357,0,16352.0,1.0,731.52,0.0,16352.0,1.0,0.0,821.37,,,,,,,
