03_hivemind/global_samples_accumulated,03_hivemind/optimistic_total_samples_per_second,03_hivemind/epoch_s,04_peers/peer_3_epoch,03_hivemind/actual_total_samples_per_second,_runtime,03_hivemind/epoch_based_sps,03_hivemind/next_fetch_time_s,04_peers/peer_2_epoch_oos,04_peers/peer_1_samples_per_second,04_peers/peer_3_samples_per_second,_step,03_hivemind/reached_TBS,03_hivemind/overshot_TBS,03_hivemind/num_peers,03_hivemind/total_training_samples,04_peers/peer_2_samples_per_second,03_hivemind/num_clients,04_peers/peer_1_epoch_oos,04_peers/peer_3_epoch_oos,03_hivemind/eta_next_epoch_s,04_peers/peer_1_samples_accumulated,_timestamp,04_peers/peer_1_epoch,04_peers/peer_2_epoch,04_peers/peer_3_samples_accumulated,03_hivemind/undershot_TBS,03_hivemind/per_epoch_training_samples,03_hivemind/global_epoch,04_peers/peer_2_samples_accumulated,03_hivemind/estimated_current_samples
1152,1898.8251055689013,,0.0,1898.8251055689013,77,,8.27,0.0,665.64,701.05,28,,,3,,429.68,0,0.0,0.0,16.54,15904.0,1680695544.0,0.0,0.0,7616.0,,,1,9376.0,1360
3616,2019.0118773227296,36.85686320019886,1.0,2019.0118773227296,78,892.5339039656124,7.15,0.0,644.95,678.6,29,0.0,1.0,3,32896.0,575.28,0,0.0,0.0,14.31,384.0,1680695545.0,1.0,1.0,384.0,0.0,32896.0,1,384.0,3881
5344,1593.8752895499015,,1.0,1593.8752895499015,79,,8.54,0.0,667.74,666.92,30,,,3,,684.36,0,0.0,0.0,17.08,1184.0,1680695546.0,1.0,1.0,1184.0,,,1,1248.0,5540
7264,1665.7474226501527,,1.0,1665.7474226501527,80,,7.6,0.0,609.7,298.2,31,,,3,,685.97,0,0.0,0.0,15.2,1920.0,1680695547.0,1.0,1.0,1408.0,,,1,2016.0,7446
9632,1949.582557872639,,1.0,1949.582557872639,81,,5.88,0.0,420.57,567.99,32,,,3,,677.19,0,0.0,0.0,11.75,2336.0,1680695548.0,1.0,1.0,2080.0,,,1,2848.0,9860
11712,1976.1644796760886,,1.0,1976.1644796760886,83,,5.2,0.0,622.64,667.76,33,,,3,,659.19,0,0.0,0.0,10.4,3104.0,1680695550.0,1.0,1.0,2880.0,,,1,3648.0,12211
14048,1963.2761842955579,,1.0,1963.2761842955579,84,,4.7,0.0,612.5,675.37,34,,,3,,688.29,0,0.0,0.0,9.41,3584.0,1680695551.0,1.0,1.0,3680.0,,,1,4448.0,14298
16512,2060.3686940591847,,1.0,2060.3686940591847,85,,3.88,0.0,601.67,672.35,35,,,3,,689.26,0,0.0,0.0,7.77,4320.0,1680695552.0,1.0,1.0,4448.0,,,1,5280.0,16767
19040,2138.0360356568954,,1.0,2138.0360356568954,86,,3.15,0.0,717.3,655.59,36,,,3,,687.48,0,0.0,0.0,6.3,5184.0,1680695553.0,1.0,1.0,5248.0,,,1,6080.0,19302
21472,2003.5805219759072,,1.0,2003.5805219759072,87,,2.76,0.0,759.3,689.05,37,,,3,,689.69,0,0.0,0.0,5.52,6080.0,1680695554.0,1.0,1.0,6048.0,,,1,6912.0,21702
23904,2084.0395995203485,,1.0,2084.0395995203485,89,,2.06,0.0,663.94,648.71,38,,,3,,690.93,0,0.0,0.0,4.13,6880.0,1680695556.0,1.0,1.0,6848.0,,,1,7744.0,24165
25728,1662.0370426145846,,1.0,1662.0370426145846,90,,2.07,0.0,707.34,669.77,39,,,3,,706.93,0,0.0,0.0,4.14,7712.0,1680695557.0,1.0,1.0,7648.0,,,1,8544.0,25894
28224,1999.1185957690645,,1.0,1999.1185957690645,91,,1.08,0.0,704.62,704.06,40,,,3,,253.36,0,0.0,0.0,2.16,8576.0,1680695558.0,1.0,1.0,8448.0,,,1,8704.0,28460
30464,2007.134206162759,,1.0,2007.134206162759,92,,0.5,0.0,692.03,702.23,41,,,3,,604.86,0,0.0,0.0,0.95,9440.0,1680695559.0,1.0,1.0,9280.0,,,1,9504.0,30852
32288,1640.197808722549,,1.0,1640.197808722549,93,,0.5,0.0,685.89,702.18,42,,,3,,619.07,0,0.0,0.0,0.18,10240.0,1680695560.0,1.0,1.0,10112.0,,,1,10112.0,32474
32384,1648.8185702120459,,1.0,1648.8185702120459,94,,0.5,0.0,682.56,363.74,43,,,3,,593.89,0,0.0,0.0,0.0,11008.0,1680695561.0,1.0,1.0,10528.0,,,1,10752.0,34449
32384,1648.8185702120459,,1.0,1648.8185702120459,96,,0.5,0.0,670.5,386.17,44,,,3,,592.15,0,0.0,0.0,0.0,11040.0,1680695563.0,1.0,1.0,10560.0,,,1,10784.0,36419
32384,1648.8185702120459,,1.0,1648.8185702120459,97,,0.5,0.0,670.5,386.17,45,,,3,,592.15,0,0.0,0.0,0.0,11040.0,1680695564.0,1.0,1.0,10560.0,,,1,10784.0,38382
32384,1648.8185702120459,,1.0,1648.8185702120459,98,,0.5,0.0,670.5,386.17,46,,,3,,592.15,0,0.0,0.0,0.0,11040.0,1680695565.0,1.0,1.0,10560.0,,,1,10784.0,40341
32384,1648.8185702120459,,1.0,1648.8185702120459,99,,0.5,0.0,670.5,386.17,47,,,3,,592.15,0,0.0,0.0,0.0,11040.0,1680695566.0,1.0,1.0,10560.0,,,1,10784.0,42313
2144,2077.1428424655796,,1.0,2077.1428424655796,100,,7.31,0.0,670.5,386.17,48,,,3,,592.15,0,0.0,0.0,14.63,11040.0,1680695567.0,1.0,1.0,10560.0,,,2,10784.0,2384
4384,2073.499596791276,23.890608156099916,2.0,2073.499596791276,102,1355.511747059963,6.75,0.0,688.78,658.25,49,0.0,1.0,3,65280.0,730.11,0,0.0,0.0,13.49,672.0,1680695569.0,2.0,2.0,704.0,1.0,32384.0,2,768.0,4789
6784,2019.9244079017126,,2.0,2019.9244079017126,103,,6.37,0.0,678.52,631.87,50,,,3,,763.11,0,0.0,0.0,12.75,1472.0,1680695570.0,2.0,2.0,1312.0,,,2,1600.0,7023
9280,2094.0545511085256,,2.0,2094.0545511085256,104,,5.54,0.0,719.09,587.79,51,,,3,,713.04,0,0.0,0.0,11.07,2336.0,1680695571.0,2.0,2.0,1952.0,,,2,2496.0,9586
11840,2247.8465976703237,,2.0,2247.8465976703237,105,,4.57,0.0,705.78,717.29,52,,,3,,670.98,0,0.0,0.0,9.14,3200.0,1680695572.0,2.0,2.0,2816.0,,,2,3264.0,12231
13952,1890.2704785354997,,2.0,1890.2704785354997,106,,4.92,0.0,711.01,787.22,53,,,3,,749.62,0,0.0,0.0,9.84,3904.0,1680695573.0,2.0,2.0,3744.0,,,2,4192.0,14171
15968,1996.3426149371082,,2.0,1996.3426149371082,108,,4.06,0.0,439.01,707.45,54,,,3,,743.81,0,0.0,0.0,8.11,4288.0,1680695575.0,2.0,2.0,4576.0,,,2,5088.0,16575
18464,2002.7343464870787,,2.0,2002.7343464870787,109,,3.52,0.0,601.04,718.33,55,,,3,,676.97,0,0.0,0.0,7.04,4704.0,1680695576.0,2.0,2.0,5376.0,,,2,5888.0,18666
21024,2184.4780239623137,,2.0,2184.4780239623137,110,,2.62,0.0,615.16,717.05,56,,,3,,670.52,0,0.0,0.0,5.25,5504.0,1680695577.0,2.0,2.0,6272.0,,,2,6688.0,21309
23584,2118.799898180627,,2.0,2118.799898180627,111,,2.11,0.0,706.98,749.0,57,,,3,,728.51,0,0.0,0.0,4.22,6368.0,1680695578.0,2.0,2.0,7136.0,,,2,7520.0,23826
26080,2074.4223161750106,,2.0,2074.4223161750106,112,,1.56,0.0,703.48,692.41,58,,,3,,722.91,0,0.0,0.0,3.12,7232.0,1680695579.0,2.0,2.0,7968.0,,,2,8384.0,26304
28704,2157.864803808874,,2.0,2157.864803808874,114,,0.88,0.0,693.74,680.03,59,,,3,,700.65,0,0.0,0.0,1.76,8064.0,1680695581.0,2.0,2.0,8768.0,,,2,9248.0,28965
