03_hivemind/estimated_current_samples,03_hivemind/optimistic_total_samples_per_second,03_hivemind/num_peers,03_hivemind/global_samples_accumulated,_step,03_hivemind/eta_next_epoch_s,_runtime,03_hivemind/global_epoch,03_hivemind/next_fetch_time_s,03_hivemind/actual_total_samples_per_second,_timestamp,03_hivemind/num_clients,04_peers/peer_1_samples_accumulated,04_peers/peer_1_epoch,04_peers/peer_1_samples_per_second,04_peers/peer_1_epoch_oos,04_peers/peer_3_samples_per_second,04_peers/peer_2_samples_accumulated,04_peers/peer_2_epoch,04_peers/peer_3_epoch_oos,04_peers/peer_3_epoch,04_peers/peer_3_samples_accumulated,04_peers/peer_2_epoch_oos,04_peers/peer_2_samples_per_second,03_hivemind/epoch_s,03_hivemind/undershot_TBS,03_hivemind/total_training_samples,03_hivemind/per_epoch_training_samples,03_hivemind/reached_TBS,03_hivemind/epoch_based_sps,03_hivemind/overshot_TBS
35374,2505.6725710276796,3,32832,27,0.0,74,1,0.5,2505.6725710276796,1683045661,0,10688.0,1.0,829.68,0.0,846.05,10592.0,1.0,0.0,1.0,10816.0,0.0,827.15,,,,,,,
38365,2505.6725710276796,3,32832,28,0.0,75,1,0.5,2505.6725710276796,1683045662,0,10944.0,1.0,828.3,0.0,846.19,10848.0,1.0,0.0,1.0,11040.0,0.0,831.18,,,,,,,
41367,2505.6725710276796,3,32832,29,0.0,76,1,0.5,2505.6725710276796,1683045663,0,10944.0,1.0,828.3,0.0,846.19,10848.0,1.0,0.0,1.0,11040.0,0.0,831.18,,,,,,,
2822,2450.1620442705857,3,2528,30,12.22,77,2,6.11,2450.1620442705857,1683045664,0,10944.0,1.0,828.3,0.0,846.19,10848.0,1.0,0.0,1.0,11040.0,0.0,831.18,,,,,,,
5798,2487.7856315295257,3,5504,31,10.84,78,2,5.42,2487.7856315295257,1683045665,0,800.0,2.0,800.42,0.0,835.77,864.0,2.0,0.0,2.0,864.0,0.0,813.97,16.748586654663086,0.0,65664.0,32832.0,0.0,1960.2848095160928,2.0
8788,2490.295571159249,3,8512,32,9.63,80,2,4.81,2490.295571159249,1683045667,0,1792.0,2.0,832.54,0.0,842.18,1824.0,2.0,0.0,2.0,1888.0,0.0,813.06,,,,,,,
11801,2490.3867694229803,3,11520,33,8.42,81,2,4.21,2490.3867694229803,1683045668,0,2784.0,2.0,831.13,0.0,825.6,2848.0,2.0,0.0,2.0,2880.0,0.0,833.57,,,,,,,
14781,2494.41529699969,3,14496,34,7.21,82,2,3.61,2494.41529699969,1683045669,0,3776.0,2.0,823.45,0.0,844.71,3840.0,2.0,0.0,2.0,3904.0,0.0,822.23,,,,,,,
17610,2318.446023970429,3,17312,35,6.54,83,2,3.27,2318.446023970429,1683045670,0,4768.0,2.0,832.31,0.0,837.78,4832.0,2.0,0.0,2.0,4896.0,0.0,824.32,,,,,,,
20617,2474.4423112094255,3,20320,36,4.91,84,2,2.46,2474.4423112094255,1683045671,0,5760.0,2.0,824.09,0.0,747.14,5728.0,2.0,0.0,2.0,5824.0,0.0,747.21,,,,,,,
23586,2481.3975545659187,3,23296,37,3.7,86,2,1.85,2481.3975545659187,1683045673,0,6752.0,2.0,828.6,0.0,829.7,6720.0,2.0,0.0,2.0,6848.0,0.0,816.14,,,,,,,
26534,2473.7634934937123,3,26240,38,2.52,87,2,1.26,2473.7634934937123,1683045674,0,7744.0,2.0,824.96,0.0,834.7,7712.0,2.0,0.0,2.0,7840.0,0.0,821.74,,,,,,,
29378,2421.726210814295,3,29120,39,1.4,88,2,0.7,2421.726210814295,1683045675,0,8736.0,2.0,823.48,0.0,839.08,8672.0,2.0,0.0,2.0,8832.0,0.0,811.2,,,,,,,
32193,2433.0472369960617,3,31936,40,0.24,89,2,0.5,2433.0472369960617,1683045676,0,9600.0,2.0,779.96,0.0,828.63,9664.0,2.0,0.0,2.0,9856.0,0.0,813.14,,,,,,,
35131,2448.2476592347293,3,32832,41,0.0,90,2,0.5,2448.2476592347293,1683045677,0,10464.0,2.0,789.05,0.0,826.49,10624.0,2.0,0.0,2.0,10848.0,0.0,817.51,,,,,,,
38063,2448.2476592347293,3,32832,42,0.0,92,2,0.5,2448.2476592347293,1683045679,0,10752.0,2.0,809.24,0.0,833.97,10912.0,2.0,0.0,2.0,11168.0,0.0,805.04,,,,,,,
40986,2448.2476592347293,3,32832,43,0.0,93,2,0.5,2448.2476592347293,1683045680,0,10752.0,2.0,809.24,0.0,833.97,10912.0,2.0,0.0,2.0,11168.0,0.0,805.04,,,,,,,
2573,2450.2192998001906,3,2272,44,12.32,94,3,6.16,2450.2192998001906,1683045681,0,10752.0,2.0,809.24,0.0,833.97,10912.0,2.0,0.0,2.0,11168.0,0.0,805.04,,,,,,,
5475,2420.9845084137487,3,5216,45,11.27,95,3,5.64,2420.9845084137487,1683045682,0,768.0,3.0,819.97,0.0,832.44,736.0,3.0,0.0,3.0,768.0,0.0,797.81,16.766896069981158,0.0,98496.0,32832.0,0.0,1958.1441826183452,3.0
8478,2475.171923186691,3,8192,46,9.81,96,3,4.91,2475.171923186691,1683045683,0,1760.0,3.0,834.41,0.0,834.98,1664.0,3.0,0.0,3.0,1792.0,0.0,751.59,,,,,,,
11461,2495.381112566744,3,11200,47,8.54,98,3,4.27,2495.381112566744,1683045685,0,2752.0,3.0,833.07,0.0,820.43,2656.0,3.0,0.0,3.0,2784.0,0.0,821.67,,,,,,,
14331,2400.3301909201155,3,14080,48,7.68,99,3,3.84,2400.3301909201155,1683045686,0,3776.0,3.0,838.74,0.0,837.4,3648.0,3.0,0.0,3.0,3776.0,0.0,819.25,,,,,,,
17228,2436.9531319968432,3,16960,49,6.38,100,3,3.19,2436.9531319968432,1683045687,0,4768.0,3.0,836.82,0.0,833.92,4544.0,3.0,0.0,3.0,4768.0,0.0,729.58,,,,,,,
20101,2477.1467164935307,3,19840,50,5.11,101,3,2.56,2477.1467164935307,1683045688,0,5760.0,3.0,826.21,0.0,817.0,5504.0,3.0,0.0,3.0,5696.0,0.0,793.74,,,,,,,
23058,2473.7677439628087,3,22784,51,3.93,102,3,1.96,2473.7677439628087,1683045689,0,6624.0,3.0,809.83,0.0,832.52,6496.0,3.0,0.0,3.0,6720.0,0.0,834.79,,,,,,,
26033,2489.370286639159,3,25760,52,2.71,104,3,1.35,2489.370286639159,1683045691,0,7616.0,3.0,835.84,0.0,826.45,7456.0,3.0,0.0,3.0,7712.0,0.0,811.47,,,,,,,
28980,2451.2724664215634,3,28704,53,1.55,105,3,0.77,2451.2724664215634,1683045692,0,8608.0,3.0,822.49,0.0,838.25,8448.0,3.0,0.0,3.0,8704.0,0.0,828.63,,,,,,,
31976,2479.421577225395,3,31680,54,0.32,106,3,0.5,2479.421577225395,1683045693,0,9600.0,3.0,825.71,0.0,836.11,9408.0,3.0,0.0,3.0,9696.0,0.0,789.45,,,,,,,
34961,2494.0214374011653,3,32800,55,0.0,107,3,0.5,2494.0214374011653,1683045694,0,10592.0,3.0,829.86,0.0,837.3,10400.0,3.0,0.0,3.0,10688.0,0.0,812.26,,,,,,,
37928,2494.0214374011653,3,32800,56,0.0,108,3,0.5,2494.0214374011653,1683045695,0,10976.0,3.0,828.82,0.0,842.23,10752.0,3.0,0.0,3.0,11072.0,0.0,822.97,,,,,,,
40899,2494.0214374011653,3,32800,57,0.0,110,3,0.5,2494.0214374011653,1683045697,0,10976.0,3.0,828.82,0.0,842.23,10752.0,3.0,0.0,3.0,11072.0,0.0,822.97,,,,,,,
2478,2494.0214374011653,3,0,58,12.14,111,4,6.07,2494.0214374011653,1683045698,0,10976.0,3.0,828.82,0.0,842.23,10752.0,3.0,0.0,3.0,11072.0,0.0,822.97,,,,,,,
5461,2494.0214374011653,3,0,59,10.95,112,4,5.47,2494.0214374011653,1683045699,0,0.0,4.0,828.82,0.0,842.23,0.0,4.0,0.0,4.0,0.0,0.0,822.97,16.7506473204121,0.0,131296.0,32800.0,0.0,1958.1332812153707,4.0
8448,2494.0214374011653,3,0,60,9.75,113,4,4.88,2494.0214374011653,1683045700,0,0.0,4.0,828.82,0.0,842.23,0.0,4.0,0.0,4.0,0.0,0.0,822.97,,,,,,,
11422,2494.0214374011653,3,0,61,8.56,114,4,4.28,2494.0214374011653,1683045701,0,0.0,4.0,828.82,0.0,842.23,0.0,4.0,0.0,4.0,0.0,0.0,822.97,,,,,,,
21474,2494.0214374011653,3,0,62,4.53,118,4,2.26,2494.0214374011653,1683045705,0,0.0,4.0,828.82,0.0,842.23,0.0,4.0,0.0,4.0,0.0,0.0,822.97,,,,,,,
24028,2494.0214374011653,3,0,63,3.5,119,4,1.75,2494.0214374011653,1683045706,0,0.0,4.0,828.82,0.0,842.23,0.0,4.0,0.0,4.0,0.0,0.0,822.97,,,,,,,
26582,2494.0214374011653,3,0,64,2.48,120,4,1.24,2494.0214374011653,1683045707,0,0.0,4.0,828.82,0.0,842.23,0.0,4.0,0.0,4.0,0.0,0.0,822.97,,,,,,,
29131,2494.0214374011653,3,0,65,1.46,121,4,0.73,2494.0214374011653,1683045708,0,0.0,4.0,828.82,0.0,842.23,0.0,4.0,0.0,4.0,0.0,0.0,822.97,,,,,,,
31674,2494.0214374011653,3,0,66,0.44,122,4,0.5,2494.0214374011653,1683045709,0,0.0,4.0,828.82,0.0,842.23,0.0,4.0,0.0,4.0,0.0,0.0,822.97,,,,,,,
34242,2494.0214374011653,3,0,67,0.0,124,4,0.5,2494.0214374011653,1683045711,0,0.0,4.0,828.82,0.0,842.23,0.0,4.0,0.0,4.0,0.0,0.0,822.97,,,,,,,
36815,2494.0214374011653,3,0,68,0.0,125,4,0.5,2494.0214374011653,1683045712,0,0.0,4.0,828.82,0.0,842.23,0.0,4.0,0.0,4.0,0.0,0.0,822.97,,,,,,,
39361,2494.0214374011653,3,0,69,0.0,126,4,0.5,2494.0214374011653,1683045713,0,0.0,4.0,828.82,0.0,842.23,0.0,4.0,0.0,4.0,0.0,0.0,822.97,,,,,,,
41909,2494.0214374011653,3,0,70,0.0,127,4,0.5,2494.0214374011653,1683045714,0,0.0,4.0,828.82,0.0,842.23,0.0,4.0,0.0,4.0,0.0,0.0,822.97,,,,,,,
44456,2494.0214374011653,3,0,71,0.0,128,4,0.5,2494.0214374011653,1683045715,0,0.0,4.0,828.82,0.0,842.23,0.0,4.0,0.0,4.0,0.0,0.0,822.97,,,,,,,
47020,2494.0214374011653,3,0,72,0.0,129,4,0.5,2494.0214374011653,1683045716,0,0.0,4.0,828.82,0.0,842.23,0.0,4.0,0.0,4.0,0.0,0.0,822.97,,,,,,,
49568,2494.0214374011653,3,0,73,0.0,130,4,0.5,2494.0214374011653,1683045717,0,0.0,4.0,828.82,0.0,842.23,0.0,4.0,0.0,4.0,0.0,0.0,822.97,,,,,,,
52120,2494.0214374011653,3,0,74,0.0,131,4,0.5,2494.0214374011653,1683045718,0,0.0,4.0,828.82,0.0,842.23,0.0,4.0,0.0,4.0,0.0,0.0,822.97,,,,,,,
54666,2494.0214374011653,3,0,75,0.0,132,4,0.5,2494.0214374011653,1683045719,0,0.0,4.0,828.82,0.0,842.23,0.0,4.0,0.0,4.0,0.0,0.0,822.97,,,,,,,
57214,2494.0214374011653,3,0,76,0.0,133,4,0.5,2494.0214374011653,1683045720,0,0.0,4.0,828.82,0.0,842.23,0.0,4.0,0.0,4.0,0.0,0.0,822.97,,,,,,,
59757,2494.0214374011653,3,0,77,0.0,134,4,0.5,2494.0214374011653,1683045721,0,0.0,4.0,828.82,0.0,842.23,0.0,4.0,0.0,4.0,0.0,0.0,822.97,,,,,,,
62302,2494.0214374011653,3,0,78,0.0,135,4,0.5,2494.0214374011653,1683045722,0,0.0,4.0,828.82,0.0,842.23,0.0,4.0,0.0,4.0,0.0,0.0,822.97,,,,,,,
64857,2494.0214374011653,3,0,79,0.0,136,4,0.5,2494.0214374011653,1683045723,0,0.0,4.0,828.82,0.0,842.23,0.0,4.0,0.0,4.0,0.0,0.0,822.97,,,,,,,
67410,2494.0214374011653,3,0,80,0.0,137,4,0.5,2494.0214374011653,1683045724,0,0.0,4.0,828.82,0.0,842.23,0.0,4.0,0.0,4.0,0.0,0.0,822.97,,,,,,,
69965,2494.0214374011653,3,0,81,0.0,138,4,0.5,2494.0214374011653,1683045725,0,0.0,4.0,828.82,0.0,842.23,0.0,4.0,0.0,4.0,0.0,0.0,822.97,,,,,,,
72541,2494.0214374011653,3,0,82,0.0,139,4,0.5,2494.0214374011653,1683045726,0,0.0,4.0,828.82,0.0,842.23,0.0,4.0,0.0,4.0,0.0,0.0,822.97,,,,,,,
75095,2494.0214374011653,3,0,83,0.0,140,4,0.5,2494.0214374011653,1683045727,0,0.0,4.0,828.82,0.0,842.23,0.0,4.0,0.0,4.0,0.0,0.0,822.97,,,,,,,
77652,2494.0214374011653,3,0,84,0.0,141,4,0.5,2494.0214374011653,1683045728,0,0.0,4.0,828.82,0.0,842.23,0.0,4.0,0.0,4.0,0.0,0.0,822.97,,,,,,,
80205,2494.0214374011653,3,0,85,0.0,142,4,0.5,2494.0214374011653,1683045729,0,0.0,4.0,828.82,0.0,842.23,0.0,4.0,0.0,4.0,0.0,0.0,822.97,,,,,,,
82758,2494.0214374011653,3,0,86,0.0,143,4,0.5,2494.0214374011653,1683045730,0,0.0,4.0,828.82,0.0,842.23,0.0,4.0,0.0,4.0,0.0,0.0,822.97,,,,,,,
85299,2494.0214374011653,3,0,87,0.0,144,4,0.5,2494.0214374011653,1683045731,0,0.0,4.0,828.82,0.0,842.23,0.0,4.0,0.0,4.0,0.0,0.0,822.97,,,,,,,
87863,2494.0214374011653,3,0,88,0.0,145,4,0.5,2494.0214374011653,1683045732,0,0.0,4.0,828.82,0.0,842.23,0.0,4.0,0.0,4.0,0.0,0.0,822.97,,,,,,,
90415,2494.0214374011653,3,0,89,0.0,146,4,0.5,2494.0214374011653,1683045733,0,0.0,4.0,828.82,0.0,842.23,0.0,4.0,0.0,4.0,0.0,0.0,822.97,,,,,,,
92963,2494.0214374011653,3,0,90,0.0,147,4,0.5,2494.0214374011653,1683045734,0,0.0,4.0,828.82,0.0,842.23,0.0,4.0,0.0,4.0,0.0,0.0,822.97,,,,,,,
95533,2494.0214374011653,3,0,91,0.0,148,4,0.5,2494.0214374011653,1683045735,0,0.0,4.0,828.82,0.0,842.23,0.0,4.0,0.0,4.0,0.0,0.0,822.97,,,,,,,
