03_hivemind/estimated_current_samples,03_hivemind/optimistic_total_samples_per_second,03_hivemind/num_peers,03_hivemind/global_samples_accumulated,_step,03_hivemind/eta_next_epoch_s,_runtime,03_hivemind/global_epoch,03_hivemind/next_fetch_time_s,03_hivemind/actual_total_samples_per_second,_timestamp,03_hivemind/num_clients,04_peers/peer_1_samples_accumulated,04_peers/peer_1_epoch,04_peers/peer_1_samples_per_second,04_peers/peer_1_epoch_oos,04_peers/peer_2_samples_accumulated,04_peers/peer_2_epoch,04_peers/peer_2_epoch_oos,04_peers/peer_2_samples_per_second,03_hivemind/epoch_s,03_hivemind/undershot_TBS,03_hivemind/total_training_samples,03_hivemind/per_epoch_training_samples,03_hivemind/reached_TBS,03_hivemind/epoch_based_sps,03_hivemind/overshot_TBS
1383,347.51662446207683,1,1344,0,43.17,37,0,10.0,347.51662446207683,1683032145,0,,,,,,,,,,,,,,,
2842,1135.8812657173821,1,2720,1,11.92,38,0,2.98,1135.8812657173821,1683032146,0,1344.0,0.0,347.52,0.0,,,,,,,,,,,
7774,1186.3066098661245,1,4096,2,7.26,42,0,1.81,1186.3066098661245,1683032150,0,2720.0,0.0,1135.88,0.0,,,,,,,,,,,
9928,2057.2201295974446,2,9728,3,3.14,43,0,1.26,2057.2201295974446,1683032151,0,4096.0,0.0,1186.31,0.0,,,,,,,,,,,
12509,2080.8590509936707,2,12320,4,1.86,44,0,0.74,2080.8590509936707,1683032152,0,8160.0,0.0,921.92,0.0,1568.0,0.0,0.0,1135.3,,,,,,,
15301,2320.083394773914,2,15040,5,0.47,45,0,0.5,2320.083394773914,1683032153,0,9312.0,0.0,867.49,0.0,3008.0,0.0,0.0,1213.36,,,,,,,
17837,2200.9381550767453,2,16576,6,0.0,47,0,0.5,2200.9381550767453,1683032155,0,10688.0,0.0,1145.57,0.0,4352.0,0.0,0.0,1174.51,,,,,,,
20806,2200.9381550767453,2,16576,7,0.0,48,0,0.5,2200.9381550767453,1683032156,0,11552.0,0.0,1117.59,0.0,5024.0,0.0,0.0,1083.35,,,,,,,
23434,2200.9381550767453,2,16576,8,0.0,49,0,0.5,2200.9381550767453,1683032157,0,11552.0,0.0,1117.59,0.0,5024.0,0.0,0.0,1083.35,,,,,,,
26057,2200.9381550767453,2,16576,9,0.0,50,0,0.5,2200.9381550767453,1683032158,0,11552.0,0.0,1117.59,0.0,5024.0,0.0,0.0,1083.35,,,,,,,
2362,1795.533591565319,2,2144,10,7.81,52,1,3.12,1795.533591565319,1683032160,0,11552.0,0.0,1117.59,0.0,5024.0,0.0,0.0,1083.35,,,,,,,
4712,2149.889398902628,2,4480,11,5.43,53,1,2.17,2149.889398902628,1683032161,0,1280.0,1.0,1214.95,0.0,864.0,1.0,0.0,580.59,15.076873246580362,0.0,16576.0,16576.0,0.0,1099.4322051330942,1.0
7321,2186.5892942614582,2,7104,12,4.14,54,1,1.66,2186.5892942614582,1683032162,0,2528.0,1.0,1177.58,0.0,1952.0,1.0,0.0,972.31,,,,,,,
9899,2200.1919433131084,2,9152,13,2.95,55,1,1.18,2200.1919433131084,1683032163,0,3936.0,1.0,1183.93,0.0,3168.0,1.0,0.0,1002.65,,,,,,,
11902,2088.188665061211,2,11712,14,2.15,56,1,0.86,2088.188665061211,1683032164,0,5248.0,1.0,1139.76,0.0,3904.0,1.0,0.0,1060.43,,,,,,,
14676,2321.001906439028,2,14432,15,0.74,58,1,0.5,2321.001906439028,1683032166,0,6400.0,1.0,888.12,0.0,5312.0,1.0,0.0,1200.06,,,,,,,
17245,2243.2045231091843,2,16288,16,0.0,59,1,0.5,2243.2045231091843,1683032167,0,7744.0,1.0,1094.82,0.0,6688.0,1.0,0.0,1226.18,,,,,,,
2422,2442.161233494251,2,2176,17,5.72,60,2,2.29,2442.161233494251,1683032168,0,8672.0,1.0,1056.94,0.0,7616.0,1.0,0.0,1186.26,,,,,,,
5100,2207.6171391440694,2,4896,18,5.11,61,2,2.04,2207.6171391440694,1683032169,0,1088.0,2.0,1233.17,0.0,1088.0,2.0,0.0,1208.99,8.321921669878066,1.0,32864.0,16288.0,0.0,1957.2402440359253,1.0
7398,1835.4381645341423,2,7200,19,4.9,62,2,1.96,1835.4381645341423,1683032170,0,2368.0,2.0,993.58,0.0,2528.0,2.0,0.0,1214.03,,,,,,,
9960,2112.2700124541448,2,9760,20,3.04,64,2,1.22,2112.2700124541448,1683032172,0,3520.0,2.0,813.02,0.0,3680.0,2.0,0.0,1022.42,,,,,,,
12233,2222.433207908296,2,12000,21,1.87,65,2,0.75,2222.433207908296,1683032173,0,4768.0,2.0,1008.73,0.0,4992.0,2.0,0.0,1103.54,,,,,,,
14724,2046.8842053057401,2,14528,22,0.81,66,2,0.5,2046.8842053057401,1683032174,0,5728.0,2.0,1036.46,0.0,6272.0,2.0,0.0,1185.98,,,,,,,
17439,2169.736387961372,2,16416,23,0.0,67,2,0.5,2169.736387961372,1683032175,0,7040.0,2.0,1141.11,0.0,7488.0,2.0,0.0,905.78,,,,,,,
2231,2153.3713622378755,2,1984,24,6.57,68,3,2.63,2153.3713622378755,1683032176,0,7968.0,2.0,954.19,0.0,8448.0,2.0,0.0,1215.55,,,,,,,
