_step,_runtime,cpu/logical_core_count,memory/total_memory_sys_MB,_timestamp,cpu/load/avg_sys_load_fifteen_min_percent,disk/time/disk_read_time_sys_s,disk/time/disk_busy_time_sys_s,memory/used_memory_sys_MB,bandwidth/disk_write_sys_bandwidth_MBs,cpu/interrupts/ctx_switches_count,bandwidth/net_sent_sys_bandwidth_Mbits,process/memory/shared_memory_proc_MB,disk/counter/disk_write_sys_count,process/memory/resident_set_size_proc_MB,disk/counter/disk_read_sys_count,process/memory/dirty_pages_proc_count,bandwidth/disk_read_sys_bandwidth_MBs,cpu/load/avg_sys_load_one_min_percent,cpu/interrupts/soft_interrupts_count,bandwidth/net_recv_sys_bandwidth_Mbits,memory/available_memory_sys_MB,process/memory/text_resident_set_proc_MB,process/voluntary_proc_ctx_switches,disk/time/disk_write_time_sys_s,process/memory/lib_memory_proc_MB,process/memory/data_resident_set_proc_MB,cpu/interrupts/interrupts_count,memory/used_memory_sys_percent,cpu/load/avg_sys_load_five_min_percent,process/memory/virtual_memory_size_proc_MB,process/involuntary_proc_ctx_switches,02_timing/dataload_cuda_move_time_s,03_hivemind/num_peers,02_timing/loss_calc_time_s,02_timing/forward_time_s,02_timing/opt_step_time_s,01_general/locally_processed_samples,01_general/minibatch_loss,02_timing/backward_time_s,02_timing/step_time_s,03_hivemind/global_epoch,01_general/lr,02_timing/dataload_time_s,01_general/dataset_iteration_count,01_general/step
0,1,30.0,211076.595712,1683031322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,,,1683031322,2.3666666666666667,0.0,0.0,1197.568,0.0,11.0,0.0,178.01216,0.0,394.420224,0.0,0.0,0.0,1.3,0.0,0.0,208130.596864,2.711552,129.0,0.0,2481.43872,0.0,10.0,1.4,2.566666666666667,9975.291904,51.0,,,,,,,,,,,,,,
2,2,,,1683031323,2.3666666666666667,0.0,0.008000000000009777,1939.447808,0.012253433453997419,3823.0,0.32063948606837434,349.626368,3.0,1096.155136,0.0,0.0,0.0,1.3,1191.0,0.9008507283642799,207378.231296,2.711552,186.0,0.0009999999999763531,3038.670848,0.0,3368.0,1.8,2.566666666666667,11341.676544,57.0,,,,,,,,,,,,,,
3,3,,,1683031324,2.3666666666666667,0.0,0.016000000000019554,2741.764096,0.6842986857491039,7882.0,0.005195823739944986,553.463808,77.0,2101.02272,0.0,0.0,0.0,1.3,2425.0,0.008438270830478675,206484.672512,2.711552,345.0,0.03499999999996817,4136.742912,0.0,173348.0,2.2,2.566666666666667,15347.560448,65.0,,,,,,,,,,,,,,
4,4,,,1683031325,2.3666666666666667,0.0,0.020000000000010232,2744.061952,0.004085228592904484,8592.0,0.23444584342753502,553.463808,78.0,2101.567488,0.0,0.0,0.0,1.3,2829.0,0.07777892253946776,206482.374656,2.711552,345.0,0.03499999999996817,4137.115648,0.0,173902.0,2.2,2.566666666666667,15347.822592,65.0,,,,,,,,,,,,,,
5,5,,,1683031326,2.3666666666666667,0.0,0.02400000000000091,2743.607296,0.004075469637795253,9256.0,0.002889444290957864,553.463808,79.0,2101.587968,0.0,0.0,0.0,1.3,2970.0,0.002539208639207778,206480.084992,2.711552,345.0,0.036000000000001364,4137.115648,0.0,174254.0,2.2,2.566666666666667,15347.822592,65.0,,,,,,,,,,,,,,
6,6,,,1683031327,2.3666666666666667,0.0,0.036000000000001364,2744.369152,0.16741423550822282,10030.0,0.10626880183760593,553.467904,82.0,2101.706752,0.0,0.0,0.0,1.2,3141.0,0.01015235906420467,206479.310848,2.711552,345.0,0.038000000000010914,4145.639424,0.0,174706.0,2.2,2.533333333333333,15423.32416,65.0,,,,,,,,,,,,,,
7,7,,,1683031328,2.3666666666666667,0.0,0.03999999999999204,2744.365056,0.004087723784628751,10678.0,0.049811149827328004,553.467904,83.0,2101.706752,0.0,0.0,0.0,1.2,3353.0,0.0028661969645196466,206479.310848,2.711552,345.0,0.038000000000010914,4145.639424,0.0,175112.0,2.2,2.533333333333333,15423.32416,65.0,,,,,,,,,,,,,,
8,8,,,1683031329,2.3666666666666667,0.0,0.04800000000000182,2744.623104,0.1962190989223412,11253.0,0.0036008631840445363,553.467904,110.0,2101.706752,0.0,0.0,0.0,1.2,3543.0,0.0100680454093117,206479.0528,2.711552,345.0,0.04699999999996862,4145.639424,0.0,175471.0,2.2,2.533333333333333,15423.32416,65.0,,,,,,,,,,,,,,
9,9,,,1683031330,2.3666666666666667,0.0,0.04800000000000182,2745.135104,0.0040860262951690285,11896.0,0.00410198733807802,553.467904,111.0,2101.706752,0.0,0.0,0.0,1.2,3715.0,0.003974298997527926,206478.536704,2.711552,345.0,0.04699999999996862,4145.639424,0.0,175845.0,2.2,2.533333333333333,15423.32416,65.0,,,,,,,,,,,,,,
