03_hivemind/estimated_current_samples,03_hivemind/optimistic_total_samples_per_second,03_hivemind/num_peers,03_hivemind/global_samples_accumulated,_step,03_hivemind/eta_next_epoch_s,_runtime,03_hivemind/global_epoch,03_hivemind/next_fetch_time_s,03_hivemind/actual_total_samples_per_second,_timestamp,03_hivemind/num_clients,04_peers/peer_1_samples_accumulated,04_peers/peer_3_samples_per_second,04_peers/peer_2_samples_accumulated,04_peers/peer_4_samples_per_second,04_peers/peer_4_samples_accumulated,04_peers/peer_1_epoch,04_peers/peer_2_epoch,04_peers/peer_3_epoch_oos,04_peers/peer_3_epoch,04_peers/peer_4_epoch,04_peers/peer_3_samples_accumulated,04_peers/peer_2_epoch_oos,04_peers/peer_2_samples_per_second,04_peers/peer_1_samples_per_second,04_peers/peer_1_epoch_oos,04_peers/peer_4_epoch_oos,03_hivemind/epoch_s,03_hivemind/undershot_TBS,03_hivemind/total_training_samples,03_hivemind/per_epoch_training_samples,03_hivemind/reached_TBS,03_hivemind/epoch_based_sps,03_hivemind/overshot_TBS
17202,3829.343441436262,4,16896,21,4.07,65,2,2.32,2658.76254109395,1683047127,0,4288.0,861.86,32.0,1133.62,4640.0,2.0,1.0,0.0,2.0,2.0,4672.0,1.0,1170.58,969.78,0.0,0.0,,,,,,,
20693,4104.262340764531,4,20064,22,2.94,66,2,1.68,2933.681440422219,1683047128,0,5216.0,1007.82,32.0,1013.9,5824.0,2.0,1.0,0.0,2.0,2.0,5856.0,1.0,1170.58,637.05,0.0,0.0,,,,,,,
24299,4481.031697259066,4,23968,23,1.89,67,2,1.08,3310.450796916755,1683047129,0,6304.0,1014.42,32.0,897.69,6976.0,2.0,1.0,0.0,2.0,2.0,6784.0,1.0,1170.58,1021.57,0.0,0.0,,,,,,,
28480,4551.983327108519,4,28064,24,0.94,68,2,0.54,3381.402426766208,1683047130,0,7616.0,1135.36,32.0,1071.36,8256.0,2.0,1.0,0.0,2.0,2.0,8096.0,1.0,1170.58,1103.74,0.0,0.0,,,,,,,
32237,4441.443025325302,4,31808,25,0.12,70,2,0.5,3270.8621249829907,1683047132,0,8960.0,1121.36,32.0,1126.97,9600.0,2.0,1.0,0.0,2.0,2.0,9504.0,1.0,1170.58,1133.08,0.0,0.0,,,,,,,
36274,4522.620336957908,4,32608,26,0.0,71,2,0.5,3352.039436615597,1683047133,0,10144.0,1098.64,32.0,1145.96,10976.0,2.0,1.0,0.0,2.0,2.0,10688.0,1.0,1170.58,1026.25,0.0,0.0,,,,,,,
4817,4877.507698661252,4,4256,27,5.73,72,3,3.27,4877.507698661252,1683047134,0,10432.0,1046.63,32.0,1156.51,11232.0,2.0,1.0,0.0,2.0,2.0,10944.0,1.0,1170.58,1148.9,0.0,0.0,,,,,,,
9115,3521.4186366307877,4,8704,28,6.72,73,3,3.84,3521.4186366307877,1683047135,0,1344.0,1245.63,224.0,1201.89,1280.0,3.0,3.0,0.0,3.0,3.0,1408.0,0.0,1208.3,1221.69,0.0,0.0,12.038766429759562,2.0,99808.0,32608.0,0.0,2708.583158436711,1.0
12969,2901.9593073715705,4,12544,29,6.82,74,3,3.9,2901.9593073715705,1683047136,0,2624.0,988.27,736.0,1248.07,2784.0,3.0,3.0,0.0,3.0,3.0,2560.0,0.0,387.7,897.39,0.0,0.0,,,,,,,
17412,3641.4585044087507,4,16928,30,4.22,76,3,2.41,3641.4585044087507,1683047138,0,3616.0,757.62,1120.0,1164.11,4224.0,3.0,3.0,0.0,3.0,3.0,3584.0,0.0,331.22,649.0,0.0,0.0,,,,,,,
