disk/time/disk_read_time_sys_s,disk/time/disk_write_time_sys_s,disk/counter/disk_read_sys_count,disk/counter/disk_write_sys_count,process/memory/resident_set_size_proc_MB,_timestamp,02_timing/backward_time_s,02_timing/loss_calc_time_s,cpu/interrupts/interrupts_count,cpu/interrupts/ctx_switches_count,process/memory/text_resident_set_proc_MB,03_hivemind/global_epoch,02_timing/opt_step_time_s,memory/used_memory_sys_MB,process/memory/lib_memory_proc_MB,01_general/dataset_iteration_count,cpu/interrupts/soft_interrupts_count,cpu/load/avg_sys_load_five_min_percent,01_general/locally_processed_samples,01_general/lr,01_general/step,02_timing/step_time_s,03_hivemind/num_peers,disk/time/disk_busy_time_sys_s,memory/used_memory_sys_percent,process/voluntary_proc_ctx_switches,process/memory/shared_memory_proc_MB,bandwidth/disk_read_sys_bandwidth_MBs,cpu/load/avg_sys_load_one_min_percent,bandwidth/net_recv_sys_bandwidth_Mbits,cpu/load/avg_sys_load_fifteen_min_percent,cpu/logical_core_count,02_timing/forward_time_s,memory/available_memory_sys_MB,process/involuntary_proc_ctx_switches,_runtime,memory/total_memory_sys_MB,02_timing/dataload_cuda_move_time_s,02_timing/dataload_time_s,process/memory/dirty_pages_proc_count,bandwidth/net_sent_sys_bandwidth_Mbits,_step,01_general/minibatch_loss,bandwidth/disk_write_sys_bandwidth_MBs,process/memory/data_resident_set_proc_MB,process/memory/virtual_memory_size_proc_MB
,,,,,1681394166.0,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,,,,0,211076.599808,,,,,0,,,,
0.0,0.0,0.0,0.0,394.186752,1681394166.0,,,23.0,30.0,2.719744,,,1153.613824,2481.020928,,8.0,0.6,,,,,,0.0,1.4,176.0,178.003968,0.0,0.3,0.49955295631432484,0.5666666666666667,,,208174.907392,48.0,0,,,,0.0,0.4455472310655926,1,,0.0,0.0,9963.388928
0.0,0.0,0.0,2.0,787.33312,1681394167.0,,,4999.0,4482.0,2.719744,,,1671.20896,2895.54432,,2359.0,0.6,,,,,,0.007999999999995566,1.6,205.0,183.083008,0.0,0.3,0.7262913108696419,0.5666666666666667,,,207657.291776,48.0,1,,,,0.0,0.7468334795992052,2,,0.008169002245494826,0.0,10511.872
0.0,0.02699999999992997,0.0,65.0,1195.511808,1681394168.0,,,12225.0,8370.0,2.719744,,,2085.380096,3538.812928,,4836.0,0.6,,,,,,0.02400000000000091,1.8,250.0,184.983552,0.0,0.3,0.04658035246058444,0.5666666666666667,,,207243.07968,49.0,2,,,,0.0,0.0643244880952088,3,,2.6126522807172514,0.0,13097.484288
0.007999999999999119,0.02699999999992997,44.0,66.0,1505.030144,1681394169.0,,,19547.0,12023.0,2.719744,,,2353.577984,3739.189248,,7357.0,0.6,,,,,,0.060000000000002274,1.9,332.0,304.39424,3.964079076774604,0.3,0.13138035921998334,0.5666666666666667,,,206964.396032,51.0,3,,,,0.0,0.14813414865064625,4,,0.004086679457533791,0.0,13970.976768
0.007999999999999119,0.02699999999992997,45.0,67.0,1839.57504,1681394170.0,,,20517.0,13061.0,2.719744,,,2549.567488,3915.677696,,7910.0,0.6,,,,,,0.06799999999999784,2.0,335.0,462.585856,0.06538968675925388,0.3,0.09505929926842187,0.5666666666666667,,,206768.398336,54.0,4,,,,0.0,0.13237580141822997,5,,0.004086855419404856,0.0,15758.077952
0.007999999999999119,0.02800000000002001,45.0,68.0,1839.648768,1681394171.0,,,21236.0,14045.0,2.719744,,,2549.825536,3915.677696,,8405.0,0.6,,,,,,0.07200000000000273,2.0,337.0,462.651392,0.0,0.26666666666666666,0.1594426518220541,0.5666666666666667,,,206768.140288,54.0,5,,,,0.0,0.1532510140381795,6,,0.004085204314479462,0.0,15758.077952
0.007999999999999119,0.02800000000002001,45.0,69.0,1839.648768,1681394172.0,,,22178.0,15180.0,2.719744,,,2549.825536,3915.677696,,9209.0,0.6,,,,,,0.0759999999999934,2.0,337.0,462.651392,0.0,0.26666666666666666,0.1438773483370412,0.5666666666666667,,,206768.140288,54.0,6,,,,0.0,0.16159269571802493,7,,0.004085701735590438,0.0,15758.077952
0.007999999999999119,0.1269999999999527,45.0,279.0,1839.648768,1681394173.0,,,23020.0,16232.0,2.719744,,,2550.51776,3915.677696,,9849.0,0.6,,,,,,0.09600000000000364,2.0,337.0,462.651392,0.0,0.26666666666666666,0.24581002186126655,0.5666666666666667,,,206767.468544,54.0,7,,,,0.0,0.17397982823283803,8,,2.385097449921513,0.0,15758.077952
0.009000000000000341,0.1269999999999527,47.0,280.0,4972.343296,1681394174.0,,,758134.0,23280.0,2.719744,,,5027.487744,6094.176256,,14309.0,0.6,,,,,,0.10800000000000409,3.7,710.0,1459.003392,0.016309020493956508,0.26666666666666666,1.1700129526593332,0.5666666666666667,,,203301.965824,207.0,8,,,,0.0,0.5308713585000165,9,,0.00407725512767629,0.0,21852.524544
