_step,_runtime,cpu/logical_core_count,memory/total_memory_sys_MB,_timestamp,cpu/load/avg_sys_load_fifteen_min_percent,disk/time/disk_read_time_sys_s,disk/time/disk_busy_time_sys_s,memory/used_memory_sys_MB,bandwidth/disk_write_sys_bandwidth_MBs,cpu/interrupts/ctx_switches_count,bandwidth/net_sent_sys_bandwidth_Mbits,process/memory/shared_memory_proc_MB,disk/counter/disk_write_sys_count,process/memory/resident_set_size_proc_MB,disk/counter/disk_read_sys_count,process/memory/dirty_pages_proc_count,bandwidth/disk_read_sys_bandwidth_MBs,cpu/load/avg_sys_load_one_min_percent,cpu/interrupts/soft_interrupts_count,bandwidth/net_recv_sys_bandwidth_Mbits,memory/available_memory_sys_MB,process/memory/text_resident_set_proc_MB,process/voluntary_proc_ctx_switches,disk/time/disk_write_time_sys_s,process/memory/lib_memory_proc_MB,process/memory/data_resident_set_proc_MB,cpu/interrupts/interrupts_count,memory/used_memory_sys_percent,cpu/load/avg_sys_load_five_min_percent,process/memory/virtual_memory_size_proc_MB,process/involuntary_proc_ctx_switches,02_timing/loss_calc_time_s,02_timing/forward_time_s,02_timing/backward_time_s,02_timing/dataload_cuda_move_time_s,03_hivemind/num_peers,02_timing/opt_step_time_s,01_general/locally_processed_samples,01_general/minibatch_loss,02_timing/step_time_s,03_hivemind/global_epoch,01_general/lr,02_timing/dataload_time_s,01_general/dataset_iteration_count,01_general/step
0,1,30.0,211076.599808,1680700819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,,,1680700819,2.533333333333333,0.0,0.0,1211.61728,0.0,21.0,0.6930404468562389,178.495488,0.0,394.661888,0.0,0.0,0.0,0.5,5.0,1.0577985739234361,208119.513088,2.719744,125.0,0.0,2481.016832,0.0,17.0,1.4,3.2333333333333334,9963.384832,47.0,,,,,,,,,,,,,,
2,2,,,1680700820,2.533333333333333,0.0,0.008000000000009777,1357.340672,0.012259525120311554,4125.0,0.7977790195769682,180.985856,3.0,398.495744,0.0,0.0,0.0,0.5,2402.0,0.9885998051392597,207973.834752,2.719744,157.0,0.0,2499.2768,0.0,4293.0,1.5,3.2333333333333334,10115.60448,48.0,,,,,,,,,,,,,,
3,3,,,1680700821,2.533333333333333,0.0,0.012000000000000455,1365.581824,0.004086818483136549,6697.0,0.5657449869764797,181.530624,4.0,402.501632,0.0,0.0,0.0,0.46666666666666673,4082.0,0.4842321152894968,207965.589504,2.719744,185.0,0.0010000000000331966,2511.511552,0.0,6350.0,1.5,3.166666666666666,10195.57888,48.0,,,,,,,,,,,,,,
4,4,,,1680700822,2.533333333333333,0.0,0.01999999999999602,1379.934208,0.41688037632873337,10703.0,1.0505267341813647,181.530624,76.0,413.847552,0.0,0.0,0.0,0.46666666666666673,7581.0,8.26866229429276,207951.208448,2.719744,369.0,0.025000000000034106,2522.9312,0.0,10069.0,1.5,3.166666666666666,10206.994432,48.0,,,,,,,,,,,,,,
5,5,,,1680700823,2.533333333333333,0.0,0.028000000000005798,1379.975168,0.2861007738209352,13731.0,0.7559558365086356,181.530624,79.0,413.847552,0.0,0.0,0.0,0.46666666666666673,9904.0,4.89436680935479,207951.13472,2.719744,452.0,0.027000000000043656,2522.9312,0.0,12638.0,1.5,3.166666666666666,10206.994432,49.0,,,,,,,,,,,,,,
6,6,,,1680700824,2.533333333333333,0.0,0.031999999999996476,1380.544512,0.004087340608238642,18329.0,1.0436289806920993,181.530624,80.0,414.388224,0.0,0.0,0.0,0.46666666666666673,13119.0,12.312099739461278,207950.585856,2.719744,497.0,0.027000000000043656,2523.394048,0.0,16446.0,1.5,3.166666666666666,10207.45728,51.0,,,,,,,,,,,,,,
7,7,,,1680700825,2.533333333333333,0.0,0.04000000000000625,1399.11168,0.004087184059018663,27258.0,2.330357482096611,183.300096,81.0,432.128,0.0,0.0,0.0,0.46666666666666673,19100.0,1.4598830717983253,207932.051456,2.719744,520.0,0.02800000000002001,2540.273664,0.0,23729.0,1.5,3.166666666666666,10224.336896,61.0,,,,,,,,,,,,,,
8,8,,,1680700826,2.533333333333333,0.0,0.04399999999999693,1819.79136,0.004086517119412264,35825.0,2.1687673146590494,185.790464,82.0,854.736896,0.0,0.0,0.0,0.4,24739.0,1.276908897111151,207511.371776,2.719744,525.0,0.02800000000002001,2969.358336,0.0,30737.0,1.7,3.1333333333333333,10653.421568,83.0,,,,,,,,,,,,,,
9,9,,,1680700827,2.533333333333333,0.0,0.05200000000000671,2053.38624,3.085368865274579,44259.0,2.0966157359712394,185.790464,146.0,1086.025728,0.0,0.0,0.0,0.4,29887.0,1.170997094803156,207277.768704,2.719744,525.0,0.06900000000001683,3435.597824,0.0,37612.0,1.8,3.1333333333333333,11186.753536,101.0,,,,,,,,,,,,,,
10,10,,,1680700828,2.533333333333333,0.0,0.060000000000002274,2953.5232,0.1307717518647554,53258.0,2.2459713151840055,438.513664,149.0,2163.85536,0.0,0.0,0.0,0.4,35373.0,1.2074756709652792,206367.145984,2.719744,535.0,0.06999999999999318,4268.6464,0.0,46150.0,2.2,3.1333333333333333,13028.466688,116.0,,,,,,,,,,,,,,
11,11,,,1680700829,2.533333333333333,0.0,0.06400000000000716,4372.938752,0.004081244749014027,66035.0,5.934313206673905,1185.6896,150.0,4137.132032,0.0,0.0,0.0,0.4,42642.0,1.7552381482804758,204228.026368,2.719744,816.0,0.07100000000002638,5540.073472,0.0,246431.0,3.2,3.1333333333333333,19479.744512,133.0,,,,,,,,,,,,,,
12,12,,,1680700830,2.533333333333333,0.0,0.06799999999999784,4660.61312,0.004081101269488751,80356.0,8.476734280449861,1462.071296,151.0,4448.636928,0.0,0.0,0.0,0.4,52207.0,13.659015506279532,203661.615104,2.719744,994.0,0.07100000000002638,5609.140224,0.0,289937.0,3.5,3.1333333333333333,20093.673472,180.0,,,,,,,,,,,,,,
