memory/total_memory_sys_MB,memory/available_memory_sys_MB,disk/counter/disk_write_sys_count,process/memory/lib_memory_proc_MB,_runtime,03_hivemind/global_epoch,02_timing/opt_step_time_s,02_timing/loss_calc_time_s,02_timing/dataload_cuda_move_time_s,bandwidth/disk_write_sys_bandwidth_MBs,_step,01_general/step,02_timing/backward_time_s,cpu/load/avg_sys_load_one_min_percent,process/memory/dirty_pages_proc_count,bandwidth/net_recv_sys_bandwidth_Mbits,cpu/load/avg_sys_load_fifteen_min_percent,01_general/lr,process/memory/shared_memory_proc_MB,bandwidth/disk_read_sys_bandwidth_MBs,process/involuntary_proc_ctx_switches,_timestamp,process/voluntary_proc_ctx_switches,cpu/load/avg_sys_load_five_min_percent,cpu/logical_core_count,process/memory/data_resident_set_proc_MB,process/memory/text_resident_set_proc_MB,cpu/interrupts/interrupts_count,01_general/locally_processed_samples,process/memory/virtual_memory_size_proc_MB,memory/used_memory_sys_MB,disk/time/disk_busy_time_sys_s,memory/used_memory_sys_percent,cpu/interrupts/ctx_switches_count,02_timing/step_time_s,02_timing/forward_time_s,01_general/minibatch_loss,02_timing/dataload_time_s,bandwidth/net_sent_sys_bandwidth_Mbits,process/memory/resident_set_size_proc_MB,01_general/dataset_iteration_count,cpu/interrupts/soft_interrupts_count,03_hivemind/num_peers,disk/time/disk_read_time_sys_s,disk/time/disk_write_time_sys_s,disk/counter/disk_read_sys_count
211076.599808,,,,1,,,,,,0,,,,,,,,,,,1681394094.0,,,30.0,,,,,,,,,,,,,,,,,,,,,
,208172.961792,0.0,2481.045504,1,,,,,0.0,1,,,0.46666666666666673,0.0,0.4855828628845901,0.6666666666666667,,178.143232,0.0,68.0,1681394094.0,176.0,0.8,,0.0,2.719744,23.0,,9963.413504,1155.9936,0.0,1.4,29.0,,,,,0.4330874180134014,394.313728,,8.0,,0.0,0.0,0.0
,207664.132096,2.0,2885.963776,2,,,,,0.008168945922831102,2,,,0.46666666666666673,0.0,0.3031444775591468,0.6666666666666667,,183.103488,0.0,72.0,1681394095.0,198.0,0.8,,0.0,2.719744,3177.0,,10502.291456,1664.83968,0.003999999999990678,1.6,3049.0,,,,,0.31174420774196543,784.232448,,1113.0,,0.0,0.0,0.0
,207249.12128,3.0,3538.857984,3,,,,,0.00408559582760523,3,,,0.46666666666666673,0.0,0.01717226997594401,0.6666666666666667,,185.09824,0.0,75.0,1681394096.0,261.0,0.8,,0.0,2.719744,13184.0,,13097.529344,2079.854592,0.007999999999995566,1.8,7634.0,,,,,0.012360523323625009,1195.68384,,3785.0,,0.0,0.0,0.0
,206787.149824,103.0,3932.499968,4,,,,,0.6170410420631527,4,,,0.46666666666666673,0.0,0.060569180313134324,0.6666666666666667,,345.808896,3.9637735814475863,80.0,1681394097.0,346.0,0.8,,0.0,2.719744,19661.0,,14164.287488,2531.057664,0.04800000000000182,2.0,11025.0,,,,,0.06591657137800803,1728.63488,,5995.0,,0.0040000000000000036,0.036000000000001364,44.0
,206723.411968,108.0,3956.580352,5,,,,,2.1053861454130143,5,,,0.6666666666666667,0.0,0.004487359728186441,0.6666666666666667,,578.400256,0.0654100550031827,86.0,1681394098.0,473.0,0.8666666666666666,,0.0,2.719744,21059.0,,16186.486784,2488.139776,0.060000000000002274,2.1,12536.0,,,,,0.004455421227017669,1962.5984,,6525.0,,0.0050000000000003375,0.04099999999999682,45.0
,203225.092096,109.0,6092.201984,6,,,,,0.004079760923985634,6,,,0.6666666666666667,0.0,0.01226318763285497,0.6666666666666667,,1487.712256,0.016319043708172033,266.0,1681394099.0,721.0,0.8666666666666666,,0.0,2.719744,852282.0,,21879.250944,5067.993088,0.07200000000000273,3.7,17241.0,,,,,0.059459328198370534,4999.02464,,8864.0,,0.0050000000000003375,0.04099999999999682,47.0
,202100.801536,110.0,6308.585472,7,,,,,0.0040815618130023625,7,,,0.6666666666666667,0.0,0.003132917564274796,0.6666666666666667,,2044.98944,0.0,440.0,1681394100.0,729.0,0.8666666666666666,,0.0,2.719744,1005364.0,,22720.290816,5632.7168,0.0759999999999934,4.3,20908.0,,,,,0.004767136652348615,5764.325376,,10497.0,,0.0050000000000003375,0.04099999999999682,47.0
,202099.511296,111.0,6317.109248,8,,,,,0.004085981599543203,8,,,0.6666666666666667,0.0,0.011212508088599528,0.6666666666666667,,2044.993536,0.0,440.0,1681394101.0,729.0,0.8666666666666666,,0.0,2.719744,1005792.0,,22795.792384,5634.00704,0.08400000000000318,4.3,21599.0,,,,,0.05389984315419193,5764.448256,,10711.0,,0.0050000000000003375,0.04199999999997317,47.0
,202099.511296,112.0,6317.109248,9,,,,,0.004086742646517281,9,,,0.6666666666666667,0.0,0.004437947095708252,0.6666666666666667,,2044.993536,0.0,440.0,1681394102.0,729.0,0.8666666666666666,,0.0,2.719744,1006180.0,,22795.792384,5634.00704,0.08799999999999386,4.3,22311.0,,,,,0.0042304171958457626,5764.452352,,10843.0,,0.0050000000000003375,0.04199999999997317,47.0
,202099.511296,292.0,6317.109248,10,,,,,2.219043193527687,10,,,0.6333333333333333,0.0,0.011365955584124225,0.6666666666666667,,2044.993536,0.0,440.0,1681394103.0,729.0,0.8333333333333334,,0.0,2.719744,1006601.0,,22795.792384,5634.00704,0.09999999999999432,4.3,22954.0,,,,,0.04953449462989146,5764.452352,,10991.0,,0.0050000000000003375,0.20699999999999363,47.0
,202099.511296,293.0,6317.109248,11,,,,,0.004086641545081632,11,,,0.6333333333333333,0.0,0.003360304868229997,0.6666666666666667,,2044.993536,0.0,440.0,1681394104.0,729.0,0.8333333333333334,,0.0,2.719744,1006978.0,,22795.792384,5634.00704,0.1039999999999992,4.3,23641.0,,,,,0.003368286588501915,5764.452352,,11123.0,,0.0050000000000003375,0.20699999999999363,47.0
,202099.253248,294.0,6317.109248,12,,,,,0.004086230393237298,12,,,0.6333333333333333,0.0,0.004772589400348287,0.6666666666666667,,2044.993536,0.0,440.0,1681394105.0,729.0,0.8333333333333334,,0.0,2.719744,1007406.0,,22795.792384,5634.265088,0.10800000000000409,4.3,24337.0,,,,,0.04647288975656821,5764.452352,,11273.0,,0.0050000000000003375,0.20799999999997,47.0
,202099.253248,295.0,6317.109248,13,,,,,0.0040866502940466185,13,,,0.6333333333333333,0.0,0.002825535555293522,0.6666666666666667,,2044.993536,0.0,440.0,1681394106.0,729.0,0.8333333333333334,,0.0,2.719744,1007728.0,,22795.792384,5634.265088,0.11199999999999477,4.3,24930.0,,,,,0.0026499373020308324,5764.452352,,11378.0,,0.0050000000000003375,0.20799999999997,47.0
,202099.253248,296.0,6317.109248,14,,,,,0.004086567673685837,14,,,0.6333333333333333,0.0,0.018868449160996947,0.6666666666666667,,2044.993536,0.0,440.0,1681394107.0,729.0,0.8333333333333334,,0.0,2.719744,1008073.0,,22795.792384,5634.265088,0.11599999999999966,4.3,25527.0,,,,,0.04895101468154753,5764.452352,,11526.0,,0.0050000000000003375,0.20799999999997,47.0
,202099.253248,301.0,6317.109248,15,,,,,0.06538567373027936,15,,,0.5666666666666667,0.0,0.0028255039695213157,0.6666666666666667,,2044.993536,0.0,440.0,1681394108.0,729.0,0.8333333333333334,,0.0,2.719744,1008397.0,,22795.792384,5634.265088,0.12399999999999523,4.3,26122.0,,,,,0.0026499076758050503,5764.452352,,11636.0,,0.0050000000000003375,0.21199999999998909,47.0
,202099.253248,302.0,6317.109248,16,,,,,0.004086498657881854,16,,,0.5666666666666667,0.0,0.0021390266372652237,0.6666666666666667,,2044.993536,0.0,440.0,1681394109.0,729.0,0.8333333333333334,,0.0,2.719744,1008732.0,,22795.792384,5634.265088,0.1280000000000001,4.3,26730.0,,,,,0.0029451523500167785,5764.452352,,11758.0,,0.0050000000000003375,0.21199999999998909,47.0
,202099.023872,303.0,6317.109248,17,,,,,0.004086661959391539,17,,,0.5666666666666667,0.0,0.07779024899758369,0.6666666666666667,,2044.993536,0.0,440.0,1681394110.0,729.0,0.8333333333333334,,0.0,2.719744,1009239.0,,22795.792384,5634.494464,0.1319999999999908,4.3,27536.0,,,,,0.09626004544365321,5764.452352,,12034.0,,0.0050000000000003375,0.21199999999998909,47.0
,202099.023872,304.0,6317.109248,18,,,,,0.004086534623573337,18,,,0.5666666666666667,0.0,0.03293172234135508,0.6666666666666667,,2044.993536,0.0,440.0,1681394111.0,729.0,0.8333333333333334,,0.0,2.719744,1009777.0,,22795.792384,5634.494464,0.13599999999999568,4.3,28427.0,,,,,0.08124382009880739,5764.452352,,12298.0,,0.0050000000000003375,0.21299999999996544,47.0
,202099.023872,305.0,6317.109248,19,,,,,0.00408633438294634,19,,,0.5666666666666667,0.0,0.013807340796079762,0.6666666666666667,,2044.993536,0.0,440.0,1681394112.0,729.0,0.8333333333333334,,0.0,2.719744,1010172.0,,22795.792384,5634.494464,0.14000000000000057,4.3,29140.0,,,,,0.06849398769666655,5764.452352,,12450.0,,0.0050000000000003375,0.21299999999996544,47.0
,202097.02912,308.0,6317.109248,20,,,,,0.04086625994362318,20,,,0.5333333333333333,0.0,0.008277013977149144,0.6666666666666667,,2044.993536,0.0,440.0,1681394113.0,729.0,0.8,,0.0,2.719744,1010617.0,,22795.792384,5636.481024,0.14399999999999125,4.3,29927.0,,,,,0.009083164808119316,5764.452352,,12621.0,,0.0050000000000003375,0.214999999999975,47.0
