04_peers/peer_4_epoch,03_hivemind/next_fetch_time_s,03_hivemind/estimated_current_samples,03_hivemind/epoch_s,03_hivemind/overshot_TBS,04_peers/peer_3_epoch_oos,04_peers/peer_6_epoch_oos,03_hivemind/epoch_based_sps,03_hivemind/total_training_samples,04_peers/peer_2_epoch,04_peers/peer_2_samples_per_second,04_peers/peer_3_epoch,04_peers/peer_9_epoch_oos,04_peers/peer_4_samples_per_second,04_peers/peer_3_samples_accumulated,04_peers/peer_5_samples_accumulated,_runtime,03_hivemind/global_samples_accumulated,03_hivemind/eta_next_epoch_s,04_peers/peer_8_epoch,04_peers/peer_8_samples_per_second,04_peers/peer_4_samples_accumulated,04_peers/peer_7_samples_accumulated,_timestamp,03_hivemind/num_clients,04_peers/peer_2_samples_accumulated,03_hivemind/optimistic_total_samples_per_second,04_peers/peer_5_epoch_oos,04_peers/peer_7_epoch,04_peers/peer_8_epoch_oos,04_peers/peer_3_samples_per_second,04_peers/peer_6_samples_accumulated,_step,04_peers/peer_9_epoch,03_hivemind/undershot_TBS,04_peers/peer_9_samples_accumulated,04_peers/peer_1_samples_per_second,04_peers/peer_7_samples_per_second,03_hivemind/global_epoch,03_hivemind/reached_TBS,04_peers/peer_6_epoch,04_peers/peer_7_epoch_oos,04_peers/peer_8_samples_accumulated,04_peers/peer_5_epoch,04_peers/peer_2_epoch_oos,04_peers/peer_6_samples_per_second,03_hivemind/actual_total_samples_per_second,04_peers/peer_1_epoch_oos,04_peers/peer_4_epoch_oos,03_hivemind/num_peers,04_peers/peer_5_samples_per_second,04_peers/peer_9_samples_per_second,04_peers/peer_1_samples_accumulated,03_hivemind/per_epoch_training_samples,04_peers/peer_1_epoch
,10.0,32,,,,,,,,,,,,,,51,32,53984.15,,,,,1681381904.0,0,,0.6063965520933616,,,,,,0,,,,,,0,,,,,,,,0.6063965520933616,,,1,,,,,
,10.0,193,,,,,,,,,,,,,,52,192,7007.38,,,,,1681381905.0,0,,4.648703582835217,,,,,,1,,,,0.61,,0,,,,,,,,4.648703582835217,0.0,,1,,,32.0,,0.0
,10.0,323,,,,,,,,,,,,,,53,320,3437.75,,,,,1681381906.0,0,,9.437984144604497,,,,,,2,,,,4.65,,0,,,,,,,,9.437984144604497,0.0,,1,,,192.0,,0.0
,10.0,482,,,,,,,,,,,,,,55,480,1796.46,,,,,1681381908.0,0,,17.972070604018956,,,,,,3,,,,9.44,,0,,,,,,,,17.972070604018956,0.0,,1,,,320.0,,0.0
,10.0,613,,,,,,,,,,,,,,56,608,1185.15,,,,,1681381909.0,0,,27.131302149919765,,,,,,4,,,,17.97,,0,,,,,,,,27.131302149919765,0.0,,1,,,480.0,,0.0
,10.0,747,,,,,,,,,,,,,,57,736,836.43,,,,,1681381910.0,0,,38.28228991895539,,,,,,5,,,,27.13,,0,,,,,,,,38.28228991895539,0.0,,1,,,608.0,,0.0
,10.0,903,,,,,,,,,,,,,,58,896,588.48,,,,,1681381911.0,0,,54.14846220667115,,,,,,6,,,,38.28,,0,,,,,,,,54.14846220667115,0.0,,1,,,736.0,,0.0
,10.0,1039,,,,,,,,,,,,,,59,1024,472.35,,,,,1681381912.0,0,,67.1716109732501,,,,,,7,,,,54.15,,0,,,,,,,,67.1716109732501,0.0,,1,,,896.0,,0.0
,10.0,1179,,,,,,,,,,,,,,61,1152,397.09,,,,,1681381914.0,0,,79.55111611668508,,,,,,8,,,,67.17,,0,,,,,,,,79.55111611668508,0.0,,1,,,1024.0,,0.0
,10.0,1327,,,,,,,,,,,,,,62,1312,341.11,,,,,1681381915.0,0,,92.17189751480977,,,,,,9,,,,79.55,,0,,,,,,,,92.17189751480977,0.0,,1,,,1152.0,,0.0
