03_hivemind/num_clients,04_peers/peer_3_epoch_oos,03_hivemind/per_epoch_training_samples,04_peers/peer_8_samples_accumulated,04_peers/peer_7_epoch_oos,04_peers/peer_4_samples_accumulated,03_hivemind/num_peers,04_peers/peer_9_epoch,04_peers/peer_2_epoch_oos,04_peers/peer_8_epoch,04_peers/peer_1_samples_per_second,03_hivemind/total_training_samples,_step,04_peers/peer_5_epoch,03_hivemind/overshot_TBS,04_peers/peer_4_epoch_oos,03_hivemind/epoch_based_sps,04_peers/peer_2_samples_per_second,_runtime,03_hivemind/global_epoch,03_hivemind/next_fetch_time_s,04_peers/peer_6_samples_per_second,04_peers/peer_6_samples_accumulated,04_peers/peer_6_epoch_oos,03_hivemind/eta_next_epoch_s,04_peers/peer_3_samples_per_second,04_peers/peer_4_samples_per_second,04_peers/peer_2_samples_accumulated,04_peers/peer_8_samples_per_second,04_peers/peer_7_samples_accumulated,_timestamp,03_hivemind/epoch_s,04_peers/peer_1_epoch,04_peers/peer_7_epoch,04_peers/peer_5_samples_per_second,04_peers/peer_5_samples_accumulated,03_hivemind/actual_total_samples_per_second,04_peers/peer_3_epoch,04_peers/peer_6_epoch,04_peers/peer_8_epoch_oos,04_peers/peer_1_samples_accumulated,04_peers/peer_3_samples_accumulated,04_peers/peer_9_samples_per_second,04_peers/peer_9_samples_accumulated,03_hivemind/reached_TBS,04_peers/peer_9_epoch_oos,04_peers/peer_2_epoch,03_hivemind/undershot_TBS,04_peers/peer_4_epoch,04_peers/peer_1_epoch_oos,03_hivemind/estimated_current_samples,03_hivemind/global_samples_accumulated,04_peers/peer_5_epoch_oos,04_peers/peer_7_samples_per_second,03_hivemind/optimistic_total_samples_per_second
0,,,,,,1,,,,,,0,,,,,,55,0,10.0,,,,2491.89,,,,,,1681156907.0,,,,,,13.085177184297033,,,,,,,,,,,,,,161,160,,,13.085177184297033
0,,,,,,3,,,,13.09,,1,,,,,,56,0,10.0,,,,468.77,,,,,,1681156908.0,,0.0,,,,68.64609616531773,,,,160.0,,,,,,,,,0.0,589,576,,,68.64609616531773
0,0.0,,,,,7,,0.0,,47.59,,2,,,,,12.85,57,0,10.0,,,,159.58,8.21,,96.0,,,1681156909.0,,0.0,,,,196.47893735312184,0.0,,,416.0,64.0,,,,,0.0,,,0.0,1413,1376,,,196.47893735312184
0,0.0,,,0.0,128.0,8,,0.0,,107.57,,3,0.0,,0.0,,31.21,58,0,10.0,3.95,32.0,0.0,78.6,25.89,16.22,224.0,,32.0,1681156910.0,,0.0,0.0,7.75,64.0,383.29699194347324,0.0,0.0,,704.0,192.0,,,,,0.0,,0.0,0.0,2642,2560,0.0,3.89,383.29699194347324
0,0.0,,128.0,0.0,256.0,9,,0.0,0.0,172.62,,4,0.0,,0.0,,49.54,59,0,10.0,20.94,160.0,0.0,51.55,44.05,33.95,352.0,16.67,160.0,1681156911.0,,0.0,0.0,24.72,192.0,557.9468981032395,0.0,0.0,0.0,992.0,320.0,,,,,0.0,,0.0,0.0,4008,3872,0.0,20.81,557.9468981032395
0,0.0,,256.0,0.0,384.0,9,0.0,0.0,0.0,220.9,,5,0.0,,0.0,,66.39,60,0,10.0,38.87,288.0,0.0,38.47,61.13,51.65,480.0,34.74,288.0,1681156912.0,,0.0,0.0,42.54,320.0,711.0971166260485,0.0,0.0,0.0,1280.0,448.0,2.79,128.0,,0.0,0.0,,0.0,0.0,5410,5280,0.0,38.91,711.0971166260485
0,0.0,,416.0,0.0,512.0,9,0.0,0.0,0.0,247.48,,6,0.0,,0.0,,83.59,62,0,10.0,56.13,416.0,0.0,31.29,75.86,67.84,640.0,57.07,416.0,1681156914.0,,0.0,0.0,59.68,448.0,829.2467358109509,0.0,0.0,0.0,1600.0,576.0,6.81,256.0,,0.0,0.0,,0.0,0.0,6822,6656,0.0,56.64,829.2467358109509
0,0.0,,544.0,0.0,640.0,9,0.0,0.0,0.0,256.72,,7,0.0,,0.0,,94.04,63,0,10.0,71.44,544.0,0.0,26.58,87.73,81.63,768.0,72.95,544.0,1681156915.0,,0.0,0.0,78.13,608.0,924.2332128333135,0.0,0.0,0.0,1888.0,704.0,14.12,416.0,,0.0,0.0,,0.0,0.0,8204,8032,0.0,72.49,924.2332128333135
0,0.0,,672.0,0.0,800.0,9,0.0,0.0,0.0,260.63,,8,0.0,,0.0,,101.8,64,0,10.0,83.94,672.0,0.0,23.31,96.69,94.72,896.0,85.87,704.0,1681156916.0,,0.0,0.0,89.69,736.0,995.6320450440188,0.0,0.0,0.0,2176.0,832.0,22.2,544.0,,0.0,0.0,,0.0,0.0,9563,9376,0.0,88.68,995.6320450440188
0,0.0,,800.0,0.0,928.0,9,0.0,0.0,0.0,261.81,,9,0.0,,0.0,,107.21,65,0,10.0,95.55,832.0,0.0,20.85,102.97,102.27,1024.0,96.25,832.0,1681156917.0,,0.0,0.0,98.85,864.0,1047.9090734072283,0.0,0.0,0.0,2464.0,960.0,32.36,672.0,,0.0,0.0,,0.0,0.0,10918,10688,0.0,98.35,1047.9090734072283
0,0.0,,928.0,0.0,1056.0,9,0.0,0.0,0.0,261.19,,10,0.0,,0.0,,110.95,66,0,10.0,101.99,960.0,0.0,18.72,107.56,107.47,1152.0,103.81,960.0,1681156918.0,,0.0,0.0,105.15,992.0,1093.9760030684602,0.0,0.0,0.0,2752.0,1088.0,44.28,800.0,,0.0,0.0,,0.0,0.0,12291,12064,0.0,105.49,1093.9760030684602
0,0.0,,1088.0,0.0,1184.0,9,0.0,0.0,0.0,264.0,,11,0.0,,0.0,,113.47,67,0,10.0,106.66,1088.0,0.0,16.95,111.27,111.15,1280.0,110.15,1088.0,1681156919.0,,0.0,0.0,109.48,1120.0,1127.42661816662,0.0,0.0,0.0,3040.0,1248.0,57.25,928.0,,0.0,0.0,,0.0,0.0,13660,13408,0.0,110.55,1127.42661816662
