04_peers/peer_3_samples_accumulated,04_peers/peer_3_samples_per_second,04_peers/peer_9_samples_per_second,04_peers/peer_7_samples_accumulated,03_hivemind/actual_total_samples_per_second,04_peers/peer_4_epoch,04_peers/peer_1_epoch_oos,04_peers/peer_8_epoch_oos,03_hivemind/global_samples_accumulated,04_peers/peer_9_samples_accumulated,04_peers/peer_5_epoch,04_peers/peer_6_epoch_oos,03_hivemind/eta_next_epoch_s,03_hivemind/num_peers,03_hivemind/num_clients,03_hivemind/total_training_samples,04_peers/peer_8_samples_per_second,04_peers/peer_8_samples_accumulated,04_peers/peer_9_epoch,04_peers/peer_6_samples_per_second,03_hivemind/optimistic_total_samples_per_second,04_peers/peer_1_samples_per_second,04_peers/peer_6_samples_accumulated,04_peers/peer_1_epoch,04_peers/peer_6_epoch,04_peers/peer_7_epoch,03_hivemind/global_epoch,04_peers/peer_4_samples_per_second,04_peers/peer_5_samples_per_second,03_hivemind/epoch_s,03_hivemind/estimated_current_samples,04_peers/peer_4_samples_accumulated,04_peers/peer_3_epoch,04_peers/peer_5_epoch_oos,04_peers/peer_2_samples_per_second,04_peers/peer_2_epoch,04_peers/peer_8_epoch,04_peers/peer_4_epoch_oos,03_hivemind/next_fetch_time_s,04_peers/peer_1_samples_accumulated,04_peers/peer_5_samples_accumulated,04_peers/peer_3_epoch_oos,03_hivemind/reached_TBS,03_hivemind/overshot_TBS,04_peers/peer_9_epoch_oos,_step,04_peers/peer_2_epoch_oos,03_hivemind/epoch_based_sps,03_hivemind/per_epoch_training_samples,_runtime,03_hivemind/undershot_TBS,04_peers/peer_7_epoch_oos,04_peers/peer_7_samples_per_second,04_peers/peer_2_samples_accumulated,_timestamp
544.0,137.76,,96.0,1999.5597177099569,0.0,0.0,,33504,,0.0,0.0,0.0,7,0,,,,,31.64,1999.5597177099569,241.2,160.0,0.0,0.0,0.0,0,70.53,46.99,,40456,320.0,0.0,0.0,1453.23,0.0,,0.0,0.5,9632.0,224.0,0.0,,,,20,0.0,,,93,,0.0,18.21,22528.0,1681394545.0
544.0,137.76,,96.0,1999.5597177099569,0.0,0.0,,33504,,0.0,0.0,0.0,7,0,,,,,31.64,1999.5597177099569,241.2,160.0,0.0,0.0,0.0,0,70.53,46.99,,43241,320.0,0.0,0.0,1453.23,0.0,,0.0,0.5,9632.0,224.0,0.0,,,,21,0.0,,,94,,0.0,18.21,22528.0,1681394546.0
544.0,137.76,,96.0,2005.8202335571177,0.0,0.0,,33536,,0.0,0.0,0.0,8,0,,,,,31.64,2005.8202335571177,241.2,160.0,0.0,0.0,0.0,0,70.53,46.99,,46074,320.0,0.0,0.0,1453.23,0.0,,0.0,0.5,9632.0,224.0,0.0,,,,22,0.0,,,96,,0.0,18.21,22528.0,1681394548.0
544.0,137.76,,96.0,2012.0277544501894,0.0,0.0,0.0,33568,,0.0,0.0,0.0,9,0,,6.26,32.0,,31.64,2012.0277544501894,241.2,160.0,0.0,0.0,0.0,0,70.53,46.99,,48923,320.0,0.0,0.0,1453.23,0.0,0.0,0.0,0.5,9632.0,224.0,0.0,,,,23,0.0,,,97,,0.0,18.21,22528.0,1681394549.0
544.0,137.76,6.21,96.0,2012.0277544501894,0.0,0.0,0.0,33568,32.0,0.0,0.0,0.0,9,0,,6.26,32.0,0.0,31.64,2012.0277544501894,241.2,160.0,0.0,0.0,0.0,0,70.53,46.99,,57393,320.0,0.0,0.0,1453.23,0.0,0.0,0.0,0.5,9632.0,224.0,0.0,,,0.0,24,0.0,,,101,,0.0,18.21,22528.0,1681394553.0
544.0,137.76,6.21,96.0,2012.0277544501894,0.0,0.0,0.0,33568,32.0,0.0,0.0,0.0,9,0,,6.26,32.0,0.0,31.64,2012.0277544501894,241.2,160.0,0.0,0.0,0.0,0,70.53,46.99,,60208,320.0,0.0,0.0,1453.23,0.0,0.0,0.0,0.5,9632.0,224.0,0.0,,,0.0,25,0.0,,,103,,0.0,18.21,22528.0,1681394555.0
544.0,137.76,6.21,96.0,2012.0277544501894,0.0,0.0,0.0,33568,32.0,0.0,0.0,0.0,9,0,,6.26,32.0,0.0,31.64,2012.0277544501894,241.2,160.0,0.0,0.0,0.0,0,70.53,46.99,,63323,320.0,0.0,0.0,1453.23,0.0,0.0,0.0,0.5,9632.0,224.0,0.0,,,0.0,26,0.0,,,104,,0.0,18.21,22528.0,1681394556.0
544.0,137.76,6.21,96.0,2012.0277544501894,0.0,0.0,0.0,33568,32.0,0.0,0.0,0.0,9,0,,6.26,32.0,0.0,31.64,2012.0277544501894,241.2,160.0,0.0,0.0,0.0,0,70.53,46.99,,66153,320.0,0.0,0.0,1453.23,0.0,0.0,0.0,0.5,9632.0,224.0,0.0,,,0.0,27,0.0,,,105,,0.0,18.21,22528.0,1681394557.0
544.0,137.76,6.21,96.0,2012.0277544501894,0.0,0.0,0.0,33568,32.0,0.0,0.0,0.0,9,0,,6.26,32.0,0.0,31.64,2012.0277544501894,241.2,160.0,0.0,0.0,0.0,0,70.53,46.99,,69157,320.0,0.0,0.0,1453.23,0.0,0.0,0.0,0.5,9632.0,224.0,0.0,,,0.0,28,0.0,,,107,,0.0,18.21,22528.0,1681394559.0
544.0,137.76,6.21,96.0,2012.0277544501894,0.0,0.0,0.0,33568,32.0,0.0,0.0,0.0,9,0,,6.26,32.0,0.0,31.64,2012.0277544501894,241.2,160.0,0.0,0.0,0.0,0,70.53,46.99,,71981,320.0,0.0,0.0,1453.23,0.0,0.0,0.0,0.5,9632.0,224.0,0.0,,,0.0,29,0.0,,,108,,0.0,18.21,22528.0,1681394560.0
544.0,137.76,6.21,96.0,2012.0277544501894,0.0,0.0,0.0,33568,32.0,0.0,0.0,0.0,9,0,,6.26,32.0,0.0,31.64,2012.0277544501894,241.2,160.0,0.0,0.0,0.0,0,70.53,46.99,,74810,320.0,0.0,0.0,1453.23,0.0,0.0,0.0,0.5,9632.0,224.0,0.0,,,0.0,30,0.0,,,110,,0.0,18.21,22528.0,1681394562.0
544.0,137.76,6.21,96.0,2012.0277544501894,0.0,0.0,0.0,33568,32.0,0.0,0.0,0.0,9,0,,6.26,32.0,0.0,31.64,2012.0277544501894,241.2,160.0,0.0,0.0,0.0,0,70.53,46.99,,77631,320.0,0.0,0.0,1453.23,0.0,0.0,0.0,0.5,9632.0,224.0,0.0,,,0.0,31,0.0,,,111,,0.0,18.21,22528.0,1681394563.0
544.0,137.76,6.21,96.0,2012.0277544501894,0.0,0.0,0.0,33568,32.0,0.0,0.0,0.0,9,0,,6.26,32.0,0.0,31.64,2012.0277544501894,241.2,160.0,0.0,0.0,0.0,0,70.53,46.99,,80454,320.0,0.0,0.0,1453.23,0.0,0.0,0.0,0.5,9632.0,224.0,0.0,,,0.0,32,0.0,,,113,,0.0,18.21,22528.0,1681394565.0
544.0,137.76,6.21,96.0,2012.0277544501894,0.0,0.0,0.0,33568,32.0,0.0,0.0,0.0,9,0,,6.26,32.0,0.0,31.64,2012.0277544501894,241.2,160.0,0.0,0.0,0.0,0,70.53,46.99,,83263,320.0,0.0,0.0,1453.23,0.0,0.0,0.0,0.5,9632.0,224.0,0.0,,,0.0,33,0.0,,,114,,0.0,18.21,22528.0,1681394566.0
