03_hivemind/actual_total_samples_per_second,03_hivemind/num_clients,03_hivemind/overshot_TBS,03_hivemind/eta_next_epoch_s,04_peers/peer_4_samples_per_second,03_hivemind/epoch_s,03_hivemind/num_peers,03_hivemind/epoch_based_sps,04_peers/peer_4_samples_accumulated,03_hivemind/estimated_current_samples,03_hivemind/undershot_TBS,04_peers/peer_1_samples_per_second,04_peers/peer_3_samples_per_second,04_peers/peer_2_samples_accumulated,04_peers/peer_2_epoch_oos,04_peers/peer_3_samples_accumulated,03_hivemind/per_epoch_training_samples,04_peers/peer_2_epoch,04_peers/peer_4_epoch,04_peers/peer_1_epoch_oos,03_hivemind/reached_TBS,04_peers/peer_2_samples_per_second,04_peers/peer_1_samples_accumulated,_step,_runtime,_timestamp,04_peers/peer_3_epoch,03_hivemind/global_epoch,04_peers/peer_3_epoch_oos,03_hivemind/global_samples_accumulated,03_hivemind/optimistic_total_samples_per_second,04_peers/peer_1_epoch,04_peers/peer_4_epoch_oos,03_hivemind/next_fetch_time_s,03_hivemind/total_training_samples
1822.9889375844057,0,,0.0,491.0,,4,,7168.0,38702,,491.42,480.09,6944.0,0.0,7072.0,,0.0,0.0,0.0,,360.48,11680.0,21,65,1680696549.0,0.0,0,0.0,32864,1822.9889375844057,0.0,0.0,0.5,
1822.9889375844057,0,,0.0,491.0,,4,,7168.0,40891,,491.42,480.09,6944.0,0.0,7072.0,,0.0,0.0,0.0,,360.48,11680.0,22,66,1680696550.0,0.0,0,0.0,32864,1822.9889375844057,0.0,0.0,0.5,
1822.9889375844057,0,,0.0,491.0,,4,,7168.0,43087,,491.42,480.09,6944.0,0.0,7072.0,,0.0,0.0,0.0,,360.48,11680.0,23,67,1680696551.0,0.0,0,0.0,32864,1822.9889375844057,0.0,0.0,0.5,
1822.9889375844057,0,,0.0,491.0,,4,,7168.0,45267,,491.42,480.09,6944.0,0.0,7072.0,,0.0,0.0,0.0,,360.48,11680.0,24,68,1680696552.0,0.0,0,0.0,32864,1822.9889375844057,0.0,0.0,0.5,
1822.9889375844057,0,,0.0,491.0,,4,,7168.0,47467,,491.42,480.09,6944.0,0.0,7072.0,,0.0,0.0,0.0,,360.48,11680.0,25,70,1680696554.0,0.0,0,0.0,32864,1822.9889375844057,0.0,0.0,0.5,
1822.9889375844057,0,,0.0,491.0,,4,,7168.0,49663,,491.42,480.09,6944.0,0.0,7072.0,,0.0,0.0,0.0,,360.48,11680.0,26,71,1680696555.0,0.0,0,0.0,32864,1822.9889375844057,0.0,0.0,0.5,
1822.9889375844057,0,,0.0,491.0,,4,,7168.0,51859,,491.42,480.09,6944.0,0.0,7072.0,,0.0,0.0,0.0,,360.48,11680.0,27,72,1680696556.0,0.0,0,0.0,32864,1822.9889375844057,0.0,0.0,0.5,
1822.9889375844057,0,,0.0,491.0,,4,,7168.0,54057,,491.42,480.09,6944.0,0.0,7072.0,,0.0,0.0,0.0,,360.48,11680.0,28,73,1680696557.0,0.0,0,0.0,32864,1822.9889375844057,0.0,0.0,0.5,
1822.9889375844057,0,,0.0,491.0,,4,,7168.0,56254,,491.42,480.09,6944.0,0.0,7072.0,,0.0,0.0,0.0,,360.48,11680.0,29,74,1680696558.0,0.0,0,0.0,32864,1822.9889375844057,0.0,0.0,0.5,
2384.7065453013283,0,,13.13,491.0,,4,,7168.0,1465,,491.42,480.09,6944.0,0.0,7072.0,,0.0,0.0,0.0,,360.48,11680.0,30,76,1680696560.0,0.0,1,0.0,672,2384.7065453013283,0.0,0.0,7.5,
1921.914945856751,0,1.0,15.41,608.85,39.08694608695805,4,840.7922155618489,128.0,3155,0.0,631.39,625.68,192.0,0.0,160.0,32864.0,1.0,1.0,0.0,0.0,518.78,192.0,31,77,1680696561.0,1.0,1,0.0,2880,1921.914945856751,1.0,0.0,8.8,32864.0
1844.6605604627389,0,,14.97,512.53,,4,,768.0,5148,,464.17,471.89,736.0,0.0,672.0,,1.0,1.0,0.0,,473.32,704.0,32,78,1680696562.0,1.0,1,0.0,4928,1844.6605604627389,1.0,0.0,8.56,
1939.406050003727,0,,13.02,454.59,,4,,1216.0,7508,,503.6,445.45,1248.0,0.0,1184.0,,1.0,1.0,0.0,,441.02,1280.0,33,79,1680696563.0,1.0,1,0.0,7264,1939.406050003727,1.0,0.0,7.44,
2001.2127309628477,0,,11.43,434.3,,4,,1760.0,9893,,522.78,477.42,1824.0,0.0,1760.0,,1.0,1.0,0.0,,504.91,1920.0,34,80,1680696564.0,1.0,1,0.0,9632,2001.2127309628477,1.0,0.0,6.53,
1977.1423748770421,0,,10.39,501.99,,4,,2368.0,12233,,513.37,496.19,2432.0,0.0,2336.0,,1.0,1.0,0.0,,489.67,2496.0,35,82,1680696566.0,1.0,1,0.0,11968,1977.1423748770421,1.0,0.0,5.93,
1884.3125223737418,0,,9.75,468.28,,4,,2944.0,14392,,489.03,502.95,3040.0,0.0,2912.0,,1.0,1.0,0.0,,516.88,3072.0,36,83,1680696567.0,1.0,1,0.0,14144,1884.3125223737418,1.0,0.0,5.57,
1871.2009632902166,0,,8.67,461.96,,4,,3456.0,16541,,486.89,469.83,3584.0,0.0,3456.0,,1.0,1.0,0.0,,465.63,3648.0,37,84,1680696568.0,1.0,1,0.0,16320,1871.2009632902166,1.0,0.0,4.96,
1885.6096584616666,0,,7.38,483.86,,4,,4032.0,18844,,432.73,485.57,4128.0,0.0,4000.0,,1.0,1.0,0.0,,469.05,4160.0,38,85,1680696569.0,1.0,1,0.0,18464,1885.6096584616666,1.0,0.0,4.22,
1885.7157062949516,0,,6.23,453.49,,4,,4544.0,21022,,408.08,531.23,4704.0,0.0,4576.0,,1.0,1.0,0.0,,492.8,4640.0,39,86,1680696570.0,1.0,1,0.0,20640,1885.7157062949516,1.0,0.0,3.56,
1711.5092399640603,0,,5.83,486.12,,4,,5152.0,22794,,514.6,484.58,5184.0,0.0,5152.0,,1.0,1.0,0.0,,400.42,5152.0,40,88,1680696572.0,1.0,1,0.0,22592,1711.5092399640603,1.0,0.0,3.33,
1963.6974683768499,0,,3.85,454.12,,4,,5696.0,25208,,336.24,489.28,5696.0,0.0,5728.0,,1.0,1.0,0.0,,431.87,5472.0,41,89,1680696573.0,1.0,1,0.0,24800,1963.6974683768499,1.0,0.0,2.2,
1834.692441765299,0,,3.04,509.64,,4,,6304.0,27182,,460.05,517.86,6240.0,0.0,6304.0,,1.0,1.0,0.0,,476.14,5952.0,42,90,1680696574.0,1.0,1,0.0,26944,1834.692441765299,1.0,0.0,1.74,
2025.5329466849523,0,,1.55,486.32,,4,,6912.0,29636,,380.89,490.24,6816.0,0.0,6880.0,,1.0,1.0,0.0,,477.24,6336.0,43,91,1680696575.0,1.0,1,0.0,29344,2025.5329466849523,1.0,0.0,0.88,
1991.4444369914518,0,,0.4,507.32,,4,,7520.0,31974,,517.11,493.49,7392.0,0.0,7456.0,,1.0,1.0,0.0,,507.62,6976.0,44,92,1680696576.0,1.0,1,0.0,31744,1991.4444369914518,1.0,0.0,0.5,
1792.3036134435224,0,,0.0,541.09,,4,,8160.0,34061,,439.35,479.57,8032.0,0.0,8064.0,,1.0,1.0,0.0,,531.43,7488.0,45,94,1680696578.0,1.0,1,0.0,32704,1792.3036134435224,1.0,0.0,0.5,
1792.3036134435224,0,,0.0,440.01,,4,,8384.0,36235,,472.86,376.04,8320.0,0.0,8224.0,,1.0,1.0,0.0,,503.4,7776.0,46,95,1680696579.0,1.0,1,0.0,32704,1792.3036134435224,1.0,0.0,0.5,
1792.3036134435224,0,,0.0,440.01,,4,,8384.0,38400,,472.86,376.04,8320.0,0.0,8224.0,,1.0,1.0,0.0,,503.4,7776.0,47,96,1680696580.0,1.0,1,0.0,32704,1792.3036134435224,1.0,0.0,0.5,
