03_hivemind/estimated_current_samples,03_hivemind/optimistic_total_samples_per_second,03_hivemind/num_peers,03_hivemind/global_samples_accumulated,_step,03_hivemind/eta_next_epoch_s,_runtime,03_hivemind/global_epoch,03_hivemind/next_fetch_time_s,03_hivemind/actual_total_samples_per_second,_timestamp,03_hivemind/num_clients,04_peers/peer_1_samples_accumulated,04_peers/peer_1_epoch,04_peers/peer_1_samples_per_second,04_peers/peer_1_epoch_oos,04_peers/peer_3_samples_per_second,04_peers/peer_2_samples_accumulated,04_peers/peer_2_epoch,04_peers/peer_3_epoch_oos,04_peers/peer_3_epoch,04_peers/peer_3_samples_accumulated,04_peers/peer_2_epoch_oos,04_peers/peer_2_samples_per_second,03_hivemind/epoch_s,03_hivemind/undershot_TBS,03_hivemind/total_training_samples,03_hivemind/per_epoch_training_samples,03_hivemind/reached_TBS,03_hivemind/epoch_based_sps,03_hivemind/overshot_TBS
548,28.261456795646914,1,544,0,1140.07,37,0,10.0,28.261456795646914,1683044105,0,,,,,,,,,,,,,,,,,,,
1238,202.61280426227157,1,1216,1,155.61,38,0,10.0,202.61280426227157,1683044106,0,544.0,0.0,28.26,0.0,,,,,,,,,,,,,,,
3284,456.3211504033932,1,1856,2,64.61,42,0,10.0,456.3211504033932,1683044110,0,1216.0,0.0,202.61,0.0,,,,,,,,,,,,,,,
5231,999.1121910665606,3,5120,3,27.56,44,0,10.0,999.1121910665606,1683044112,0,1856.0,0.0,456.32,0.0,,,,,,,,,,,,,,,
7227,1495.8923058475882,3,7040,4,17.07,45,0,8.54,1495.8923058475882,1683044113,0,4160.0,0.0,546.9,0.0,187.86,544.0,0.0,0.0,0.0,416.0,0.0,264.35,,,,,,,
9181,1621.3560322277183,3,9024,5,14.55,46,0,7.27,1621.3560322277183,1683044114,0,4800.0,0.0,547.66,0.0,458.59,1184.0,0.0,0.0,0.0,1056.0,0.0,489.65,,,,,,,
11131,1637.7057395428442,3,10944,6,13.21,47,0,6.61,1637.7057395428442,1683044115,0,5472.0,0.0,549.63,0.0,530.43,1856.0,0.0,0.0,0.0,1696.0,0.0,541.3,,,,,,,
13340,1620.9790492237476,3,13120,7,11.99,49,0,5.99,1620.9790492237476,1683044117,0,6112.0,0.0,549.82,0.0,538.24,2496.0,0.0,0.0,0.0,2336.0,0.0,549.64,,,,,,,
15273,1605.6740244273328,3,15072,8,10.9,50,0,5.45,1605.6740244273328,1683044118,0,6848.0,0.0,546.3,0.0,526.31,3232.0,0.0,0.0,0.0,3040.0,0.0,548.37,,,,,,,
17174,1603.7130383544652,3,16992,9,9.72,51,0,4.86,1603.7130383544652,1683044119,0,7520.0,0.0,547.94,0.0,507.19,3904.0,0.0,0.0,0.0,3648.0,0.0,550.54,,,,,,,
