_step,_runtime,cpu/logical_core_count,memory/total_memory_sys_MB,_timestamp,cpu/load/avg_sys_load_fifteen_min_percent,disk/time/disk_read_time_sys_s,disk/time/disk_busy_time_sys_s,memory/used_memory_sys_MB,bandwidth/disk_write_sys_bandwidth_MBs,cpu/interrupts/ctx_switches_count,bandwidth/net_sent_sys_bandwidth_Mbits,process/memory/shared_memory_proc_MB,disk/counter/disk_write_sys_count,process/memory/resident_set_size_proc_MB,disk/counter/disk_read_sys_count,process/memory/dirty_pages_proc_count,bandwidth/disk_read_sys_bandwidth_MBs,cpu/load/avg_sys_load_one_min_percent,cpu/interrupts/soft_interrupts_count,bandwidth/net_recv_sys_bandwidth_Mbits,memory/available_memory_sys_MB,process/memory/text_resident_set_proc_MB,process/voluntary_proc_ctx_switches,disk/time/disk_write_time_sys_s,process/memory/lib_memory_proc_MB,process/memory/data_resident_set_proc_MB,cpu/interrupts/interrupts_count,memory/used_memory_sys_percent,cpu/load/avg_sys_load_five_min_percent,process/memory/virtual_memory_size_proc_MB,process/involuntary_proc_ctx_switches,02_timing/dataload_cuda_move_time_s,02_timing/loss_calc_time_s,02_timing/forward_time_s,02_timing/backward_time_s,03_hivemind/num_peers,02_timing/opt_step_time_s,01_general/locally_processed_samples,01_general/minibatch_loss,02_timing/step_time_s,03_hivemind/global_epoch,01_general/lr,02_timing/dataload_time_s,01_general/dataset_iteration_count,01_general/step
14,13,,,1682817078,1.0,0.0,0.07600000000000762,5308.297216,0.049049534365222636,67224.0,0.10872487117977572,1099.264,147.0,4238.934016,0.0,0.0,0.0,1.7666666666666668,54496.0,0.016341861465474512,203537.399808,2.719744,443.0,0.07600000000002183,5828.173824,0.0,343214.0,3.6,1.6,21000.708096,284.0,,,,,,,,,,,,,,
15,14,,,1682817079,1.0,0.0,0.08400000000000318,5308.289024,0.03678684444231854,67637.0,0.06497572198454193,1099.264,154.0,4238.934016,0.0,0.0,0.0,1.633333333333333,54642.0,0.00722484682744787,203537.399808,2.719744,443.0,0.07799999999997453,5828.173824,0.0,343466.0,3.6,1.5666666666666667,21000.708096,284.0,,,,,,,,,,,,,,
16,15,,,1682817080,1.0,0.0,0.08800000000000807,5308.284928,0.0040873561673018,68110.0,0.050046163734157406,1099.264,155.0,4238.934016,0.0,0.0,0.0,1.633333333333333,54803.0,0.014345662190300637,203537.403904,2.719744,443.0,0.07799999999997453,5828.173824,0.0,343763.0,3.6,1.5666666666666667,21000.708096,284.0,,,,,,,,,,,,,,
17,16,,,1682817081,1.0,0.0,0.09600000000000364,5308.27264,0.049047853951217954,68728.0,0.08552240549873237,1099.264,160.0,4238.934016,0.0,0.0,0.0,1.633333333333333,55080.0,0.06555679957566564,203537.408,2.719744,443.0,0.07999999999992724,5828.173824,0.0,344172.0,3.6,1.5666666666666667,21000.708096,284.0,,,,,,,,,,,,,,
18,17,,,1682817082,1.0,0.0,0.10000000000000853,5308.530688,0.004087353257229033,69684.0,0.10998333157612779,1099.264,161.0,4238.934016,0.0,0.0,0.0,1.633333333333333,55309.0,0.01582252763000668,203537.154048,2.719744,443.0,0.07999999999992724,5828.173824,0.0,344962.0,3.6,1.5666666666666667,21000.708096,284.0,,,,,,,,,,,,,,
19,18,,,1682817083,1.0,0.0,0.10400000000001342,5308.78464,0.004087315325013651,70100.0,0.06489411387042271,1099.264,162.0,4238.934016,0.0,0.0,0.0,1.633333333333333,55451.0,0.005803668448759124,203536.896,2.719744,443.0,0.07999999999992724,5828.173824,0.0,345239.0,3.6,1.5666666666666667,21000.708096,284.0,,,,,,,,,,,,,,
20,19,,,1682817084,1.0,0.0,0.11200000000000898,5309.014016,0.024524983082060154,70716.0,0.10399965968987045,1099.264,168.0,4238.934016,0.0,0.0,0.0,1.5000000000000002,55653.0,0.0171163944406457,203536.666624,2.719744,443.0,0.08199999999999363,5828.173824,0.0,345629.0,3.6,1.5333333333333334,21000.708096,284.0,,,,,,,,,,,,,,
21,20,,,1682817085,1.0,0.0,0.11599999999999966,5309.014016,0.004087503011794743,71205.0,0.0851909075606428,1099.264,169.0,4238.934016,0.0,0.0,0.0,1.5000000000000002,55797.0,0.009332599665164922,203536.687104,2.719744,443.0,0.08199999999999363,5828.173824,0.0,345912.0,3.6,1.5333333333333334,21000.708096,284.0,,,,,,,,,,,,,,
22,21,,,1682817086,1.0,0.0,0.12000000000000455,5309.005824,0.028613814607801637,71874.0,0.11248326841642894,1099.264,172.0,4238.934016,0.0,0.0,0.0,1.5000000000000002,55992.0,0.020669968194900096,203536.687104,2.719744,443.0,0.08299999999996999,5828.173824,0.0,346310.0,3.6,1.5333333333333334,21000.708096,284.0,,,,,,,,,,,,,,
23,22,,,1682817087,1.0,0.0,0.12400000000000944,5309.001728,0.004087678071996165,72277.0,0.028358266645803095,1099.264,173.0,4238.934016,0.0,0.0,0.0,1.5000000000000002,56138.0,0.0039040519116548384,203536.6912,2.719744,443.0,0.08299999999996999,5828.173824,0.0,346554.0,3.6,1.5333333333333334,21000.708096,284.0,,,,,,,,,,,,,,
