03_hivemind/num_clients,03_hivemind/undershot_TBS,04_peers/peer_5_samples_per_second,04_peers/peer_9_samples_per_second,04_peers/peer_1_samples_accumulated,_timestamp,04_peers/peer_2_samples_accumulated,04_peers/peer_3_epoch,04_peers/peer_9_epoch_oos,04_peers/peer_4_samples_accumulated,04_peers/peer_9_samples_accumulated,04_peers/peer_1_epoch,03_hivemind/epoch_based_sps,04_peers/peer_2_samples_per_second,04_peers/peer_6_samples_accumulated,04_peers/peer_4_epoch,04_peers/peer_4_epoch_oos,04_peers/peer_7_epoch_oos,03_hivemind/next_fetch_time_s,04_peers/peer_5_samples_accumulated,03_hivemind/reached_TBS,04_peers/peer_4_samples_per_second,04_peers/peer_6_samples_per_second,04_peers/peer_7_epoch,04_peers/peer_8_samples_per_second,04_peers/peer_3_samples_accumulated,_runtime,03_hivemind/global_epoch,04_peers/peer_8_epoch_oos,03_hivemind/estimated_current_samples,03_hivemind/optimistic_total_samples_per_second,04_peers/peer_8_epoch,03_hivemind/overshot_TBS,04_peers/peer_2_epoch_oos,04_peers/peer_5_epoch_oos,03_hivemind/global_samples_accumulated,03_hivemind/epoch_s,03_hivemind/total_training_samples,04_peers/peer_3_epoch_oos,03_hivemind/num_peers,04_peers/peer_5_epoch,04_peers/peer_1_epoch_oos,04_peers/peer_1_samples_per_second,04_peers/peer_3_samples_per_second,_step,04_peers/peer_7_samples_accumulated,04_peers/peer_7_samples_per_second,04_peers/peer_6_epoch_oos,03_hivemind/eta_next_epoch_s,04_peers/peer_2_epoch,04_peers/peer_9_epoch,03_hivemind/per_epoch_training_samples,03_hivemind/actual_total_samples_per_second,04_peers/peer_6_epoch,04_peers/peer_8_samples_accumulated
0,,50.3,,3200.0,1681394186.0,416.0,0.0,,384.0,,0.0,,53.32,352.0,0.0,0.0,,10.0,384.0,,49.66,45.68,,,416.0,78,0,,7461,435.2807450258529,,,0.0,0.0,6336,,,0.0,6,0.0,0.0,93.26,53.23,21,,,0.0,58.14,0.0,,,435.2807450258529,0.0,
0,,68.23,,3392.0,1681394187.0,608.0,0.0,,576.0,,0.0,,69.65,576.0,0.0,0.0,,10.0,576.0,,67.3,67.15,,,608.0,79,0,,9089,607.1824560321706,,,0.0,0.0,8800,,,0.0,8,0.0,0.0,93.16,69.79,22,,,0.0,39.0,0.0,,,607.1824560321706,0.0,
0,,86.13,,3712.0,1681394189.0,928.0,0.0,,928.0,,0.0,,84.49,896.0,0.0,0.0,0.0,10.0,928.0,,85.15,84.25,0.0,37.19,928.0,81,0,0.0,10171,655.5960334365341,0.0,,0.0,0.0,9888,,,0.0,8,0.0,0.0,92.97,85.04,23,288.0,51.97,0.0,34.47,0.0,,,655.5960334365341,0.0,192.0
0,,89.32,,3840.0,1681394190.0,1088.0,0.0,,1056.0,,0.0,,88.06,1056.0,0.0,0.0,0.0,10.0,1056.0,,88.41,88.52,0.0,54.67,1056.0,82,0,0.0,11251,690.577662586996,0.0,,0.0,0.0,10976,,,0.0,8,0.0,0.0,92.97,88.12,24,416.0,65.53,0.0,31.16,0.0,,,690.577662586996,0.0,320.0
0,,91.44,,3968.0,1681394191.0,1216.0,0.0,,1184.0,,0.0,,89.8,1184.0,0.0,0.0,0.0,10.0,1184.0,,90.48,90.74,0.0,69.75,1216.0,83,0,0.0,12314,711.7549172117447,0.0,,0.0,0.0,12000,,,0.0,8,0.0,0.0,92.87,90.51,25,544.0,74.99,0.0,28.74,0.0,,,711.7549172117447,0.0,480.0
0,,92.84,,4096.0,1681394193.0,1344.0,0.0,,1312.0,,0.0,,91.01,1312.0,0.0,0.0,0.0,10.0,1312.0,,91.97,92.13,0.0,77.75,1344.0,85,0,0.0,13371,725.8331755620209,0.0,,0.0,0.0,13056,,,0.0,8,0.0,0.0,92.8,91.75,26,672.0,81.5,0.0,26.72,0.0,,,725.8331755620209,0.0,608.0
0,,93.94,,4224.0,1681394194.0,1472.0,0.0,,1440.0,,0.0,,91.71,1440.0,0.0,0.0,0.0,10.0,1472.0,,92.79,93.02,0.0,83.22,1472.0,86,0,0.0,14430,735.1149801789369,0.0,,0.0,0.0,14080,,,0.0,8,0.0,0.0,92.77,92.53,27,800.0,85.86,0.0,24.95,0.0,,,735.1149801789369,0.0,736.0
0,,94.39,,4352.0,1681394196.0,1600.0,0.0,,1568.0,,0.0,,92.27,1568.0,0.0,0.0,0.0,10.0,1600.0,,93.32,93.51,0.0,86.8,1600.0,88,0,0.0,15482,741.6146156317286,0.0,,0.0,0.0,15168,,,0.0,8,0.0,0.0,92.99,93.13,28,928.0,88.71,0.0,23.31,0.0,,,741.6146156317286,0.0,864.0
0,,94.75,,4480.0,1681394197.0,1728.0,0.0,,1728.0,,0.0,,92.8,1696.0,0.0,0.0,0.0,10.0,1728.0,,93.67,93.92,0.0,88.99,1728.0,89,0,0.0,16538,745.678617785546,0.0,,0.0,0.0,16192,,,0.0,8,0.0,0.0,93.02,93.55,29,1088.0,90.92,0.0,21.77,0.0,,,745.678617785546,0.0,992.0
0,,95.1,,4608.0,1681394198.0,1856.0,0.0,,1856.0,,0.0,,93.16,1824.0,0.0,0.0,0.0,10.0,1856.0,,93.79,94.29,0.0,90.49,1856.0,90,0,0.0,17593,748.2652119637088,0.0,,0.0,0.0,17280,,,0.0,8,0.0,0.0,93.0,93.85,30,1216.0,92.01,0.0,20.28,0.0,,,748.2652119637088,0.0,1120.0
