03_hivemind/global_epoch,03_hivemind/undershot_TBS,03_hivemind/eta_next_epoch_s,03_hivemind/next_fetch_time_s,04_peers/peer_1_epoch,04_peers/peer_1_samples_per_second,04_peers/peer_2_epoch,04_peers/peer_2_epoch_oos,03_hivemind/per_epoch_training_samples,03_hivemind/estimated_current_samples,03_hivemind/actual_total_samples_per_second,_runtime,03_hivemind/num_clients,04_peers/peer_2_samples_accumulated,03_hivemind/optimistic_total_samples_per_second,03_hivemind/overshot_TBS,_step,03_hivemind/epoch_s,03_hivemind/global_samples_accumulated,_timestamp,03_hivemind/total_training_samples,04_peers/peer_1_samples_accumulated,04_peers/peer_1_epoch_oos,03_hivemind/num_peers,03_hivemind/reached_TBS,03_hivemind/epoch_based_sps,04_peers/peer_2_samples_per_second
0,,30.2,10.0,0.0,235.9,0.0,0.0,,18378,476.49053204406107,80,0,7808.0,476.49053204406107,,33,,18272,1680691494.0,,9920.0,0.0,2,,,239.87
0,,28.97,10.0,0.0,236.63,0.0,0.0,,18947,476.9820462203427,81,0,8096.0,476.9820462203427,,34,,18848,1680691495.0,,10176.0,0.0,2,,,239.86
0,,27.79,10.0,0.0,236.78,0.0,0.0,,19515,476.8263052949395,83,0,8384.0,476.8263052949395,,35,,19424,1680691497.0,,10464.0,0.0,2,,,240.21
0,,26.62,10.0,0.0,236.75,0.0,0.0,,20083,476.5801332185332,84,0,8672.0,476.5801332185332,,36,,20000,1680691498.0,,10752.0,0.0,2,,,240.08
0,,25.43,10.0,0.0,237.15,0.0,0.0,,20652,476.3857054638056,85,0,8960.0,476.3857054638056,,37,,20576,1680691499.0,,11040.0,0.0,2,,,239.43
0,,24.31,9.72,0.0,236.77,0.0,0.0,,21217,475.2250018442969,86,0,9248.0,475.2250018442969,,38,,21152,1680691500.0,,11328.0,0.0,2,,,239.62
0,,23.07,9.23,0.0,236.42,0.0,0.0,,21785,476.0708859846776,87,0,9536.0,476.0708859846776,,39,,21696,1680691501.0,,11616.0,0.0,2,,,238.81
0,,21.88,8.75,0.0,236.24,0.0,0.0,,22352,476.00445936584333,89,0,9824.0,476.00445936584333,,40,,22272,1680691503.0,,11872.0,0.0,2,,,239.83
0,,20.69,8.28,0.0,236.08,0.0,0.0,,22918,475.9721233876064,90,0,10112.0,475.9721233876064,,41,,22848,1680691504.0,,12160.0,0.0,2,,,239.92
0,,19.57,7.83,0.0,236.32,0.0,0.0,,23482,474.5941577429519,91,0,10400.0,474.5941577429519,,42,,23424,1680691505.0,,12448.0,0.0,2,,,239.66
0,,18.43,7.37,0.0,234.93,0.0,0.0,,24046,473.21587695208314,92,0,10688.0,473.21587695208314,,43,,23968,1680691506.0,,12736.0,0.0,2,,,239.66
0,,17.22,6.89,0.0,234.55,0.0,0.0,,24610,473.77181441021685,93,0,10976.0,473.77181441021685,,44,,24544,1680691507.0,,12992.0,0.0,2,,,238.67
0,,15.99,6.4,0.0,235.26,0.0,0.0,,25176,474.7034678376003,95,0,11264.0,474.7034678376003,,45,,25088,1680691509.0,,13280.0,0.0,2,,,238.52
0,,14.86,5.94,0.0,235.93,0.0,0.0,,25738,473.10668346882983,96,0,11520.0,473.10668346882983,,46,,25664,1680691510.0,,13568.0,0.0,2,,,238.77
0,,13.68,5.47,0.0,235.65,0.0,0.0,,26300,472.69368404113095,97,0,11808.0,472.69368404113095,,47,,26240,1680691511.0,,13856.0,0.0,2,,,237.46
0,,12.49,5.0,0.0,235.65,0.0,0.0,,26864,472.536462661948,98,0,12096.0,472.536462661948,,48,,26784,1680691512.0,,14144.0,0.0,2,,,237.05
0,,11.29,4.52,0.0,235.66,0.0,0.0,,27424,473.3486960655332,99,0,12384.0,473.3486960655332,,49,,27360,1680691513.0,,14400.0,0.0,2,,,236.88
0,,10.1,4.04,0.0,235.79,0.0,0.0,,27986,473.50301445816075,101,0,12672.0,473.50301445816075,,50,,27904,1680691515.0,,14688.0,0.0,2,,,237.56
0,,8.92,3.57,0.0,235.97,0.0,0.0,,28547,473.2523414086959,102,0,12928.0,473.2523414086959,,51,,28480,1680691516.0,,14976.0,0.0,2,,,237.53
0,,7.73,3.09,0.0,235.4,0.0,0.0,,29110,473.1689031406272,103,0,13216.0,473.1689031406272,,52,,29024,1680691517.0,,15264.0,0.0,2,,,237.85
0,,6.53,2.61,0.0,235.39,0.0,0.0,,29674,473.63279944409635,104,0,13504.0,473.63279944409635,,53,,29600,1680691518.0,,15520.0,0.0,2,,,237.78
0,,5.34,2.14,0.0,236.02,0.0,0.0,,30238,473.4296107681007,105,0,13792.0,473.4296107681007,,54,,30176,1680691519.0,,15808.0,0.0,2,,,237.61
0,,4.16,1.66,0.0,235.59,0.0,0.0,,30801,472.8336614257448,106,0,14080.0,472.8336614257448,,55,,30752,1680691520.0,,16096.0,0.0,2,,,237.84
0,,2.96,1.18,0.0,235.13,0.0,0.0,,31366,473.83195510439054,108,0,14368.0,473.83195510439054,,56,,31264,1680691522.0,,16384.0,0.0,2,,,237.71
0,,1.77,0.71,0.0,236.46,0.0,0.0,,31930,473.87032458089357,109,0,14624.0,473.87032458089357,,57,,31744,1680691523.0,,16640.0,0.0,2,,,237.37
0,,0.83,0.5,0.0,237.56,0.0,0.0,,32397,447.95234346085994,110,0,14912.0,447.95234346085994,,58,,32320,1680691524.0,,16832.0,0.0,2,,,236.31
0,,0.0,0.5,0.0,211.0,0.0,0.0,,32959,460.93389844032424,111,0,15200.0,460.93389844032424,,59,,32832,1680691525.0,,17120.0,0.0,2,,,236.95
0,,0.0,0.5,0.0,224.68,0.0,0.0,,33507,460.93389844032424,112,0,15456.0,460.93389844032424,,60,,32832,1680691526.0,,17376.0,0.0,2,,,236.26
0,,0.0,0.5,0.0,224.68,0.0,0.0,,34055,460.93389844032424,114,0,15456.0,460.93389844032424,,61,,32832,1680691528.0,,17376.0,0.0,2,,,236.26
0,,0.0,0.5,0.0,224.68,0.0,0.0,,34605,460.93389844032424,115,0,15456.0,460.93389844032424,,62,,32832,1680691529.0,,17376.0,0.0,2,,,236.26
1,,71.78,10.0,0.0,224.68,0.0,0.0,,398,450.98160568825745,116,0,15456.0,450.98160568825745,,63,,352,1680691530.0,,17376.0,0.0,2,,,236.26
1,0.0,75.31,10.0,1.0,220.98,1.0,0.0,32832.0,874,423.531288052057,117,0,192.0,423.531288052057,1.0,64,78.14022797625512,800,1680691531.0,32832.0,160.0,0.0,2,0.0,420.1677017115542,230.0
1,,69.84,10.0,1.0,188.73,1.0,0.0,,1437,448.59284116738263,118,0,448.0,448.59284116738263,,65,,1344,1680691532.0,,352.0,0.0,2,,,234.8
1,,66.57,10.0,1.0,211.4,1.0,0.0,,2001,462.2132178241966,120,0,736.0,462.2132178241966,,66,,1920,1680691534.0,,608.0,0.0,2,,,237.19
1,,64.05,10.0,1.0,224.32,1.0,0.0,,2571,471.4710331669111,121,0,1024.0,471.4710331669111,,67,,2496,1680691535.0,,896.0,0.0,2,,,237.89
1,,68.07,10.0,1.0,232.52,1.0,0.0,,3048,436.5838894074345,122,0,1312.0,436.5838894074345,,68,,2976,1680691536.0,,1184.0,0.0,2,,,238.96
1,,63.49,10.0,1.0,236.37,1.0,0.0,,3617,459.1566748276773,123,0,1504.0,459.1566748276773,,69,,3552,1680691537.0,,1472.0,0.0,2,,,200.21
1,,61.65,10.0,1.0,237.49,1.0,0.0,,4170,463.90415111250684,124,0,1792.0,463.90415111250684,,70,,4096,1680691538.0,,1760.0,0.0,2,,,221.67
1,,71.82,10.0,1.0,232.98,1.0,0.0,,4568,392.6694468744098,126,0,2080.0,392.6694468744098,,71,,4512,1680691540.0,,2016.0,0.0,2,,,230.92
1,,63.54,10.0,1.0,235.95,1.0,0.0,,5139,434.8500005272734,127,0,2208.0,434.8500005272734,,72,,5088,1680691541.0,,2304.0,0.0,2,,,156.72
1,,63.18,10.0,1.0,236.77,1.0,0.0,,5654,429.15209165859056,128,0,2496.0,429.15209165859056,,73,,5568,1680691542.0,,2592.0,0.0,2,,,198.08
1,,58.02,10.0,1.0,210.5,1.0,0.0,,6228,457.47235200791704,129,0,2752.0,457.47235200791704,,74,,6144,1680691543.0,,2816.0,0.0,2,,,218.65
1,,55.47,10.0,1.0,227.78,1.0,0.0,,6795,468.23099420524215,130,0,3040.0,468.23099420524215,,75,,6720,1680691544.0,,3104.0,0.0,2,,,229.69
1,,53.73,10.0,1.0,233.76,1.0,0.0,,7361,472.8226354982911,131,0,3328.0,472.8226354982911,,76,,7296,1680691545.0,,3392.0,0.0,2,,,234.47
1,,52.37,10.0,1.0,236.78,1.0,0.0,,7926,474.40585965691776,133,0,3616.0,474.40585965691776,,77,,7872,1680691547.0,,3680.0,0.0,2,,,236.05
1,,51.09,10.0,1.0,237.54,1.0,0.0,,8489,475.2457205421605,134,0,3904.0,475.2457205421605,,78,,8384,1680691548.0,,3968.0,0.0,2,,,236.87
1,,49.85,10.0,1.0,237.99,1.0,0.0,,9056,475.7145400965628,135,0,4160.0,475.7145400965628,,79,,8960,1680691549.0,,4224.0,0.0,2,,,237.26
1,,51.44,10.0,1.0,238.37,1.0,0.0,,9574,450.8782482444856,136,0,4448.0,450.8782482444856,,80,,9504,1680691550.0,,4512.0,0.0,2,,,237.34
1,,48.73,10.0,1.0,232.95,1.0,0.0,,10138,464.4249738235311,137,0,4704.0,464.4249738235311,,81,,10080,1680691551.0,,4800.0,0.0,2,,,217.93
1,,46.84,10.0,1.0,235.11,1.0,0.0,,10703,471.05747471089444,139,0,4992.0,471.05747471089444,,82,,10656,1680691553.0,,5088.0,0.0,2,,,229.32
1,,45.44,10.0,1.0,237.29,1.0,0.0,,11267,473.1293527111618,140,0,5280.0,473.1293527111618,,83,,11168,1680691554.0,,5376.0,0.0,2,,,233.77
1,,44.19,10.0,1.0,237.69,1.0,0.0,,11828,473.8778499551864,141,0,5536.0,473.8778499551864,,84,,11744,1680691555.0,,5632.0,0.0,2,,,235.44
1,,42.88,10.0,1.0,237.38,1.0,0.0,,12395,475.12932987978695,142,0,5824.0,475.12932987978695,,85,,12320,1680691556.0,,5920.0,0.0,2,,,236.49
1,,41.7,10.0,1.0,237.72,1.0,0.0,,12961,474.9965263972749,143,0,6112.0,474.9965263972749,,86,,12896,1680691557.0,,6208.0,0.0,2,,,237.41
