03_hivemind/estimated_current_samples,03_hivemind/optimistic_total_samples_per_second,03_hivemind/num_peers,03_hivemind/global_samples_accumulated,_step,03_hivemind/eta_next_epoch_s,_runtime,03_hivemind/global_epoch,03_hivemind/next_fetch_time_s,03_hivemind/actual_total_samples_per_second,_timestamp,03_hivemind/num_clients,04_peers/peer_1_samples_accumulated,04_peers/peer_3_samples_per_second,04_peers/peer_2_samples_accumulated,04_peers/peer_4_samples_per_second,04_peers/peer_4_samples_accumulated,04_peers/peer_1_epoch,04_peers/peer_2_epoch,04_peers/peer_3_epoch_oos,04_peers/peer_3_epoch,04_peers/peer_4_epoch,04_peers/peer_3_samples_accumulated,04_peers/peer_2_epoch_oos,04_peers/peer_2_samples_per_second,04_peers/peer_1_samples_per_second,04_peers/peer_1_epoch_oos,04_peers/peer_4_epoch_oos,04_peers/peer_5_samples_per_second,04_peers/peer_5_samples_accumulated,04_peers/peer_5_epoch,04_peers/peer_5_epoch_oos,04_peers/peer_6_samples_accumulated,04_peers/peer_6_samples_per_second,04_peers/peer_6_epoch,04_peers/peer_6_epoch_oos,04_peers/peer_7_epoch,04_peers/peer_7_samples_per_second,04_peers/peer_7_samples_accumulated,04_peers/peer_7_epoch_oos,04_peers/peer_8_samples_per_second,04_peers/peer_8_samples_accumulated,04_peers/peer_8_epoch,04_peers/peer_8_epoch_oos,04_peers/peer_9_epoch,04_peers/peer_9_samples_accumulated,04_peers/peer_9_samples_per_second,04_peers/peer_9_epoch_oos,03_hivemind/epoch_s,03_hivemind/undershot_TBS,03_hivemind/total_training_samples,03_hivemind/per_epoch_training_samples,03_hivemind/reached_TBS,03_hivemind/epoch_based_sps,03_hivemind/overshot_TBS
33994,2225.7568329667797,9,33056,14,0.0,104,0,0.5,2225.7568329667797,1683054436,0,4896.0,252.35,4800.0,253.78,4640.0,0.0,0.0,0.0,0.0,0.0,4672.0,0.0,254.12,252.81,0.0,0.0,254.5,4224.0,0.0,0.0,2848.0,250.72,0.0,0.0,0.0,241.3,1600.0,0.0,218.82,1216.0,0.0,0.0,0.0,864.0,160.04,0.0,,,,,,,
37330,2231.9006250192556,9,33888,15,0.0,106,0,0.5,2231.9006250192556,1683054438,0,5248.0,252.31,5184.0,253.91,5024.0,0.0,0.0,0.0,0.0,0.0,5056.0,0.0,253.54,252.68,0.0,0.0,254.16,4576.0,0.0,0.0,3232.0,251.59,0.0,0.0,0.0,244.67,1920.0,0.0,239.73,1568.0,0.0,0.0,0.0,1248.0,223.17,0.0,,,,,,,
40466,2231.9006250192556,9,33888,16,0.0,107,0,0.5,2231.9006250192556,1683054439,0,5408.0,252.54,5312.0,254.07,5152.0,0.0,0.0,0.0,0.0,0.0,5184.0,0.0,253.43,252.83,0.0,0.0,254.31,4704.0,0.0,0.0,3328.0,251.75,0.0,0.0,0.0,244.67,1920.0,0.0,239.73,1568.0,0.0,0.0,0.0,1312.0,228.57,0.0,,,,,,,
43608,2231.9006250192556,9,33888,17,0.0,109,0,0.5,2231.9006250192556,1683054441,0,5408.0,252.54,5312.0,254.07,5152.0,0.0,0.0,0.0,0.0,0.0,5184.0,0.0,253.43,252.83,0.0,0.0,254.31,4704.0,0.0,0.0,3328.0,251.75,0.0,0.0,0.0,244.67,1920.0,0.0,239.73,1568.0,0.0,0.0,0.0,1312.0,228.57,0.0,,,,,,,
46780,2231.9006250192556,9,33888,18,0.0,110,0,0.5,2231.9006250192556,1683054442,0,5408.0,252.54,5312.0,254.07,5152.0,0.0,0.0,0.0,0.0,0.0,5184.0,0.0,253.43,252.83,0.0,0.0,254.31,4704.0,0.0,0.0,3328.0,251.75,0.0,0.0,0.0,244.67,1920.0,0.0,239.73,1568.0,0.0,0.0,0.0,1312.0,228.57,0.0,,,,,,,
49931,2231.9006250192556,9,33888,19,0.0,112,0,0.5,2231.9006250192556,1683054444,0,5408.0,252.54,5312.0,254.07,5152.0,0.0,0.0,0.0,0.0,0.0,5184.0,0.0,253.43,252.83,0.0,0.0,254.31,4704.0,0.0,0.0,3328.0,251.75,0.0,0.0,0.0,244.67,1920.0,0.0,239.73,1568.0,0.0,0.0,0.0,1312.0,228.57,0.0,,,,,,,
53080,2231.9006250192556,9,33888,20,0.0,113,0,0.5,2231.9006250192556,1683054445,0,5408.0,252.54,5312.0,254.07,5152.0,0.0,0.0,0.0,0.0,0.0,5184.0,0.0,253.43,252.83,0.0,0.0,254.31,4704.0,0.0,0.0,3328.0,251.75,0.0,0.0,0.0,244.67,1920.0,0.0,239.73,1568.0,0.0,0.0,0.0,1312.0,228.57,0.0,,,,,,,
56240,2231.9006250192556,9,33888,21,0.0,114,0,0.5,2231.9006250192556,1683054446,0,5408.0,252.54,5312.0,254.07,5152.0,0.0,0.0,0.0,0.0,0.0,5184.0,0.0,253.43,252.83,0.0,0.0,254.31,4704.0,0.0,0.0,3328.0,251.75,0.0,0.0,0.0,244.67,1920.0,0.0,239.73,1568.0,0.0,0.0,0.0,1312.0,228.57,0.0,,,,,,,
59379,2231.9006250192556,9,33888,22,0.0,116,0,0.5,2231.9006250192556,1683054448,0,5408.0,252.54,5312.0,254.07,5152.0,0.0,0.0,0.0,0.0,0.0,5184.0,0.0,253.43,252.83,0.0,0.0,254.31,4704.0,0.0,0.0,3328.0,251.75,0.0,0.0,0.0,244.67,1920.0,0.0,239.73,1568.0,0.0,0.0,0.0,1312.0,228.57,0.0,,,,,,,
62527,2231.9006250192556,9,33888,23,0.0,117,0,0.5,2231.9006250192556,1683054449,0,5408.0,252.54,5312.0,254.07,5152.0,0.0,0.0,0.0,0.0,0.0,5184.0,0.0,253.43,252.83,0.0,0.0,254.31,4704.0,0.0,0.0,3328.0,251.75,0.0,0.0,0.0,244.67,1920.0,0.0,239.73,1568.0,0.0,0.0,0.0,1312.0,228.57,0.0,,,,,,,
65677,2231.9006250192556,9,33888,24,0.0,119,0,0.5,2231.9006250192556,1683054451,0,5408.0,252.54,5312.0,254.07,5152.0,0.0,0.0,0.0,0.0,0.0,5184.0,0.0,253.43,252.83,0.0,0.0,254.31,4704.0,0.0,0.0,3328.0,251.75,0.0,0.0,0.0,244.67,1920.0,0.0,239.73,1568.0,0.0,0.0,0.0,1312.0,228.57,0.0,,,,,,,
68828,2231.9006250192556,9,33888,25,0.0,120,0,0.5,2231.9006250192556,1683054452,0,5408.0,252.54,5312.0,254.07,5152.0,0.0,0.0,0.0,0.0,0.0,5184.0,0.0,253.43,252.83,0.0,0.0,254.31,4704.0,0.0,0.0,3328.0,251.75,0.0,0.0,0.0,244.67,1920.0,0.0,239.73,1568.0,0.0,0.0,0.0,1312.0,228.57,0.0,,,,,,,
71956,2231.9006250192556,9,33888,26,0.0,121,0,0.5,2231.9006250192556,1683054453,0,5408.0,252.54,5312.0,254.07,5152.0,0.0,0.0,0.0,0.0,0.0,5184.0,0.0,253.43,252.83,0.0,0.0,254.31,4704.0,0.0,0.0,3328.0,251.75,0.0,0.0,0.0,244.67,1920.0,0.0,239.73,1568.0,0.0,0.0,0.0,1312.0,228.57,0.0,,,,,,,
75096,2231.9006250192556,9,33888,27,0.0,123,0,0.5,2231.9006250192556,1683054455,0,5408.0,252.54,5312.0,254.07,5152.0,0.0,0.0,0.0,0.0,0.0,5184.0,0.0,253.43,252.83,0.0,0.0,254.31,4704.0,0.0,0.0,3328.0,251.75,0.0,0.0,0.0,244.67,1920.0,0.0,239.73,1568.0,0.0,0.0,0.0,1312.0,228.57,0.0,,,,,,,
78239,2231.9006250192556,9,33888,28,0.0,124,0,0.5,2231.9006250192556,1683054456,0,5408.0,252.54,5312.0,254.07,5152.0,0.0,0.0,0.0,0.0,0.0,5184.0,0.0,253.43,252.83,0.0,0.0,254.31,4704.0,0.0,0.0,3328.0,251.75,0.0,0.0,0.0,244.67,1920.0,0.0,239.73,1568.0,0.0,0.0,0.0,1312.0,228.57,0.0,,,,,,,
81378,2231.9006250192556,9,33888,29,0.0,126,0,0.5,2231.9006250192556,1683054458,0,5408.0,252.54,5312.0,254.07,5152.0,0.0,0.0,0.0,0.0,0.0,5184.0,0.0,253.43,252.83,0.0,0.0,254.31,4704.0,0.0,0.0,3328.0,251.75,0.0,0.0,0.0,244.67,1920.0,0.0,239.73,1568.0,0.0,0.0,0.0,1312.0,228.57,0.0,,,,,,,
84537,2231.9006250192556,9,33888,30,0.0,127,0,0.5,2231.9006250192556,1683054459,0,5408.0,252.54,5312.0,254.07,5152.0,0.0,0.0,0.0,0.0,0.0,5184.0,0.0,253.43,252.83,0.0,0.0,254.31,4704.0,0.0,0.0,3328.0,251.75,0.0,0.0,0.0,244.67,1920.0,0.0,239.73,1568.0,0.0,0.0,0.0,1312.0,228.57,0.0,,,,,,,
87684,2231.9006250192556,9,33888,31,0.0,128,0,0.5,2231.9006250192556,1683054460,0,5408.0,252.54,5312.0,254.07,5152.0,0.0,0.0,0.0,0.0,0.0,5184.0,0.0,253.43,252.83,0.0,0.0,254.31,4704.0,0.0,0.0,3328.0,251.75,0.0,0.0,0.0,244.67,1920.0,0.0,239.73,1568.0,0.0,0.0,0.0,1312.0,228.57,0.0,,,,,,,
90818,2231.9006250192556,9,33888,32,0.0,130,0,0.5,2231.9006250192556,1683054462,0,5408.0,252.54,5312.0,254.07,5152.0,0.0,0.0,0.0,0.0,0.0,5184.0,0.0,253.43,252.83,0.0,0.0,254.31,4704.0,0.0,0.0,3328.0,251.75,0.0,0.0,0.0,244.67,1920.0,0.0,239.73,1568.0,0.0,0.0,0.0,1312.0,228.57,0.0,,,,,,,
93971,2231.9006250192556,9,33888,33,0.0,131,0,0.5,2231.9006250192556,1683054463,0,5408.0,252.54,5312.0,254.07,5152.0,0.0,0.0,0.0,0.0,0.0,5184.0,0.0,253.43,252.83,0.0,0.0,254.31,4704.0,0.0,0.0,3328.0,251.75,0.0,0.0,0.0,244.67,1920.0,0.0,239.73,1568.0,0.0,0.0,0.0,1312.0,228.57,0.0,,,,,,,
97110,2231.9006250192556,9,33888,34,0.0,133,0,0.5,2231.9006250192556,1683054465,0,5408.0,252.54,5312.0,254.07,5152.0,0.0,0.0,0.0,0.0,0.0,5184.0,0.0,253.43,252.83,0.0,0.0,254.31,4704.0,0.0,0.0,3328.0,251.75,0.0,0.0,0.0,244.67,1920.0,0.0,239.73,1568.0,0.0,0.0,0.0,1312.0,228.57,0.0,,,,,,,
100537,2231.9006250192556,9,33888,35,0.0,134,0,0.5,2231.9006250192556,1683054466,0,5408.0,252.54,5312.0,254.07,5152.0,0.0,0.0,0.0,0.0,0.0,5184.0,0.0,253.43,252.83,0.0,0.0,254.31,4704.0,0.0,0.0,3328.0,251.75,0.0,0.0,0.0,244.67,1920.0,0.0,239.73,1568.0,0.0,0.0,0.0,1312.0,228.57,0.0,,,,,,,
103678,2231.9006250192556,9,33888,36,0.0,136,0,0.5,2231.9006250192556,1683054468,0,5408.0,252.54,5312.0,254.07,5152.0,0.0,0.0,0.0,0.0,0.0,5184.0,0.0,253.43,252.83,0.0,0.0,254.31,4704.0,0.0,0.0,3328.0,251.75,0.0,0.0,0.0,244.67,1920.0,0.0,239.73,1568.0,0.0,0.0,0.0,1312.0,228.57,0.0,,,,,,,
107112,2231.9006250192556,9,33888,37,0.0,137,0,0.5,2231.9006250192556,1683054469,0,5408.0,252.54,5312.0,254.07,5152.0,0.0,0.0,0.0,0.0,0.0,5184.0,0.0,253.43,252.83,0.0,0.0,254.31,4704.0,0.0,0.0,3328.0,251.75,0.0,0.0,0.0,244.67,1920.0,0.0,239.73,1568.0,0.0,0.0,0.0,1312.0,228.57,0.0,,,,,,,
110549,2231.9006250192556,9,33888,38,0.0,139,0,0.5,2231.9006250192556,1683054471,0,5408.0,252.54,5312.0,254.07,5152.0,0.0,0.0,0.0,0.0,0.0,5184.0,0.0,253.43,252.83,0.0,0.0,254.31,4704.0,0.0,0.0,3328.0,251.75,0.0,0.0,0.0,244.67,1920.0,0.0,239.73,1568.0,0.0,0.0,0.0,1312.0,228.57,0.0,,,,,,,
113686,2231.9006250192556,9,33888,39,0.0,140,0,0.5,2231.9006250192556,1683054472,0,5408.0,252.54,5312.0,254.07,5152.0,0.0,0.0,0.0,0.0,0.0,5184.0,0.0,253.43,252.83,0.0,0.0,254.31,4704.0,0.0,0.0,3328.0,251.75,0.0,0.0,0.0,244.67,1920.0,0.0,239.73,1568.0,0.0,0.0,0.0,1312.0,228.57,0.0,,,,,,,
116844,2231.9006250192556,9,33888,40,0.0,142,0,0.5,2231.9006250192556,1683054474,0,5408.0,252.54,5312.0,254.07,5152.0,0.0,0.0,0.0,0.0,0.0,5184.0,0.0,253.43,252.83,0.0,0.0,254.31,4704.0,0.0,0.0,3328.0,251.75,0.0,0.0,0.0,244.67,1920.0,0.0,239.73,1568.0,0.0,0.0,0.0,1312.0,228.57,0.0,,,,,,,
119979,2231.9006250192556,9,33888,41,0.0,143,0,0.5,2231.9006250192556,1683054475,0,5408.0,252.54,5312.0,254.07,5152.0,0.0,0.0,0.0,0.0,0.0,5184.0,0.0,253.43,252.83,0.0,0.0,254.31,4704.0,0.0,0.0,3328.0,251.75,0.0,0.0,0.0,244.67,1920.0,0.0,239.73,1568.0,0.0,0.0,0.0,1312.0,228.57,0.0,,,,,,,
123102,2231.9006250192556,9,33888,42,0.0,144,0,0.5,2231.9006250192556,1683054476,0,5408.0,252.54,5312.0,254.07,5152.0,0.0,0.0,0.0,0.0,0.0,5184.0,0.0,253.43,252.83,0.0,0.0,254.31,4704.0,0.0,0.0,3328.0,251.75,0.0,0.0,0.0,244.67,1920.0,0.0,239.73,1568.0,0.0,0.0,0.0,1312.0,228.57,0.0,,,,,,,
126238,2231.9006250192556,9,33888,43,0.0,146,0,0.5,2231.9006250192556,1683054478,0,5408.0,252.54,5312.0,254.07,5152.0,0.0,0.0,0.0,0.0,0.0,5184.0,0.0,253.43,252.83,0.0,0.0,254.31,4704.0,0.0,0.0,3328.0,251.75,0.0,0.0,0.0,244.67,1920.0,0.0,239.73,1568.0,0.0,0.0,0.0,1312.0,228.57,0.0,,,,,,,
129372,2231.9006250192556,9,33888,44,0.0,147,0,0.5,2231.9006250192556,1683054479,0,5408.0,252.54,5312.0,254.07,5152.0,0.0,0.0,0.0,0.0,0.0,5184.0,0.0,253.43,252.83,0.0,0.0,254.31,4704.0,0.0,0.0,3328.0,251.75,0.0,0.0,0.0,244.67,1920.0,0.0,239.73,1568.0,0.0,0.0,0.0,1312.0,228.57,0.0,,,,,,,
132530,2231.9006250192556,9,33888,45,0.0,149,0,0.5,2231.9006250192556,1683054481,0,5408.0,252.54,5312.0,254.07,5152.0,0.0,0.0,0.0,0.0,0.0,5184.0,0.0,253.43,252.83,0.0,0.0,254.31,4704.0,0.0,0.0,3328.0,251.75,0.0,0.0,0.0,244.67,1920.0,0.0,239.73,1568.0,0.0,0.0,0.0,1312.0,228.57,0.0,,,,,,,
135665,2231.9006250192556,9,33888,46,0.0,150,0,0.5,2231.9006250192556,1683054482,0,5408.0,252.54,5312.0,254.07,5152.0,0.0,0.0,0.0,0.0,0.0,5184.0,0.0,253.43,252.83,0.0,0.0,254.31,4704.0,0.0,0.0,3328.0,251.75,0.0,0.0,0.0,244.67,1920.0,0.0,239.73,1568.0,0.0,0.0,0.0,1312.0,228.57,0.0,,,,,,,
138820,2231.9006250192556,9,33888,47,0.0,151,0,0.5,2231.9006250192556,1683054483,0,5408.0,252.54,5312.0,254.07,5152.0,0.0,0.0,0.0,0.0,0.0,5184.0,0.0,253.43,252.83,0.0,0.0,254.31,4704.0,0.0,0.0,3328.0,251.75,0.0,0.0,0.0,244.67,1920.0,0.0,239.73,1568.0,0.0,0.0,0.0,1312.0,228.57,0.0,,,,,,,
141951,2231.9006250192556,9,33888,48,0.0,153,0,0.5,2231.9006250192556,1683054485,0,5408.0,252.54,5312.0,254.07,5152.0,0.0,0.0,0.0,0.0,0.0,5184.0,0.0,253.43,252.83,0.0,0.0,254.31,4704.0,0.0,0.0,3328.0,251.75,0.0,0.0,0.0,244.67,1920.0,0.0,239.73,1568.0,0.0,0.0,0.0,1312.0,228.57,0.0,,,,,,,
