04_peers/peer_2_samples_accumulated,03_hivemind/epoch_s,04_peers/peer_1_samples_accumulated,03_hivemind/estimated_current_samples,03_hivemind/optimistic_total_samples_per_second,03_hivemind/total_training_samples,04_peers/peer_2_samples_per_second,04_peers/peer_2_epoch_oos,03_hivemind/eta_next_epoch_s,03_hivemind/actual_total_samples_per_second,_timestamp,04_peers/peer_1_epoch,04_peers/peer_2_epoch,03_hivemind/num_clients,03_hivemind/global_epoch,_runtime,03_hivemind/num_peers,04_peers/peer_1_samples_per_second,03_hivemind/global_samples_accumulated,_step,03_hivemind/next_fetch_time_s,03_hivemind/per_epoch_training_samples,04_peers/peer_1_epoch_oos,03_hivemind/reached_TBS,03_hivemind/overshot_TBS,03_hivemind/undershot_TBS,03_hivemind/epoch_based_sps
2368.0,,3040.0,5693,180.79473716360422,,92.69,0.0,149.76,180.79473716360422,1681402536.0,0.0,0.0,0,0,66,2,88.05,5600,29,10.0,,0.0,,,,
2464.0,,3136.0,5907,180.74370132802028,,92.78,0.0,148.62,180.74370132802028,1681402538.0,0.0,0.0,0,0,68,2,88.02,5824,30,10.0,,0.0,,,,
2592.0,,3232.0,6120,180.54035712513917,,92.83,0.0,147.6,180.54035712513917,1681402539.0,0.0,0.0,0,0,69,2,87.92,6016,31,10.0,,0.0,,,,
2688.0,,3328.0,6333,180.31115150349703,,92.88,0.0,146.61,180.31115150349703,1681402540.0,0.0,0.0,0,0,70,2,87.66,6272,32,10.0,,0.0,,,,
2816.0,,3456.0,6546,180.11965075725612,,92.86,0.0,145.58,180.11965075725612,1681402541.0,0.0,0.0,0,0,71,2,87.45,6464,33,10.0,,0.0,,,,
2912.0,,3552.0,6760,180.05943080741633,,92.82,0.0,144.44,180.05943080741633,1681402542.0,0.0,0.0,0,0,72,2,87.3,6656,34,10.0,,0.0,,,,
3008.0,,3648.0,6974,180.09075922590384,,92.8,0.0,143.23,180.09075922590384,1681402544.0,0.0,0.0,0,0,74,2,87.26,6880,35,10.0,,0.0,,,,
3136.0,,3744.0,7189,180.11991835507263,,92.77,0.0,142.01,180.11991835507263,1681402545.0,0.0,0.0,0,0,75,2,87.32,7104,36,10.0,,0.0,,,,
3232.0,,3872.0,7403,180.18013089322864,,92.76,0.0,140.78,180.18013089322864,1681402546.0,0.0,0.0,0,0,76,2,87.36,7328,37,10.0,,0.0,,,,
3360.0,,3968.0,7618,180.32985079974836,,92.78,0.0,139.47,180.32985079974836,1681402547.0,0.0,0.0,0,0,77,2,87.4,7520,38,10.0,,0.0,,,,
3456.0,,4064.0,7831,180.163715553969,,92.94,0.0,138.41,180.163715553969,1681402548.0,0.0,0.0,0,0,78,2,87.39,7744,39,10.0,,0.0,,,,
3584.0,,4160.0,8044,180.09220886808518,,92.89,0.0,137.29,180.09220886808518,1681402549.0,0.0,0.0,0,0,79,2,87.27,7968,40,10.0,,0.0,,,,
3680.0,,4288.0,8257,180.04785830434224,,92.89,0.0,136.13,180.04785830434224,1681402551.0,0.0,0.0,0,0,81,2,87.2,8192,41,10.0,,0.0,,,,
3808.0,,4384.0,8470,179.97973817655605,,92.91,0.0,135.0,179.97973817655605,1681402552.0,0.0,0.0,0,0,82,2,87.14,8384,42,10.0,,0.0,,,,
