cpu/load/avg_sys_load_five_min_percent,disk/counter/disk_write_sys_count,_runtime,cpu/interrupts/interrupts_count,01_general/step_based_sps,disk/time/disk_read_time_sys_s,process/memory/text_resident_set_proc_MB,cpu/load/avg_sys_load_fifteen_min_percent,cpu/interrupts/soft_interrupts_count,cpu/load/avg_sys_load_one_min_percent,bandwidth/disk_read_sys_bandwidth_MBs,process/memory/dirty_pages_proc_count,process/memory/data_resident_set_proc_MB,01_general/locally_processed_samples,disk/time/disk_write_time_sys_s,process/voluntary_proc_ctx_switches,process/memory/virtual_memory_size_proc_MB,02_timing/dataload_time_s,02_timing/loss_calc_time_s,01_general/dataset_iteration_count,memory/total_memory_sys_MB,01_general/step,memory/used_memory_sys_MB,02_timing/step_time_s,bandwidth/disk_write_sys_bandwidth_MBs,02_timing/forward_time_s,process/memory/lib_memory_proc_MB,_timestamp,cpu/logical_core_count,process/involuntary_proc_ctx_switches,memory/used_memory_sys_percent,disk/time/disk_busy_time_sys_s,process/memory/shared_memory_proc_MB,02_timing/backward_time_s,cpu/interrupts/ctx_switches_count,disk/counter/disk_read_sys_count,_step,bandwidth/net_sent_sys_bandwidth_Mbits,02_timing/opt_step_time_s,bandwidth/net_recv_sys_bandwidth_Mbits,01_general/minibatch_loss,memory/available_memory_sys_MB,process/memory/resident_set_size_proc_MB,02_timing/dataload_cuda_move_time_s,01_general/lr
17.625,27.0,13,26810.0,,0.0019999999999988916,2.654208,11.5,17056.0,18.375,0.0,0.0,0.0,,0.027000000000043656,6062.0,25411.44064,,,,,,4177.453056,,0.02040908915056155,,3600.175104,1696164819.0,,42.0,14.8,0.10800000000000409,975.826944,,17984.0,1.0,15,0.0,,0.0,,26880.49152,3704.500224,0.0024646620001931296,
,,13,,46.955578432195786,,,,,,,,,24.0,,,,0.002994569000065894,0.0006605149999359128,0.0,,2.0,,0.17037379299995337,,0.1346943819999069,,1696164819.0,,,,,,0.029557503999967594,,,16,,2.1609998839267064e-06,,2.1876306533813477,,,,0.0001
,,13,,44.8559426450784,,,,,,,,,32.0,,,,0.0021048379999228928,0.0006888009997965128,0.0,,3.0,,0.1783487210000203,,0.14439945800017995,,1696164819.0,,,,,,0.02875079199998254,,,17,,3.0310000056488207e-06,,2.348379373550415,,,0.002401801000132764,0.0001
17.625,30.0,14,28634.0,,0.0019999999999988916,2.654208,11.5,17755.0,18.375,0.0,0.0,0.0,,0.03000000000020009,6083.0,25403.748352,,0.0007770370000343974,,,,4174.815232,,0.012257119790731918,0.1371335100000124,3600.175104,1696164820.0,,44.0,14.8,0.12400000000000944,972.345344,0.036424387000124625,18699.0,1.0,18,0.05735949027117272,2.097999868055922e-06,0.01110801481142811,,26883.489792,3701.149696,0.0025149630000669276,
,,14,,44.558388412596166,,,,,,,,,40.0,,,,0.0026877120001245203,,0.0,,4.0,,0.17953970700023092,,,,1696164820.0,,,,,,,,,19,,,,2.147081136703491,,,,0.0001
,,14,,15.9426910952977,,,,,,,,,48.0,,,,0.3343697669999983,0.0008021959999950923,0.0,,5.0,,0.5017973409997012,,0.13681189399994764,,1696164820.0,,,,,,0.0273930680000376,,,20,,2.3979998786671786e-06,,2.293704032897949,,,0.002418017999843869,0.0001
17.875,33.0,15,30575.0,,0.0019999999999988916,2.654208,11.625,18437.0,20.0,0.0,0.0,0.0,,0.03300000000035652,6098.0,25403.748352,,,,,,4172.374016,,0.012247074260411448,,3600.175104,1696164821.0,,45.0,14.8,0.1360000000000099,972.345344,,19952.0,1.0,21,0.0,,0.0,,26885.50912,3701.161984,0.002466266000055839,
,,15,,46.33483733503574,,,,,,,,,56.0,,,,0.0026160820000313834,0.0007206089999272081,0.0,,6.0,,0.17265626600033102,,0.13868107100006455,,1696164821.0,,,,,,0.02816908400018292,,,22,,3.1540000691165915e-06,,2.159856081008911,,,,0.0001
,,16,,19.812033039364376,,,,,,,,,64.0,,,,0.22822568399988086,0.0007374849999450817,0.0,,7.0,,0.40379500599988205,,0.13812549199997193,,1696164822.0,,,,,,0.03427095699998972,,,23,,2.641000037328922e-06,,2.0739986896514893,,,0.002432747000057134,0.0001
17.875,37.0,16,32627.0,,0.0019999999999988916,2.654208,11.625,19241.0,20.0,0.0,0.0,0.0,,0.03600000000005821,6119.0,25403.748352,,,,,,4170.821632,,0.016328710648856406,,3600.175104,1696164822.0,,45.0,14.8,0.15200000000000102,972.345344,,21241.0,1.0,24,0.075297042657881,,0.00979084798709549,,26887.053312,3701.16608,0.0025354919998790137,
