cpu/logical_core_count,bandwidth/disk_read_sys_bandwidth_MBs,bandwidth/disk_write_sys_bandwidth_MBs,_runtime,_timestamp,01_general/lr,01_general/step,memory/total_memory_sys_MB,process/memory/lib_memory_proc_MB,bandwidth/net_sent_sys_bandwidth_Mbits,disk/counter/disk_write_sys_count,cpu/load/avg_sys_load_five_min_percent,02_timing/forward_time_s,02_timing/backward_time_s,02_timing/dataload_time_s,cpu/interrupts/interrupts_count,disk/counter/disk_read_sys_count,cpu/interrupts/ctx_switches_count,process/memory/text_resident_set_proc_MB,memory/used_memory_sys_MB,02_timing/loss_calc_time_s,01_general/dataset_iteration_count,bandwidth/net_recv_sys_bandwidth_Mbits,process/memory/data_resident_set_proc_MB,cpu/load/avg_sys_load_fifteen_min_percent,disk/time/disk_busy_time_sys_s,memory/used_memory_sys_percent,02_timing/dataload_cuda_move_time_s,cpu/load/avg_sys_load_one_min_percent,process/memory/resident_set_size_proc_MB,01_general/locally_processed_samples,cpu/interrupts/soft_interrupts_count,_step,02_timing/step_time_s,01_general/minibatch_loss,01_general/step_based_sps,disk/time/disk_read_time_sys_s,disk/time/disk_write_time_sys_s,process/memory/virtual_memory_size_proc_MB,process/memory/dirty_pages_proc_count,02_timing/opt_step_time_s,memory/available_memory_sys_MB,process/voluntary_proc_ctx_switches,process/memory/shared_memory_proc_MB,process/involuntary_proc_ctx_switches
30.0,,,0,1680630072.0,,,211076.599808,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,
,0.0,0.0,0,1680630072.0,,,,2481.025024,0.0,0.0,4.333333333333334,,,,16.0,0.0,25.0,2.719744,1198.911488,,,0.0,0.0,5.333333333333334,0.0,1.4,,1.0666666666666667,395.231232,,0.0,1,,,,0.0,0.0,9963.126784,0.0,,208129.134592,132.0,178.917376,49.0
,0.0,0.012261890554286238,1,1680630073.0,,,,2490.351616,0.34061871500778074,3.0,4.333333333333334,,,,978.0,0.0,1213.0,2.719744,1202.8928,,,0.4844245070686626,0.0,5.333333333333334,0.007999999999981355,1.4,,1.0666666666666667,396.374016,,688.0,2,,,,0.0,0.0009999999999763531,10039.435264,0.0,,208125.15328,168.0,179.314688,51.0
,0.0,0.004086750423757992,2,1680630074.0,,,,2490.363904,0.058292067123412845,4.0,4.266666666666667,,,,1371.0,0.0,1752.0,2.719744,1202.884608,,,0.18143735150515414,0.0,5.300000000000001,0.012000000000000455,1.4,,0.9666666666666666,396.427264,,1019.0,3,,,,0.0,0.0009999999999763531,10039.435264,0.0,,208125.165568,187.0,179.314688,51.0
,0.0,0.43320801448884366,3,1680630075.0,,,,2505.969664,0.2237560263502391,78.0,4.266666666666667,,,,2479.0,0.0,2738.0,2.719744,1211.22816,,,42.45815300094823,0.0,5.300000000000001,0.01999999999998181,1.4,,0.9666666666666666,411.828224,,2291.0,4,,,,0.0,0.01599999999996271,10055.036928,0.0,,208116.801536,360.0,179.314688,52.0
,0.0,0.23704911821719574,4,1680630076.0,,,,2505.969664,0.0761133937956324,81.0,4.266666666666667,,,,2836.0,0.0,3180.0,2.719744,1211.219968,,,0.29956028626767434,0.0,5.300000000000001,0.02800000000002001,1.4,,0.9666666666666666,411.828224,,2570.0,5,,,,0.0,0.01799999999997226,10055.036928,0.0,,208116.801536,371.0,179.314688,52.0
,0.0,0.004087103347201973,5,1680630077.0,,,,2510.016512,0.4241247814506555,82.0,4.266666666666667,,,,4649.0,0.0,4462.0,2.719744,1217.86368,,,75.94926854675732,0.0,5.300000000000001,0.031999999999982265,1.4,,0.9666666666666666,415.875072,,5135.0,6,,,,0.0,0.01799999999997226,10059.083776,0.0,,208110.16192,749.0,179.314688,52.0
,0.0,0.004087061537660984,6,1680630078.0,,,,2794.881024,0.08164544030940407,83.0,4.266666666666667,,,,5229.0,0.0,5181.0,2.719744,1501.192192,,,0.12800804455305692,0.0,5.300000000000001,0.036000000000001364,1.5,,0.9666666666666666,701.087744,,5414.0,7,,,,0.0,0.01799999999997226,10343.948288,0.0,,207826.837504,763.0,181.08416,54.0
,0.0,0.004087115994724335,7,1680630079.0,,,,2794.881024,0.06285537365125024,84.0,4.166666666666666,,,,5616.0,0.0,5676.0,2.719744,1501.192192,,,0.19698781510345978,0.0,5.266666666666667,0.04399999999998272,1.5,,0.9000000000000001,701.087744,,5760.0,8,,,,0.0,0.019000000000005457,10343.948288,0.0,,207826.837504,782.0,181.08416,61.0
,0.0,0.0040865822475285455,8,1680630080.0,,,,4042.625024,0.0038630972839860276,85.0,4.166666666666666,,,,6163.0,0.0,6203.0,2.719744,2013.671424,,,0.00927462612720833,0.0,5.266666666666667,0.04800000000000182,1.8,,0.9000000000000001,1222.725632,,5926.0,9,,,,0.0,0.019000000000005457,11591.692288,0.0,,207314.354176,784.0,182.39488,61.0
