04_peers/peer_1_epoch_oos,03_hivemind/total_training_samples,03_hivemind/actual_total_samples_per_second,04_peers/peer_1_samples_per_second,03_hivemind/epoch_s,03_hivemind/num_peers,03_hivemind/reached_TBS,03_hivemind/global_epoch,03_hivemind/overshot_TBS,04_peers/peer_2_samples_per_second,04_peers/peer_2_samples_accumulated,04_peers/peer_1_epoch,03_hivemind/num_clients,03_hivemind/epoch_based_sps,03_hivemind/global_samples_accumulated,_step,03_hivemind/undershot_TBS,03_hivemind/per_epoch_training_samples,_runtime,03_hivemind/optimistic_total_samples_per_second,_timestamp,04_peers/peer_2_epoch_oos,04_peers/peer_1_samples_accumulated,04_peers/peer_2_epoch,03_hivemind/next_fetch_time_s,03_hivemind/eta_next_epoch_s,03_hivemind/estimated_current_samples
0.0,,1947.7488246542093,1167.57,,2,,2,,1095.72,3168.0,2.0,0,,8960,31,,,77,1947.7488246542093,1683032326.0,0.0,3648.0,2.0,4.84,12.1,9195
0.0,,2180.9470170285877,687.61,,2,,2,,1260.14,4512.0,2.0,0,,11200,32,,,78,2180.9470170285877,1683032327.0,0.0,4448.0,2.0,3.92,9.79,11413
0.0,,1106.8885808789767,1201.66,,2,,2,,979.29,5472.0,2.0,0,,12160,33,,,79,1106.8885808789767,1683032328.0,0.0,5728.0,2.0,7.4,18.51,12283
0.0,,2241.253274779586,251.68,,2,,2,,855.2,6336.0,2.0,0,,14944,34,,,81,2241.253274779586,1683032330.0,0.0,5824.0,2.0,3.14,7.84,15191
0.0,,2227.059553712811,1053.42,,2,,2,,1187.83,7712.0,2.0,0,,17504,35,,,82,2227.059553712811,1683032331.0,0.0,7232.0,2.0,2.67,6.66,17928
0.0,,2240.651979509925,1124.06,,2,,2,,1103.0,8864.0,2.0,0,,20192,36,,,83,2240.651979509925,1683032332.0,0.0,8640.0,2.0,2.19,5.48,20486
0.0,,2172.032408311835,1010.52,,2,,2,,1230.13,10240.0,2.0,0,,22784,37,,,84,2172.032408311835,1683032333.0,0.0,9952.0,2.0,1.8,4.49,23016
0.0,,1771.8334676819386,1108.82,,2,,2,,1063.21,11456.0,2.0,0,,24992,38,,,85,1771.8334676819386,1683032334.0,0.0,11328.0,2.0,1.71,4.27,25202
0.0,,2185.92927720438,551.46,,2,,2,,1220.37,12864.0,2.0,0,,27072,39,,,87,2185.92927720438,1683032336.0,0.0,12128.0,2.0,1.0,2.5,27307
0.0,,1816.8067221630513,1134.82,,2,,2,,1051.11,13664.0,2.0,0,,29280,40,,,88,1816.8067221630513,1683032337.0,0.0,13408.0,2.0,0.7,1.74,29603
