02_timing/dataload_cuda_move_time_s,cpu/load/avg_sys_load_one_min_percent,01_general/lr,03_hivemind/global_epoch,01_general/minibatch_loss,disk/counter/disk_read_sys_count,cpu/interrupts/ctx_switches_count,disk/counter/disk_write_sys_count,bandwidth/net_recv_sys_bandwidth_Mbits,02_timing/loss_calc_time_s,cpu/interrupts/soft_interrupts_count,process/memory/resident_set_size_proc_MB,03_hivemind/num_peers,02_timing/dataload_time_s,02_timing/opt_step_time_s,memory/total_memory_sys_MB,disk/time/disk_write_time_sys_s,process/memory/shared_memory_proc_MB,_step,02_timing/forward_time_s,memory/available_memory_sys_MB,bandwidth/disk_read_sys_bandwidth_MBs,02_timing/backward_time_s,process/memory/text_resident_set_proc_MB,process/memory/data_resident_set_proc_MB,01_general/step,disk/time/disk_read_time_sys_s,memory/used_memory_sys_percent,process/memory/lib_memory_proc_MB,process/involuntary_proc_ctx_switches,bandwidth/net_sent_sys_bandwidth_Mbits,02_timing/step_time_s,process/memory/dirty_pages_proc_count,cpu/load/avg_sys_load_five_min_percent,cpu/load/avg_sys_load_fifteen_min_percent,process/memory/virtual_memory_size_proc_MB,01_general/dataset_iteration_count,process/voluntary_proc_ctx_switches,_runtime,_timestamp,cpu/logical_core_count,memory/used_memory_sys_MB,disk/time/disk_busy_time_sys_s,cpu/interrupts/interrupts_count,01_general/locally_processed_samples,bandwidth/disk_write_sys_bandwidth_MBs
,,,,,,,,,,,,,,,211076.599808,,,0,,,,,,,,,,,,,,,,,,,,0,1682816816.0,30.0,,,,,
,0.26666666666666666,,,,0.0,38.0,0.0,0.4927620468548447,,15.0,395.30496,,,,,0.0,178.900992,1,,208139.4688,0.0,,2.719744,0.0,,0.0,1.4,2481.33632,47.0,0.4394904767078264,,0.0,0.23333333333333336,0.33333333333333337,9963.708416,,147.0,0,1682816816.0,,1196.916736,0.0,39.0,,0.0
,0.26666666666666666,,,,0.0,5358.0,3.0,1.2458760179596255,,3542.0,1092.501504,,,,,0.0010000000000047748,344.936448,2,,207376.498688,0.0,,2.719744,0.0,,0.0,1.8,3039.817728,51.0,1.3394543344764664,,0.0,0.23333333333333336,0.33333333333333337,11329.26976,,176.0,1,1682816817.0,,1949.483008,0.015999999999991132,5697.0,,0.0122537335165809
,0.7666666666666667,,,,0.0,23277.0,4.0,3.0924574088319376,,14991.0,2086.965248,,,,,0.0020000000000095497,552.787968,3,,206499.299328,0.0,,2.719744,0.0,,0.0,2.2,4115.144704,56.0,4.5718216741884765,,0.0,0.33333333333333337,0.36666666666666664,15243.48928,,347.0,2,1682816818.0,,2742.288384,0.02400000000000091,198606.0,,0.004077731264464759
0.0029184919999352132,0.7666666666666667,,,,0.0,54418.0,5.0,226.46658435142143,,45488.0,2117.402624,,,,,0.0020000000000095497,582.496256,4,,206030.557184,0.0,,2.719744,0.0,,0.0,2.4,4200.964096,59.0,17.55924916294846,,0.0,0.33333333333333337,0.36666666666666664,16233.918464,,396.0,3,1682816819.0,,3139.928064,0.027999999999991587,245342.0,,0.004075120646583438
,0.7666666666666667,,,,0.0,70310.0,8.0,427.53592170028463,,61651.0,3489.906688,,,,,0.003999999999990678,862.429184,5,,204437.38112,0.0,,2.719744,0.0,,0.0,3.1,5309.702144,82.0,13.24001085833911,,0.0,0.33333333333333337,0.36666666666666664,18291.376128,,396.0,4,1682816820.0,,4518.842368,0.03999999999999204,261804.0,,0.19612324503515147
,0.7666666666666667,,,,0.0,109497.0,75.0,786.0918926284928,0.00021445399988806457,81607.0,4157.280256,,,,,0.04099999999999682,1034.71104,6,1.3259486130000369,203687.084032,0.0,0.14603335599986167,2.719744,0.0,,0.0,3.5,5812.87936,86.0,13.268331228953187,,0.0,0.33333333333333337,0.36666666666666664,19701.891072,,405.0,5,1682816821.0,,5177.675776,0.0519999999999925,293252.0,,0.5515278934374624
,,0.0001,1.0,7.044677734375,,,,,,,,6.0,0.9425670780001383,1.2295350639997196,,,,7,,,,,,,0.0,,,,,,3.6472170569995797,,,,,0.0,,6,1682816822.0,,,,,32.0,
0.002409252000234119,,0.0001,1.0,7.0848388671875,,,,,0.00014041900021766196,,,6.0,0.0032853410002644523,0.006600129000162269,,,,8,0.006666037999821128,,,0.007795938000072056,,,1.0,,,,,,0.026897117000771686,,,,,0.0,,6,1682816822.0,,,,,64.0,
0.002350897999804147,,0.0001,1.0,6.9871826171875,,,,,0.00011651100021481398,,,6.0,0.0022235940000427945,0.0007162349997997808,,,,9,0.006412433000150486,,,0.007482133999928919,,,2.0,,,,,,0.01930180499994094,,,,,0.0,,6,1682816822.0,,,,,96.0,
