04_peers/peer_1_epoch,03_hivemind/overshot_TBS,04_peers/peer_1_epoch_oos,03_hivemind/epoch_based_sps,04_peers/peer_1_samples_per_second,03_hivemind/actual_total_samples_per_second,03_hivemind/global_epoch,03_hivemind/next_fetch_time_s,03_hivemind/num_peers,03_hivemind/reached_TBS,03_hivemind/undershot_TBS,03_hivemind/eta_next_epoch_s,03_hivemind/estimated_current_samples,_timestamp,03_hivemind/epoch_s,03_hivemind/num_clients,04_peers/peer_2_epoch_oos,04_peers/peer_1_samples_accumulated,04_peers/peer_2_samples_accumulated,04_peers/peer_2_epoch,03_hivemind/per_epoch_training_samples,_step,03_hivemind/global_samples_accumulated,03_hivemind/optimistic_total_samples_per_second,_runtime,03_hivemind/total_training_samples,04_peers/peer_2_samples_per_second
0.0,,0.0,,92.79,186.82774827601395,0,4.55,2,,,11.38,6065,1680687808.0,,0,0.0,3360.0,2432.0,0.0,,28,6016,186.82774827601395,76,,94.03
0.0,,0.0,,92.78,186.79838063696636,0,4.08,2,,,10.2,6287,1680687809.0,,0,0.0,3488.0,2528.0,0.0,,29,6240,186.79838063696636,77,,94.04
0.0,,0.0,,92.78,186.74674030755858,0,3.61,2,,,9.02,6508,1680687810.0,,0,0.0,3584.0,2656.0,0.0,,30,6464,186.74674030755858,78,,94.02
0.0,,0.0,,92.69,186.75632918855877,0,3.13,2,,,7.83,6730,1680687811.0,,0,0.0,3712.0,2752.0,0.0,,31,6688,186.75632918855877,79,,94.06
0.0,,0.0,,92.69,186.79065569912996,0,2.65,2,,,6.63,6953,1680687813.0,,0,0.0,3808.0,2880.0,0.0,,32,6912,186.79065569912996,81,,94.06
0.0,,0.0,,92.75,186.63726078470802,0,2.18,2,,,5.45,7174,1680687814.0,,0,0.0,3936.0,2976.0,0.0,,33,7136,186.63726078470802,82,,94.04
0.0,,0.0,,92.77,186.55737182570206,0,1.71,2,,,4.27,7395,1680687815.0,,0,0.0,4032.0,3104.0,0.0,,34,7328,186.55737182570206,83,,93.87
0.0,,0.0,,92.82,186.44193034299758,0,1.24,2,,,3.09,7616,1680687816.0,,0,0.0,4128.0,3200.0,0.0,,35,7584,186.44193034299758,84,,93.74
0.0,,0.0,,92.74,186.3404987050612,0,0.76,2,,,1.9,7837,1680687817.0,,0,0.0,4256.0,3328.0,0.0,,36,7776,186.3404987050612,85,,93.7
0.0,,0.0,,92.77,186.32494729900748,0,0.5,2,,,0.71,8059,1680687818.0,,0,0.0,4352.0,3424.0,0.0,,37,8032,186.32494729900748,86,,93.57
