03_hivemind/estimated_current_samples,03_hivemind/optimistic_total_samples_per_second,03_hivemind/num_peers,03_hivemind/global_samples_accumulated,_step,03_hivemind/eta_next_epoch_s,_runtime,03_hivemind/global_epoch,03_hivemind/next_fetch_time_s,03_hivemind/actual_total_samples_per_second,_timestamp,03_hivemind/num_clients,04_peers/peer_1_samples_accumulated,04_peers/peer_1_epoch,04_peers/peer_1_samples_per_second,04_peers/peer_1_epoch_oos,04_peers/peer_3_samples_per_second,04_peers/peer_2_samples_accumulated,04_peers/peer_2_epoch,04_peers/peer_3_epoch_oos,04_peers/peer_3_epoch,04_peers/peer_3_samples_accumulated,04_peers/peer_2_epoch_oos,04_peers/peer_2_samples_per_second,03_hivemind/epoch_s,03_hivemind/undershot_TBS,03_hivemind/total_training_samples,03_hivemind/per_epoch_training_samples,03_hivemind/reached_TBS,03_hivemind/epoch_based_sps,03_hivemind/overshot_TBS
225,6.302166642800764,1,224,0,5163.77,37,0,10.0,6.302166642800764,1683044306,0,,,,,,,,,,,,,,,,,,,
515,23.47909547488195,1,512,1,1373.69,39,0,10.0,23.47909547488195,1683044308,0,224.0,0.0,6.3,0.0,,,,,,,,,,,,,,,
937,52.89037478404783,1,768,2,601.82,43,0,10.0,52.89037478404783,1683044312,0,512.0,0.0,23.48,0.0,,,,,,,,,,,,,,,
1779,206.83782943804286,1,1760,3,149.82,44,0,10.0,206.83782943804286,1683044313,0,768.0,0.0,52.89,0.0,,,,,,,,,,,,,,,
2487,336.35655910732754,3,2432,4,90.03,45,0,10.0,336.35655910732754,1683044314,0,1760.0,0.0,206.84,0.0,,,,,,,,,,,,,,,
3353,499.1601585195972,3,3296,5,58.93,46,0,10.0,499.1601585195972,1683044315,0,2016.0,0.0,219.44,0.0,51.59,224.0,0.0,0.0,0.0,192.0,0.0,65.32,,,,,,,
4205,606.3301414337711,3,4096,6,47.11,48,0,10.0,606.3301414337711,1683044317,0,2304.0,0.0,225.26,0.0,130.35,512.0,0.0,0.0,0.0,480.0,0.0,143.55,,,,,,,
5183,669.3193038619333,3,5088,7,41.21,49,0,10.0,669.3193038619333,1683044318,0,2560.0,0.0,231.38,0.0,182.15,800.0,0.0,0.0,0.0,736.0,0.0,192.8,,,,,,,
6032,692.1385110891359,3,5888,8,38.63,50,0,10.0,692.1385110891359,1683044319,0,2880.0,0.0,233.4,0.0,217.15,1120.0,0.0,0.0,0.0,1088.0,0.0,218.77,,,,,,,
6883,701.9988160066739,3,6752,9,36.87,51,0,10.0,701.9988160066739,1683044320,0,3168.0,0.0,234.96,0.0,229.32,1376.0,0.0,0.0,0.0,1344.0,0.0,227.86,,,,,,,
7730,705.520989128576,3,7616,10,35.49,53,0,10.0,705.520989128576,1683044322,0,3456.0,0.0,235.1,0.0,234.52,1664.0,0.0,0.0,0.0,1632.0,0.0,232.37,,,,,,,
8586,707.7231477163801,3,8480,11,34.17,54,0,10.0,707.7231477163801,1683044323,0,3744.0,0.0,235.52,0.0,235.19,1952.0,0.0,0.0,0.0,1920.0,0.0,234.81,,,,,,,
9431,709.4299620188116,3,9312,12,32.9,55,0,10.0,709.4299620188116,1683044324,0,4032.0,0.0,235.26,0.0,237.11,2240.0,0.0,0.0,0.0,2208.0,0.0,235.35,,,,,,,
