memory/total_memory_sys_MB,cpu/logical_core_count,01_general/dataset_iteration_count,process/memory/shared_memory_proc_MB,cpu/load/avg_sys_load_one_min_percent,process/involuntary_proc_ctx_switches,cpu/load/avg_sys_load_five_min_percent,cpu/interrupts/soft_interrupts_count,02_timing/backward_time_s,disk/time/disk_busy_time_sys_s,01_general/step,process/memory/lib_memory_proc_MB,cpu/load/avg_sys_load_fifteen_min_percent,02_timing/dataload_time_s,memory/used_memory_sys_percent,memory/available_memory_sys_MB,process/voluntary_proc_ctx_switches,cpu/interrupts/ctx_switches_count,02_timing/dataload_cuda_move_time_s,memory/used_memory_sys_MB,01_general/lr,process/memory/text_resident_set_proc_MB,01_general/step_based_sps,process/memory/virtual_memory_size_proc_MB,disk/time/disk_read_time_sys_s,02_timing/loss_calc_time_s,bandwidth/net_recv_sys_bandwidth_Mbits,_runtime,02_timing/forward_time_s,_step,disk/time/disk_write_time_sys_s,cpu/interrupts/interrupts_count,01_general/minibatch_loss,02_timing/opt_step_time_s,process/memory/dirty_pages_proc_count,disk/counter/disk_write_sys_count,_timestamp,bandwidth/net_sent_sys_bandwidth_Mbits,02_timing/step_time_s,01_general/locally_processed_samples,bandwidth/disk_read_sys_bandwidth_MBs,process/memory/data_resident_set_proc_MB,disk/counter/disk_read_sys_count,process/memory/resident_set_size_proc_MB,bandwidth/disk_write_sys_bandwidth_MBs
,,0.0,,,,,,0.06702617799965083,,3.0,,,0.0009834120000959956,,,,,,,0.0001,,12.730474148342115,,,,,11,,15,,,2.0890746116638184,2.5320005079265684e-06,,,1696189968.0,,0.23565500899985636,12.0,,,,,
,,0.0,,,,,,0.06291443999998592,,4.0,,,0.0014762159999008873,,,,,0.0009978859998227563,,0.0001,,13.103817294483834,,,0.0010681079993446474,,11,0.16248275300040405,16,,,1.9639681577682495,1.51799940795172e-06,,,1696189968.0,,0.2289409209988662,15.0,,,,,
,,,968.564736,6.375,48.0,4.875,4319.0,0.06380333400011295,0.08400000000000318,,3594.539008,9.0,,15.0,26836.287488,216.0,5022.0,0.0011014159999831463,4233.121792,,2.654208,,28178.796544,0.0,0.0012231110003995127,0.010491591720064931,11,0.1682866709998052,17,0.016000000000076398,9982.0,,1.9780000002356246e-06,0.0,23.0,1696189968.0,0.06871793111141782,,,0.0,0.0,0.0,3695.935488,0.012254817388176248
,,0.0,,,,,,,,5.0,,,0.0014302630006568506,,,,,,,0.0001,,12.720123162286454,,,,,12,,18,,,1.8970965147018433,,,,1696189969.0,,0.2358467730009579,18.0,,,,,
,,0.0,,,,,,0.06412816900046892,,6.0,,,0.0015095439994183835,,,,,0.0011277600005996646,,0.0001,,12.770820194750783,,,0.0011459659999673022,,12,0.16699753400007467,19,,,2.254643201828003,1.5459991118405014e-06,,,1696189969.0,,0.23491051899964077,21.0,,,,,
,,,968.564736,6.375,49.0,4.875,4817.0,0.07403091300056985,0.09600000000000364,,3594.539008,9.0,,15.0,26831.425536,235.0,5511.0,0.0011512080000102287,4238.17216,,2.654208,,28178.796544,0.0,0.001263471000129357,0.0,12,0.16419657000005827,20,0.018000000000029104,11304.0,,1.749999682942871e-06,0.0,26.0,1696189969.0,0.0,,,0.0,0.0,0.0,3695.935488,0.012253130480327968
,,0.0,,,,,,,,7.0,,,0.0016496439993716194,,,,,,,0.0001,,12.381674731796005,,,,,13,,21,,,2.0945701599121094,,,,1696189970.0,,0.24229355599982227,24.0,,,,,
,,0.0,,,,,,0.06529166599921155,,8.0,,,0.0015282819995263708,,,,,0.0011096600001110346,,0.0001,,12.68083585233351,,,0.0012216489994898438,,13,0.1674243560000832,22,,,2.047053575515747,1.851999513746705e-06,,,1696189970.0,,0.23657746499793575,27.0,,,,,
,,,968.564736,6.375,50.0,4.875,5359.0,0.058028751999700035,0.10800000000000409,,3594.539008,9.0,,15.0,26825.936896,254.0,6020.0,0.001097606000257656,4243.468288,,2.654208,,28178.796544,0.0,0.0011532930002431385,0.011176832894739286,13,0.16449133300011454,23,0.01999999999998181,12699.0,,1.7250004020752385e-06,0.0,29.0,1696189970.0,0.07294857969479056,,,0.0,0.0,0.0,3695.935488,0.012253829660383906
,,0.0,,,,,,,,9.0,,,0.0014392210005098605,,,,,,,0.0001,,13.261900024387412,,,,,14,,24,,,2.1768674850463867,,,,1696189971.0,,0.2262119300012273,30.0,,,,,
