_step,_runtime,cpu/logical_core_count,memory/total_memory_sys_MB,_timestamp,cpu/load/avg_sys_load_fifteen_min_percent,disk/time/disk_read_time_sys_s,disk/time/disk_busy_time_sys_s,memory/used_memory_sys_MB,bandwidth/disk_write_sys_bandwidth_MBs,cpu/interrupts/ctx_switches_count,bandwidth/net_sent_sys_bandwidth_Mbits,process/memory/shared_memory_proc_MB,disk/counter/disk_write_sys_count,process/memory/resident_set_size_proc_MB,disk/counter/disk_read_sys_count,process/memory/dirty_pages_proc_count,bandwidth/disk_read_sys_bandwidth_MBs,cpu/load/avg_sys_load_one_min_percent,cpu/interrupts/soft_interrupts_count,bandwidth/net_recv_sys_bandwidth_Mbits,memory/available_memory_sys_MB,process/memory/text_resident_set_proc_MB,process/voluntary_proc_ctx_switches,disk/time/disk_write_time_sys_s,process/memory/lib_memory_proc_MB,process/memory/data_resident_set_proc_MB,cpu/interrupts/interrupts_count,memory/used_memory_sys_percent,cpu/load/avg_sys_load_five_min_percent,process/memory/virtual_memory_size_proc_MB,process/involuntary_proc_ctx_switches,02_timing/dataload_cuda_move_time_s,03_hivemind/num_peers,02_timing/loss_calc_time_s,02_timing/forward_time_s,02_timing/opt_step_time_s,01_general/locally_processed_samples,01_general/minibatch_loss,02_timing/backward_time_s,02_timing/step_time_s,03_hivemind/global_epoch,01_general/lr,02_timing/dataload_time_s,01_general/dataset_iteration_count,01_general/step
0,1,8.0,31557.18144,1680787617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,,,1680787617,9.0,0.0,0.0,737.452032,0.0,10.0,0.25632239228452214,177.750016,0.0,400.867328,0.0,0.0,0.0,1.5,16.0,0.13548469220830264,30358.495232,2.654208,85.0,0.0,1009.631232,0.0,17.0,3.8,7.875,8492.650496,22.0,,,,,,,,,,,,,,
2,3,,,1680787619,9.0,0.0,0.020000000000010232,1184.8704,0.042774298336093614,3219.0,0.20383643685765393,181.764096,7.0,686.092288,0.0,0.0,0.0,1.5,1283.0,0.30535659483874616,29911.072768,2.654208,138.0,0.0059999999994033715,1306.824704,0.0,3736.0,5.2,7.875,8923.803648,27.0,,,,,,,,,,,,,,
3,4,,,1680787620,9.0,0.0,0.02400000000000091,1494.769664,0.004083652568941605,4326.0,0.10857570783896203,182.484992,8.0,994.5088,0.0,0.0,0.0,1.5,1963.0,0.2936321666063305,29601.173504,2.654208,172.0,0.006999999999607098,2580.04992,0.0,5024.0,6.2,7.875,10197.028864,29.0,,,,,,,,,,,,,,
4,5,,,1680787621,9.0,0.0,0.036000000000001364,2186.145792,0.057187271331583266,4655.0,0.014225014617608485,182.484992,21.0,1684.590592,0.0,0.0,0.0,1.5,2359.0,0.03226357775225944,28909.797376,2.654208,172.0,0.02099999999973079,2580.062208,0.0,5633.0,8.4,7.875,10197.028864,31.0,,,,,,,,,,,,,,
5,6,,,1680787622,9.0,0.0,0.04400000000001114,2546.659328,0.19202391735818317,4932.0,0.019310915891328228,184.32,24.0,2045.763584,0.0,0.0,0.0,1.5,2690.0,0.7965513413568005,28549.2224,2.654208,172.0,0.023999999999432475,2668.425216,0.0,6210.0,9.5,7.875,10285.391872,32.0,,,,,,,,,,,,,,
6,7,,,1680787623,9.0,0.0,0.0519999999999925,3070.734336,0.3513111971647444,5373.0,0.07167125009371202,184.32,83.0,2565.787648,0.0,0.0,0.0,2.375,3363.0,0.042262341281007657,28025.20064,2.654208,172.0,0.125,3184.934912,0.0,7030.0,11.2,8.0,10801.901568,34.0,,,,,,,,,,,,,,
7,8,,,1680787624,9.0,0.0,0.056000000000011596,3597.47584,0.00408487696803794,5561.0,0.004052963866810178,184.32,84.0,3091.68128,0.0,0.0,0.0,2.375,3696.0,0.006653881625943097,27498.459136,2.654208,172.0,0.125,3722.686464,0.0,7530.0,12.9,8.0,11339.65312,36.0,,,,,,,,,,,,,,
8,9,,,1680787625,9.0,0.0,0.060000000000002274,3609.47712,0.004085245110961469,5708.0,0.04026200552148745,184.32,85.0,3103.719424,0.0,0.0,0.0,2.375,3864.0,0.008872641723498532,27486.457856,2.654208,172.0,0.12599999999929423,3722.686464,0.0,7917.0,12.9,8.0,11339.65312,37.0,,,,,,,,,,,,,,
9,10,,,1680787626,9.0,0.0,0.06800000000001205,3609.47712,0.03268006473781167,5896.0,0.00035105538388236976,184.32,89.0,3103.719424,0.0,0.0,0.0,2.375,4086.0,0.0,27486.457856,2.654208,172.0,0.13000000000010914,3722.686464,0.0,8382.0,12.9,8.0,11339.65312,38.0,,,,,,,,,,,,,,
10,11,,,1680787627,9.0,0.0,0.07200000000000273,3609.444352,0.00408536168719621,6114.0,0.040398801208427385,184.32,90.0,3103.719424,0.0,0.0,0.0,2.375,4262.0,0.009686775560775077,27486.490624,2.654208,172.0,0.13099999999940337,3722.686464,0.0,8810.0,12.9,8.0,11339.65312,41.0,,,,,,,,,,,,,,
11,12,,,1680787628,9.0,0.0,0.0800000000000125,3753.566208,0.08987111829357085,6313.0,0.0,184.32,93.0,3247.7184,0.0,0.0,0.0,3.25,4460.0,0.0,27342.368768,2.654208,172.0,0.13400000000001455,4750.893056,0.0,9246.0,13.4,8.0,12367.859712,43.0,,,,,,,,,,,,,,
12,13,,,1680787629,9.0,0.0,0.08799999999999386,4325.076992,0.0040853189418043,6452.0,0.040103150388312636,184.32,94.0,3818.143744,0.0,0.0,0.0,3.25,4633.0,0.008625448768422197,26770.845696,2.654208,172.0,0.13499999999930878,4750.893056,0.0,9651.0,15.2,8.0,12367.859712,44.0,,,,,,,,,,,,,,
13,14,,,1680787630,9.0,0.0,0.09600000000000364,4639.870976,0.008171154737913197,6616.0,0.0,184.32,96.0,4131.79904,0.0,0.0,0.0,3.25,4823.0,0.0,26456.064,2.654208,172.0,0.13699999999971624,4776.464384,0.0,10084.0,16.2,8.0,12594.364416,47.0,,,,,,,,,,,,,,
