_step,_runtime,cpu/logical_core_count,memory/total_memory_sys_MB,_timestamp,cpu/load/avg_sys_load_fifteen_min_percent,disk/time/disk_read_time_sys_s,disk/time/disk_busy_time_sys_s,memory/used_memory_sys_MB,bandwidth/disk_write_sys_bandwidth_MBs,cpu/interrupts/ctx_switches_count,bandwidth/net_sent_sys_bandwidth_Mbits,process/memory/shared_memory_proc_MB,disk/counter/disk_write_sys_count,process/memory/resident_set_size_proc_MB,disk/counter/disk_read_sys_count,process/memory/dirty_pages_proc_count,bandwidth/disk_read_sys_bandwidth_MBs,cpu/load/avg_sys_load_one_min_percent,cpu/interrupts/soft_interrupts_count,bandwidth/net_recv_sys_bandwidth_Mbits,memory/available_memory_sys_MB,process/memory/text_resident_set_proc_MB,process/voluntary_proc_ctx_switches,disk/time/disk_write_time_sys_s,process/memory/lib_memory_proc_MB,process/memory/data_resident_set_proc_MB,cpu/interrupts/interrupts_count,memory/used_memory_sys_percent,cpu/load/avg_sys_load_five_min_percent,process/memory/virtual_memory_size_proc_MB,process/involuntary_proc_ctx_switches,02_timing/loss_calc_time_s,02_timing/forward_time_s,02_timing/opt_step_time_s,02_timing/backward_time_s,02_timing/dataload_cuda_move_time_s,03_hivemind/num_peers,01_general/locally_processed_samples,01_general/minibatch_loss,02_timing/step_time_s,03_hivemind/global_epoch,01_general/lr,02_timing/dataload_time_s,01_general/dataset_iteration_count,01_general/step
14,15,,,1681400451,2.078125,0.0,0.09199999999987085,5440.774144,0.004077996463800622,10939.0,0.0487925903376265,184.860672,227.0,4148.076544,0.0,0.0,0.0,1.59375,8685.0,0.015865955303465303,240835.350528,2.854912,273.0,0.30500000000029104,9058.398208,0.0,11904.0,5.7,2.765625,17145.401344,110.0,,,,,,,,,,,,,,
15,16,,,1681400452,2.078125,0.0,0.09999999999990905,5107.331072,0.02848155274397329,11917.0,0.006111137014932442,384.96256,230.0,3932.950528,0.0,0.0,0.0,1.59375,9857.0,0.0076289871531848375,241156.202496,2.854912,317.0,0.306999999999789,8660.168704,0.0,16183.0,5.6,2.75,18393.391104,113.0,,,,,,,,,,,,,,
16,17,,,1681400453,2.078125,0.0,0.10399999999981446,3791.458304,0.004078308182536067,12604.0,0.10119302198202303,464.77312,231.0,2696.261632,0.0,0.0,0.0,1.59375,10450.0,0.10596432411616002,242472.075264,2.854912,318.0,0.306999999999789,7344.111616,0.0,16922.0,5.1,2.75,18827.628544,116.0,,,,,,,,,,,,,,
17,18,,,1681400454,2.078125,0.0,0.10799999999994725,4738.809856,0.00407082559261412,13942.0,0.19520085800174491,465.829888,232.0,3640.385536,0.0,0.0,0.0,1.59375,11153.0,0.19299847856029345,241524.736,2.854912,327.0,0.306999999999789,8402.481152,0.0,18036.0,5.5,2.75,20153.909248,118.0,,,,,,,,,,,,,,
18,19,,,1681400455,2.078125,0.0,0.11199999999985266,4407.803904,0.0040708970317687885,17861.0,0.23305090153549574,2447.208448,233.0,5316.9152,0.0,0.0,0.0,1.59375,23110.0,0.16821073533091574,239889.89952,2.854912,643.0,0.3079999999999927,8021.479424,0.0,34484.0,6.1,2.75,25512.337408,119.0,,,,,,,,,,,,,,
19,20,,,1681400456,2.078125,0.0,0.12399999999979627,9655.595008,0.04451766610392691,20493.0,0.2138065254828359,2708.873216,236.0,10798.563328,0.0,0.0,0.0,1.59375,36828.0,0.15610429447807597,234365.779968,2.854912,732.0,0.30900000000019645,13258.113024,0.0,51918.0,8.3,2.75,31069.24544,120.0,,,,,,,,,,,,,,
20,21,,,1681400457,2.078125,0.0,0.13199999999983447,9681.399808,0.00814998609587787,23056.0,0.22299444397713575,3735.3472,238.0,11833.438208,0.0,0.0,0.0,1.59375,42122.0,0.22667944772838755,233314.213888,2.854912,740.0,0.3100000000004002,13258.113024,0.0,88051.0,8.7,2.71875,37233.426432,121.0,,,,,,,,,,,,,,
21,22,,,1681400458,2.078125,0.0,0.13599999999996726,9887.543296,0.004083980675498639,26183.0,0.24335579445097974,3869.147136,239.0,11967.254528,0.0,0.0,0.0,1.59375,53385.0,0.17396002930955953,232973.402112,2.854912,788.0,0.3109999999996944,13258.113024,0.0,374302.0,8.8,2.71875,37363.765248,122.0,,,,,,,,,,,,,,
22,23,,,1681400459,2.078125,0.0,0.13999999999987267,10142.232576,0.10203911816061344,29158.0,0.19076532026123877,4067.155968,243.0,12165.26336,0.0,0.0,0.0,1.59375,64256.0,0.1804418307041133,232533.200896,2.854912,859.0,0.31199999999989814,13258.113024,0.0,646874.0,9.0,2.71875,37565.566976,123.0,,,,,,,,,,,,,,
23,24,,,1681400460,2.078125,0.0,0.14400000000000546,10368.126976,0.0040810110961648416,31794.0,0.18134196040925868,4230.352896,244.0,12328.460288,0.0,0.0,0.0,1.59375,74857.0,0.16183759673174558,232139.522048,2.854912,899.0,0.31199999999989814,13258.113024,0.0,904815.0,9.1,2.71875,37733.699584,142.0,,,,,,,,,,,,,,
