disk/time/disk_busy_time_sys_s,bandwidth/net_recv_sys_bandwidth_Mbits,process/memory/data_resident_set_proc_MB,process/memory/resident_set_size_proc_MB,process/memory/virtual_memory_size_proc_MB,02_timing/step_time_s,03_hivemind/num_peers,01_general/minibatch_loss,memory/used_memory_sys_percent,process/voluntary_proc_ctx_switches,cpu/interrupts/soft_interrupts_count,cpu/load/avg_sys_load_one_min_percent,process/involuntary_proc_ctx_switches,01_general/lr,02_timing/forward_time_s,03_hivemind/global_epoch,process/memory/dirty_pages_proc_count,memory/total_memory_sys_MB,disk/counter/disk_write_sys_count,02_timing/backward_time_s,02_timing/dataload_time_s,02_timing/loss_calc_time_s,disk/counter/disk_read_sys_count,01_general/locally_processed_samples,_runtime,memory/available_memory_sys_MB,cpu/interrupts/interrupts_count,bandwidth/net_sent_sys_bandwidth_Mbits,cpu/logical_core_count,02_timing/opt_step_time_s,disk/time/disk_write_time_sys_s,process/memory/shared_memory_proc_MB,bandwidth/disk_read_sys_bandwidth_MBs,cpu/load/avg_sys_load_five_min_percent,_timestamp,disk/time/disk_read_time_sys_s,cpu/interrupts/ctx_switches_count,process/memory/lib_memory_proc_MB,01_general/dataset_iteration_count,02_timing/dataload_cuda_move_time_s,bandwidth/disk_write_sys_bandwidth_MBs,process/memory/text_resident_set_proc_MB,_step,01_general/step,memory/used_memory_sys_MB,cpu/load/avg_sys_load_fifteen_min_percent
,,,,,,,,,,,,,,,,,540929.032192,,,,,,,1,,,,80.0,,,,,,1681407780.0,,,,,,,,0,,,
0.0,0.0,0.0,321.458176,42402.021376,,,,2.0,3505.0,10.0,1.5375,106.0,,,,0.0,,0.0,,,,0.0,,1,530115.035136,51.0,0.0,,,0.0,106.426368,0.0,3.7375000000000007,1681407780.0,0.0,20.0,4775.510016,,,0.0,2.854912,1,,7307.14112,3.6999999999999997
0.0,0.24329806532368242,0.0,601.464832,42757.394432,,,,2.1,3594.0,3775.0,1.5375,107.0,,,,0.0,,0.0,,,,0.0,,3,529747.222528,3380.0,0.0980400844870431,,,0.0,107.569152,0.0,3.7375000000000007,1681407782.0,0.0,4745.0,5063.90528,,,0.0,2.854912,2,,7674.994688,3.6999999999999997
0.0,0.29365038149594835,0.0,849.682432,44030.881792,,,,2.1,3645.0,6418.0,1.4124999999999999,110.0,,,,0.0,,0.0,,,,0.0,,4,529549.193216,4440.0,0.10819499915108774,,,0.0,107.679744,0.0,3.675,1681407783.0,0.0,6218.0,6337.400832,,,0.0,2.854912,3,,7873.024,3.675
0.004000000000019099,0.007574529593494737,0.0,1549.23008,44030.881792,,,,2.2,3645.0,7923.0,1.4124999999999999,112.0,,,,0.0,,2.0,,,,0.0,,5,528847.917056,5270.0,0.006912754747831603,,,0.0009999999999976694,107.769856,0.0,3.675,1681407784.0,0.0,7160.0,6337.400832,,,0.16737318162670395,2.854912,4,,8574.291968,3.675
0.004000000000019099,0.10016648176452954,0.0,1920.83968,44081.221632,,,,2.3,3645.0,10722.0,1.4124999999999999,116.0,,,,0.0,,2.0,,,,0.0,,6,528477.077504,6615.0,3.52286409171688,,,0.0009999999999976694,108.126208,0.0,3.675,1681407785.0,0.0,8756.0,6387.740672,,,0.0,2.854912,5,,8945.13152,3.675
0.004000000000019099,0.04196702171769672,0.0,2466.869248,44627.361792,,,,2.4,3645.0,12505.0,1.4124999999999999,120.0,,,,0.0,,2.0,,,,0.0,,7,527929.7536,7633.0,70.14479487235523,,,0.0009999999999976694,108.126208,0.0,3.675,1681407786.0,0.0,9836.0,6933.880832,,,0.0,2.854912,6,,9492.455424,3.675
0.008000000000009777,0.006011879982070131,0.0,3014.230016,45173.235712,,,,2.5,3645.0,14674.0,1.4124999999999999,124.0,,,,0.0,,55.0,,,,0.0,,8,527381.610496,8585.0,0.00692881144126183,,,0.007999999999995566,108.126208,0.0,3.675,1681407787.0,0.0,10863.0,7479.754752,,,0.22452857435280746,2.854912,7,,10040.598528,3.675
0.008000000000009777,0.018010941585459437,0.0,3016.708096,45173.235712,,,,2.5,3645.0,16129.0,1.5,129.0,,,,0.0,,55.0,,,,0.0,,9,527378.845696,9358.0,0.2580850725699224,,,0.007999999999995566,108.126208,0.0,3.65,1681407788.0,0.0,11789.0,7479.754752,,,0.0,2.854912,8,,10043.363328,3.675
0.012000000000000455,0.002870172775244644,0.0,3016.720384,45173.235712,,,,2.5,3645.0,18112.0,1.5,132.0,,,,0.0,,56.0,,,,0.0,,10,527379.349504,10357.0,0.0013872501592325,,,0.007999999999995566,108.130304,0.0,3.65,1681407789.0,0.0,12958.0,7479.754752,,,0.024492140644147987,2.854912,9,,10042.85952,3.675
