_timestamp,memory/total_memory_sys_MB,memory/available_memory_sys_MB,bandwidth/net_recv_sys_bandwidth_Mbits,cpu/load/avg_sys_load_fifteen_min_percent,01_general/step,03_hivemind/global_epoch,disk/counter/disk_read_sys_count,bandwidth/disk_write_sys_bandwidth_MBs,disk/time/disk_write_time_sys_s,process/memory/shared_memory_proc_MB,_step,01_general/minibatch_loss,disk/time/disk_busy_time_sys_s,disk/time/disk_read_time_sys_s,01_general/locally_processed_samples,cpu/load/avg_sys_load_five_min_percent,process/memory/data_resident_set_proc_MB,cpu/logical_core_count,02_timing/forward_time_s,memory/used_memory_sys_percent,process/memory/lib_memory_proc_MB,bandwidth/disk_read_sys_bandwidth_MBs,bandwidth/net_sent_sys_bandwidth_Mbits,_runtime,02_timing/opt_step_time_s,memory/used_memory_sys_MB,02_timing/loss_calc_time_s,cpu/interrupts/soft_interrupts_count,03_hivemind/num_peers,cpu/interrupts/interrupts_count,disk/counter/disk_write_sys_count,02_timing/dataload_cuda_move_time_s,process/memory/dirty_pages_proc_count,process/memory/resident_set_size_proc_MB,02_timing/step_time_s,01_general/dataset_iteration_count,cpu/load/avg_sys_load_one_min_percent,process/involuntary_proc_ctx_switches,process/voluntary_proc_ctx_switches,process/memory/text_resident_set_proc_MB,process/memory/virtual_memory_size_proc_MB,01_general/lr,02_timing/backward_time_s,02_timing/dataload_time_s,cpu/interrupts/ctx_switches_count
1681395845.0,211076.599808,,,,,,,,,,0,,,,,,,30.0,,,,,,1,,,,,,,,,,,,,,,,,,,,,
1681395845.0,,208161.574912,1.2982470362773386,1.2,,,0.0,0.0,0.0,177.901568,1,,0.0,0.0,,1.3,0.0,,,1.4,2481.037312,0.0,1.454172271780925,1,,1165.889536,,0.0,,8.0,0.0,,0.0,394.07616,,,0.2,52.0,145.0,2.719744,9963.405312,,,,9.0
1681395846.0,,208031.092736,0.5713004521628212,1.2,,,0.0,0.01633494808066594,0.0010000000000331966,180.477952,2,,0.020000000000010232,0.0,,1.3,0.0,,,1.4,2489.561088,0.0,0.5355597771929588,2,,1296.371712,,1661.0,,3314.0,4.0,,0.0,396.754944,,,0.2,52.0,155.0,2.719744,10038.910976,,,,3443.0
1681395847.0,,208030.318592,0.053494561807671176,1.2,,,0.0,0.20415336649991195,0.0030000000000427463,180.477952,3,,0.028000000000005798,0.0,,1.3,0.0,,,1.4,2489.573376,0.0,0.06779327221371424,3,,1297.129472,,2017.0,,3837.0,7.0,,0.0,396.763136,,,0.2,52.0,155.0,2.719744,10038.910976,,,,4219.0
1681395848.0,,208029.302784,0.09537879354540617,1.2,,,0.0,0.004087206423495896,0.004000000000019099,180.477952,4,,0.03200000000001069,0.0,,1.3,0.0,,,1.4,2489.577472,0.0,0.09762196738531498,4,,1298.157568,,2468.0,,4436.0,8.0,,0.0,396.763136,,,0.16666666666666669,52.0,155.0,2.719744,10038.910976,,,,4999.0
1681395849.0,,207741.947904,0.7147265865330472,1.2,,,0.0,0.0034626849862121564,0.004000000000019099,182.550528,5,,0.036000000000001364,0.0,,1.3,0.0,,,1.6,2778.554368,0.0,0.1443912588042047,5,,1585.491968,,3279.0,,5568.0,9.0,,0.0,677.941248,,,0.16666666666666669,56.0,198.0,2.719744,10394.865664,,,,6458.0
1681395850.0,,207242.924032,0.589606319032644,1.2,,,0.0,0.004086783477361254,0.004000000000019099,183.271424,6,,0.04000000000000625,0.0,,1.3,0.0,,,1.8,4051.779584,0.0,0.15572081820012082,6,,2084.528128,,4037.0,,6595.0,10.0,,0.0,1173.016576,,,0.16666666666666669,60.0,225.0,2.719744,11668.09088,,,,7527.0
1681395851.0,,206457.552896,0.27365250972477884,1.2,,,0.0,0.15529644233506387,0.020000000000038654,183.271424,7,,0.04800000000000182,0.0,,1.3,0.0,,,2.2,4051.779584,0.0,0.21974255025049683,7,,2869.899264,,5074.0,,8152.0,36.0,,0.0,1950.502912,,,0.16666666666666669,66.0,225.0,2.719744,11668.09088,,,,9058.0
1681395852.0,,205875.396608,0.20867923669091337,1.2,,,0.0,0.11033779950866897,0.022000000000048203,184.909824,8,,0.060000000000002274,0.0,,1.3333333333333335,0.0,,,2.5,4639.870976,0.0,0.3110434061511081,8,,3452.055552,,5917.0,,9433.0,39.0,,0.0,2533.060608,,,0.4333333333333333,71.0,225.0,2.719744,12256.182272,,,,10366.0
1681395853.0,,205312.335872,0.14659136060114072,1.2,,,0.0,0.004086615298411436,0.022000000000048203,184.909824,9,,0.06400000000000716,0.0,,1.3333333333333335,0.0,,,2.7,5194.1376,0.0,0.23739882599241893,9,,4015.116288,,6677.0,,10596.0,40.0,,0.0,3094.818816,,,0.4333333333333333,76.0,226.0,2.719744,12810.448896,,,,11543.0
1681395854.0,,205312.335872,0.1735057599180033,1.2,,,0.0,0.004086620166139776,0.022000000000048203,184.909824,10,,0.06799999999999784,0.0,,1.3333333333333335,0.0,,,2.7,5194.399744,0.0,0.2566589022107374,10,,4015.116288,,7359.0,,11724.0,41.0,,0.0,3094.818816,,,0.4333333333333333,84.0,226.0,2.719744,12810.71104,,,,12724.0
1681395855.0,,205312.335872,0.059997617814422026,1.2,,,0.0,0.004086574470927911,0.022000000000048203,184.909824,11,,0.07200000000000273,0.0,,1.3333333333333335,0.0,,,2.7,5194.399744,0.0,0.1012544605021785,11,,4015.116288,,7803.0,,12580.0,42.0,,0.0,3094.818816,,,0.4333333333333333,92.0,226.0,2.719744,12810.71104,,,,13607.0
1681395856.0,,204768.370688,0.23833813201326717,1.2,,,0.0,0.22882503754193073,0.045000000000015916,184.909824,12,,0.08400000000000318,0.0,,1.3333333333333335,0.0,,,3.0,6222.606336,0.0,0.441888026765738,12,,4559.081472,,9065.0,,14477.0,77.0,,0.0,3637.796864,,,0.4333333333333333,98.0,226.0,2.719744,13838.917632,,,,15781.0
1681395857.0,,204281.217024,0.20535457461387327,1.2333333333333334,,,0.0,0.004082215488714199,0.04600000000004911,184.909824,13,,0.08800000000000807,0.0,,1.3666666666666665,0.0,,,3.2,6466.822144,0.0,0.36127607102313675,13,,5046.247424,,10239.0,,16272.0,78.0,,0.0,4123.316224,,,0.6666666666666667,104.0,226.0,2.719744,14552.068096,,,,17785.0
1681395858.0,,205129.87136,0.2189945524035407,1.2333333333333334,,,0.0,0.04086642520090737,0.047000000000025466,275.972096,14,,0.09600000000000364,0.0,,1.3666666666666665,0.0,,,2.8,5542.088704,0.0,0.40028344216155726,14,,4187.09504,,11470.0,,19150.0,81.0,,0.0,3281.035264,,,0.6666666666666667,109.0,236.0,2.719744,15340.642304,,,,19746.0
1681395859.0,,205253.849088,0.2522512806913007,1.2333333333333334,,,0.0,0.004085945643585375,0.04800000000000182,460.02176,15,,0.10000000000000853,0.0,,1.3666666666666665,0.0,,,2.8,5409.255424,0.0,0.39085421793302855,15,,4063.117312,,12708.0,,20993.0,82.0,,0.0,3331.584,,,0.6666666666666667,116.0,240.0,2.719744,15845.343232,,,,21877.0
1681395860.0,,203940.794368,0.6386446940622131,1.2333333333333334,,,0.0,0.004089217301934485,0.04800000000000182,1439.305728,16,,0.1039999999999992,0.0,,1.3666666666666665,0.0,,,3.4,5848.375296,0.0,1.5147994354153478,16,,4407.558144,,14357.0,,24223.0,83.0,,0.0,4713.701376,,,0.6666666666666667,121.0,267.0,2.719744,20190.65856,,,,24794.0
1681395861.0,,197694.726144,0.4969946443566466,1.2333333333333334,,,0.0,0.0040811749506264716,0.04800000000000182,2706.030592,17,,0.10800000000000409,0.0,,1.3666666666666665,0.0,,,6.3,10507.702272,0.0,2.1271051936581244,17,,9379.1232,,17088.0,,35850.0,84.0,,0.0,10628.415488,,,0.6666666666666667,128.0,673.0,2.719744,31268.978688,,,,29984.0
1681395862.0,,194863.26784,0.3627096133480301,1.7666666666666668,,,0.0,0.00408390301705805,0.04800000000000182,4600.336384,18,,0.11200000000000898,0.0,,3.0000000000000004,0.0,,,7.7,10507.702272,0.0,2.0549210926995296,18,,10316.173312,,19258.0,,288482.0,85.0,,0.0,12526.698496,,,8.600000000000001,133.0,962.0,2.719744,33165.402112,,,,33878.0
1681395863.0,,194371.82976,10.854764204133486,1.7666666666666668,,,0.0,0.061281765991343946,0.05000000000001137,4946.583552,19,,0.11599999999999966,0.0,,3.0000000000000004,0.0,,,7.9,9543.077888,0.0,2.4329738833090553,19,,10457.088,,23802.0,,316464.0,88.0,,0.0,11882.852352,,,8.600000000000001,135.0,1085.0,2.719744,32747.54048,,,,39919.0
1681395864.0,,193391.906816,114.15114010744746,1.7666666666666668,,,0.0,0.004086062259804699,0.05000000000001137,5136.2816,20,,0.12000000000000455,0.0,,3.0000000000000004,0.0,,0.8743143680003413,8.4,9551.618048,0.0,2.276726754824169,20,,11431.747584,4.254000032233307e-06,28933.0,,321947.0,89.0,0.0032341890000679996,0.0,12072.824832,,,8.600000000000001,149.0,1093.0,2.719744,38393.483264,,,,45490.0
1681395864.0,,,,,0.0,0.0,,,,,21,12.57326889038086,,,32.0,,,,,,,,,20,0.012669675999859464,,,,5.0,,,,,,1.848108739000054,0.0,,,,,,0.0001,0.0447127519996684,0.9131735000000845,
1681395864.0,,,,,1.0,0.0,,,,,22,12.765625,,,64.0,,,,0.018844908000119176,,,,,20,0.008761774000049627,,0.00038048299984438927,,5.0,,,0.0035988950003229547,,,0.0790788640001665,0.0,,,,,,0.0001,0.04676884499986045,0.0007239589999699092,
1681395864.0,,,,,2.0,0.0,,,,,23,12.642057418823242,,,96.0,,,,0.01873078600010558,,,,,20,0.008578897000006691,,0.0004497180002545065,,5.0,,,0.003680736999740475,,,0.08019065799999225,0.0,,,,,,0.0001,0.047655625000061264,0.0010948949998237367,
1681395865.0,,,,,3.0,0.0,,,,,24,12.747149467468262,,,128.0,,,,0.018516940999688813,,,,,21,0.00867685100001836,,0.000458186999821919,,5.0,,,0.0036564639999596693,,,0.08069746999990457,0.0,,,,,,0.0001,0.047672429000158445,0.0017165980002573633,
1681395865.0,,,,,4.0,0.0,,,,,25,12.85737133026123,,,160.0,,,,0.01846473999967202,,,,,21,0.008705860000191024,,0.000448339999820746,,5.0,,,0.0029722049998781586,,,0.0784096289989975,0.0,,,,,,0.0001,0.04720742599965888,0.0006110579997766763,
1681395865.0,,,,,5.0,0.0,,,,,26,12.740032196044922,,,192.0,,,,0.01866349400006584,,,,,21,0.008523080000031769,,0.0004750360003527021,,5.0,,,0.00365640700010772,,,0.07918345700090867,0.0,,,,,,0.0001,0.047082279000278504,0.0007831610000721412,
1681395865.0,,,,,6.0,0.0,,,,,27,12.82516860961914,,,224.0,,,,0.0189024020000943,,,,,21,0.008797017000233609,,0.0004636229996322072,,5.0,,,0.0029501599997274752,,,0.07922696099967652,0.0,,,,,,0.0001,0.04747413900031461,0.0006396199996743235,
1681395865.0,,,,,7.0,0.0,,,,,28,12.537931442260742,,,256.0,,,,0.01885564299982434,,,,,21,0.008655878999888955,,0.0004996319999008847,,5.0,,,0.0037037600000076054,,,0.07987885499915137,0.0,,,,,,0.0001,0.047291812999901595,0.0008721279996279918,
