03_hivemind/global_epoch,04_peers/peer_2_samples_per_second,03_hivemind/global_samples_accumulated,03_hivemind/overshot_TBS,03_hivemind/total_training_samples,03_hivemind/num_peers,04_peers/peer_2_epoch_oos,03_hivemind/epoch_based_sps,04_peers/peer_1_samples_accumulated,04_peers/peer_1_epoch,04_peers/peer_2_epoch,03_hivemind/undershot_TBS,03_hivemind/actual_total_samples_per_second,03_hivemind/epoch_s,04_peers/peer_2_samples_accumulated,_runtime,03_hivemind/reached_TBS,04_peers/peer_1_epoch_oos,03_hivemind/optimistic_total_samples_per_second,_step,_timestamp,03_hivemind/num_clients,03_hivemind/eta_next_epoch_s,03_hivemind/per_epoch_training_samples,03_hivemind/next_fetch_time_s,04_peers/peer_1_samples_per_second,03_hivemind/estimated_current_samples
0,89.28,4224,,,2,0.0,,1600.0,0.0,0.0,,150.72951234714037,,2048.0,82,,0.0,150.72951234714037,31,1681390414.0,0,188.97,,10.0,36.66,4285
0,113.86,4512,,,2,0.0,,1664.0,0.0,0.0,,163.78339250900794,,2560.0,83,,0.0,163.78339250900794,32,1681390415.0,0,171.65,,10.0,36.87,4654
0,126.83,5056,,,2,0.0,,1696.0,0.0,0.0,,189.642294846569,,2816.0,84,,0.0,189.642294846569,33,1681390416.0,0,145.34,,10.0,36.96,5206
0,152.61,5632,,,2,0.0,,1728.0,0.0,0.0,,213.25179670258757,,3328.0,85,,0.0,213.25179670258757,34,1681390417.0,0,126.81,,10.0,37.03,5725
0,176.07,5920,,,2,0.0,,1792.0,0.0,0.0,,225.6704521597611,,3840.0,86,,0.0,225.6704521597611,35,1681390418.0,0,118.06,,10.0,37.19,6126
0,188.42,6496,,,2,0.0,,1824.0,0.0,0.0,,248.7970615509521,,4096.0,90,,0.0,248.7970615509521,36,1681390422.0,0,101.94,,10.0,37.25,7406
0,211.48,8192,,,2,0.0,,1888.0,0.0,0.0,,309.2406345380809,,4608.0,92,,0.0,309.2406345380809,37,1681390424.0,0,78.68,,10.0,37.32,8436
0,271.79,8736,,,2,0.0,,2048.0,0.0,0.0,,323.80791356881764,,6144.0,93,,0.0,323.80791356881764,38,1681390425.0,0,73.6,,10.0,37.45,8937
0,286.34,9280,,,2,0.0,,2080.0,0.0,0.0,,335.01334491102443,,6656.0,94,,0.0,335.01334491102443,39,1681390426.0,0,69.7,,10.0,37.47,9418
0,297.53,9600,,,2,0.0,,2112.0,0.0,0.0,,339.6221151051402,,7168.0,95,,0.0,339.6221151051402,40,1681390427.0,0,67.47,,10.0,37.48,9855
0,302.11,10144,,,2,0.0,,2176.0,0.0,0.0,,345.00263737122356,,7424.0,96,,0.0,345.00263737122356,41,1681390428.0,0,65.12,,10.0,37.51,10303
0,307.48,10432,,,2,0.0,,2208.0,0.0,0.0,,350.277318951075,,7936.0,97,,0.0,350.277318951075,42,1681390429.0,0,62.85,,10.0,37.52,10755
0,312.74,11008,,,2,0.0,,2240.0,0.0,0.0,,359.48281574753366,,8192.0,99,,0.0,359.48281574753366,43,1681390431.0,0,59.86,,10.0,37.54,11248
0,321.94,11552,,,2,0.0,,2304.0,0.0,0.0,,364.10171721362815,,8704.0,100,,0.0,364.10171721362815,44,1681390432.0,0,57.83,,10.0,37.54,11711
0,326.57,11872,,,2,0.0,,2336.0,0.0,0.0,,367.3721252186863,,9216.0,101,,0.0,367.3721252186863,45,1681390433.0,0,56.08,,10.0,37.53,12167
0,329.83,12416,,,2,0.0,,2400.0,0.0,0.0,,371.5907531438264,,9472.0,102,,0.0,371.5907531438264,46,1681390434.0,0,54.17,,10.0,37.54,12638
0,334.11,12960,,,2,0.0,,2432.0,0.0,0.0,,379.0564775857662,,9984.0,103,,0.0,379.0564775857662,47,1681390435.0,0,51.79,,10.0,37.48,13137
0,341.59,13280,,,2,0.0,,2464.0,0.0,0.0,,381.9250784845074,,10496.0,105,,0.0,381.9250784845074,48,1681390437.0,0,50.17,,10.0,37.46,13605
0,344.45,13824,,,2,0.0,,2528.0,0.0,0.0,,381.911469342793,,10752.0,106,,0.0,381.911469342793,49,1681390438.0,0,49.0,,10.0,37.47,14053
0,344.44,14368,,,2,0.0,,2560.0,0.0,0.0,,386.5354873579126,,11264.0,107,,0.0,386.5354873579126,50,1681390439.0,0,47.16,,10.0,37.47,14539
0,349.06,14688,,,2,0.0,,2592.0,0.0,0.0,,383.9877141684309,,11776.0,108,,0.0,383.9877141684309,51,1681390440.0,0,46.34,,10.0,37.48,14974
0,346.53,15232,,,2,0.0,,2656.0,0.0,0.0,,388.4423830564241,,12032.0,109,,0.0,388.4423830564241,52,1681390441.0,0,44.55,,10.0,37.45,15462
0,351.0,15808,,,2,0.0,,2688.0,0.0,0.0,,391.24813804415277,,12544.0,110,,0.0,391.24813804415277,53,1681390442.0,0,43.01,,10.0,37.44,15939
0,353.83,16096,,,2,0.0,,2752.0,0.0,0.0,,392.4661547469177,,13056.0,112,,0.0,392.4661547469177,54,1681390444.0,0,41.68,,10.0,37.42,16408
0,355.07,16640,,,2,0.0,,2784.0,0.0,0.0,,391.1912245156291,,13312.0,113,,0.0,391.1912245156291,55,1681390445.0,0,40.66,,10.0,37.39,16860
0,353.8,16960,,,2,0.0,,2816.0,0.0,0.0,,392.2983846765612,,13824.0,114,,0.0,392.2983846765612,56,1681390446.0,0,39.36,,10.0,37.39,17329
0,354.93,17504,,,2,0.0,,2880.0,0.0,0.0,,394.6414248985074,,14080.0,115,,0.0,394.6414248985074,57,1681390447.0,0,37.9,,10.0,37.37,17810
0,357.27,18048,,,2,0.0,,2912.0,0.0,0.0,,392.97557440372935,,14592.0,116,,0.0,392.97557440372935,58,1681390448.0,0,36.92,,10.0,37.37,18259
0,355.63,18368,,,2,0.0,,2944.0,0.0,0.0,,394.4718707430668,,15104.0,117,,0.0,394.4718707430668,59,1681390449.0,0,35.58,,10.0,37.34,18733
0,357.17,18912,,,2,0.0,,3008.0,0.0,0.0,,392.8565654534393,,15360.0,119,,0.0,392.8565654534393,60,1681390451.0,0,34.58,,10.0,37.31,19182
0,355.57,19488,,,2,0.0,,3040.0,0.0,0.0,,394.99491956025827,,15872.0,120,,0.0,394.99491956025827,61,1681390452.0,0,33.18,,10.0,37.28,19662
0,357.74,19776,,,2,0.0,,3104.0,0.0,0.0,,391.3146584575695,,16384.0,121,,0.0,391.3146584575695,62,1681390453.0,0,32.38,,10.0,37.25,20098
0,354.08,20320,,,2,0.0,,3136.0,0.0,0.0,,393.94254522664727,,16640.0,122,,0.0,393.94254522664727,63,1681390454.0,0,30.93,,10.0,37.23,20584
