02_timing/forward_time_s,02_timing/opt_step_time_s,memory/used_memory_sys_MB,memory/used_memory_sys_percent,disk/counter/disk_read_sys_count,cpu/interrupts/ctx_switches_count,cpu/load/avg_sys_load_fifteen_min_percent,_step,disk/time/disk_write_time_sys_s,02_timing/dataload_cuda_move_time_s,process/memory/shared_memory_proc_MB,bandwidth/disk_read_sys_bandwidth_MBs,bandwidth/net_recv_sys_bandwidth_Mbits,process/memory/virtual_memory_size_proc_MB,cpu/logical_core_count,02_timing/backward_time_s,disk/time/disk_busy_time_sys_s,process/memory/lib_memory_proc_MB,process/voluntary_proc_ctx_switches,01_general/locally_processed_samples,process/memory/dirty_pages_proc_count,bandwidth/net_sent_sys_bandwidth_Mbits,02_timing/loss_calc_time_s,disk/time/disk_read_time_sys_s,cpu/load/avg_sys_load_five_min_percent,_runtime,01_general/lr,03_hivemind/global_epoch,01_general/dataset_iteration_count,process/involuntary_proc_ctx_switches,bandwidth/disk_write_sys_bandwidth_MBs,03_hivemind/num_peers,cpu/interrupts/interrupts_count,_timestamp,01_general/minibatch_loss,memory/available_memory_sys_MB,process/memory/data_resident_set_proc_MB,process/memory/resident_set_size_proc_MB,process/memory/text_resident_set_proc_MB,01_general/step,02_timing/step_time_s,02_timing/dataload_time_s,memory/total_memory_sys_MB,disk/counter/disk_write_sys_count,cpu/interrupts/soft_interrupts_count,cpu/load/avg_sys_load_one_min_percent
2.283991917000094,0.10275090899995121,6709.989376,28.1,0.0,19503.0,1.5,14,0.05900000000019645,,2396.09856,0.0,0.16855028097545974,28069.25312,,0.4484152790000735,0.10800000000000409,4695.822336,933.0,,0.0,0.16861415291698623,0.00037299300038284855,0.0,0.8750000000000001,14,,,,52.0,0.004087809376988023,,245805.0,1681079708.0,,22682.677248,0.0,6168.281088,2.654208,,,,,53.0,12981.0,3.5000000000000004
,,,,,,,15,,,,,,,,,,,,32.0,,,,,,14,0.0001,0.0,0.0,,,1.0,,1681079708.0,7.1793212890625,,,,,0.0,3.975491692000105,1.1336714369999754,,,,
0.026062681000439625,0.10568936700019549,6715.61728,28.1,0.0,20771.0,1.5,16,0.06000000000040018,0.006759824000255321,2396.22144,0.0,27.061207244082848,28049.977344,,0.3278778769999917,0.11600000000001387,4695.822336,949.0,,0.0,0.16532122634140084,0.0005615569998553838,0.0,0.8750000000000001,15,,,,54.0,0.008170709773466235,,247357.0,1681079709.0,,22677.045248,0.0,6168.43264,2.654208,,,,,55.0,13833.0,3.5000000000000004
,,,,,,,17,,,,,,,,,,,,64.0,,,,,,15,0.0001,0.0,0.0,,,1.0,,1681079709.0,7.2237548828125,,,,,1.0,0.47061304800081416,0.0036617420000766288,,,,
0.02935829299985926,0.1024709890007216,,,,,,18,,0.006604420999792637,,,,,,0.3331251350000457,,,,96.0,,,0.0006041529995854944,,,15,0.0001,0.0,0.0,,,1.0,,1681079709.0,7.1910400390625,,,,,2.0,0.4778706590004731,0.005707668000468402,,,,
0.02561722400059807,,6720.397312,28.1,0.0,22316.0,1.5,19,0.068000000000211,0.006835893999777909,2394.329088,0.0,25.84853425887653,28049.977344,,,0.13599999999999568,4695.855104,967.0,,0.0,0.3250047469756099,0.0006605080006920616,0.0,0.8750000000000001,16,,,,55.0,0.07762641308540102,,249157.0,1681079710.0,,22691.405824,0.0,6166.540288,2.654208,,,,,66.0,14854.0,3.5000000000000004
,0.10265535199960141,,,,,,20,,,,,,,,0.33627327399972273,,,,128.0,,,,,,16,0.0001,0.0,0.0,,,1.0,,1681079710.0,7.15283203125,,,,,3.0,0.47574709900072776,0.003704847000335576,,,,
0.02515391700035252,,6722.895872,28.2,0.0,23868.0,1.5,21,0.06999999999970896,0.006851100999483606,2394.324992,0.0,40.40218504873548,28049.977344,,,0.14400000000000546,4695.855104,982.0,,0.0,0.2745647556932173,0.0007740979999653064,0.0,1.0,17,,,,58.0,0.008170952653963403,,251273.0,1681079711.0,,22669.766656,0.0,6166.687744,2.654208,,,,,68.0,16225.0,4.25
,0.10287242499998683,,,,,,22,,,,,,,,0.3356931509997594,,,,160.0,,,,,,17,0.0001,0.0,0.0,,,1.0,,1681079711.0,7.0352783203125,,,,,4.0,0.4758353329998499,0.004490641000302276,,,,
0.03356824399998004,,6726.180864,28.2,0.0,25532.0,1.5,23,0.07200000000011642,0.006635564999669441,2394.341376,0.0,38.265268395328945,28125.478912,,0.32345304599948577,0.15200000000001523,4704.391168,998.0,,0.0,0.4621900608758267,0.0007198299999799929,0.0,1.0,18,,,,60.0,0.008169200348440432,,253548.0,1681079712.0,,22666.477568,0.0,6166.724608,2.654208,,,,,70.0,17623.0,4.25
,0.10351752499991562,,,,,,24,,,,,,,,,,,,192.0,,,,,,18,0.0001,0.0,0.0,,,4.0,,1681079712.0,7.1495361328125,,,,,5.0,0.47324279499935074,0.005348585000319872,,,,
0.026156082999477803,0.10272156500013807,6728.56064,28.2,0.0,27322.0,1.5,25,0.07600000000002183,0.00671117999991111,2394.329088,0.0,28.582427120155785,28125.478912,,0.3333973329999935,0.16399999999998727,4704.391168,1022.0,,0.0,0.3694051999261284,0.0006801039999118075,0.0,1.0,19,,,,62.0,0.057196165311565135,,255777.0,1681079713.0,,22664.093696,0.0,6166.716416,2.654208,,,,,76.0,18839.0,4.25
,,,,,,,26,,,,,,,,,,,,224.0,,,,,,19,0.0001,0.0,0.0,,,4.0,,1681079713.0,7.28173828125,,,,,6.0,0.474284914999771,0.0046186500003386755,,,,
0.026696812999944086,0.10298636999959854,6727.921664,28.2,0.0,29458.0,1.5,27,0.14500000000043656,0.006768846999875677,2394.341376,0.0,31.34266497691224,28125.483008,,0.33079044399983104,0.18000000000000682,4704.395264,1037.0,,0.0,0.5078494134456607,0.0009319069995399332,0.0,1.0,20,,,,63.0,0.2778154292428281,,258336.0,1681079714.0,,22664.740864,0.0,6166.736896,2.654208,,,,,121.0,20425.0,4.25
,,,,,,,28,,,,,,,,,,,,256.0,,,,,,20,0.0001,0.0,0.0,,,4.0,,1681079714.0,7.125,,,,,7.0,0.4727458569996088,0.00457147600081953,,,,
