03_hivemind/num_peers,03_hivemind/num_clients,03_hivemind/global_epoch,04_peers/peer_2_epoch_oos,03_hivemind/epoch_based_sps,03_hivemind/total_training_samples,03_hivemind/optimistic_total_samples_per_second,03_hivemind/next_fetch_time_s,04_peers/peer_2_samples_accumulated,03_hivemind/actual_total_samples_per_second,_runtime,03_hivemind/epoch_s,04_peers/peer_2_epoch,03_hivemind/undershot_TBS,04_peers/peer_1_epoch_oos,04_peers/peer_2_samples_per_second,03_hivemind/estimated_current_samples,_step,_timestamp,03_hivemind/eta_next_epoch_s,03_hivemind/per_epoch_training_samples,04_peers/peer_1_epoch,03_hivemind/reached_TBS,03_hivemind/overshot_TBS,04_peers/peer_1_samples_per_second,04_peers/peer_1_samples_accumulated,03_hivemind/global_samples_accumulated
1,0,0,,,,762.202773731033,9.3,,762.202773731033,44,,,,,,4416,0,1681407806.0,37.2,,,,,,,4352
1,0,0,,,,1080.404076787591,6.15,,1080.404076787591,45,,,,0.0,,6186,1,1681407807.0,24.6,,0.0,,,762.2,4352.0,5888
1,0,0,,,,1316.4988688221088,4.72,,1316.4988688221088,46,,,,0.0,,7895,2,1681407808.0,18.89,,0.0,,,1080.4,5888.0,7680
1,0,0,,,,1267.9346392306136,4.66,,1267.9346392306136,47,,,,0.0,,9130,3,1681407809.0,18.64,,0.0,,,1316.5,7680.0,8960
1,0,0,,,,1382.5471053875863,3.98,,1382.5471053875863,49,,,,0.0,,10746,4,1681407811.0,15.93,,0.0,,,1267.93,8960.0,10240
1,0,0,,,,1459.6358985511154,3.51,,1459.6358985511154,50,,,,0.0,,12269,5,1681407812.0,14.04,,0.0,,,1382.55,10240.0,12032
1,0,0,,,,1449.616462331339,3.29,,1449.616462331339,51,,,,0.0,,13711,6,1681407813.0,13.15,,0.0,,,1459.64,12032.0,13568
1,0,0,,,,1326.2689269606933,3.36,,1326.2689269606933,52,,,,0.0,,14968,7,1681407814.0,13.42,,0.0,,,1449.62,13568.0,14848
1,0,0,,,,1517.1779342807786,2.63,,1517.1779342807786,53,,,,0.0,,16816,8,1681407815.0,10.51,,0.0,,,1326.27,14848.0,16384
1,0,0,,,,1322.3416907723158,2.83,,1322.3416907723158,54,,,,0.0,,17807,9,1681407816.0,11.31,,0.0,,,1517.18,16384.0,17664
1,0,0,,,,1191.161211020802,2.91,,1191.161211020802,55,,,,0.0,,18893,10,1681407817.0,11.65,,0.0,,,1322.34,17664.0,18688
2,0,0,,,,1454.4700917188243,3.27,,1454.4700917188243,56,,,,0.0,,20872,11,1681407818.0,8.18,,0.0,,,1191.16,18688.0,20544
2,0,0,0.0,,,1437.1778804906992,2.9,64.0,1437.1778804906992,57,,0.0,,0.0,1.27,22342,12,1681407819.0,7.25,,0.0,,,1453.2,20480.0,22208
2,0,0,0.0,,,1268.946899421111,2.9,192.0,1268.946899421111,58,,0.0,,0.0,4.66,23561,13,1681407820.0,7.26,,0.0,,,1432.52,22016.0,23360
2,0,0,0.0,,,1489.9375435270376,1.93,320.0,1489.9375435270376,59,,0.0,,0.0,9.46,25561,14,1681407821.0,4.84,,0.0,,,1259.49,23040.0,25024
2,0,0,0.0,,,1465.113906739064,1.55,448.0,1465.113906739064,60,,0.0,,0.0,16.06,27089,15,1681407822.0,3.88,,0.0,,,1473.88,24576.0,26944
2,0,0,0.0,,,1519.7506637726253,1.05,576.0,1519.7506637726253,61,,0.0,,0.0,24.74,28773,16,1681407823.0,2.63,,0.0,,,1440.37,26368.0,28608
2,0,0,0.0,,,1396.7332714088934,0.74,704.0,1396.7332714088934,62,,0.0,,0.0,35.52,30169,17,1681407824.0,1.86,,0.0,,,1484.23,27904.0,30016
2,0,0,0.0,,,1598.5102882680912,0.5,832.0,1598.5102882680912,63,,0.0,,0.0,47.98,32167,18,1681407825.0,0.38,,0.0,,,1348.75,29184.0,31680
2,0,0,0.0,,,1500.8052314918432,0.5,960.0,1500.8052314918432,67,,0.0,,0.0,61.28,38002,19,1681407829.0,0.0,,0.0,,,1537.23,30720.0,33024
2,0,0,0.0,,,1500.8052314918432,0.5,1024.0,1500.8052314918432,68,,0.0,,0.0,67.83,39584,20,1681407830.0,0.0,,0.0,,,1432.97,32000.0,33024
2,0,0,0.0,,,1500.8052314918432,0.5,1024.0,1500.8052314918432,69,,0.0,,0.0,67.83,41155,21,1681407831.0,0.0,,0.0,,,1432.97,32000.0,33024
2,0,0,0.0,,,1500.8052314918432,0.5,1024.0,1500.8052314918432,70,,0.0,,0.0,67.83,42720,22,1681407832.0,0.0,,0.0,,,1432.97,32000.0,33024
