03_hivemind/estimated_current_samples,03_hivemind/optimistic_total_samples_per_second,03_hivemind/num_peers,03_hivemind/global_samples_accumulated,_step,03_hivemind/eta_next_epoch_s,_runtime,03_hivemind/global_epoch,03_hivemind/next_fetch_time_s,03_hivemind/actual_total_samples_per_second,_timestamp,03_hivemind/num_clients,04_peers/peer_1_samples_accumulated,04_peers/peer_3_samples_per_second,04_peers/peer_2_samples_accumulated,04_peers/peer_1_epoch,04_peers/peer_2_epoch,04_peers/peer_3_epoch_oos,04_peers/peer_3_epoch,04_peers/peer_3_samples_accumulated,04_peers/peer_2_epoch_oos,04_peers/peer_2_samples_per_second,04_peers/peer_1_samples_per_second,04_peers/peer_1_epoch_oos,04_peers/peer_4_samples_per_second,04_peers/peer_4_samples_accumulated,04_peers/peer_4_epoch,04_peers/peer_5_samples_per_second,04_peers/peer_5_samples_accumulated,04_peers/peer_5_epoch,04_peers/peer_5_epoch_oos,04_peers/peer_4_epoch_oos,04_peers/peer_7_epoch,04_peers/peer_6_samples_accumulated,04_peers/peer_7_samples_per_second,04_peers/peer_6_samples_per_second,04_peers/peer_7_samples_accumulated,04_peers/peer_6_epoch,04_peers/peer_7_epoch_oos,04_peers/peer_6_epoch_oos,04_peers/peer_8_samples_per_second,04_peers/peer_8_samples_accumulated,04_peers/peer_8_epoch,04_peers/peer_8_epoch_oos,03_hivemind/epoch_s,03_hivemind/undershot_TBS,03_hivemind/total_training_samples,03_hivemind/per_epoch_training_samples,03_hivemind/reached_TBS,03_hivemind/epoch_based_sps,03_hivemind/overshot_TBS
2068,298.006880849177,3,1120,0,103.02,78,0,10.0,298.006880849177,1683051749,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5839,988.5645913235817,5,5504,1,27.24,80,0,10.0,988.5645913235817,1683051751,0,448.0,63.5,416.0,0.0,0.0,0.0,0.0,256.0,0.0,112.88,121.63,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
7494,1062.6936268445957,5,7200,2,23.78,81,0,10.0,1062.6936268445957,1683051752,0,1408.0,209.85,1376.0,0.0,0.0,0.0,0.0,1216.0,0.0,211.84,215.14,0.0,184.34,800.0,0.0,167.39,704.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
9020,1086.9405738585724,5,8704,3,21.85,83,0,10.0,1086.9405738585724,1683051754,0,1728.0,218.64,1696.0,0.0,0.0,0.0,0.0,1600.0,0.0,215.96,218.65,0.0,209.64,1152.0,0.0,199.81,1024.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
10780,1108.7349465976047,7,10560,4,19.83,84,0,10.0,1108.7349465976047,1683051755,0,2048.0,220.67,2016.0,0.0,0.0,0.0,0.0,1888.0,0.0,217.32,219.6,0.0,217.33,1440.0,0.0,212.01,1312.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
13305,1268.82328928192,8,13088,5,15.34,85,0,10.0,1268.82328928192,1683051756,0,2368.0,221.38,2336.0,0.0,0.0,0.0,0.0,2208.0,0.0,217.36,220.14,0.0,220.81,1760.0,0.0,217.42,1664.0,0.0,0.0,0.0,0.0,160.0,9.51,2.11,64.0,0.0,0.0,0.0,,,,,,,,,,,
15777,1421.7108464177093,8,15488,6,11.95,87,0,8.69,1421.7108464177093,1683051758,0,2688.0,221.55,2656.0,0.0,0.0,0.0,0.0,2496.0,0.0,217.59,220.13,0.0,221.88,2080.0,0.0,218.99,1984.0,0.0,0.0,0.0,0.0,480.0,72.29,11.24,384.0,0.0,0.0,0.0,85.17,320.0,0.0,0.0,,,,,,,
18279,1548.367367961528,8,18016,7,9.36,88,0,6.81,1548.367367961528,1683051759,0,3008.0,221.3,2944.0,0.0,0.0,0.0,0.0,2816.0,0.0,217.42,219.93,0.0,221.96,2368.0,0.0,219.51,2272.0,0.0,0.0,0.0,0.0,768.0,134.24,30.49,672.0,0.0,0.0,0.0,156.88,640.0,0.0,0.0,,,,,,,
20746,1636.0802829958423,8,20384,8,7.35,90,0,5.34,1636.0802829958423,1683051761,0,3296.0,221.04,3264.0,0.0,0.0,0.0,0.0,3136.0,0.0,217.3,219.79,0.0,221.27,2688.0,0.0,219.29,2592.0,0.0,0.0,0.0,0.0,1088.0,182.1,71.93,992.0,0.0,0.0,0.0,195.65,960.0,0.0,0.0,,,,,,,
23217,1700.6478872401103,8,22912,9,5.62,91,0,4.08,1700.6478872401103,1683051762,0,3616.0,221.72,3552.0,0.0,0.0,0.0,0.0,3424.0,0.0,217.07,219.54,0.0,221.3,3008.0,0.0,219.13,2880.0,0.0,0.0,0.0,0.0,1376.0,203.67,122.85,1280.0,0.0,0.0,0.0,210.8,1248.0,0.0,0.0,,,,,,,
