_step,_runtime,cpu/logical_core_count,memory/total_memory_sys_MB,_timestamp,cpu/load/avg_sys_load_fifteen_min_percent,disk/time/disk_read_time_sys_s,disk/time/disk_busy_time_sys_s,memory/used_memory_sys_MB,bandwidth/disk_write_sys_bandwidth_MBs,cpu/interrupts/ctx_switches_count,bandwidth/net_sent_sys_bandwidth_Mbits,process/memory/shared_memory_proc_MB,disk/counter/disk_write_sys_count,process/memory/resident_set_size_proc_MB,disk/counter/disk_read_sys_count,process/memory/dirty_pages_proc_count,bandwidth/disk_read_sys_bandwidth_MBs,cpu/load/avg_sys_load_one_min_percent,cpu/interrupts/soft_interrupts_count,bandwidth/net_recv_sys_bandwidth_Mbits,memory/available_memory_sys_MB,process/memory/text_resident_set_proc_MB,process/voluntary_proc_ctx_switches,disk/time/disk_write_time_sys_s,process/memory/lib_memory_proc_MB,process/memory/data_resident_set_proc_MB,cpu/interrupts/interrupts_count,memory/used_memory_sys_percent,cpu/load/avg_sys_load_five_min_percent,process/memory/virtual_memory_size_proc_MB,process/involuntary_proc_ctx_switches,02_timing/dataload_cuda_move_time_s,02_timing/loss_calc_time_s,02_timing/forward_time_s,02_timing/backward_time_s,03_hivemind/num_peers,02_timing/opt_step_time_s,01_general/locally_processed_samples,01_general/minibatch_loss,02_timing/step_time_s,03_hivemind/global_epoch,01_general/lr,02_timing/dataload_time_s,01_general/dataset_iteration_count,01_general/step
0,1,8.0,31557.18144,1681306478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,,,1681306478,9.0,0.0,0.0,703.7952,0.0,13.0,0.0,176.877568,0.0,399.99488,0.0,0.0,0.0,5.5,10.0,0.0,30392.09472,2.654208,178.0,0.0,1009.60256,0.0,14.0,3.7,11.25,8492.621824,45.0,,,,,,,,,,,,,,
2,2,,,1681306479,9.0,0.0,0.012000000000000455,1085.267968,0.012245113098095199,2254.0,0.27630428046578,181.747712,3.0,630.571008,0.0,0.0,0.0,5.5,921.0,0.25533771308387465,30010.626048,2.654208,197.0,0.001999999999497959,1252.253696,0.0,2961.0,4.9,11.25,8869.23264,48.0,,,,,,,,,,,,,,
3,3,,,1681306480,9.0,0.0,0.015999999999991132,1659.613184,0.0040844632507015,2509.0,0.010259022933973105,183.451648,4.0,1202.335744,0.0,0.0,0.0,5.5,1170.0,0.015508196428984301,29436.276736,2.654208,202.0,0.0029999999997016857,1845.694464,0.0,3597.0,6.7,11.25,9663.606784,49.0,,,,,,,,,,,,,,
4,4,,,1681306481,9.125,0.0,0.020000000000010232,1659.838464,0.004085421917229049,2994.0,0.056006985260623345,183.451648,5.0,1202.36032,0.0,0.0,0.0,9.0,2189.0,0.05779435736075038,29436.055552,2.654208,204.0,0.0039999999999054126,1845.706752,0.0,5124.0,6.7,12.0,9663.606784,53.0,,,,,,,,,,,,,,
5,5,,,1681306482,9.125,0.0,0.02400000000000091,2062.508032,0.004085596802841905,3291.0,0.004931443015490851,335.351808,6.0,1673.494528,0.0,0.0,0.0,9.0,2534.0,0.004628215068713698,29020.807168,2.654208,215.0,0.005000000000109139,2176.974848,0.0,5951.0,8.0,12.0,10399.576064,54.0,,,,,,,,,,,,,,
6,6,,,1681306483,9.125,0.0,0.03200000000001069,2825.015296,0.15117337310810025,3653.0,0.06271492501274842,457.641984,9.0,2554.486784,0.0,0.0,0.0,9.0,2958.0,0.023700639692774986,28258.287616,2.654208,215.0,0.007999999999810825,2935.578624,0.0,6612.0,10.5,12.0,11493.72416,56.0,,,,,,,,,,,,,,
7,7,,,1681306484,9.125,0.0,0.04400000000001114,3089.24416,0.28579936211079837,5765.0,0.02242376690613552,1255.6288,56.0,3607.113728,0.0,0.0,0.0,9.0,3796.0,0.7918811343725158,27202.772992,2.654208,586.0,0.07399999999961437,3232.288768,0.0,8920.0,13.8,12.0,14225.936384,57.0,,,,,,,,,,,,,,
8,8,,,1681306485,9.125,0.002000000000000668,0.056000000000011596,4603.899904,0.004067494689819529,7392.0,0.05977310555506543,1433.3952,57.0,4907.085824,2.0,0.0,0.016269978757020204,9.0,5055.0,0.03845053568782469,25510.576128,2.654208,740.0,0.0749999999998181,4353.163264,0.0,160061.0,19.2,12.0,18174.476288,60.0,,,,,,,,,,,,,,
9,9,,,1681306486,9.375,0.002000000000000668,0.060000000000002274,5341.9008,0.004075909574474972,9052.0,0.0032957550077543033,2047.950848,58.0,5814.49728,2.0,0.0,0.0,12.25,5921.0,0.006320844198541784,24157.65504,2.654208,949.0,0.07600000000002183,4654.481408,0.0,233248.0,23.4,12.625,19157.663744,62.0,,,,,,,,,,,,,,
