_runtime,03_hivemind/epoch_s,04_peers/peer_3_epoch,04_peers/peer_1_epoch_oos,04_peers/peer_1_epoch,03_hivemind/next_fetch_time_s,04_peers/peer_1_samples_per_second,03_hivemind/optimistic_total_samples_per_second,03_hivemind/num_clients,04_peers/peer_1_samples_accumulated,04_peers/peer_2_samples_accumulated,04_peers/peer_3_samples_accumulated,03_hivemind/actual_total_samples_per_second,03_hivemind/num_peers,03_hivemind/epoch_based_sps,03_hivemind/estimated_current_samples,03_hivemind/total_training_samples,04_peers/peer_3_samples_per_second,_step,_timestamp,04_peers/peer_2_epoch,03_hivemind/reached_TBS,03_hivemind/global_epoch,04_peers/peer_3_epoch_oos,03_hivemind/per_epoch_training_samples,03_hivemind/overshot_TBS,04_peers/peer_2_epoch_oos,04_peers/peer_2_samples_per_second,03_hivemind/global_samples_accumulated,03_hivemind/undershot_TBS,03_hivemind/eta_next_epoch_s
74,,0.0,0.0,0.0,0.5,119.3,1550.2465767339488,0,2880.0,28928.0,1120.0,1550.2465767339488,3,,47391,,77.29,28,1681407110.0,0.0,,0,0.0,,,0.0,1353.66,32928,,0.0
75,,0.0,0.0,0.0,0.5,119.3,1550.2465767339488,0,2880.0,28928.0,1120.0,1550.2465767339488,3,,49022,,77.29,29,1681407111.0,0.0,,0,0.0,,,0.0,1353.66,32928,,0.0
76,,0.0,0.0,0.0,0.5,119.3,1550.2465767339488,0,2880.0,28928.0,1120.0,1550.2465767339488,3,,50656,,77.29,30,1681407112.0,0.0,,0,0.0,,,0.0,1353.66,32928,,0.0
77,,0.0,0.0,0.0,0.5,119.3,1550.2465767339488,0,2880.0,28928.0,1120.0,1550.2465767339488,3,,52279,,77.29,31,1681407113.0,0.0,,0,0.0,,,0.0,1353.66,32928,,0.0
79,,0.0,0.0,0.0,0.5,119.3,1550.2465767339488,0,2880.0,28928.0,1120.0,1550.2465767339488,3,,53910,,77.29,32,1681407115.0,0.0,,0,0.0,,,0.0,1353.66,32928,,0.0
80,,0.0,0.0,0.0,0.5,119.3,1550.2465767339488,0,2880.0,28928.0,1120.0,1550.2465767339488,3,,55542,,77.29,33,1681407116.0,0.0,,0,0.0,,,0.0,1353.66,32928,,0.0
81,,0.0,0.0,0.0,0.5,119.3,1550.2465767339488,0,2880.0,28928.0,1120.0,1550.2465767339488,3,,57175,,77.29,34,1681407117.0,0.0,,0,0.0,,,0.0,1353.66,32928,,0.0
82,,0.0,0.0,0.0,0.5,119.3,1550.2465767339488,0,2880.0,28928.0,1120.0,1550.2465767339488,3,,58812,,77.29,35,1681407118.0,0.0,,0,0.0,,,0.0,1353.66,32928,,0.0
83,,0.0,0.0,0.0,0.5,119.3,1550.2465767339488,0,2880.0,28928.0,1120.0,1550.2465767339488,3,,60436,,77.29,36,1681407119.0,0.0,,0,0.0,,,0.0,1353.66,32928,,0.0
84,,0.0,0.0,0.0,0.5,119.3,1550.2465767339488,0,2880.0,28928.0,1120.0,1550.2465767339488,3,,62059,,77.29,37,1681407120.0,0.0,,0,0.0,,,0.0,1353.66,32928,,0.0
