_step,_runtime,cpu/logical_core_count,memory/total_memory_sys_MB,_timestamp,cpu/load/avg_sys_load_fifteen_min_percent,disk/time/disk_read_time_sys_s,disk/time/disk_busy_time_sys_s,memory/used_memory_sys_MB,bandwidth/disk_write_sys_bandwidth_MBs,cpu/interrupts/ctx_switches_count,bandwidth/net_sent_sys_bandwidth_Mbits,process/memory/shared_memory_proc_MB,disk/counter/disk_write_sys_count,process/memory/resident_set_size_proc_MB,disk/counter/disk_read_sys_count,process/memory/dirty_pages_proc_count,bandwidth/disk_read_sys_bandwidth_MBs,cpu/load/avg_sys_load_one_min_percent,cpu/interrupts/soft_interrupts_count,bandwidth/net_recv_sys_bandwidth_Mbits,memory/available_memory_sys_MB,process/memory/text_resident_set_proc_MB,process/voluntary_proc_ctx_switches,disk/time/disk_write_time_sys_s,process/memory/lib_memory_proc_MB,process/memory/data_resident_set_proc_MB,cpu/interrupts/interrupts_count,memory/used_memory_sys_percent,cpu/load/avg_sys_load_five_min_percent,process/memory/virtual_memory_size_proc_MB,process/involuntary_proc_ctx_switches,02_timing/dataload_cuda_move_time_s,02_timing/loss_calc_time_s,02_timing/forward_time_s,03_hivemind/num_peers,02_timing/opt_step_time_s,01_general/locally_processed_samples,01_general/minibatch_loss,02_timing/backward_time_s,02_timing/step_time_s,03_hivemind/global_epoch,01_general/lr,02_timing/dataload_time_s,01_general/dataset_iteration_count,01_general/step
14,14,,,1683543519,1.7500000000000002,0.004000000000000448,0.10400000000001342,7203.127296,0.004084660387242393,15613.0,0.06003333869083436,2365.70624,33.0,6581.94432,6.0,0.0,0.0,3.5000000000000004,11801.0,0.022146518036116187,22197.927936,2.654208,890.0,0.052999999999883585,5152.022528,0.0,251380.0,29.7,0.8750000000000001,28408.901632,68.0,,0.00033224800017706,2.2122261859999526,,,,,,,,,,,
15,15,,,1683543520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.10396080200007418,32.0,7.1793212890625,0.4333828320000066,4.2894821030004096,0.0,0.0001,1.533257285000218,0.0,0.0
16,15,,,1683543520,1.7500000000000002,0.004000000000000448,0.11199999999999477,7279.714304,0.008172639610855695,16417.0,0.03708814090155417,2400.841728,35.0,6691.725312,6.0,0.0,0.0,3.5000000000000004,12179.0,4.236420229726941,22140.612608,2.654208,926.0,0.05500000000029104,5224.316928,0.0,252288.0,29.8,0.8750000000000001,28663.058432,70.0,0.006890595999720972,0.0008058700000219687,0.0256370700003572,,,,,,,,,,,
17,16,,,1683543521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.10286631200006013,64.0,7.2237548828125,0.3334611719997156,0.4750439149997874,0.0,0.0001,0.005382894999911514,0.0,1.0
18,16,,,1683543521,1.7500000000000002,0.004000000000000448,0.12399999999999523,7293.07136,0.008171867957401015,17167.0,0.1032496363457924,2398.855168,37.0,6689.738752,6.0,0.0,0.0,3.5000000000000004,13017.0,41.63245914053984,22107.99616,2.654208,942.0,0.05700000000069849,5224.316928,0.0,253548.0,29.9,0.8750000000000001,28643.782656,73.0,0.006843395000032615,0.0006143870000414609,0.027132686000186368,,,,,,,,,,,
19,17,,,1683543522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.1024981119999211,96.0,7.1910400390625,0.3356382459996894,0.47657755199998064,0.0,0.0001,0.0038507260001097166,0.0,2.0
20,17,,,1683543522,1.7500000000000002,0.004000000000000448,0.132000000000005,7297.052672,0.008171852409133883,18124.0,0.06870261462929582,2399.00672,39.0,6689.964032,6.0,0.0,0.0,3.5000000000000004,13843.0,29.413553280689978,22104.018944,2.654208,970.0,0.05800000000090222,5224.316928,0.0,254962.0,30.0,0.8750000000000001,28663.058432,73.0,0.006925471000158723,0.0007389060001514736,0.02579848799996398,,,,,0.33456186400007937,,,,,,
21,18,,,1683543523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.10239931300020544,128.0,7.15283203125,,0.4751100990006307,0.0,0.0001,0.004686057000071742,0.0,3.0
22,18,,,1683543523,1.7500000000000002,0.004000000000000448,0.14799999999999613,7298.49856,0.04494032508618046,19095.0,0.12905182486408115,2398.982144,43.0,6689.939456,6.0,0.0,0.0,3.5000000000000004,14750.0,27.764670654523304,22102.564864,2.654208,981.0,0.0610000000015134,5224.316928,0.0,256414.0,30.0,0.8750000000000001,28643.782656,75.0,0.006800849000228482,0.0008687340000506083,0.02818598200019551,,0.10288442299997769,,,0.33522794099962994,,,,,,
23,18,,,1683543523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,160.0,7.0352783203125,,0.47813722999990205,0.0,0.0001,0.004169300999819825,0.0,4.0
24,19,,,1683543524,1.875,0.004000000000000448,0.1599999999999966,7302.28736,0.06537572107603061,19948.0,0.05567949291190088,2401.030144,49.0,6691.987456,6.0,0.0,0.0,4.25,15659.0,28.848816560904094,22098.776064,2.654208,993.0,0.06700000000091677,5224.316928,0.0,257805.0,30.0,1.125,28643.786752,78.0,0.006748124999830907,0.0007822550001037598,0.02652628800024104,,0.10316539999985253,,,0.3347521020000386,,,,,,
25,19,,,1683543524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,192.0,7.1495361328125,,0.47637733900000967,0.0,0.0001,0.004403168999942864,0.0,5.0
26,20,,,1683543525,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.006980646000101842,0.0007736590000604338,0.027186497999991843,1.0,0.10371316200007641,224.0,7.28173828125,0.32961831100010386,0.47262642200030314,0.0,0.0001,0.00435414599996875,0.0,6.0
27,20,,,1683543525,1.875,0.004000000000000448,0.17599999999998772,7299.321856,0.012257318010842675,21016.0,0.11651634134395472,2398.98624,52.0,6689.943552,6.0,0.0,0.0,4.25,16589.0,29.782665322889244,22120.882176,2.654208,1014.0,0.06900000000132422,5224.579072,0.0,259317.0,29.9,1.125,28644.048896,81.0,0.006733887999871513,0.000757377999889286,0.025191549999817653,,,,,,,,,,,
28,21,,,1683543526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.1036403309999514,256.0,7.125,0.34135486200011655,0.48215977099971497,0.0,0.0001,0.0044817620000685565,0.0,7.0
29,21,,,1683543526,1.875,0.004000000000000448,0.19200000000000728,7300.743168,0.34731686123957883,21832.0,0.0529195337056556,2398.982144,107.0,6689.939456,6.0,0.0,0.0,4.25,17711.0,48.238401519047194,22100.324352,2.654208,1027.0,0.16600000000107684,5224.579072,0.0,260910.0,30.0,1.125,28644.048896,82.0,0.0068540349998329475,0.000978978000148345,0.025935698000012053,,,,,,,,,,,
