02_timing/step_time_s,memory/used_memory_sys_percent,process/memory/lib_memory_proc_MB,cpu/load/avg_sys_load_fifteen_min_percent,01_general/lr,02_timing/loss_calc_time_s,bandwidth/net_recv_sys_bandwidth_Mbits,cpu/load/avg_sys_load_five_min_percent,process/memory/text_resident_set_proc_MB,03_hivemind/num_peers,02_timing/backward_time_s,memory/total_memory_sys_MB,bandwidth/disk_read_sys_bandwidth_MBs,cpu/load/avg_sys_load_one_min_percent,02_timing/forward_time_s,disk/time/disk_busy_time_sys_s,cpu/interrupts/ctx_switches_count,disk/counter/disk_write_sys_count,bandwidth/disk_write_sys_bandwidth_MBs,_runtime,disk/time/disk_read_time_sys_s,disk/time/disk_write_time_sys_s,cpu/interrupts/soft_interrupts_count,03_hivemind/global_epoch,process/involuntary_proc_ctx_switches,process/memory/virtual_memory_size_proc_MB,memory/available_memory_sys_MB,cpu/interrupts/interrupts_count,disk/counter/disk_read_sys_count,01_general/dataset_iteration_count,_step,01_general/step,cpu/logical_core_count,01_general/minibatch_loss,process/memory/resident_set_size_proc_MB,02_timing/dataload_cuda_move_time_s,process/voluntary_proc_ctx_switches,process/memory/shared_memory_proc_MB,process/memory/data_resident_set_proc_MB,01_general/locally_processed_samples,process/memory/dirty_pages_proc_count,bandwidth/net_sent_sys_bandwidth_Mbits,_timestamp,02_timing/dataload_time_s,02_timing/opt_step_time_s,memory/used_memory_sys_MB
0.20355881500040596,,,,0.0001,0.0005215450000832789,,,,1.0,0.14010297200002242,,,,0.01728923499990742,,,,,12,,,,0.0,,,,,,0.0,14,1.0,,7.2235107421875,,0.0030181850002009014,,,,64.0,,,1681394178.0,0.0035837010000250302,0.039043177000166907,
0.20092543500049942,,,,0.0001,0.0003321430001506087,,,,1.0,0.1380305430000135,,,,0.016927453000107562,,,,,12,,,,0.0,,,,,,0.0,15,2.0,,7.1915283203125,,0.0030291699999906996,,,,96.0,,,1681394178.0,0.003314765000141051,0.039291361000096,
,5.3,6730.416128,0.5666666666666667,,0.0003835559998606186,65.39520858542363,0.6,2.719744,,,,0.0,0.4333333333333333,0.01666178999994372,0.15200000000000102,39381.0,316.0,0.24519102734621367,12,0.017000000000000348,0.2510000000000332,31692.0,,120.0,32026.845184,199820.865536,961312.0,61.0,,16,,,,6553.944064,0.0030074469998453424,1121.0,2451.759104,0.0,,0.0,0.6088591253330973,1681394178.0,,,7810.08896
0.20445040899949163,,,,0.0001,,,,,1.0,0.14219707899997047,,,,,,,,,13,,,,0.0,,,,,,0.0,17,3.0,,7.15283203125,,,,,,128.0,,,1681394179.0,0.0027946069999416068,0.03940592999992987,
0.203457720999495,,,,0.0001,0.0004170349998275924,,,,1.0,0.14096210699995027,,,,0.017242235999901823,,,,,13,,,,0.0,,,,,,0.0,18,4.0,,7.035400390625,,0.0030617899999469955,,,,160.0,,,1681394179.0,0.0027883569998721214,0.0389861959999962,
0.20192663400007405,,,,0.0001,0.00038308800003505894,,,,1.0,0.1392255060000025,,,,0.01724711599990769,,,,,13,,,,0.0,,,,,,0.0,19,5.0,,7.1494140625,,0.0030715640000380517,,,,192.0,,,1681394179.0,0.00280848700003844,0.039190873000052306,
,5.3,6730.678272,0.5666666666666667,,0.0004108830000859598,92.26156442296765,0.6,2.719744,,,,0.0,0.4333333333333333,0.017113181000013356,0.16800000000000637,43548.0,320.0,0.016348592313059244,13,0.017000000000000348,0.25200000000000955,36488.0,,124.0,32027.107328,199813.533696,966478.0,61.0,,20,,,,6554.046464,0.0030509309999615652,1152.0,2451.80416,0.0,,0.0,0.8541820173935872,1681394179.0,,,7817.375744
0.20284068599994498,,,,0.0001,,,,,1.0,0.1401799799998571,,,,,,,,,14,,,,0.0,,,,,,0.0,21,6.0,,7.2816162109375,,,,,,224.0,,,1681394180.0,0.002691838000146163,0.03939387299988084,
0.20293289499977618,,,,0.0001,0.0004011450000689365,,,,1.0,0.14056194199997663,,,,0.017320852000011655,,,,,14,,,,0.0,,,,,,0.0,22,7.0,,7.1248779296875,,0.0030483839998396434,,,,256.0,,,1681394180.0,0.0025982299998759117,0.03900234200000341,
0.20382360500002505,,,,0.0001,0.00043725799991989334,,,,1.0,0.14053281399992557,,,,0.017756617000031838,,,,,14,,,,0.0,,,,,,0.0,23,8.0,,7.3597412109375,,0.0030501940000249306,,,,288.0,,,1681394180.0,0.002736436000077447,0.03931028600004538,
