_step,_runtime,cpu/logical_core_count,memory/total_memory_sys_MB,_timestamp,cpu/load/avg_sys_load_fifteen_min_percent,disk/time/disk_read_time_sys_s,disk/time/disk_busy_time_sys_s,memory/used_memory_sys_MB,bandwidth/disk_write_sys_bandwidth_MBs,cpu/interrupts/ctx_switches_count,bandwidth/net_sent_sys_bandwidth_Mbits,process/memory/shared_memory_proc_MB,disk/counter/disk_write_sys_count,process/memory/resident_set_size_proc_MB,disk/counter/disk_read_sys_count,process/memory/dirty_pages_proc_count,bandwidth/disk_read_sys_bandwidth_MBs,cpu/load/avg_sys_load_one_min_percent,cpu/interrupts/soft_interrupts_count,bandwidth/net_recv_sys_bandwidth_Mbits,memory/available_memory_sys_MB,process/memory/text_resident_set_proc_MB,process/voluntary_proc_ctx_switches,disk/time/disk_write_time_sys_s,process/memory/lib_memory_proc_MB,process/memory/data_resident_set_proc_MB,cpu/interrupts/interrupts_count,memory/used_memory_sys_percent,cpu/load/avg_sys_load_five_min_percent,process/memory/virtual_memory_size_proc_MB,process/involuntary_proc_ctx_switches,02_timing/dataload_cuda_move_time_s,02_timing/loss_calc_time_s,02_timing/forward_time_s,03_hivemind/num_peers,02_timing/opt_step_time_s,01_general/locally_processed_samples,01_general/minibatch_loss,02_timing/backward_time_s,02_timing/step_time_s,03_hivemind/global_epoch,01_general/lr,02_timing/dataload_time_s,01_general/dataset_iteration_count,01_general/step
14,13,,,1681377334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.09684364199983975,32.0,7.1793212890625,0.40149198700009947,2.7729372860003423,0.0,0.0001,0.8837431590000051,0.0,0.0
15,14,,,1681377335,6.25,0.7590000000000146,0.94399999999996,6887.87456,0.008170801093024978,19647.0,0.39546996465410483,2400.03072,146.0,6160.744448,44.0,0.0,0.0,7.5,13861.0,55.80711406221313,20409.851904,2.711552,628.0,5.649999999999636,4417.871872,0.0,10448.0,30.7,4.0,27776.057344,547.0,0.003485476000150811,0.0006423950003409118,0.01995359800002916,,,,,,,,,,,
16,14,,,1681377335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.09608019300003434,64.0,7.2237548828125,0.3149395430000368,0.43767336100063403,0.0,0.0001,0.002572156000042014,0.0,1.0
17,15,,,1681377336,6.25,0.7590000000000146,0.9679999999999609,6893.559808,0.15129124531758462,21065.0,0.4599752198714152,2400.141312,151.0,6160.871424,44.0,0.0,0.0,7.5,15104.0,54.95823794311356,20404.150272,2.711552,660.0,5.655000000000655,4417.871872,0.0,11442.0,30.7,4.0,27795.33312,552.0,0.0034790229997270217,0.0006432670002141094,0.01989956900024481,,0.09652977099995041,,,0.3195042930001364,,,,,,
18,15,,,1681377336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,96.0,7.1910400390625,,0.4431491189998269,0.0,0.0001,0.0030931959995541547,0.0,2.0
19,16,,,1681377337,6.25,0.7590000000000146,0.9759999999999991,6880.792576,0.008171061467295373,22477.0,0.638603563751417,2400.059392,153.0,6160.789504,44.0,0.0,0.0,7.5,16445.0,48.6329290063047,20416.929792,2.711552,670.0,5.655000000000655,4417.871872,0.0,12517.0,30.6,4.0,27776.057344,554.0,0.0035996159999740485,0.0006160739999359066,0.019522878999850946,,0.09652972999992926,,,0.3135375390002082,,,,,,
20,16,,,1681377337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,128.0,7.15283203125,,0.43651269499969203,0.0,0.0001,0.002706856999793672,0.0,3.0
21,17,,,1681377338,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.003507908999836218,0.0006277970001065114,0.019673441000122693,1.0,0.09567902299977504,160.0,7.0352783203125,0.3210627339999519,0.4432823079996524,0.0,0.0001,0.0027314039998600492,0.0,4.0
22,17,,,1681377338,6.25,0.7590000000000146,0.9879999999999995,6901.624832,0.012256009283528005,24218.0,0.41464568908403254,2400.124928,156.0,6160.863232,44.0,0.0,0.0,7.5,18272.0,96.37027766480402,20415.246336,2.711552,696.0,5.656000000000859,4418.134016,0.0,13946.0,30.7,4.0,27776.319488,557.0,0.00347429400017063,0.0006253720002860064,0.020072834999609768,,,,,,,,,,,
23,17,,,1681377338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.09713084699978936,192.0,7.1495361328125,0.31617722500004675,0.4404510899998968,0.0,0.0001,0.002970516999994288,0.0,5.0
