03_hivemind/estimated_current_samples,03_hivemind/optimistic_total_samples_per_second,03_hivemind/num_peers,03_hivemind/global_samples_accumulated,_step,03_hivemind/eta_next_epoch_s,_runtime,03_hivemind/global_epoch,03_hivemind/next_fetch_time_s,03_hivemind/actual_total_samples_per_second,_timestamp,03_hivemind/num_clients,04_peers/peer_1_samples_accumulated,04_peers/peer_1_epoch,04_peers/peer_1_samples_per_second,04_peers/peer_1_epoch_oos,04_peers/peer_2_samples_accumulated,04_peers/peer_2_epoch,03_hivemind/epoch_s,03_hivemind/undershot_TBS,03_hivemind/total_training_samples,04_peers/peer_2_epoch_oos,03_hivemind/per_epoch_training_samples,03_hivemind/reached_TBS,04_peers/peer_2_samples_per_second,03_hivemind/epoch_based_sps,03_hivemind/overshot_TBS
257,7.9202235317330345,1,256,0,1001.9,35,0,10.0,7.9202235317330345,1683031983,0,,,,,,,,,,,,,,,
1770,690.3214880521208,1,1696,1,9.3,36,0,2.33,690.3214880521208,1683031984,0,256.0,0.0,7.92,0.0,,,,,,,,,,,
3257,1203.7762163763985,1,3136,2,4.1,37,0,1.02,1203.7762163763985,1683031985,0,1696.0,0.0,690.32,0.0,,,,,,,,,,,
8256,1206.7227339745805,1,4512,3,0.0,41,0,0.5,1206.7227339745805,1683031989,0,3136.0,0.0,1203.78,0.0,,,,,,,,,,,
322,1437.191789456997,2,224,4,5.48,42,1,2.19,1083.0245863143416,1683031990,0,4512.0,0.0,1206.72,0.0,,,,,,,,,,,
1456,1261.9772924329918,2,1376,5,5.34,44,1,2.13,907.8100892903364,1683031992,0,224.0,1.0,1083.02,0.0,512.0,0.0,7.733404920436442,1.0,4512.0,1.0,4512.0,0.0,354.17,583.4428749588042,0.0
2878,1564.7060886734187,2,2752,6,3.4,45,1,1.36,1210.5388855307633,1683031993,0,1376.0,1.0,907.81,0.0,512.0,0.0,,,,1.0,,,354.17,,
4147,1419.3149543079435,2,4032,7,2.85,46,1,1.14,1065.1477511652881,1683031994,0,2752.0,1.0,1210.54,0.0,512.0,0.0,,,,1.0,,,354.17,,
5448,1406.6555803761378,2,5344,8,1.95,47,1,0.78,1052.4883772334824,1683031995,0,4032.0,1.0,1065.15,0.0,512.0,0.0,,,,1.0,,,354.17,,
6896,1546.6548893285706,2,6784,9,0.84,49,1,0.5,1192.4876861859152,1683031997,0,5344.0,1.0,1052.49,0.0,512.0,0.0,,,,1.0,,,354.17,,
7879,1109.3706953412009,2,7680,10,0.28,50,1,0.5,755.2034921985455,1683031998,0,6784.0,1.0,1192.49,0.0,512.0,0.0,,,,1.0,,,354.17,,
947,1414.135660903972,2,832,11,5.12,51,2,2.05,1059.9684577613166,1683031999,0,7680.0,1.0,755.2,0.0,512.0,0.0,,,,1.0,,,354.17,,
3427,2218.6826885442997,2,3200,12,2.15,52,2,0.86,2218.6826885442997,1683032000,0,832.0,2.0,1059.97,0.0,0.0,1.0,8.46792779583484,2.0,12192.0,1.0,7680.0,0.0,354.17,906.9515216907729,0.0
6105,2229.0181552726663,2,5856,13,0.94,53,2,0.5,2229.0181552726663,1683032001,0,1984.0,2.0,1092.01,0.0,1216.0,2.0,,,,0.0,,,1126.67,,
8584,2149.320061752569,2,8256,14,0.0,55,2,0.5,2149.320061752569,1683032003,0,3328.0,2.0,1158.8,0.0,2528.0,2.0,,,,0.0,,,1070.21,,
11134,2149.320061752569,2,8256,15,0.0,56,2,0.5,2149.320061752569,1683032004,0,4608.0,2.0,1152.66,0.0,3648.0,2.0,,,,0.0,,,996.66,,
13698,2149.320061752569,2,8256,16,0.0,57,2,0.5,2149.320061752569,1683032005,0,4608.0,2.0,1152.66,0.0,3648.0,2.0,,,,0.0,,,996.66,,
16240,2149.320061752569,2,8256,17,0.0,58,2,0.5,2149.320061752569,1683032006,0,4608.0,2.0,1152.66,0.0,3648.0,2.0,,,,0.0,,,996.66,,
