_step,_runtime,cpu/logical_core_count,memory/total_memory_sys_MB,_timestamp,cpu/load/avg_sys_load_fifteen_min_percent,disk/time/disk_read_time_sys_s,disk/time/disk_busy_time_sys_s,memory/used_memory_sys_MB,bandwidth/disk_write_sys_bandwidth_MBs,cpu/interrupts/ctx_switches_count,bandwidth/net_sent_sys_bandwidth_Mbits,process/memory/shared_memory_proc_MB,disk/counter/disk_write_sys_count,process/memory/resident_set_size_proc_MB,disk/counter/disk_read_sys_count,process/memory/dirty_pages_proc_count,bandwidth/disk_read_sys_bandwidth_MBs,cpu/load/avg_sys_load_one_min_percent,cpu/interrupts/soft_interrupts_count,bandwidth/net_recv_sys_bandwidth_Mbits,memory/available_memory_sys_MB,process/memory/text_resident_set_proc_MB,process/voluntary_proc_ctx_switches,disk/time/disk_write_time_sys_s,process/memory/lib_memory_proc_MB,process/memory/data_resident_set_proc_MB,cpu/interrupts/interrupts_count,memory/used_memory_sys_percent,cpu/load/avg_sys_load_five_min_percent,process/memory/virtual_memory_size_proc_MB,process/involuntary_proc_ctx_switches,02_timing/loss_calc_time_s,02_timing/forward_time_s,02_timing/opt_step_time_s,02_timing/backward_time_s,02_timing/dataload_cuda_move_time_s,03_hivemind/num_peers,01_general/locally_processed_samples,01_general/minibatch_loss,02_timing/step_time_s,03_hivemind/global_epoch,01_general/lr,02_timing/dataload_time_s,01_general/dataset_iteration_count,01_general/step
0,1,64.0,255469.289472,1681397833.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,,,1681397833.0,1.3125,0.0,0.0,1487.867904,0.0,16.0,0.20490310635061992,177.80736,0.0,418.463744,0.0,0.0,0.0,1.078125,17.0,0.22973994234594744,244788.273152,2.854912,146.0,0.0,4787.478528,0.0,19.0,4.2,1.7656249999999998,12271.460352,75.0,,,,,,,,,,,,,,
2,2,,,1681397834.0,1.3125,0.0,0.011999999999943611,1631.973376,0.012228497509053405,2780.0,0.2834686740161786,180.396032,3.0,421.142528,0.0,0.0,0.0,1.109375,1203.0,0.28113602426784456,244644.16768,2.854912,154.0,0.001999999999497959,4796.002304,0.0,2682.0,4.2,1.7500000000000002,12346.966016,75.0,,,,,,,,,,,,,,
3,3,,,1681397835.0,1.3125,0.0,0.016000000000076398,1702.805504,0.0034620612005112172,3964.0,0.056461349120391975,180.527104,4.0,422.334464,0.0,0.0,0.0,1.109375,1821.0,0.09713380546342802,244573.331456,2.854912,205.0,0.001999999999497959,4805.61152,0.0,3592.0,4.3,1.7500000000000002,12423.540736,76.0,,,,,,,,,,,,,,
4,5,,,1681397837.0,1.3125,0.0,0.023999999999887223,1983.287296,0.21201870083368912,5870.0,0.15525112582470826,182.288384,7.0,702.07488,0.0,0.0,0.0,1.109375,3371.0,0.8666252394947173,244292.849664,2.854912,245.0,0.004999999999199645,5084.655616,0.0,5475.0,4.4,1.7500000000000002,12702.584832,76.0,,,,,,,,,,,,,,
5,6,,,1681397838.0,1.3125,0.0,0.02800000000002001,2230.546432,0.003290831065801607,6960.0,0.055211404044822304,183.074816,8.0,951.230464,0.0,0.0,0.0,1.109375,4042.0,0.2166678036549861,244045.586432,2.854912,274.0,0.0059999999994033715,6358.151168,0.0,6399.0,4.5,1.7500000000000002,13976.076288,77.0,,,,,,,,,,,,,,
6,7,,,1681397839.0,1.3125,0.0,0.03199999999992542,3000.75008,0.004079291086140894,7560.0,0.06397794455440173,183.074816,9.0,1719.795712,0.0,0.0,0.0,1.109375,4543.0,0.03496876691060681,243275.378688,2.854912,274.0,0.0059999999994033715,6358.151168,0.0,7059.0,4.8,1.7500000000000002,13976.076288,79.0,,,,,,,,,,,,,,
7,8,,,1681397840.0,1.3125,0.0,0.03600000000005821,3447.164928,0.004079038294252145,8033.0,0.00074888561258457,184.451072,10.0,2166.431744,0.0,0.0,0.0,1.140625,5012.0,0.001657109872214486,242828.959744,2.854912,276.0,0.006999999999607098,6551.384064,0.0,7601.0,4.9,1.7500000000000002,14169.309184,82.0,,,,,,,,,,,,,,
8,9,,,1681397841.0,1.3125,0.0,0.03999999999996362,4110.905344,0.004076186204060848,8407.0,0.04896996328557342,184.451072,11.0,2828.570624,0.0,0.0,0.0,1.140625,5460.0,0.017976617567784313,242165.219328,2.854912,276.0,0.006999999999607098,7210.786816,0.0,8115.0,5.2,1.7500000000000002,14828.711936,83.0,,,,,,,,,,,,,,
9,10,,,1681397842.0,1.3125,0.0,0.04800000000000182,4401.758208,0.040787681088804484,8893.0,0.009949963337103492,184.516608,14.0,3119.013888,0.0,0.0,0.0,1.140625,6001.0,0.009543680410534224,241874.366464,2.854912,279.0,0.009999999999308784,7500.505088,0.0,8710.0,5.3,1.7500000000000002,15118.430208,85.0,,,,,,,,,,,,,,
