01_general/lr,memory/used_memory_sys_MB,memory/total_memory_sys_MB,memory/used_memory_sys_percent,disk/counter/disk_write_sys_count,process/memory/lib_memory_proc_MB,process/memory/virtual_memory_size_proc_MB,_step,cpu/load/avg_sys_load_one_min_percent,process/memory/resident_set_size_proc_MB,process/voluntary_proc_ctx_switches,cpu/logical_core_count,02_timing/backward_time_s,memory/available_memory_sys_MB,disk/counter/disk_read_sys_count,01_general/dataset_iteration_count,bandwidth/disk_read_sys_bandwidth_MBs,bandwidth/net_sent_sys_bandwidth_Mbits,03_hivemind/num_peers,process/memory/text_resident_set_proc_MB,02_timing/forward_time_s,01_general/minibatch_loss,02_timing/opt_step_time_s,02_timing/loss_calc_time_s,cpu/interrupts/soft_interrupts_count,_runtime,cpu/interrupts/interrupts_count,process/involuntary_proc_ctx_switches,bandwidth/disk_write_sys_bandwidth_MBs,cpu/load/avg_sys_load_five_min_percent,03_hivemind/global_epoch,process/memory/shared_memory_proc_MB,disk/time/disk_write_time_sys_s,02_timing/dataload_cuda_move_time_s,01_general/locally_processed_samples,process/memory/dirty_pages_proc_count,cpu/load/avg_sys_load_fifteen_min_percent,02_timing/dataload_time_s,01_general/step,02_timing/step_time_s,disk/time/disk_busy_time_sys_s,disk/time/disk_read_time_sys_s,cpu/interrupts/ctx_switches_count,bandwidth/net_recv_sys_bandwidth_Mbits,process/memory/data_resident_set_proc_MB,_timestamp
,,211076.599808,,,,,0,,,,30.0,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1680687111.0
,1174.286336,,1.4,0.0,2481.033216,9963.401216,1,1.1333333333333333,395.542528,128.0,,,208157.155328,0.0,,0.0,0.3643920217409687,,2.719744,,,,,22.0,1,36.0,52.0,0.0,1.4666666666666666,,179.355648,0.0,,,0.0,1.2333333333333334,,,,0.0,0.0,36.0,0.408560750593329,0.0,1680687111.0
,1765.851136,,1.7,6.0,2886.2464,11175.694336,2,1.3,899.874816,155.0,,,207555.170304,0.0,,0.0,0.3137545224885159,,2.719744,,,,,1037.0,2,4290.0,58.0,0.15512713754502597,1.5000000000000002,,305.95072,0.0019999999999527063,,,0.0,1.2333333333333334,,,,0.007999999999995566,0.0,2997.0,0.897705819090808,0.0,1680687112.0
,2773.168128,,2.2,87.0,4251.17696,15356.874752,3,1.3,2231.242752,353.0,,,206448.959488,0.0,,0.0,0.020415987202235728,,2.719744,,,,,2031.0,3,13396.0,71.0,0.6283215296352993,1.5000000000000002,,564.850688,0.024999999999977263,,,0.0,1.2333333333333334,,,,0.016000000000005343,0.0,5583.0,0.022073491237849695,0.0,1680687113.0
,2897.154048,,2.3,88.0,4259.966976,15770.324992,4,1.3,2336.493568,548.0,,,206223.069184,0.0,,0.0,0.06028687374623902,,2.719744,,,,,2891.0,4,278622.0,82.0,0.004081300983069499,1.5000000000000002,,665.915392,0.024999999999977263,,,0.0,1.2333333333333334,,,,0.01999999999999602,0.0,8066.0,0.062096356801502696,0.0,1680687114.0
,2894.196736,,2.3,89.0,4259.966976,15770.324992,5,1.3,2336.5632,548.0,,,206221.053952,0.0,,0.0,0.056202086311760074,,2.719744,,,,,3002.0,5,278919.0,82.0,0.004083364292618913,1.5000000000000002,,665.915392,0.025999999999953616,,,0.0,1.2333333333333334,,,,0.027999999999991587,0.0,8600.0,0.0045778341883632575,0.0,1680687115.0
,2894.454784,,2.3,90.0,4268.490752,15845.82656,6,1.3,2336.681984,548.0,,,206220.795904,0.0,,0.0,0.0039175008499228725,,2.719744,,,,,3143.0,6,279210.0,82.0,0.004085051806997703,1.5000000000000002,,665.919488,0.025999999999953616,,,0.0,1.2333333333333334,,,,0.031999999999996476,0.0,9091.0,0.007771172765814937,0.0,1680687116.0
,2894.692352,,2.3,93.0,4268.490752,15845.82656,7,1.2,2336.681984,548.0,,,206220.537856,0.0,,0.0,0.0475756322350027,,2.719744,,,,,3325.0,7,279586.0,82.0,0.15114418531532894,1.4666666666666666,,665.919488,0.02699999999992997,,,0.0,1.2333333333333334,,,,0.03999999999999204,0.0,9743.0,0.005744500286649477,0.0,1680687117.0
,2894.692352,,2.3,121.0,4268.490752,15845.82656,8,1.2,2336.681984,548.0,,,206220.562432,0.0,,0.0,0.003916834934684428,,2.719744,,,,,3494.0,8,279909.0,82.0,0.14295250922381258,1.4666666666666666,,665.919488,0.04099999999993997,,,0.0,1.2333333333333334,,,,0.04800000000000182,0.0,10258.0,0.00842398715107763,0.0,1680687118.0
,2894.688256,,2.3,122.0,4268.490752,15845.82656,9,1.2,2336.681984,548.0,,,206220.562432,0.0,,0.0,0.002768252885656001,,2.719744,,,,,3626.0,9,280204.0,82.0,0.004084569103603853,1.4666666666666666,,665.919488,0.04099999999993997,,,0.0,1.2333333333333334,,,,0.0519999999999925,0.0,10781.0,0.002473078946103243,0.0,1680687119.0
