03_hivemind/estimated_current_samples,03_hivemind/optimistic_total_samples_per_second,03_hivemind/num_peers,03_hivemind/global_samples_accumulated,_step,03_hivemind/eta_next_epoch_s,_runtime,03_hivemind/global_epoch,03_hivemind/next_fetch_time_s,03_hivemind/actual_total_samples_per_second,_timestamp,03_hivemind/num_clients,04_peers/peer_1_samples_accumulated,04_peers/peer_3_samples_per_second,04_peers/peer_2_samples_accumulated,04_peers/peer_1_epoch,04_peers/peer_2_epoch,04_peers/peer_3_epoch_oos,04_peers/peer_3_epoch,04_peers/peer_3_samples_accumulated,04_peers/peer_2_epoch_oos,04_peers/peer_2_samples_per_second,04_peers/peer_1_samples_per_second,04_peers/peer_1_epoch_oos,04_peers/peer_4_samples_per_second,04_peers/peer_4_samples_accumulated,04_peers/peer_4_epoch,04_peers/peer_4_epoch_oos,04_peers/peer_5_samples_per_second,04_peers/peer_5_samples_accumulated,04_peers/peer_5_epoch,04_peers/peer_5_epoch_oos,04_peers/peer_6_samples_accumulated,04_peers/peer_6_samples_per_second,04_peers/peer_6_epoch,04_peers/peer_6_epoch_oos,04_peers/peer_7_epoch,04_peers/peer_7_samples_per_second,04_peers/peer_7_samples_accumulated,04_peers/peer_7_epoch_oos,04_peers/peer_8_samples_per_second,04_peers/peer_8_samples_accumulated,04_peers/peer_8_epoch,04_peers/peer_8_epoch_oos,03_hivemind/epoch_s,03_hivemind/undershot_TBS,03_hivemind/total_training_samples,03_hivemind/per_epoch_training_samples,03_hivemind/reached_TBS,03_hivemind/epoch_based_sps,03_hivemind/overshot_TBS
22265,2018.0992446179378,8,21920,55,5.2,162,2,3.79,2018.0992446179378,1683053182,0,2400.0,252.69,2400.0,2.0,2.0,0.0,2.0,2400.0,0.0,252.97,253.17,0.0,251.22,2368.0,2.0,0.0,254.2,2432.0,2.0,0.0,2368.0,251.31,2.0,0.0,2.0,251.23,2368.0,0.0,252.0,2368.0,2.0,0.0,,,,,,,
25089,2014.0608617904977,8,24704,56,3.81,164,2,2.77,2014.0608617904977,1683053184,0,2752.0,252.06,2752.0,2.0,2.0,0.0,2.0,2752.0,0.0,253.2,252.93,0.0,251.33,2720.0,2.0,0.0,254.34,2784.0,2.0,0.0,2720.0,250.94,2.0,0.0,2.0,251.28,2720.0,0.0,252.02,2720.0,2.0,0.0,,,,,,,
27915,2013.5257359759946,8,27552,57,2.41,165,2,1.75,2013.5257359759946,1683053185,0,3104.0,251.99,3104.0,2.0,2.0,0.0,2.0,3104.0,0.0,253.19,252.04,0.0,250.99,3072.0,2.0,0.0,253.87,3136.0,2.0,0.0,3072.0,250.71,2.0,0.0,2.0,250.5,3072.0,0.0,250.79,3040.0,2.0,0.0,,,,,,,
30750,2014.218906444468,8,30368,58,1.0,166,2,0.73,2014.218906444468,1683053186,0,3456.0,252.06,3456.0,2.0,2.0,0.0,2.0,3456.0,0.0,253.02,252.33,0.0,250.71,3424.0,2.0,0.0,253.86,3488.0,2.0,0.0,3424.0,249.28,2.0,0.0,2.0,251.04,3424.0,0.0,251.24,3424.0,2.0,0.0,,,,,,,
33578,2012.9674083458603,8,32864,59,0.0,168,2,0.5,2012.9674083458603,1683053188,0,3808.0,251.68,3808.0,2.0,2.0,0.0,2.0,3808.0,0.0,252.74,252.03,0.0,251.03,3776.0,2.0,0.0,253.48,3840.0,2.0,0.0,3776.0,250.47,2.0,0.0,2.0,250.92,3776.0,0.0,251.86,3776.0,2.0,0.0,,,,,,,
36382,2012.9674083458603,8,32864,60,0.0,169,2,0.5,2012.9674083458603,1683053189,0,4128.0,251.59,4128.0,2.0,2.0,0.0,2.0,4096.0,0.0,252.67,252.25,0.0,250.82,4096.0,2.0,0.0,253.44,4160.0,2.0,0.0,4096.0,250.24,2.0,0.0,2.0,250.92,4096.0,0.0,251.04,4064.0,2.0,0.0,,,,,,,
39206,2012.9674083458603,8,32864,61,0.0,171,2,0.5,2012.9674083458603,1683053191,0,4128.0,251.59,4128.0,2.0,2.0,0.0,2.0,4096.0,0.0,252.67,252.25,0.0,250.82,4096.0,2.0,0.0,253.44,4160.0,2.0,0.0,4096.0,250.24,2.0,0.0,2.0,250.92,4096.0,0.0,251.04,4064.0,2.0,0.0,,,,,,,
42027,2012.9674083458603,8,32864,62,0.0,172,2,0.5,2012.9674083458603,1683053192,0,4128.0,251.59,4128.0,2.0,2.0,0.0,2.0,4096.0,0.0,252.67,252.25,0.0,250.82,4096.0,2.0,0.0,253.44,4160.0,2.0,0.0,4096.0,250.24,2.0,0.0,2.0,250.92,4096.0,0.0,251.04,4064.0,2.0,0.0,,,,,,,
44843,2012.9674083458603,8,32864,63,0.0,173,2,0.5,2012.9674083458603,1683053193,0,4128.0,251.59,4128.0,2.0,2.0,0.0,2.0,4096.0,0.0,252.67,252.25,0.0,250.82,4096.0,2.0,0.0,253.44,4160.0,2.0,0.0,4096.0,250.24,2.0,0.0,2.0,250.92,4096.0,0.0,251.04,4064.0,2.0,0.0,,,,,,,
47658,2012.9674083458603,8,32864,64,0.0,175,2,0.5,2012.9674083458603,1683053195,0,4128.0,251.59,4128.0,2.0,2.0,0.0,2.0,4096.0,0.0,252.67,252.25,0.0,250.82,4096.0,2.0,0.0,253.44,4160.0,2.0,0.0,4096.0,250.24,2.0,0.0,2.0,250.92,4096.0,0.0,251.04,4064.0,2.0,0.0,,,,,,,
50471,2012.9674083458603,8,32864,65,0.0,176,2,0.5,2012.9674083458603,1683053196,0,4128.0,251.59,4128.0,2.0,2.0,0.0,2.0,4096.0,0.0,252.67,252.25,0.0,250.82,4096.0,2.0,0.0,253.44,4160.0,2.0,0.0,4096.0,250.24,2.0,0.0,2.0,250.92,4096.0,0.0,251.04,4064.0,2.0,0.0,,,,,,,
53304,2012.9674083458603,8,32864,66,0.0,178,2,0.5,2012.9674083458603,1683053198,0,4128.0,251.59,4128.0,2.0,2.0,0.0,2.0,4096.0,0.0,252.67,252.25,0.0,250.82,4096.0,2.0,0.0,253.44,4160.0,2.0,0.0,4096.0,250.24,2.0,0.0,2.0,250.92,4096.0,0.0,251.04,4064.0,2.0,0.0,,,,,,,
56116,2012.9674083458603,8,32864,67,0.0,179,2,0.5,2012.9674083458603,1683053199,0,4128.0,251.59,4128.0,2.0,2.0,0.0,2.0,4096.0,0.0,252.67,252.25,0.0,250.82,4096.0,2.0,0.0,253.44,4160.0,2.0,0.0,4096.0,250.24,2.0,0.0,2.0,250.92,4096.0,0.0,251.04,4064.0,2.0,0.0,,,,,,,
58958,2012.9674083458603,8,32864,68,0.0,180,2,0.5,2012.9674083458603,1683053200,0,4128.0,251.59,4128.0,2.0,2.0,0.0,2.0,4096.0,0.0,252.67,252.25,0.0,250.82,4096.0,2.0,0.0,253.44,4160.0,2.0,0.0,4096.0,250.24,2.0,0.0,2.0,250.92,4096.0,0.0,251.04,4064.0,2.0,0.0,,,,,,,
474,2029.8492753716566,8,96,69,15.91,182,3,10.0,773.2246051162689,1683053202,0,4128.0,251.59,4128.0,2.0,2.0,0.0,2.0,4096.0,0.0,252.67,252.25,0.0,250.82,4096.0,2.0,0.0,253.44,4160.0,2.0,0.0,4096.0,250.24,2.0,0.0,2.0,250.92,4096.0,0.0,251.04,4064.0,2.0,0.0,,,,,,,
3194,1901.8654514325274,8,2880,70,15.55,183,3,10.0,1901.8654514325274,1683053203,0,4128.0,251.59,32.0,2.0,3.0,1.0,2.0,4096.0,0.0,258.55,252.25,1.0,250.82,4096.0,2.0,1.0,258.42,32.0,3.0,0.0,32.0,256.26,3.0,0.0,2.0,250.92,4096.0,1.0,251.04,4064.0,2.0,1.0,29.436719447374344,0.0,98688.0,32864.0,0.0,1116.4287535081073,3.0
6039,1980.6075538314276,8,5696,71,13.5,185,3,9.81,1980.6075538314276,1683053205,0,256.0,240.14,416.0,3.0,3.0,0.0,3.0,384.0,0.0,241.24,235.72,0.0,236.7,352.0,3.0,0.0,242.15,416.0,3.0,0.0,384.0,231.59,3.0,0.0,3.0,239.47,384.0,0.0,234.86,288.0,3.0,0.0,,,,,,,
8872,2003.5657338141705,8,8512,72,11.93,186,3,8.67,2003.5657338141705,1683053206,0,608.0,248.57,768.0,3.0,3.0,0.0,3.0,736.0,0.0,249.32,247.7,0.0,246.45,704.0,3.0,0.0,250.22,768.0,3.0,0.0,736.0,243.84,3.0,0.0,3.0,247.85,736.0,0.0,246.65,640.0,3.0,0.0,,,,,,,
11707,2008.4806118231793,8,11328,73,10.49,187,3,7.63,2008.4806118231793,1683053207,0,960.0,251.24,1120.0,3.0,3.0,0.0,3.0,1088.0,0.0,251.98,251.73,0.0,248.86,1056.0,3.0,0.0,252.77,1120.0,3.0,0.0,1088.0,247.58,3.0,0.0,3.0,250.41,1088.0,0.0,248.99,992.0,3.0,0.0,,,,,,,
14533,2012.9891744099223,8,14176,74,9.06,189,3,6.59,2012.9891744099223,1683053209,0,1312.0,251.36,1472.0,3.0,3.0,0.0,3.0,1440.0,0.0,252.29,251.23,0.0,250.44,1408.0,3.0,0.0,253.56,1472.0,3.0,0.0,1440.0,250.06,3.0,0.0,3.0,251.08,1440.0,0.0,248.46,1344.0,3.0,0.0,,,,,,,
17368,2013.9236391021786,8,16992,75,7.65,190,3,5.56,2013.9236391021786,1683053210,0,1664.0,251.48,1824.0,3.0,3.0,0.0,3.0,1792.0,0.0,252.61,251.62,0.0,251.02,1760.0,3.0,0.0,253.77,1856.0,3.0,0.0,1792.0,250.62,3.0,0.0,3.0,251.3,1792.0,0.0,250.57,1696.0,3.0,0.0,,,,,,,
20196,2014.8129590368242,8,19808,76,6.24,192,3,4.54,2014.8129590368242,1683053212,0,2016.0,251.57,2176.0,3.0,3.0,0.0,3.0,2144.0,0.0,252.8,251.79,0.0,250.52,2112.0,3.0,0.0,253.66,2208.0,3.0,0.0,2144.0,250.72,3.0,0.0,3.0,251.39,2144.0,0.0,251.48,2048.0,3.0,0.0,,,,,,,
22980,1987.1051852016658,8,22592,77,4.93,193,3,3.58,1987.1051852016658,1683053213,0,2368.0,251.85,2528.0,3.0,3.0,0.0,3.0,2496.0,0.0,252.87,252.6,0.0,250.67,2464.0,3.0,0.0,253.59,2560.0,3.0,0.0,2496.0,250.76,3.0,0.0,3.0,251.43,2496.0,0.0,251.05,2400.0,3.0,0.0,,,,,,,
25788,2002.1933195782228,8,25408,78,3.49,195,3,2.54,2002.1933195782228,1683053215,0,2720.0,244.52,2880.0,3.0,3.0,0.0,3.0,2816.0,0.0,243.51,252.61,0.0,241.82,2816.0,3.0,0.0,252.83,2912.0,3.0,0.0,2848.0,250.43,3.0,0.0,3.0,251.29,2848.0,0.0,250.09,2752.0,3.0,0.0,,,,,,,
28570,1986.3360335676907,8,28224,79,2.11,196,3,1.54,1986.3360335676907,1683053216,0,3072.0,249.65,3232.0,3.0,3.0,0.0,3.0,3200.0,0.0,249.83,252.56,0.0,247.79,3168.0,3.0,0.0,253.06,3264.0,3.0,0.0,3168.0,248.68,3.0,0.0,3.0,250.99,3200.0,0.0,249.64,3104.0,3.0,0.0,,,,,,,
31359,1993.290956142599,8,31040,80,0.71,197,3,0.51,1993.290956142599,1683053217,0,3424.0,250.85,3584.0,3.0,3.0,0.0,3.0,3552.0,0.0,251.74,241.25,0.0,249.32,3520.0,3.0,0.0,253.0,3616.0,3.0,0.0,3520.0,239.34,3.0,0.0,3.0,251.11,3552.0,0.0,249.72,3456.0,3.0,0.0,,,,,,,
34153,1991.7922894737644,8,32896,81,0.0,199,3,0.5,1991.7922894737644,1683053219,0,3776.0,251.45,3936.0,3.0,3.0,0.0,3.0,3904.0,0.0,252.21,249.39,0.0,250.06,3872.0,3.0,0.0,247.44,3968.0,3.0,0.0,3872.0,246.21,3.0,0.0,3.0,251.27,3904.0,0.0,245.26,3808.0,3.0,0.0,,,,,,,
36951,1991.7922894737644,8,32896,82,0.0,200,3,0.5,1991.7922894737644,1683053220,0,4032.0,251.01,4192.0,3.0,3.0,0.0,3.0,4128.0,0.0,251.95,250.98,0.0,249.69,4096.0,3.0,0.0,250.17,4192.0,3.0,0.0,4096.0,248.61,3.0,0.0,3.0,241.87,4128.0,0.0,247.5,4032.0,3.0,0.0,,,,,,,
39753,1991.7922894737644,8,32896,83,0.0,202,3,0.5,1991.7922894737644,1683053222,0,4032.0,251.01,4192.0,3.0,3.0,0.0,3.0,4128.0,0.0,251.95,250.98,0.0,249.69,4096.0,3.0,0.0,250.17,4192.0,3.0,0.0,4096.0,248.61,3.0,0.0,3.0,241.87,4128.0,0.0,247.5,4032.0,3.0,0.0,,,,,,,
42566,1991.7922894737644,8,32896,84,0.0,203,3,0.5,1991.7922894737644,1683053223,0,4032.0,251.01,4192.0,3.0,3.0,0.0,3.0,4128.0,0.0,251.95,250.98,0.0,249.69,4096.0,3.0,0.0,250.17,4192.0,3.0,0.0,4096.0,248.61,3.0,0.0,3.0,241.87,4128.0,0.0,247.5,4032.0,3.0,0.0,,,,,,,
45370,1991.7922894737644,8,32896,85,0.0,204,3,0.5,1991.7922894737644,1683053224,0,4032.0,251.01,4192.0,3.0,3.0,0.0,3.0,4128.0,0.0,251.95,250.98,0.0,249.69,4096.0,3.0,0.0,250.17,4192.0,3.0,0.0,4096.0,248.61,3.0,0.0,3.0,241.87,4128.0,0.0,247.5,4032.0,3.0,0.0,,,,,,,
48152,1991.7922894737644,8,32896,86,0.0,206,3,0.5,1991.7922894737644,1683053226,0,4032.0,251.01,4192.0,3.0,3.0,0.0,3.0,4128.0,0.0,251.95,250.98,0.0,249.69,4096.0,3.0,0.0,250.17,4192.0,3.0,0.0,4096.0,248.61,3.0,0.0,3.0,241.87,4128.0,0.0,247.5,4032.0,3.0,0.0,,,,,,,
50996,1991.7922894737644,8,32896,87,0.0,207,3,0.5,1991.7922894737644,1683053227,0,4032.0,251.01,4192.0,3.0,3.0,0.0,3.0,4128.0,0.0,251.95,250.98,0.0,249.69,4096.0,3.0,0.0,250.17,4192.0,3.0,0.0,4096.0,248.61,3.0,0.0,3.0,241.87,4128.0,0.0,247.5,4032.0,3.0,0.0,,,,,,,
53803,1991.7922894737644,8,32896,88,0.0,209,3,0.5,1991.7922894737644,1683053229,0,4032.0,251.01,4192.0,3.0,3.0,0.0,3.0,4128.0,0.0,251.95,250.98,0.0,249.69,4096.0,3.0,0.0,250.17,4192.0,3.0,0.0,4096.0,248.61,3.0,0.0,3.0,241.87,4128.0,0.0,247.5,4032.0,3.0,0.0,,,,,,,
56587,1991.7922894737644,8,32896,89,0.0,210,3,0.5,1991.7922894737644,1683053230,0,4032.0,251.01,4192.0,3.0,3.0,0.0,3.0,4128.0,0.0,251.95,250.98,0.0,249.69,4096.0,3.0,0.0,250.17,4192.0,3.0,0.0,4096.0,248.61,3.0,0.0,3.0,241.87,4128.0,0.0,247.5,4032.0,3.0,0.0,,,,,,,
59394,1991.7922894737644,8,32896,90,0.0,211,3,0.5,1991.7922894737644,1683053231,0,4032.0,251.01,4192.0,3.0,3.0,0.0,3.0,4128.0,0.0,251.95,250.98,0.0,249.69,4096.0,3.0,0.0,250.17,4192.0,3.0,0.0,4096.0,248.61,3.0,0.0,3.0,241.87,4128.0,0.0,247.5,4032.0,3.0,0.0,,,,,,,
62219,1991.7922894737644,8,32896,91,0.0,213,3,0.5,1991.7922894737644,1683053233,0,4032.0,251.01,4192.0,3.0,3.0,0.0,3.0,4128.0,0.0,251.95,250.98,0.0,249.69,4096.0,3.0,0.0,250.17,4192.0,3.0,0.0,4096.0,248.61,3.0,0.0,3.0,241.87,4128.0,0.0,247.5,4032.0,3.0,0.0,,,,,,,
2847,1991.7922894737644,8,0,92,15.02,214,4,10.0,1991.7922894737644,1683053234,0,4032.0,251.01,4192.0,3.0,3.0,0.0,3.0,4128.0,0.0,251.95,250.98,0.0,249.69,4096.0,3.0,0.0,250.17,4192.0,3.0,0.0,4096.0,248.61,3.0,0.0,3.0,241.87,4128.0,0.0,247.5,4032.0,3.0,0.0,,,,,,,
5652,1991.7922894737644,8,0,93,13.61,216,4,9.9,1991.7922894737644,1683053236,0,0.0,251.01,0.0,4.0,4.0,0.0,4.0,0.0,0.0,251.95,250.98,0.0,249.69,0.0,4.0,0.0,250.17,0.0,4.0,0.0,0.0,248.61,4.0,0.0,4.0,241.87,0.0,0.0,247.5,0.0,4.0,0.0,32.34182465728372,0.0,131584.0,32896.0,0.0,1017.1349436399678,4.0
8460,1991.7922894737644,8,0,94,12.2,217,4,8.88,1991.7922894737644,1683053237,0,0.0,251.01,0.0,4.0,4.0,0.0,4.0,0.0,0.0,251.95,250.98,0.0,249.69,0.0,4.0,0.0,250.17,0.0,4.0,0.0,0.0,248.61,4.0,0.0,4.0,241.87,0.0,0.0,247.5,0.0,4.0,0.0,,,,,,,
