03_hivemind/estimated_current_samples,03_hivemind/optimistic_total_samples_per_second,03_hivemind/num_peers,03_hivemind/global_samples_accumulated,_step,03_hivemind/eta_next_epoch_s,_runtime,03_hivemind/global_epoch,03_hivemind/next_fetch_time_s,03_hivemind/actual_total_samples_per_second,_timestamp,03_hivemind/num_clients,04_peers/peer_1_samples_accumulated,04_peers/peer_3_samples_per_second,04_peers/peer_2_samples_accumulated,04_peers/peer_1_epoch,04_peers/peer_2_epoch,04_peers/peer_3_epoch_oos,04_peers/peer_3_epoch,04_peers/peer_3_samples_accumulated,04_peers/peer_2_epoch_oos,04_peers/peer_2_samples_per_second,04_peers/peer_1_samples_per_second,04_peers/peer_1_epoch_oos,04_peers/peer_4_samples_per_second,04_peers/peer_4_samples_accumulated,04_peers/peer_4_epoch,04_peers/peer_4_epoch_oos,04_peers/peer_5_samples_per_second,04_peers/peer_5_samples_accumulated,04_peers/peer_5_epoch,04_peers/peer_5_epoch_oos,04_peers/peer_6_samples_accumulated,04_peers/peer_6_samples_per_second,04_peers/peer_6_epoch,04_peers/peer_6_epoch_oos,04_peers/peer_7_epoch,04_peers/peer_7_samples_per_second,04_peers/peer_7_samples_accumulated,04_peers/peer_7_epoch_oos,04_peers/peer_8_samples_per_second,04_peers/peer_8_samples_accumulated,04_peers/peer_8_epoch,04_peers/peer_8_epoch_oos,03_hivemind/epoch_s,03_hivemind/undershot_TBS,03_hivemind/total_training_samples,03_hivemind/per_epoch_training_samples,03_hivemind/reached_TBS,03_hivemind/epoch_based_sps,03_hivemind/overshot_TBS
34769,2013.2676942434782,8,32896,15,0.0,105,0,0.5,2013.2676942434782,1683053125,0,5344.0,253.08,5216.0,0.0,0.0,0.0,0.0,5152.0,0.0,253.98,253.21,0.0,252.67,4608.0,0.0,0.0,253.47,3904.0,0.0,0.0,2784.0,249.56,0.0,0.0,0.0,246.28,2464.0,0.0,247.73,2080.0,0.0,0.0,,,,,,,
37602,2013.2676942434782,8,32896,16,0.0,107,0,0.5,2013.2676942434782,1683053127,0,5504.0,252.31,5408.0,0.0,0.0,0.0,0.0,5312.0,0.0,253.63,251.84,0.0,252.7,4768.0,0.0,0.0,254.05,4064.0,0.0,0.0,2944.0,250.13,0.0,0.0,0.0,248.69,2656.0,0.0,249.92,2240.0,0.0,0.0,,,,,,,
40597,2013.2676942434782,8,32896,17,0.0,108,0,0.5,2013.2676942434782,1683053128,0,5504.0,252.31,5408.0,0.0,0.0,0.0,0.0,5312.0,0.0,253.63,251.84,0.0,252.7,4768.0,0.0,0.0,254.05,4064.0,0.0,0.0,2944.0,250.13,0.0,0.0,0.0,248.69,2656.0,0.0,249.92,2240.0,0.0,0.0,,,,,,,
43446,2013.2676942434782,8,32896,18,0.0,110,0,0.5,2013.2676942434782,1683053130,0,5504.0,252.31,5408.0,0.0,0.0,0.0,0.0,5312.0,0.0,253.63,251.84,0.0,252.7,4768.0,0.0,0.0,254.05,4064.0,0.0,0.0,2944.0,250.13,0.0,0.0,0.0,248.69,2656.0,0.0,249.92,2240.0,0.0,0.0,,,,,,,
46275,2013.2676942434782,8,32896,19,0.0,111,0,0.5,2013.2676942434782,1683053131,0,5504.0,252.31,5408.0,0.0,0.0,0.0,0.0,5312.0,0.0,253.63,251.84,0.0,252.7,4768.0,0.0,0.0,254.05,4064.0,0.0,0.0,2944.0,250.13,0.0,0.0,0.0,248.69,2656.0,0.0,249.92,2240.0,0.0,0.0,,,,,,,
49102,2013.2676942434782,8,32896,20,0.0,113,0,0.5,2013.2676942434782,1683053133,0,5504.0,252.31,5408.0,0.0,0.0,0.0,0.0,5312.0,0.0,253.63,251.84,0.0,252.7,4768.0,0.0,0.0,254.05,4064.0,0.0,0.0,2944.0,250.13,0.0,0.0,0.0,248.69,2656.0,0.0,249.92,2240.0,0.0,0.0,,,,,,,
51941,2013.2676942434782,8,32896,21,0.0,114,0,0.5,2013.2676942434782,1683053134,0,5504.0,252.31,5408.0,0.0,0.0,0.0,0.0,5312.0,0.0,253.63,251.84,0.0,252.7,4768.0,0.0,0.0,254.05,4064.0,0.0,0.0,2944.0,250.13,0.0,0.0,0.0,248.69,2656.0,0.0,249.92,2240.0,0.0,0.0,,,,,,,
54765,2013.2676942434782,8,32896,22,0.0,115,0,0.5,2013.2676942434782,1683053135,0,5504.0,252.31,5408.0,0.0,0.0,0.0,0.0,5312.0,0.0,253.63,251.84,0.0,252.7,4768.0,0.0,0.0,254.05,4064.0,0.0,0.0,2944.0,250.13,0.0,0.0,0.0,248.69,2656.0,0.0,249.92,2240.0,0.0,0.0,,,,,,,
57596,2013.2676942434782,8,32896,23,0.0,117,0,0.5,2013.2676942434782,1683053137,0,5504.0,252.31,5408.0,0.0,0.0,0.0,0.0,5312.0,0.0,253.63,251.84,0.0,252.7,4768.0,0.0,0.0,254.05,4064.0,0.0,0.0,2944.0,250.13,0.0,0.0,0.0,248.69,2656.0,0.0,249.92,2240.0,0.0,0.0,,,,,,,
60421,2013.2676942434782,8,32896,24,0.0,118,0,0.5,2013.2676942434782,1683053138,0,5504.0,252.31,5408.0,0.0,0.0,0.0,0.0,5312.0,0.0,253.63,251.84,0.0,252.7,4768.0,0.0,0.0,254.05,4064.0,0.0,0.0,2944.0,250.13,0.0,0.0,0.0,248.69,2656.0,0.0,249.92,2240.0,0.0,0.0,,,,,,,
