process/memory/data_resident_set_proc_MB,01_general/step,01_general/locally_processed_samples,_runtime,02_timing/forward_time_s,01_general/dataset_iteration_count,memory/used_memory_sys_percent,bandwidth/disk_write_sys_bandwidth_MBs,process/memory/text_resident_set_proc_MB,02_timing/opt_step_time_s,process/memory/dirty_pages_proc_count,disk/time/disk_read_time_sys_s,disk/counter/disk_write_sys_count,cpu/interrupts/ctx_switches_count,cpu/logical_core_count,_step,disk/counter/disk_read_sys_count,_timestamp,memory/total_memory_sys_MB,disk/time/disk_busy_time_sys_s,cpu/load/avg_sys_load_five_min_percent,cpu/load/avg_sys_load_fifteen_min_percent,disk/time/disk_write_time_sys_s,bandwidth/net_recv_sys_bandwidth_Mbits,process/memory/shared_memory_proc_MB,process/memory/virtual_memory_size_proc_MB,02_timing/step_time_s,02_timing/loss_calc_time_s,01_general/minibatch_loss,bandwidth/net_sent_sys_bandwidth_Mbits,02_timing/backward_time_s,memory/used_memory_sys_MB,process/memory/lib_memory_proc_MB,02_timing/dataload_time_s,01_general/lr,03_hivemind/num_peers,process/voluntary_proc_ctx_switches,process/involuntary_proc_ctx_switches,memory/available_memory_sys_MB,cpu/load/avg_sys_load_one_min_percent,02_timing/dataload_cuda_move_time_s,03_hivemind/global_epoch,cpu/interrupts/interrupts_count,cpu/interrupts/soft_interrupts_count,process/memory/resident_set_size_proc_MB,bandwidth/disk_read_sys_bandwidth_MBs
0.0,,,14,,,15.3,0.004084448684717,2.654208,,0.0,1.0299999999999976,229.0,49829.0,,14,1297.0,1696169595.0,,1.559999999999988,5.375,4.125,0.47699999999986176,0.9381388296985745,954.71616,14641.299456,,,,1.3511866803240746,,3958.792192,3019.681792,,,,5102.0,49.0,26742.226944,6.625,,,101322.0,28484.0,3036.041216,95.4372279537574
0.0,,,15,,,15.8,0.004084191369453431,2.654208,,0.0,1.6340000000000003,230.0,57003.0,,15,2094.0,1696169596.0,,2.2719999999999914,5.375,4.125,0.4780000000000655,0.8843072007258054,1075.421184,15657.029632,,,,1.449489089139944,,4094.984192,3265.753088,,,,5776.0,49.0,26586.759168,6.625,,,108020.0,31780.0,3397.128192,84.47333008259784
0.0,,,16,,,16.7,0.004085414146858196,2.654208,,0.0,2.2650000000000006,231.0,63540.0,,16,3021.0,1696169597.0,,3.067999999999998,5.375,4.125,0.4780000000000655,0.8204181872670099,1149.485056,16096.346112,,,,1.293759696404331,,4404.240384,3570.87232,,,,6547.0,52.0,26277.576704,6.625,,,113643.0,34833.0,3777.687552,100.9955231552155
0.0,,,17,4.5485366950000525,,17.2,0.24502707513677063,2.654208,,0.0,2.701999999999998,261.0,69585.0,,17,3762.0,1696169598.0,,3.7039999999999935,5.375,4.125,0.5109999999999673,0.8050718694314859,1222.279168,30679.69536,,2.317000053153606e-06,,1.262894430818308,,4555.255808,3731.427328,,,,7056.0,52.0,26126.5408,6.625,,,119195.0,37643.0,4000.755712,72.5974385785012
0.0,,,18,,,17.7,0.004085080944046417,2.654208,,0.0,3.1950000000000003,262.0,78289.0,,18,4585.0,1696169599.0,,4.3559999999999945,5.5,4.125,0.512000000000171,142.36878096339586,1286.918144,30747.066368,,,,1.178497980150346,0.9984752770000114,4702.048256,3837.947904,,,,7058.0,52.0,25979.838464,7.124999999999999,,,126386.0,41137.0,4173.729792,80.36171232004841
0.0,,,19,,,18.3,0.004085051803369448,2.654208,,0.0,3.1950000000000003,263.0,94679.0,,19,4585.0,1696169600.0,,4.359999999999999,5.5,4.125,0.51299999999992,771.4720541011925,1286.918144,30747.066368,,,,1.5148441219428221,,4903.489536,3837.947904,,,,7058.0,52.0,25778.397184,7.124999999999999,,,138614.0,45918.0,4173.729792,0.0
0.0,,,20,,,18.4,0.004088267553394055,2.654208,,0.0,3.1950000000000003,264.0,117156.0,,20,4585.0,1696169601.0,,4.36399999999999,5.5,4.125,0.51299999999992,1045.920436665009,1286.918144,30747.066368,,,,1.7880181878366173,,4936.511488,3837.947904,,,,7058.0,52.0,25745.375232,7.124999999999999,,,154613.0,51766.0,4173.729792,0.0
0.0,,,21,,,19.8,0.004084471990342068,2.654208,,0.0,3.1950000000000003,265.0,129026.0,,21,4585.0,1696169602.0,,4.367999999999995,5.5,4.125,0.5140000000001237,462.0726385825215,1583.751168,31119.478784,,,,0.9920719769061538,,5061.65248,3907.567616,,,,7061.0,54.0,25317.175296,7.124999999999999,,,163845.0,54621.0,4541.014016,0.0
0.0,,,22,,,19.8,0.00408506928772574,2.654208,,0.0,3.1950000000000003,266.0,129535.0,,22,4585.0,1696169603.0,,4.372,5.5,4.125,0.5149999999998727,0.0513027256172551,1583.751168,31119.478784,,,,0.0726376382622255,,5061.656576,3907.567616,,,,7061.0,54.0,25317.097472,7.124999999999999,,,164250.0,54885.0,4541.014016,0.0
0.0,,,23,,,19.8,0.032680733027081355,2.654208,,0.0,3.1950000000000003,269.0,130032.0,,23,4585.0,1696169604.0,,4.3799999999999955,5.375,4.125,0.5170000000002801,6.949746175585215,1583.751168,31119.478784,,,,0.07045985189693409,,5064.081408,3907.600384,,,,7061.0,54.0,25314.67264,6.5,,,164599.0,55083.0,4541.075456,0.0
