_step,_runtime,cpu/logical_core_count,memory/total_memory_sys_MB,_timestamp,cpu/load/avg_sys_load_fifteen_min_percent,disk/time/disk_read_time_sys_s,disk/time/disk_busy_time_sys_s,memory/used_memory_sys_MB,bandwidth/disk_write_sys_bandwidth_MBs,cpu/interrupts/ctx_switches_count,bandwidth/net_sent_sys_bandwidth_Mbits,process/memory/shared_memory_proc_MB,disk/counter/disk_write_sys_count,process/memory/resident_set_size_proc_MB,disk/counter/disk_read_sys_count,process/memory/dirty_pages_proc_count,bandwidth/disk_read_sys_bandwidth_MBs,cpu/load/avg_sys_load_one_min_percent,cpu/interrupts/soft_interrupts_count,bandwidth/net_recv_sys_bandwidth_Mbits,memory/available_memory_sys_MB,process/memory/text_resident_set_proc_MB,process/voluntary_proc_ctx_switches,disk/time/disk_write_time_sys_s,process/memory/lib_memory_proc_MB,process/memory/data_resident_set_proc_MB,cpu/interrupts/interrupts_count,memory/used_memory_sys_percent,cpu/load/avg_sys_load_five_min_percent,process/memory/virtual_memory_size_proc_MB,process/involuntary_proc_ctx_switches,02_timing/dataload_cuda_move_time_s,02_timing/loss_calc_time_s,02_timing/forward_time_s,03_hivemind/num_peers,02_timing/opt_step_time_s,01_general/locally_processed_samples,01_general/minibatch_loss,02_timing/backward_time_s,02_timing/step_time_s,03_hivemind/global_epoch,01_general/lr,02_timing/dataload_time_s,01_general/dataset_iteration_count,01_general/step
14,13,,,1680689507,4.4,0.0,0.08400000000000318,5858.484224,0.032696702342288685,24770.0,0.04593184212545089,2046.500864,142.0,5871.869952,0.0,0.0,0.0,5.133333333333334,11363.0,0.01226924594445857,201876.361216,2.719744,820.0,0.07499999999993179,6423.08096,0.0,963182.0,4.4,4.8,22901.764096,261.0,,,,,,,,,,,,,,
15,14,,,1680689508,4.366666666666666,0.0,0.08799999999999386,5858.480128,0.004087394100275189,25166.0,0.004566385583808463,2046.500864,143.0,5871.869952,0.0,0.0,0.0,4.733333333333333,11469.0,0.0029218481250639404,201876.361216,2.719744,820.0,0.07599999999990814,6423.08096,0.0,963401.0,4.4,4.7,22901.764096,261.0,,,,,,,,,,,,,,
16,15,,,1680689509,4.366666666666666,0.0,0.09200000000001296,5858.480128,0.004087649866839289,25680.0,0.04702394088903671,2046.500864,144.0,5871.869952,0.0,0.0,0.0,4.733333333333333,11615.0,0.013692030314051468,201876.361216,2.719744,820.0,0.07599999999990814,6423.08096,0.0,963698.0,4.4,4.7,22901.764096,261.0,,,,,,,,,,,,,,
17,16,,,1680689510,4.366666666666666,0.0,0.09600000000000364,5859.192832,0.004087166549294763,26560.0,0.0846969474958147,2046.500864,145.0,5871.869952,0.0,0.0,0.0,4.733333333333333,11971.0,0.08703589243960469,201875.644416,2.719744,820.0,0.07599999999990814,6423.08096,0.0,964279.0,4.4,4.7,22901.764096,261.0,,,,,,,,,,,,,,
18,17,,,1680689511,4.366666666666666,0.0,0.09999999999999432,5859.192832,0.004086943899407164,27220.0,0.08224176358615788,2046.500864,146.0,5871.869952,0.0,0.0,0.0,4.733333333333333,12200.0,0.02723564953733162,201875.644416,2.719744,820.0,0.07599999999990814,6423.08096,0.0,964690.0,4.4,4.7,22901.764096,261.0,,,,,,,,,,,,,,
19,18,,,1680689512,4.366666666666666,0.0,0.10800000000000409,5859.18464,0.03678466524613785,27722.0,0.02939260795321273,2046.500864,149.0,5871.869952,0.0,0.0,0.0,4.733333333333333,12319.0,0.004877480594440297,201875.644416,2.719744,820.0,0.07999999999992724,6423.08096,0.0,964967.0,4.4,4.7,22901.764096,261.0,,,,,,,,,,,,,,
20,19,,,1680689513,4.366666666666666,0.0,0.11600000000001387,5859.18464,0.03677042368160688,28419.0,0.06864929577333884,2046.500864,155.0,5871.869952,0.0,0.0,0.0,4.366666666666666,12499.0,0.015983324370246407,201875.644416,2.719744,820.0,0.0809999999999036,6423.08096,0.0,965364.0,4.4,4.633333333333333,22901.764096,261.0,,,,,,,,,,,,,,
21,20,,,1680689514,4.366666666666666,0.0,0.12000000000000455,5859.18464,0.004086907926511259,28852.0,0.009259400774405105,2046.500864,156.0,5871.869952,0.0,0.0,0.0,4.366666666666666,12638.0,0.008277584947499307,201875.648512,2.719744,820.0,0.0809999999999036,6423.08096,0.0,965649.0,4.4,4.633333333333333,22901.764096,261.0,,,,,,,,,,,,,,
22,21,,,1680689515,4.366666666666666,0.0,0.12399999999999523,5859.18464,0.05313048550210913,29424.0,0.05336995583337438,2046.500864,161.0,5871.869952,0.0,0.0,0.0,4.366666666666666,12830.0,0.017481334617957284,201875.648512,2.719744,820.0,0.08299999999996999,6423.08096,0.0,965985.0,4.4,4.633333333333333,22901.764096,261.0,,,,,,,,,,,,,,
23,22,,,1680689516,4.366666666666666,0.0,0.12800000000001432,5859.422208,0.004086839871413469,29868.0,0.009259246572554747,2046.500864,162.0,5871.869952,0.0,0.0,0.0,4.366666666666666,12974.0,0.006696989550178057,201875.427328,2.719744,820.0,0.08299999999996999,6423.08096,0.0,966233.0,4.4,4.633333333333333,22901.764096,261.0,,,,,,,,,,,,,,
24,23,,,1680689517,4.366666666666666,0.0,0.132000000000005,5859.418112,0.004086685290281175,30485.0,0.05232074628432616,2046.500864,163.0,5871.869952,0.0,0.0,0.0,4.366666666666666,13148.0,0.016777758809458542,201875.427328,2.719744,820.0,0.08399999999994634,6423.08096,0.0,966577.0,4.4,4.633333333333333,22901.764096,261.0,,,,,,,,,,,,,,
25,24,,,1680689518,4.333333333333334,0.0,0.14000000000001478,5859.418112,0.03268065531601925,30934.0,0.009255263711708307,2046.500864,171.0,5871.869952,0.0,0.0,0.0,4.0,13290.0,0.006694108843064427,201875.427328,2.719744,820.0,0.08699999999998909,6423.08096,0.0,966831.0,4.4,4.566666666666666,22901.764096,261.0,,,,,,,,,,,,,,
