03_hivemind/estimated_current_samples,03_hivemind/optimistic_total_samples_per_second,03_hivemind/num_peers,03_hivemind/global_samples_accumulated,_step,03_hivemind/eta_next_epoch_s,_runtime,03_hivemind/global_epoch,03_hivemind/next_fetch_time_s,03_hivemind/actual_total_samples_per_second,_timestamp,03_hivemind/num_clients,04_peers/peer_1_samples_accumulated,04_peers/peer_1_epoch,04_peers/peer_1_samples_per_second,04_peers/peer_1_epoch_oos,04_peers/peer_3_samples_per_second,04_peers/peer_2_samples_accumulated,04_peers/peer_2_epoch,04_peers/peer_3_epoch_oos,04_peers/peer_3_epoch,04_peers/peer_3_samples_accumulated,04_peers/peer_2_epoch_oos,04_peers/peer_2_samples_per_second,03_hivemind/epoch_s,03_hivemind/undershot_TBS,03_hivemind/total_training_samples,03_hivemind/per_epoch_training_samples,03_hivemind/reached_TBS,03_hivemind/epoch_based_sps,03_hivemind/overshot_TBS
774,57.275486744087715,1,768,0,558.59,43,0,10.0,57.275486744087715,1683046043,0,,,,,,,,,,,,,,,,,,,
1211,159.8420027969823,1,1184,1,197.43,44,0,10.0,159.8420027969823,1683046044,0,768.0,0.0,57.28,0.0,,,,,,,,,,,,,,,
1671,284.73701397733157,1,1632,2,109.21,45,0,10.0,284.73701397733157,1683046045,0,1184.0,0.0,159.84,0.0,,,,,,,,,,,,,,,
2116,345.01035982069794,1,2080,3,88.84,47,0,10.0,345.01035982069794,1683046047,0,1632.0,0.0,284.74,0.0,,,,,,,,,,,,,,,
2613,362.2397259569509,1,2560,4,83.25,48,0,10.0,362.2397259569509,1683046048,0,2080.0,0.0,345.01,0.0,,,,,,,,,,,,,,,
3049,365.80105948870136,1,3008,5,81.24,49,0,10.0,365.80105948870136,1683046049,0,2560.0,0.0,362.24,0.0,,,,,,,,,,,,,,,
4115,546.6629029975021,3,4032,6,52.41,50,0,10.0,546.6629029975021,1683046050,0,3008.0,0.0,365.8,0.0,,,,,,,,,,,,,,,
5478,859.4896943237673,3,5376,7,31.75,51,0,10.0,859.4896943237673,1683046051,0,3424.0,0.0,365.67,0.0,56.89,416.0,0.0,0.0,0.0,192.0,0.0,124.1,,,,,,,
6812,1023.530495840866,3,6656,8,25.36,53,0,10.0,1023.530495840866,1683046053,0,3872.0,0.0,366.84,0.0,221.65,864.0,0.0,0.0,0.0,640.0,0.0,271.0,,,,,,,
8151,1086.0912414731552,3,7968,9,22.67,54,0,10.0,1086.0912414731552,1683046054,0,4320.0,0.0,366.91,0.0,320.86,1280.0,0.0,0.0,0.0,1056.0,0.0,335.76,,,,,,,
9479,1097.8698454472194,3,9312,10,21.21,55,0,10.0,1097.8698454472194,1683046055,0,4736.0,0.0,366.11,0.0,357.84,1728.0,0.0,0.0,0.0,1504.0,0.0,362.15,,,,,,,
10796,1100.057081457829,3,10656,11,19.97,56,0,9.99,1100.057081457829,1683046056,0,5184.0,0.0,366.07,0.0,367.02,2176.0,0.0,0.0,0.0,1952.0,0.0,364.78,,,,,,,
12124,1104.7724168732173,3,12000,12,18.69,57,0,9.34,1104.7724168732173,1683046057,0,5632.0,0.0,365.84,0.0,368.48,2624.0,0.0,0.0,0.0,2400.0,0.0,365.74,,,,,,,
13437,1103.3422555477935,3,13280,13,17.52,59,0,8.76,1103.3422555477935,1683046059,0,6080.0,0.0,366.29,0.0,369.79,3072.0,0.0,0.0,0.0,2848.0,0.0,368.7,,,,,,,
14756,1105.0420984424793,3,14592,14,16.3,60,0,8.15,1105.0420984424793,1683046060,0,6496.0,0.0,366.96,0.0,368.61,3488.0,0.0,0.0,0.0,3296.0,0.0,367.77,,,,,,,
