disk/time/disk_write_time_sys_s,cpu/interrupts/soft_interrupts_count,process/memory/virtual_memory_size_proc_MB,bandwidth/net_recv_sys_bandwidth_Mbits,cpu/load/avg_sys_load_five_min_percent,disk/counter/disk_read_sys_count,02_timing/opt_step_time_s,02_timing/dataload_cuda_move_time_s,process/involuntary_proc_ctx_switches,process/memory/data_resident_set_proc_MB,01_general/dataset_iteration_count,disk/time/disk_read_time_sys_s,cpu/interrupts/ctx_switches_count,memory/total_memory_sys_MB,_step,01_general/lr,02_timing/loss_calc_time_s,process/voluntary_proc_ctx_switches,cpu/load/avg_sys_load_one_min_percent,cpu/logical_core_count,02_timing/forward_time_s,process/memory/resident_set_size_proc_MB,01_general/locally_processed_samples,bandwidth/disk_write_sys_bandwidth_MBs,memory/used_memory_sys_percent,bandwidth/net_sent_sys_bandwidth_Mbits,process/memory/text_resident_set_proc_MB,process/memory/shared_memory_proc_MB,01_general/minibatch_loss,disk/counter/disk_write_sys_count,process/memory/dirty_pages_proc_count,_timestamp,02_timing/step_time_s,process/memory/lib_memory_proc_MB,disk/time/disk_busy_time_sys_s,cpu/interrupts/interrupts_count,_runtime,memory/available_memory_sys_MB,01_general/step,02_timing/backward_time_s,cpu/load/avg_sys_load_fifteen_min_percent,memory/used_memory_sys_MB,bandwidth/disk_read_sys_bandwidth_MBs,01_general/step_based_sps,02_timing/dataload_time_s
,,,,,,,,,,,,,31557.169152,0,,,,,8.0,,,,,,,,,,,,1696164614.0,,,,,1,,,,,,,,
0.0,15.0,9347.121152,0.11112728112067452,11.75,0.0,,,27.0,0.0,,0.0,21.0,,1,,,97.0,12.25,,,547.782656,,0.0,4.9,0.21024080200505607,2.654208,243.490816,,0.0,0.0,1696164614.0,,1110.409216,0.0,21.0,1,30005.305344,,,8.125,1090.592768,0.0,,
0.005000000000109139,782.0,10243.207168,0.3425556952761778,11.75,0.0,,,28.0,0.0,,0.0,1012.0,,2,,,115.0,12.25,,,965.61152,,0.20829990021755412,6.2,0.30178437213261433,2.654208,249.524224,,5.0,0.0,1696164615.0,,1522.29888,0.015999999999991132,1100.0,2,29592.92416,,,8.125,1502.969856,0.0,,
0.006000000000312866,1212.0,11081.711616,0.01134396657303367,11.75,0.0,,,29.0,0.0,,0.0,1474.0,,3,,,127.0,12.375,,,1293.275136,,0.004084466163910868,7.1,0.0062862487045154776,2.654208,414.486528,,6.0,0.0,1696164616.0,,1719.201792,0.01999999999999602,2220.0,3,29324.914688,,,8.25,1758.400512,0.0,,
0.007000000000061846,1942.0,11979.739136,0.1306890984125969,11.75,0.0,,,31.0,0.0,,0.0,2019.0,,4,,,130.0,12.375,,,2021.797888,,0.004084283609006026,9.1,0.14005423309597748,2.654208,513.57696,,7.0,0.0,1696164617.0,,2348.806144,0.02400000000000091,3133.0,4,28700.79488,,,8.25,2382.52032,0.0,,
0.010000000000218279,2576.0,12367.036416,0.0005258394972617591,11.75,0.0,,,32.0,0.0,,0.0,2441.0,,5,,,140.0,12.375,,,2038.874112,,0.01631695904321298,9.6,0.0011313516523802007,2.654208,527.290368,,11.0,0.0,1696164618.0,,2367.209472,0.031999999999996476,4280.0,5,28539.518976,,,8.25,2543.73888,0.0,,
0.011000000000422006,3345.0,12367.036416,0.020321152440307,11.75,0.0,,,32.0,0.0,,0.0,2838.0,,6,,,140.0,12.375,,,2038.874112,,0.004081769340832323,10.1,0.06365806285544735,2.654208,527.290368,,12.0,0.0,1696164619.0,,2367.209472,0.036000000000001364,5436.0,6,28361.97376,,,8.25,2721.284096,0.0,,
0.015000000000327418,4234.0,12367.036416,0.019377082175727037,11.75,0.0,,,32.0,0.0,,0.0,3449.0,,7,,,140.0,12.375,,,2038.898688,,0.08573760804582758,10.4,0.015756837193068755,2.654208,527.290368,,16.0,0.0,1696164620.0,,2367.209472,0.0519999999999925,6751.0,7,28275.892224,,,8.25,2807.361536,0.0,,
0.015000000000327418,5007.0,12367.036416,0.0186358843007035,12.0,0.0,,,32.0,0.0,,0.0,4576.0,,8,,,140.0,13.375,,,2038.898688,,0.004082829595084161,11.1,0.04758250818449632,2.654208,527.290368,,17.0,0.0,1696164621.0,,2367.209472,0.055999999999997385,8299.0,8,28048.896,,,8.25,2995.95776,0.0,,
0.016000000000076398,5766.0,12367.036416,1.2936543524378445,12.0,0.0,,,32.0,0.0,,0.0,5762.0,,9,,,140.0,13.375,,,2038.898688,,0.004084502092020865,11.6,0.024905889717137655,2.654208,527.290368,,18.0,0.0,1696164622.0,,2367.209472,0.060000000000002274,9904.0,9,27903.004672,,,8.25,3141.849088,0.0,,
