_step,_runtime,cpu/logical_core_count,memory/total_memory_sys_MB,_timestamp,cpu/load/avg_sys_load_fifteen_min_percent,disk/time/disk_read_time_sys_s,disk/time/disk_busy_time_sys_s,memory/used_memory_sys_MB,bandwidth/disk_write_sys_bandwidth_MBs,cpu/interrupts/ctx_switches_count,bandwidth/net_sent_sys_bandwidth_Mbits,process/memory/shared_memory_proc_MB,disk/counter/disk_write_sys_count,process/memory/resident_set_size_proc_MB,disk/counter/disk_read_sys_count,process/memory/dirty_pages_proc_count,bandwidth/disk_read_sys_bandwidth_MBs,cpu/load/avg_sys_load_one_min_percent,cpu/interrupts/soft_interrupts_count,bandwidth/net_recv_sys_bandwidth_Mbits,memory/available_memory_sys_MB,process/memory/text_resident_set_proc_MB,process/voluntary_proc_ctx_switches,disk/time/disk_write_time_sys_s,process/memory/lib_memory_proc_MB,process/memory/data_resident_set_proc_MB,cpu/interrupts/interrupts_count,memory/used_memory_sys_percent,cpu/load/avg_sys_load_five_min_percent,process/memory/virtual_memory_size_proc_MB,process/involuntary_proc_ctx_switches,02_timing/dataload_cuda_move_time_s,02_timing/loss_calc_time_s,02_timing/forward_time_s,03_hivemind/num_peers,02_timing/opt_step_time_s,01_general/locally_processed_samples,01_general/minibatch_loss,02_timing/backward_time_s,02_timing/step_time_s,03_hivemind/global_epoch,01_general/lr,02_timing/dataload_time_s,01_general/dataset_iteration_count,01_general/step
0,0,30.0,211076.599808,1682960470,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,,,1682960470,3.9,0.0,0.0,1238.908928,0.0,11.0,0.0,178.589696,0.0,395.030528,0.0,0.0,0.0,0.2,0.0,0.0,208062.779392,2.719744,129.0,0.0,2481.324032,0.0,8.0,1.4,3.1333333333333333,9963.692032,62.0,,,,,,,,,,,,,,
2,1,,,1682960471,3.9,0.0,0.007999999999981355,1799.897088,0.012253917068943167,2910.0,0.3176764176251304,315.379712,3.0,880.488448,0.0,0.0,0.0,0.4333333333333333,1039.0,0.8962671305515583,207491.416064,2.719744,161.0,0.0009999999999763531,2857.746432,0.0,2885.0,1.7,3.1333333333333333,11147.194368,82.0,,,,,,,,,,,,,,
3,2,,,1682960472,3.9,0.0,0.015999999999991132,2853.92896,0.4346191549480888,5663.0,0.07500388979095636,564.609024,81.0,2233.253888,0.0,0.0,0.0,0.4333333333333333,2290.0,0.06264471909503563,206338.306048,2.719744,364.0,0.036999999999920874,4244.963328,0.0,14625.0,2.2,3.1333333333333333,15250.116608,94.0,,,,,,,,,,,,,,
4,3,,,1682960473,3.9,0.0,0.01999999999998181,2989.297664,0.004082808245135427,8632.0,0.009353777487719454,665.427968,82.0,2338.287616,0.0,0.0,0.0,0.4333333333333333,3043.0,0.02081275295133971,206099.972096,2.719744,567.0,0.03799999999989723,4262.27712,0.0,286735.0,2.4,3.1333333333333333,15772.635136,95.0,,,,,,,,,,,,,,
5,4,,,1682960474,3.9,0.0,0.027999999999991587,2991.616,0.004086413113143265,9146.0,0.051311620945633026,665.427968,83.0,2338.36544,0.0,0.0,0.0,0.4333333333333333,3160.0,0.004972334708994863,206097.65376,2.719744,567.0,0.03799999999989723,4262.27712,0.0,287024.0,2.4,3.1333333333333333,15772.635136,95.0,,,,,,,,,,,,,,
6,5,,,1682960475,3.9,0.0,0.036000000000001364,2989.461504,0.1961000190136741,9728.0,0.003957747780352427,665.432064,86.0,2338.492416,0.0,0.0,0.0,0.4333333333333333,3342.0,0.007723991578318553,206096.13824,2.719744,567.0,0.03999999999996362,4270.800896,0.0,287398.0,2.4,3.1333333333333333,15848.136704,95.0,,,,,,,,,,,,,,
7,6,,,1682960476,3.8666666666666663,0.0,0.03999999999999204,2989.719552,0.004085403458337623,10297.0,0.0481870146539996,665.432064,87.0,2338.492416,0.0,0.0,0.0,0.4,3550.0,0.006136084541014624,206095.880192,2.719744,567.0,0.03999999999996362,4270.800896,0.0,287766.0,2.4,3.1000000000000005,15848.136704,95.0,,,,,,,,,,,,,,
8,7,,,1682960477,3.8666666666666663,0.0,0.04800000000000182,2989.719552,0.17986190085870182,10634.0,0.003480992046356299,665.432064,116.0,2338.492416,0.0,0.0,0.0,0.4,3683.0,0.007664569677461627,206095.880192,2.719744,567.0,0.05199999999990723,4270.800896,0.0,287981.0,2.4,3.1000000000000005,15848.136704,95.0,,,,,,,,,,,,,,
9,8,,,1682960478,3.8666666666666663,0.0,0.0519999999999925,2989.707264,0.00408930587696822,11154.0,0.002699580833494933,665.432064,117.0,2338.492416,0.0,0.0,0.0,0.4,3829.0,0.002867306254120876,206095.884288,2.719744,567.0,0.05199999999990723,4270.800896,0.0,288289.0,2.4,3.1000000000000005,15848.136704,95.0,,,,,,,,,,,,,,
