memory/used_memory_sys_MB,process/memory/lib_memory_proc_MB,_step,cpu/logical_core_count,01_general/minibatch_loss,memory/available_memory_sys_MB,01_general/dataset_iteration_count,process/memory/resident_set_size_proc_MB,_runtime,02_timing/dataload_time_s,disk/time/disk_busy_time_sys_s,bandwidth/disk_read_sys_bandwidth_MBs,process/memory/data_resident_set_proc_MB,02_timing/step_time_s,02_timing/backward_time_s,cpu/interrupts/interrupts_count,process/voluntary_proc_ctx_switches,process/involuntary_proc_ctx_switches,process/memory/dirty_pages_proc_count,cpu/load/avg_sys_load_five_min_percent,01_general/lr,memory/total_memory_sys_MB,cpu/interrupts/ctx_switches_count,process/memory/virtual_memory_size_proc_MB,02_timing/forward_time_s,01_general/step_based_sps,disk/time/disk_write_time_sys_s,memory/used_memory_sys_percent,disk/counter/disk_write_sys_count,cpu/interrupts/soft_interrupts_count,cpu/load/avg_sys_load_one_min_percent,bandwidth/net_recv_sys_bandwidth_Mbits,_timestamp,02_timing/opt_step_time_s,02_timing/loss_calc_time_s,bandwidth/net_sent_sys_bandwidth_Mbits,process/memory/text_resident_set_proc_MB,cpu/load/avg_sys_load_fifteen_min_percent,process/memory/shared_memory_proc_MB,01_general/step,disk/counter/disk_read_sys_count,01_general/locally_processed_samples,disk/time/disk_read_time_sys_s,02_timing/dataload_cuda_move_time_s,bandwidth/disk_write_sys_bandwidth_MBs
,,0,80.0,,,,,1,,,,,,,,,,,,,540929.032192,,,,,,,,,,,1681380762.0,,,,,,,,,,,,
6375.809024,4771.172352,1,,,531046.404096,,321.593344,1,,0.0,0.0,0.0,,,8.0,3696.0,85.0,0.0,2.4375,,,119.0,42330.70592,,,0.0,1.8,0.0,13.0,1.075,7.234192845903078,1681380762.0,,,1.3501931636890607,2.854912,1.35,106.586112,,0.0,,0.0,,0.0
6657.777664,5046.472704,2,,,530764.443648,,600.559616,2,,0.0040000000000048885,0.0,0.0,,,1669.0,3804.0,85.0,0.0,2.4375,,,2305.0,42606.006272,,,0.0,1.9,1.0,3450.0,1.075,94.19499094891303,1681380763.0,,,0.42851264490028707,2.854912,1.35,107.360256,,0.0,,0.0,,0.006852882953230984
6904.025088,6319.710208,3,,,530518.188032,,848.879616,3,,0.012000000000000455,0.0,0.0,,,3242.0,3865.0,86.0,0.0,2.4375,,,4223.0,43879.235584,,,0.0010000000000047748,1.9,3.0,6000.0,1.075,0.32959537053966953,1681380764.0,,,3.2496077838854505,2.854912,1.35,107.548672,,0.0,,0.0,,0.14716929128345999
7587.631104,6319.710208,4,,,529834.590208,,1530.646528,4,,0.016000000000005343,0.0,0.0,,,4899.0,3868.0,88.0,0.0,2.4375,,,6003.0,43879.235584,,,0.0010000000000047748,2.1,5.0,9256.0,1.075,35.0484545171999,1681380765.0,,,35.115321299062956,2.854912,1.35,107.659264,,0.0,,0.0,,0.008164013904598724
7974.424576,6365.855744,5,,,529447.788544,,1917.034496,5,,0.016000000000005343,0.0,0.0,,,5698.0,3871.0,91.0,0.0,2.4250000000000003,,,6805.0,43925.38112,,,0.0010000000000047748,2.1,5.0,10599.0,1.0875,69.92519527862885,1681380766.0,,,35.08694932556975,2.854912,1.35,108.204032,,0.0,,0.0,,0.0
8523.026432,6911.995904,6,,,528899.19488,,2465.021952,6,,0.016000000000005343,0.0,0.0,,,6403.0,3871.0,94.0,0.0,2.4250000000000003,,,7540.0,44471.52128,,,0.0010000000000047748,2.2,5.0,11899.0,1.0875,0.01329932965881123,1681380767.0,,,0.33471574305834484,2.854912,1.35,108.204032,,0.0,,0.0,,0.0
9072.369664,7462.064128,7,,,528349.851648,,3013.804032,7,,0.016000000000005343,0.0,0.0,,,7014.0,3874.0,96.0,0.0,2.4250000000000003,,,8230.0,45021.589504,,,0.0010000000000047748,2.3,5.0,12764.0,1.0875,0.003619940455013566,1681380768.0,,,0.0008132905849563328,2.854912,1.35,108.204032,,0.0,,0.0,,0.0
9074.62656,7462.064128,8,,,528347.58656,,3016.011776,8,,0.02400000000000091,0.0,0.0,,,7887.0,3874.0,99.0,0.0,2.4250000000000003,,,9197.0,45021.589504,,,0.0020000000000024443,2.3,8.0,14311.0,1.0875,0.02695320791624211,1681380769.0,,,0.4716771527442795,2.854912,1.35,108.204032,,0.0,,0.0,,0.11428606591064441
9074.62656,7462.064128,9,,,528347.58656,,3016.097792,9,,0.02400000000000091,0.0,0.0,,,8528.0,3874.0,100.0,0.0,2.4250000000000003,,,9819.0,45021.589504,,,0.0020000000000024443,2.3,8.0,15283.0,1.0875,0.004400993228824238,1681380770.0,,,0.0015945627602637971,2.854912,1.35,108.21632,,0.0,,0.0,,0.0
9074.450432,7462.064128,10,,,528347.762688,,3016.097792,10,,0.02400000000000091,0.0,0.0,,,9271.0,3874.0,101.0,0.0,2.4250000000000003,,,10580.0,45021.589504,,,0.0020000000000024443,2.3,8.0,16671.0,1.2,0.0172700790208939,1681380771.0,,,0.11720690747088641,2.854912,1.35,108.21632,,0.0,,0.0,,0.0
9627.447296,8490.27072,11,,,527794.765824,,3568.214016,11,,0.02400000000000091,0.0,0.0,,,9873.0,3874.0,102.0,0.0,2.4250000000000003,,,11256.0,46049.796096,,,0.0020000000000024443,2.4,8.0,17503.0,1.2,0.002216881542079306,1681380772.0,,,0.0007814906171804216,2.854912,1.35,108.21632,,0.0,,0.0,,0.0
10104.889344,8818.372608,12,,,527317.323776,,4044.644352,12,,0.02400000000000091,0.0,0.0,,,10632.0,3874.0,104.0,0.0,2.4250000000000003,,,12172.0,46846.8736,,,0.0020000000000024443,2.5,8.0,18868.0,1.2,0.010015215318400097,1681380773.0,,,0.04291551661034833,2.854912,1.35,108.224512,,0.0,,0.0,,0.0
