04_peers/peer_8_samples_per_second,04_peers/peer_7_samples_accumulated,_step,03_hivemind/epoch_s,03_hivemind/reached_TBS,03_hivemind/overshot_TBS,04_peers/peer_7_epoch_oos,04_peers/peer_1_samples_per_second,04_peers/peer_4_samples_accumulated,_runtime,04_peers/peer_3_epoch,04_peers/peer_5_epoch,03_hivemind/undershot_TBS,04_peers/peer_6_samples_per_second,04_peers/peer_3_samples_accumulated,03_hivemind/optimistic_total_samples_per_second,04_peers/peer_3_epoch_oos,03_hivemind/epoch_based_sps,04_peers/peer_2_samples_per_second,04_peers/peer_4_samples_per_second,04_peers/peer_1_epoch_oos,04_peers/peer_6_epoch_oos,04_peers/peer_7_samples_per_second,04_peers/peer_2_samples_accumulated,04_peers/peer_2_epoch,04_peers/peer_4_epoch,04_peers/peer_8_epoch,03_hivemind/global_epoch,03_hivemind/actual_total_samples_per_second,04_peers/peer_5_samples_accumulated,04_peers/peer_6_samples_accumulated,03_hivemind/estimated_current_samples,03_hivemind/global_samples_accumulated,04_peers/peer_8_samples_accumulated,03_hivemind/num_peers,04_peers/peer_1_epoch,03_hivemind/num_clients,04_peers/peer_5_samples_per_second,03_hivemind/total_training_samples,04_peers/peer_1_samples_accumulated,04_peers/peer_6_epoch,04_peers/peer_7_epoch,04_peers/peer_2_epoch_oos,04_peers/peer_4_epoch_oos,_timestamp,03_hivemind/per_epoch_training_samples,04_peers/peer_3_samples_per_second,04_peers/peer_5_epoch_oos,04_peers/peer_8_epoch_oos,03_hivemind/eta_next_epoch_s,03_hivemind/next_fetch_time_s
214.44,,96,,,,,,,216,,,,,,214.43684979932053,,,,,,,,,,,3.0,3,214.43684979932053,,,9240,0,0.0,1,,0,,,,,,,,1680700383.0,,,,0.0,109.72,10.0
214.44,,97,,,,,,,217,,,,,,214.43684979932053,,,,,,,,,,,3.0,3,214.43684979932053,,,9458,0,0.0,1,,0,,,,,,,,1680700384.0,,,,0.0,108.7,10.0
214.44,,98,,,,,,,218,,,,,,214.43684979932053,,,,,,,,,,,3.0,3,214.43684979932053,,,9676,0,0.0,1,,0,,,,,,,,1680700385.0,,,,0.0,107.69,10.0
214.44,,99,,,,,,,219,,,,,,214.43684979932053,,,,,,,,,,,3.0,3,214.43684979932053,,,9894,0,0.0,1,,0,,,,,,,,1680700386.0,,,,0.0,106.67,10.0
214.44,,100,,,,,,,220,,,,,,214.43684979932053,,,,,,,,,,,3.0,3,214.43684979932053,,,10113,0,0.0,1,,0,,,,,,,,1680700387.0,,,,0.0,105.65,10.0
214.44,,101,,,,,,,221,,,,,,214.43684979932053,,,,,,,,,,,3.0,3,214.43684979932053,,,10331,0,0.0,1,,0,,,,,,,,1680700388.0,,,,0.0,104.63,10.0
214.44,,102,,,,,,,222,,,,,,214.43684979932053,,,,,,,,,,,3.0,3,214.43684979932053,,,10550,0,0.0,1,,0,,,,,,,,1680700389.0,,,,0.0,103.61,10.0
214.44,,103,,,,,,,223,,,,,,214.43684979932053,,,,,,,,,,,3.0,3,214.43684979932053,,,10767,0,0.0,1,,0,,,,,,,,1680700390.0,,,,0.0,102.6,10.0
214.44,,104,,,,,,,224,,,,,,214.43684979932053,,,,,,,,,,,3.0,3,214.43684979932053,,,10986,0,0.0,1,,0,,,,,,,,1680700391.0,,,,0.0,101.58,10.0
214.44,,105,,,,,,,225,,,,,,214.43684979932053,,,,,,,,,,,3.0,3,214.43684979932053,,,11205,0,0.0,1,,0,,,,,,,,1680700392.0,,,,0.0,100.56,10.0
214.44,,106,,,,,,,226,,,,,,214.43684979932053,,,,,,,,,,,3.0,3,214.43684979932053,,,11423,0,0.0,1,,0,,,,,,,,1680700393.0,,,,0.0,99.54,10.0
214.44,,107,,,,,,,227,,,,,,214.43684979932053,,,,,,,,,,,3.0,3,214.43684979932053,,,11642,0,0.0,1,,0,,,,,,,,1680700394.0,,,,0.0,98.52,10.0
214.44,,108,,,,,,,228,,,,,,214.43684979932053,,,,,,,,,,,3.0,3,214.43684979932053,,,11860,0,0.0,1,,0,,,,,,,,1680700395.0,,,,0.0,97.5,10.0
214.44,,109,,,,,,,229,,,,,,214.43684979932053,,,,,,,,,,,3.0,3,214.43684979932053,,,12078,0,0.0,1,,0,,,,,,,,1680700396.0,,,,0.0,96.49,10.0
214.44,,110,,,,,,,230,,,,,,214.43684979932053,,,,,,,,,,,3.0,3,214.43684979932053,,,12296,0,0.0,1,,0,,,,,,,,1680700397.0,,,,0.0,95.47,10.0
214.44,,111,,,,,,,231,,,,,,214.43684979932053,,,,,,,,,,,3.0,3,214.43684979932053,,,12515,0,0.0,1,,0,,,,,,,,1680700398.0,,,,0.0,94.45,10.0
214.44,,112,,,,,,,232,,,,,,214.43684979932053,,,,,,,,,,,3.0,3,214.43684979932053,,,12733,0,0.0,1,,0,,,,,,,,1680700399.0,,,,0.0,93.43,10.0
