_step,_runtime,cpu/logical_core_count,memory/total_memory_sys_MB,_timestamp,cpu/load/avg_sys_load_fifteen_min_percent,disk/time/disk_read_time_sys_s,disk/time/disk_busy_time_sys_s,memory/used_memory_sys_MB,bandwidth/disk_write_sys_bandwidth_MBs,cpu/interrupts/ctx_switches_count,bandwidth/net_sent_sys_bandwidth_Mbits,process/memory/shared_memory_proc_MB,disk/counter/disk_write_sys_count,process/memory/resident_set_size_proc_MB,disk/counter/disk_read_sys_count,process/memory/dirty_pages_proc_count,bandwidth/disk_read_sys_bandwidth_MBs,cpu/load/avg_sys_load_one_min_percent,cpu/interrupts/soft_interrupts_count,bandwidth/net_recv_sys_bandwidth_Mbits,memory/available_memory_sys_MB,process/memory/text_resident_set_proc_MB,process/voluntary_proc_ctx_switches,disk/time/disk_write_time_sys_s,process/memory/lib_memory_proc_MB,process/memory/data_resident_set_proc_MB,cpu/interrupts/interrupts_count,memory/used_memory_sys_percent,cpu/load/avg_sys_load_five_min_percent,process/memory/virtual_memory_size_proc_MB,process/involuntary_proc_ctx_switches,02_timing/loss_calc_time_s,02_timing/forward_time_s,02_timing/dataload_cuda_move_time_s,03_hivemind/num_peers,02_timing/opt_step_time_s,01_general/locally_processed_samples,01_general/minibatch_loss,02_timing/backward_time_s,02_timing/step_time_s,03_hivemind/global_epoch,01_general/lr,02_timing/dataload_time_s,01_general/dataset_iteration_count,01_general/step
0,1,30.0,211076.599808,1680690439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,,,1680690439,2.4,0.0,0.0,1204.8384,0.0,23.0,0.21253287229336612,178.72896,0.0,394.89536,0.0,0.0,0.0,0.23333333333333336,4.0,0.23829444109135076,208125.304832,2.719744,139.0,0.0,2481.012736,0.0,19.0,1.4,1.0333333333333332,9963.380736,48.0,,,,,,,,,,,,,,
2,2,,,1680690440,2.433333333333333,0.0,0.008000000000009777,1340.649472,0.012253960763713666,3306.0,0.4221234192845694,181.28896,3.0,398.78656,0.0,0.0,0.0,0.7333333333333333,1400.0,1.091400291999491,207989.497856,2.719744,168.0,0.0009999999999763531,2499.260416,0.0,3043.0,1.5,1.1333333333333333,10115.588096,49.0,,,,,,,,,,,,,,
3,3,,,1680690441,2.433333333333333,0.0,0.016000000000019554,1375.60064,0.45360631383634964,4276.0,0.07898522102887891,183.45984,78.0,422.498304,0.0,0.0,0.0,0.7333333333333333,2090.0,0.2120213633270675,207954.538496,2.719744,186.0,0.01700000000005275,2521.174016,0.0,3893.0,1.5,1.1333333333333333,10138.259456,51.0,,,,,,,,,,,,,,
4,4,,,1680690442,2.433333333333333,0.0,0.02400000000000091,1385.385984,0.25297335238183716,5449.0,0.21622750663299348,184.1152,81.0,440.881152,0.0,0.0,0.0,0.7333333333333333,2805.0,0.3507391376802809,207944.736768,2.719744,208.0,0.019000000000005457,2747.072512,0.0,4789.0,1.5,1.1333333333333333,10364.153856,51.0,,,,,,,,,,,,,,
5,5,,,1680690443,2.433333333333333,0.0,0.03200000000001069,2102.501376,0.0040869526424069,6916.0,0.2037489575622211,186.015744,82.0,1158.10304,0.0,0.0,0.0,0.7333333333333333,3459.0,0.18946058793078366,207227.63776,2.719744,208.0,0.019000000000005457,3259.650048,0.0,6047.0,1.8,1.1333333333333333,10876.731392,58.0,,,,,,,,,,,,,,
6,6,,,1680690444,2.433333333333333,0.0,0.036000000000001364,2801.033216,0.004086603640592166,8323.0,0.289031427509039,186.015744,83.0,1855.029248,0.0,0.0,0.0,0.7333333333333333,4196.0,0.21885678072962977,206529.110016,2.719744,208.0,0.01999999999998181,3952.61952,0.0,7322.0,2.2,1.1333333333333333,11569.700864,64.0,,,,,,,,,,,,,,
7,7,,,1680690445,2.433333333333333,0.0,0.040000000000020464,2801.770496,0.004086512259188319,9976.0,0.24552595743186892,186.015744,84.0,1855.029248,0.0,0.0,0.0,0.9333333333333335,5095.0,0.21450996786108242,206528.372736,2.719744,209.0,0.01999999999998181,3952.61952,0.0,8804.0,2.2,1.1666666666666665,11569.700864,72.0,,,,,,,,,,,,,,
8,8,,,1680690446,2.433333333333333,0.0,0.04800000000000182,3013.111808,0.004086620158880481,11611.0,0.268463806940108,186.015744,85.0,2065.215488,0.0,0.0,0.0,0.9333333333333335,5954.0,0.23105367274338368,206317.031424,2.719744,209.0,0.01999999999998181,4406.10816,0.0,10278.0,2.3,1.1666666666666665,12090.281984,80.0,,,,,,,,,,,,,,
9,9,,,1680690447,2.433333333333333,0.0,0.06400000000002137,3880.394752,0.2778901049119503,13233.0,0.20269471547069376,436.65408,128.0,3102.150656,0.0,0.0,0.0,0.9333333333333335,6776.0,0.19103348380391633,205439.340544,2.719744,219.0,0.051000000000044565,5200.285696,0.0,12731.0,2.7,1.1666666666666665,13960.23296,85.0,,,,,,,,,,,,,,
10,10,,,1680690448,2.433333333333333,0.0,0.06800000000001205,5876.424704,0.004086207067541416,17048.0,0.26893148323533844,1888.026624,129.0,6619.734016,0.0,0.0,0.0,0.9333333333333335,8335.0,0.22779806285284834,202024.607744,2.719744,641.0,0.05200000000002092,7416.696832,0.0,19880.0,4.3,1.1666666666666665,21320.142848,93.0,,,,,,,,,,,,,,
11,11,,,1680690449,2.433333333333333,0.0,0.07200000000000273,8122.85952,0.0040805225700321045,21587.0,0.2631937059664035,3120.979968,130.0,8972.959744,0.0,0.0,0.0,0.9333333333333335,10196.0,0.24184269044293305,198537.699328,2.719744,979.0,0.05200000000002092,8432.017408,0.0,730924.0,5.9,1.1666666666666665,27092.443136,99.0,,,,,,,,,,,,,,
12,12,,,1680690450,2.966666666666667,0.0,0.07600000000002183,8474.103808,0.00408060301490514,25706.0,0.42394436783832984,3309.8752,131.0,9107.304448,0.0,0.0,0.0,9.133333333333333,12854.0,4.123457319547399,197996.756992,2.719744,1056.0,0.05200000000002092,8402.956288,0.0,848964.0,6.2,2.8666666666666667,27453.771776,101.0,,,,,,,,,,,,,,
13,13,,,1680690451,2.966666666666667,0.0,0.0800000000000125,9421.991936,0.004085924264667202,31607.0,0.7464552686455781,3499.859968,132.0,9297.57184,0.0,0.0,0.0,9.133333333333333,19592.0,113.77122831913806,197043.277824,2.719744,1071.0,0.05200000000002092,8411.496448,0.0,856077.0,6.6,2.8666666666666667,30683.795456,106.0,8.248000085586682e-06,0.8628457060003711,0.0017393150001225877,,,,,,,,,,,
14,13,,,1680690451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.006703037000079348,32.0,10.94771671295166,0.024947384999904898,1.8137283700007174,0.0,0.0001,0.9174846790001538,0.0,0.0
15,13,,,1680690451,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00038106299962237244,0.01917008899999928,0.0021079469997857814,1.0,0.008371777999855112,64.0,10.85399055480957,0.026247521999721357,0.05735382999864669,0.0,0.0001,0.0010754309996627853,0.0,1.0
16,13,,,1680690451,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0003657810002550832,0.01830651599993871,0.002099129000271205,1.0,0.008333904999744846,96.0,10.995244979858398,0.027177701000255183,0.05659931900027004,0.0,0.0001,0.0003162869998050155,0.0,2.0
17,13,,,1680690451,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00039103600011003437,0.018265790000441484,0.0020724000005429843,1.0,0.008362278999811679,128.0,10.97777271270752,0.027092147000075784,0.05688642500081187,0.0,0.0001,0.0007027729998299037,0.0,3.0
18,13,,,1680690451,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0003939700000046287,0.018451122999977088,0.0021173469995119376,1.0,0.008420550999289844,160.0,10.87348747253418,0.02705955500005075,0.05670216399903438,0.0,0.0001,0.0002596180002001347,0.0,4.0
19,13,,,1680690451,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00040103099945554277,0.018142664000151854,0.0021913370001129806,1.0,0.008320949999870209,192.0,10.963068008422852,0.02740252000057808,0.05715558200063242,0.0,0.0001,0.0006970800004637567,0.0,5.0
20,13,,,1680690451,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00042194599973299773,0.019486838000375428,0.0021290109998517437,1.0,0.008285668000098667,224.0,10.89930534362793,0.02672344499933388,0.05793748599990067,0.0,0.0001,0.0008905780005079578,0.0,6.0
21,14,,,1680690452,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0004088340001544566,0.018378159000349115,0.002054691999546776,1.0,0.008402217000366363,256.0,10.873679161071777,0.026945383000565926,0.05738555000152701,0.0,0.0001,0.001196265000544372,0.0,7.0
22,14,,,1680690452,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00039963099970918847,0.01842660900001647,0.002182274000006146,1.0,0.008397092999985034,288.0,11.036978721618652,0.027296025999930862,0.05735318600000028,0.0,0.0001,0.0006515530003525782,0.0,8.0
23,14,,,1680690452,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00041344100009155227,0.018292806000317796,0.0021619330000248738,1.0,0.008399825999731547,320.0,10.869695663452148,0.02723076599977503,0.05705889599994407,0.0,0.0001,0.0005601240000032703,0.0,9.0
24,14,,,1680690452,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00042470399966987316,0.01828795799974614,0.00211459999991348,1.0,0.008390123000026506,352.0,10.89820384979248,0.027272417999483878,0.05712883499927557,0.0,0.0001,0.0006390320004356909,0.0,10.0
25,14,,,1680690452,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00042922600005113054,0.018586862000120163,0.002112555000167049,1.0,0.008330239000315487,384.0,11.040777206420898,0.026972160999321204,0.057427292999818746,0.0,0.0001,0.0009962499998437124,0.0,11.0
26,14,,,1680690452,2.966666666666667,0.0,0.14000000000001478,9443.016704,0.16751265582654076,41139.0,0.6493668959945479,3499.859968,150.0,9297.829888,0.0,0.0,0.0,9.133333333333333,24583.0,92.51897462981941,197022.646272,2.719744,1265.0,0.05899999999996908,8411.766784,0.0,863550.0,6.7,2.8666666666666667,31153.823744,111.0,,,,,,,,,,,,,,
