process/memory/text_resident_set_proc_MB,01_general/lr,process/voluntary_proc_ctx_switches,_step,memory/used_memory_sys_MB,02_timing/loss_calc_time_s,cpu/load/avg_sys_load_five_min_percent,_runtime,02_timing/forward_time_s,cpu/interrupts/interrupts_count,02_timing/dataload_cuda_move_time_s,process/memory/dirty_pages_proc_count,01_general/dataset_iteration_count,_timestamp,01_general/step,disk/counter/disk_read_sys_count,cpu/load/avg_sys_load_one_min_percent,process/memory/resident_set_size_proc_MB,memory/available_memory_sys_MB,02_timing/dataload_time_s,02_timing/opt_step_time_s,01_general/minibatch_loss,cpu/load/avg_sys_load_fifteen_min_percent,cpu/interrupts/ctx_switches_count,01_general/locally_processed_samples,process/memory/virtual_memory_size_proc_MB,disk/time/disk_write_time_sys_s,process/memory/shared_memory_proc_MB,disk/time/disk_busy_time_sys_s,process/memory/data_resident_set_proc_MB,02_timing/backward_time_s,memory/used_memory_sys_percent,cpu/interrupts/soft_interrupts_count,process/memory/lib_memory_proc_MB,bandwidth/net_recv_sys_bandwidth_Mbits,01_general/step_based_sps,bandwidth/disk_read_sys_bandwidth_MBs,02_timing/step_time_s,disk/time/disk_read_time_sys_s,disk/counter/disk_write_sys_count,bandwidth/net_sent_sys_bandwidth_Mbits,bandwidth/disk_write_sys_bandwidth_MBs,memory/total_memory_sys_MB,cpu/logical_core_count,process/involuntary_proc_ctx_switches
,0.0001,,16,,0.001212170000144397,,12,0.16520607100028428,,0.0010229370000160998,,0.0,1696189389.0,4.0,,,,,0.0016872250007509138,1.7900001694215462e-06,1.96396803855896,,,15.0,,,,,,0.0626331539997409,,,,,12.944238331118353,,0.231763347001106,,,,,,,
2.654208,,211.0,17,4218.339328,,10.125,12,,12602.0,0.0010708979998526047,0.0,,1696189389.0,,0.0,8.875,3695.947776,26851.06176,,,,12.875,6904.0,,28179.308544,0.06700000000000728,969.478144,0.11199999999999477,0.0,,14.9,7118.0,3593.150464,0.008921468226324865,,0.0,,0.0,75.0,0.06742172186288838,0.012257044001690103,,,37.0
,0.0001,,18,,0.001188262000141549,,12,0.17089470399969287,,,,0.0,1696189389.0,5.0,,,,,0.0016476519995194394,2.0369998310343362e-06,1.8970963954925537,,,18.0,,,,,,0.06584217900035583,,,,,12.466458370462865,,0.24064573199939332,,,,,,,
,0.0001,,19,,0.0011564919996089884,,13,0.16654889799974626,,0.0010233530001642066,,0.0,1696189390.0,6.0,,,,,0.0014041860003999318,1.901000359794125e-06,2.254643201828003,,,21.0,,,,,,0.06341460899966478,,,,,12.84524601234739,,0.23354943899994396,,,,,,,
2.654208,,235.0,20,4222.119936,,10.125,13,,13852.0,0.001101234999623557,0.0,,1696189390.0,,0.0,8.875,3695.947776,26847.485952,,,,12.875,7389.0,,28179.308544,0.06899999999995998,969.478144,0.12800000000001432,0.0,,14.9,7545.0,3593.150464,0.0,,0.0,,0.0,78.0,0.0,0.012252850830645652,,,39.0
,0.0001,,21,,0.0014275580006142263,,13,0.17173908400036453,,,,0.0,1696189390.0,7.0,,,,,0.001608648000001267,2.3789998522261158e-06,2.0945701599121094,,,24.0,,,,,,0.061159262999353814,,,,,12.656189667558515,,0.23703816699980962,,,,,,,
,0.0001,,22,,0.0012641909997910261,,14,0.1667278439999791,,0.001088791000256606,,0.0,1696189391.0,8.0,,,,,0.0016613950001556077,1.6309995771734975e-06,2.047053575515747,,,27.0,,,,,,0.0630161320004845,,,,,12.833676443085608,,0.233759984000244,,,,,,,
2.654208,,277.0,23,4225.98656,0.0012595150001288857,10.125,14,0.164021823999974,15327.0,0.0010357430001022294,0.0,,1696189391.0,,0.0,8.875,3695.960064,26843.619328,,,,12.875,7979.0,,28179.308544,0.07099999999991269,969.478144,0.14000000000001478,0.0,,14.9,8055.0,3593.150464,0.009887347080329324,,0.0,,0.0,81.0,0.07216406743488098,0.012257437531916125,,,41.0
,0.0001,,24,,,,14,,,,,0.0,1696189391.0,9.0,,,,,0.0014549269999406533,1.651000275160186e-06,2.1768674850463867,,,30.0,,,,,,0.06621018900023046,,,,,12.821397770884811,,0.2339838490006514,,,,,,,
,0.0001,,25,,0.0011615680004979367,,15,0.16771430800054077,,0.0010832759999175323,,0.0,1696189392.0,10.0,,,,,0.0016255760001513408,1.6470003174617887e-06,2.205570936203003,,,33.0,,,,,,0.06084339499921043,,,,,12.90712459076046,,0.23242977000063547,,,,,,,
