_step,_runtime,cpu/logical_core_count,memory/total_memory_sys_MB,_timestamp,cpu/load/avg_sys_load_fifteen_min_percent,disk/time/disk_read_time_sys_s,disk/time/disk_busy_time_sys_s,memory/used_memory_sys_MB,bandwidth/disk_write_sys_bandwidth_MBs,cpu/interrupts/ctx_switches_count,bandwidth/net_sent_sys_bandwidth_Mbits,process/memory/shared_memory_proc_MB,disk/counter/disk_write_sys_count,process/memory/resident_set_size_proc_MB,disk/counter/disk_read_sys_count,process/memory/dirty_pages_proc_count,bandwidth/disk_read_sys_bandwidth_MBs,cpu/load/avg_sys_load_one_min_percent,cpu/interrupts/soft_interrupts_count,bandwidth/net_recv_sys_bandwidth_Mbits,memory/available_memory_sys_MB,process/memory/text_resident_set_proc_MB,process/voluntary_proc_ctx_switches,disk/time/disk_write_time_sys_s,process/memory/lib_memory_proc_MB,process/memory/data_resident_set_proc_MB,cpu/interrupts/interrupts_count,memory/used_memory_sys_percent,cpu/load/avg_sys_load_five_min_percent,process/memory/virtual_memory_size_proc_MB,process/involuntary_proc_ctx_switches,02_timing/dataload_cuda_move_time_s,03_hivemind/num_peers,02_timing/loss_calc_time_s,02_timing/forward_time_s,02_timing/opt_step_time_s,01_general/locally_processed_samples,01_general/minibatch_loss,02_timing/backward_time_s,02_timing/step_time_s,03_hivemind/global_epoch,01_general/lr,02_timing/dataload_time_s,01_general/dataset_iteration_count,01_general/step
0,1,30.0,211076.595712,1683047966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,,,1683047966,1.4333333333333333,0.0,0.0,1256.751104,0.0,16.0,0.22192529414003292,178.266112,0.0,394.780672,0.0,0.0,0.0,0.3,20.0,0.2488253286002167,208078.618624,2.711552,129.0,0.0,2481.451008,0.0,25.0,1.4,1.1333333333333333,9975.300096,47.0,,,,,,,,,,,,,,
2,2,,,1683047967,1.4333333333333333,0.0,0.007999999999995566,1646.067712,0.012254185105689064,3845.0,0.5650328164460634,182.460416,3.0,643.248128,0.0,0.0,0.0,0.3,1947.0,1.1522364534680876,207689.302016,2.711552,148.0,0.0010000000000047748,2742.882304,0.0,3899.0,1.6,1.1333333333333333,10370.691072,51.0,,,,,,,,,,,,,,
3,3,,,1683047968,1.4333333333333333,0.0,0.012000000000000455,2781.065216,0.004085967022727272,5419.0,0.1713073594137377,449.159168,4.0,1959.337984,0.0,0.0,0.0,0.3,2821.0,0.14814024564617598,206543.814656,2.711552,182.0,0.0020000000000095497,3804.147712,0.0,6232.0,2.1,1.1333333333333333,12342.3744,58.0,,,,,,,,,,,,,,
4,4,,,1683047969,1.4333333333333333,0.0,0.016000000000005343,3614.507008,0.004078489240859314,14274.0,0.42636144197425985,932.06528,5.0,3085.840384,0.0,0.0,0.0,0.3,6684.0,0.4103103563681902,205246.214144,2.711552,688.0,0.0020000000000095497,4734.54592,0.0,909506.0,2.8,1.1333333333333333,16894.898176,522.0,,,,,,,,,,,,,,
5,5,,,1683047970,1.4333333333333333,0.0,0.01999999999999602,3920.928768,0.004075925050251973,23802.0,1.6095207065192674,944.562176,6.0,3098.976256,0.0,0.0,0.0,0.3,17931.0,149.93955804076018,204899.426304,2.711552,725.0,0.0020000000000095497,4811.784192,0.0,946978.0,2.9,1.1333333333333333,17606.787072,530.0,,,,,,,,,,,,,,
6,6,,,1683047971,1.4666666666666666,0.0,0.0519999999999925,5259.476992,0.5556449971557109,29410.0,0.8217532428670644,1217.507328,66.0,3905.073152,0.0,0.0,0.0,0.8333333333333334,28049.0,489.26495439194144,203304.476672,2.711552,736.0,0.06999999999999318,5370.896384,0.0,955589.0,3.7,1.2,19280.187392,576.0,0.0029659340000307566,,,,,,,,,,,,,
7,6,,,1683047971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.00022989800004324934,1.400397460000022,0.004282376999981352,32.0,7.12744140625,0.1355662510000002,2.5398199999999633,0.0,0.0001,0.9963780799998858,0.0,0.0
8,6,,,1683047971,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0024187230001189164,1.0,0.00031602200010638626,0.054440980999970634,0.003926449000118737,64.0,7.1097412109375,0.044200537000051554,0.10754693800026871,0.0,0.0001,0.0022442259999024827,0.0,1.0
9,7,,,1683047972,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.002457855000102427,1.0,0.0003592630000639474,0.05469207199985249,0.003947548999803985,96.0,7.179443359375,0.04531021899992993,0.10944230299992341,0.0,0.0001,0.002675345000170637,0.0,2.0
10,7,,,1683047972,1.4666666666666666,0.0,0.06799999999999784,5879.304192,0.01634634066956412,32729.0,0.5523594528997132,1374.654464,70.0,4663.533568,0.0,0.0,0.0,0.8333333333333334,30642.0,66.03460292427553,202684.608512,2.711552,787.0,0.07099999999999795,5969.199104,0.0,958856.0,4.0,1.2,23371.030528,600.0,0.0024640300000555726,,0.00035586400008469354,0.054770978999840736,0.004076015999999072,,,0.046530827999959,,,,,,
11,7,,,1683047972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,128.0,7.1431884765625,,0.11063064199993278,0.0,0.0001,0.002432924999993702,0.0,3.0
12,7,,,1683047972,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0024751789999299945,1.0,0.0003433289998611144,0.05492320999996991,0.003915128999778972,160.0,7.1890869140625,0.044804312999985996,0.10969025099961982,0.0,0.0001,0.003229091000093831,0.0,4.0
13,7,,,1683047972,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00245144799987429,1.0,0.00035426099998403515,0.05525576600007298,0.003968297000028542,192.0,7.00537109375,0.045723838999947475,0.1101183539997237,0.0,0.0001,0.0023647429998163716,0.0,5.0
14,7,,,1683047972,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0024691159999292722,1.0,0.0004028110001854657,0.054953608999994685,0.003971180999997159,224.0,7.072021484375,0.04504317100008848,0.10920714000030785,0.0,0.0001,0.002367252000112785,0.0,6.0
15,7,,,1683047972,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.002480952000041725,1.0,0.00038259500001913693,0.05490399299992532,0.003969140999970477,256.0,7.0701904296875,0.04543241000010312,0.109391437000113,0.0,0.0001,0.0022223460000532214,0.0,7.0
16,7,,,1683047972,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.002470595999966463,1.0,0.0003717800000231364,0.054911340999979075,0.004001772000037818,288.0,7.1934814453125,0.04485840699999244,0.1090301219999219,0.0,0.0001,0.002416225999922972,0.0,8.0
17,8,,,1683047973,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0024755709998771636,1.0,0.0004007580000688904,0.05498328299995592,0.003964165000070352,320.0,7.201171875,0.04489016999991691,0.10932761599974583,0.0,0.0001,0.0026136689998566,0.0,9.0
18,8,,,1683047973,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0024541669999962323,1.0,0.00038057699998717,0.055013737000081164,0.003969424999922921,352.0,7.0859375,0.04491635499994118,0.10902151999971466,0.0,0.0001,0.0022872589997859905,0.0,10.0
19,8,,,1683047973,1.4666666666666666,0.0,0.1039999999999992,5912.272896,0.036776458375790605,39381.0,1.3778641719539164,1374.605312,79.0,4663.513088,0.0,0.0,0.0,0.8333333333333334,38602.0,231.47051826926042,202670.903296,2.711552,879.0,0.07400000000001228,5969.199104,0.0,966224.0,4.0,1.2,23409.586176,671.0,0.002440790000036941,,,,,,,,,,,,,
20,8,,,1683047973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.00036544299996421614,0.05605472899992492,0.003979954999977053,384.0,6.967041015625,0.04522823099978268,0.11048824099975718,0.0,0.0001,0.0024190930000713706,0.0,11.0
21,8,,,1683047973,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.002531457000031878,1.0,0.0003759280000394938,0.05488365199994405,0.0039389769999615964,416.0,6.9022216796875,0.045094750000089334,0.10921865500017702,0.0,0.0001,0.0023938910001106706,0.0,12.0
22,8,,,1683047973,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0024578779998591926,1.0,0.00034999700005755585,0.054710181000018565,0.003923574000054941,448.0,7.1878662109375,0.04536993199985773,0.10914429299987205,0.0,0.0001,0.0023327310000240686,0.0,13.0
23,8,,,1683047973,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.002449249000164855,1.0,0.000421439000092505,0.055252350000046135,0.003910704999952941,480.0,7.070068359375,0.04513113000007252,0.10983034100036093,0.0,0.0001,0.0026654680000319786,0.0,14.0
