03_hivemind/estimated_current_samples,03_hivemind/optimistic_total_samples_per_second,03_hivemind/num_peers,03_hivemind/global_samples_accumulated,_step,03_hivemind/eta_next_epoch_s,_runtime,03_hivemind/global_epoch,03_hivemind/next_fetch_time_s,03_hivemind/actual_total_samples_per_second,_timestamp,03_hivemind/num_clients,04_peers/peer_1_samples_accumulated,04_peers/peer_1_epoch,04_peers/peer_1_samples_per_second,04_peers/peer_1_epoch_oos,04_peers/peer_3_samples_per_second,04_peers/peer_2_samples_accumulated,04_peers/peer_2_epoch,04_peers/peer_3_epoch_oos,04_peers/peer_3_epoch,04_peers/peer_3_samples_accumulated,04_peers/peer_2_epoch_oos,04_peers/peer_2_samples_per_second,03_hivemind/epoch_s,03_hivemind/undershot_TBS,03_hivemind/total_training_samples,03_hivemind/per_epoch_training_samples,03_hivemind/reached_TBS,03_hivemind/epoch_based_sps,03_hivemind/overshot_TBS
430,14.976473807207997,1,384,0,2159.22,42,0,10.0,14.976473807207997,1682818236,0,,,,,,,,,,,,,,,,,,,
3983,843.2662330189734,1,3872,1,34.14,43,0,8.53,843.2662330189734,1682818237,0,384.0,0.0,14.98,0.0,,,,,,,,,,,,,,,
4963,831.900606432895,1,4864,2,33.42,44,0,8.36,831.900606432895,1682818238,0,3872.0,0.0,843.27,0.0,,,,,,,,,,,,,,,
6646,1160.6629892552166,3,6528,3,22.51,45,0,10.0,1160.6629892552166,1682818239,0,4864.0,0.0,831.9,0.0,,,,,,,,,,,,,,,
9661,2256.3636645708075,3,9376,4,10.24,47,0,5.12,2256.3636645708075,1682818241,0,5856.0,0.0,822.09,0.0,161.03,352.0,0.0,0.0,0.0,320.0,0.0,177.54,,,,,,,
12975,2427.758322366557,3,12704,5,8.15,48,0,4.08,2427.758322366557,1682818242,0,6752.0,0.0,752.26,0.0,756.8,1312.0,0.0,0.0,0.0,1312.0,0.0,747.3,,,,,,,
15947,2491.333729290296,3,15616,6,6.75,49,0,3.38,2491.333729290296,1682818243,0,7776.0,0.0,768.51,0.0,830.19,2464.0,0.0,0.0,0.0,2464.0,0.0,829.06,,,,,,,
18909,2462.531710769073,3,18624,7,5.63,50,0,2.81,2462.531710769073,1682818244,0,8768.0,0.0,831.28,0.0,826.82,3424.0,0.0,0.0,0.0,3424.0,0.0,833.24,,,,,,,
21871,2487.2138947174603,3,21600,8,4.38,51,0,2.19,2487.2138947174603,1682818245,0,9760.0,0.0,829.19,0.0,832.41,4416.0,0.0,0.0,0.0,4448.0,0.0,800.93,,,,,,,
24834,2484.926770229794,3,24544,9,3.19,53,0,1.6,2484.926770229794,1682818247,0,10752.0,0.0,833.85,0.0,829.12,5408.0,0.0,0.0,0.0,5440.0,0.0,824.25,,,,,,,
