process/memory/dirty_pages_proc_count,_timestamp,02_timing/step_time_s,01_general/dataset_iteration_count,cpu/load/avg_sys_load_one_min_percent,bandwidth/disk_write_sys_bandwidth_MBs,process/memory/data_resident_set_proc_MB,cpu/load/avg_sys_load_fifteen_min_percent,01_general/step,02_timing/forward_time_s,process/memory/lib_memory_proc_MB,01_general/locally_processed_samples,disk/time/disk_write_time_sys_s,01_general/lr,cpu/logical_core_count,02_timing/dataload_time_s,disk/time/disk_busy_time_sys_s,disk/counter/disk_read_sys_count,cpu/load/avg_sys_load_five_min_percent,01_general/minibatch_loss,02_timing/backward_time_s,memory/used_memory_sys_MB,cpu/interrupts/interrupts_count,process/memory/virtual_memory_size_proc_MB,disk/time/disk_read_time_sys_s,memory/available_memory_sys_MB,process/involuntary_proc_ctx_switches,process/memory/resident_set_size_proc_MB,bandwidth/disk_read_sys_bandwidth_MBs,bandwidth/net_sent_sys_bandwidth_Mbits,_runtime,cpu/interrupts/ctx_switches_count,02_timing/dataload_cuda_move_time_s,process/memory/shared_memory_proc_MB,bandwidth/net_recv_sys_bandwidth_Mbits,process/memory/text_resident_set_proc_MB,01_general/step_based_sps,02_timing/opt_step_time_s,memory/total_memory_sys_MB,cpu/interrupts/soft_interrupts_count,process/voluntary_proc_ctx_switches,_step,02_timing/loss_calc_time_s,memory/used_memory_sys_percent,disk/counter/disk_write_sys_count
,1681380358.0,,,,,,,,,,,,,80.0,,,,,,,,,,,,,,,,1,,,,,,,,540929.032192,,,0,,,
0.0,1681380358.0,,,0.3125,0.0,0.0,0.08750000000000001,,,4771.180544,,0.0,,,,0.0,0.0,0.21250000000000002,,,6254.866432,26.0,42330.710016,0.0,531167.346688,88.0,321.400832,0.0,1.4013562848824312,1,92.0,,106.319872,2.715028160444296,2.854912,,,,62.0,3588.0,1,,1.8,0.0
0.0,1681380359.0,,,0.3125,0.01631861743214643,0.0,0.08750000000000001,,,5249.404928,,0.0,,,,0.003999999999990678,0.0,0.21250000000000002,,,6729.8304,4646.0,42808.9344,0.0,530692.390912,90.0,795.082752,0.0,1.7920917617399224,2,4196.0,,106.983424,70.47988558327218,2.854912,,,,8064.0,3615.0,2,,1.9,1.0
0.0,1681380360.0,,,0.3875,0.0,0.0,0.08750000000000001,,,5891.944448,,0.0,,,,0.003999999999990678,0.0,0.22499999999999998,,,7056.756736,44179.0,46063.599616,0.0,530365.464576,92.0,1116.348416,0.0,3.4746159999731776,3,9276.0,,107.39712,202.12343250581773,2.854912,,,,16112.0,3645.0,3,,2.0,1.0
0.0,1681380361.0,,,0.3875,0.0,0.0,0.08750000000000001,,,5891.948544,,0.0,,,,0.003999999999990678,0.0,0.22499999999999998,,,7062.79424,77602.0,46063.599616,0.0,530359.427072,94.0,1116.327936,0.0,35.12537406915981,4,19216.0,,107.39712,0.0802207625662162,2.854912,,,,36068.0,3678.0,4,,2.0,1.0
0.0,1681380362.0,,,0.3875,0.0,0.0,0.08750000000000001,,,5933.133824,,0.0,,,,0.03599999999998715,36.0,0.22499999999999998,,,7205.896192,85791.0,46910.091264,0.012000000000000455,530205.814784,95.0,1264.791552,3.6565477330532543,35.13697895947812,5,20946.0,,225.165312,413.02362625315766,2.854912,,,,39398.0,3751.0,5,,2.0,1.0
0.0,1681380363.0,,,0.3875,0.14277929056225372,0.0,0.08750000000000001,,,6034.231296,,0.0010000000000047748,,,,0.03999999999999204,36.0,0.22499999999999998,,,7310.1312,88195.0,47011.188736,0.012000000000000455,530101.587968,96.0,1373.646848,0.0,0.5324424593253363,6,22263.0,,232.767488,805.1990604394371,2.854912,,,,42609.0,3797.0,6,,2.0,3.0
0.0,1681380364.0,,,0.3875,0.0,0.0,0.08750000000000001,,,6125.838336,,0.0010000000000047748,,,,0.03999999999999204,36.0,0.22499999999999998,,,7401.947136,88968.0,47102.795776,0.012000000000000455,530009.726976,97.0,1472.516096,0.0,0.1682437511246394,7,23358.0,,240.021504,756.4487462023123,2.854912,,,,44800.0,3833.0,7,,2.0,3.0
0.0,1681380365.0,,,0.46249999999999997,0.0,0.0,0.1,,,6236.659712,,0.0010000000000047748,,,,0.03999999999999204,36.0,0.2375,,,7510.441984,90344.0,47213.617152,0.012000000000000455,529901.010944,98.0,1598.078976,0.0,0.6628881410960027,8,25038.0,,254.746624,1072.579721342008,2.854912,,,,49064.0,3883.0,8,,2.0,3.0
0.0,1681380366.0,,,0.46249999999999997,0.0,0.0,0.1,,,6314.983424,,0.0010000000000047748,,,,0.03999999999999204,36.0,0.2375,,,7581.913088,91056.0,47291.940864,0.012000000000000455,529829.556224,100.0,1685.331968,0.0,0.1834262290515389,9,26031.0,,263.913472,621.6918672580035,2.854912,,,,51010.0,3921.0,9,,2.1,3.0
