04_peers/peer_5_epoch_oos,04_peers/peer_6_samples_per_second,04_peers/peer_7_samples_accumulated,04_peers/peer_5_epoch,04_peers/peer_3_epoch_oos,04_peers/peer_1_epoch_oos,04_peers/peer_4_epoch_oos,04_peers/peer_6_epoch_oos,04_peers/peer_4_samples_per_second,04_peers/peer_1_samples_accumulated,04_peers/peer_8_samples_accumulated,04_peers/peer_8_epoch,03_hivemind/overshot_TBS,04_peers/peer_2_epoch_oos,04_peers/peer_5_samples_per_second,04_peers/peer_3_samples_accumulated,_step,04_peers/peer_1_epoch,04_peers/peer_8_epoch_oos,04_peers/peer_8_samples_per_second,03_hivemind/num_clients,03_hivemind/reached_TBS,03_hivemind/epoch_s,04_peers/peer_2_epoch,04_peers/peer_3_epoch,04_peers/peer_4_epoch,04_peers/peer_7_epoch,03_hivemind/epoch_based_sps,_runtime,_timestamp,03_hivemind/global_samples_accumulated,03_hivemind/total_training_samples,04_peers/peer_7_samples_per_second,04_peers/peer_4_samples_accumulated,04_peers/peer_6_samples_accumulated,03_hivemind/estimated_current_samples,03_hivemind/num_peers,04_peers/peer_7_epoch_oos,03_hivemind/per_epoch_training_samples,03_hivemind/undershot_TBS,03_hivemind/eta_next_epoch_s,03_hivemind/next_fetch_time_s,04_peers/peer_1_samples_per_second,04_peers/peer_2_samples_per_second,04_peers/peer_3_samples_per_second,04_peers/peer_6_epoch,03_hivemind/global_epoch,03_hivemind/actual_total_samples_per_second,03_hivemind/optimistic_total_samples_per_second,04_peers/peer_2_samples_accumulated,04_peers/peer_5_samples_accumulated
,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,80,1680699722.0,1696,,,,,2197,5,,,,42.68,10.0,,,,,0,716.3263459820732,716.3263459820732,,
0.0,,,0.0,0.0,0.0,0.0,,49.38,256.0,,,,0.0,48.56,192.0,1,0.0,,,0,,,0.0,0.0,0.0,,,84,1680699726.0,8000,,,128.0,,15817,6,,,,6.94,4.63,109.36,429.84,79.19,,0,2443.068011402191,2443.068011402191,992.0,128.0
0.0,6.7,,0.0,0.0,0.0,0.0,0.0,489.63,1600.0,,,,0.0,492.04,1504.0,2,0.0,,,0,,,0.0,0.0,0.0,,,88,1680699730.0,20736,,,1504.0,352.0,28916,8,,,,1.33,0.97,494.85,472.1,487.77,0.0,0,2901.7360118919896,2901.7360118919896,1536.0,1504.0
0.0,395.46,192.0,0.0,0.0,0.0,0.0,0.0,488.88,3616.0,160.0,0.0,,0.0,489.17,3584.0,3,0.0,0.0,63.13,0,,,0.0,0.0,0.0,0.0,,90,1680699732.0,33120,,75.83,3584.0,2528.0,39370,8,0.0,,,0.0,0.5,437.99,457.87,493.41,0.0,0,3526.2185617990626,3526.2185617990626,3488.0,3584.0
0.0,483.98,1920.0,0.0,0.0,0.0,0.0,0.0,396.17,5024.0,1920.0,0.0,,0.0,459.2,5088.0,4,0.0,0.0,472.99,0,,,0.0,0.0,0.0,0.0,,92,1680699734.0,33120,,462.0,5088.0,4096.0,44328,8,0.0,,,0.0,0.5,415.74,437.85,398.29,0.0,0,3526.2185617990626,3526.2185617990626,4928.0,5056.0
0.0,483.98,1920.0,0.0,0.0,0.0,0.0,0.0,396.17,5024.0,1920.0,0.0,,0.0,459.2,5088.0,5,0.0,0.0,472.99,0,,,0.0,0.0,0.0,0.0,,93,1680699735.0,33120,,462.0,5088.0,4096.0,49256,8,0.0,,,0.0,0.5,415.74,437.85,398.29,0.0,0,3526.2185617990626,3526.2185617990626,4928.0,5056.0
0.0,483.98,1920.0,0.0,0.0,0.0,0.0,0.0,396.17,5024.0,1920.0,0.0,,0.0,459.2,5088.0,6,0.0,0.0,472.99,0,,,0.0,0.0,0.0,0.0,,95,1680699737.0,33120,,462.0,5088.0,4096.0,54184,8,0.0,,,0.0,0.5,415.74,437.85,398.29,0.0,0,3526.2185617990626,3526.2185617990626,4928.0,5056.0
0.0,483.98,1920.0,0.0,0.0,0.0,0.0,0.0,396.17,5024.0,1920.0,0.0,,0.0,459.2,5088.0,7,0.0,0.0,472.99,0,,,0.0,0.0,0.0,0.0,,96,1680699738.0,33120,,462.0,5088.0,4096.0,59127,8,0.0,,,0.0,0.5,415.74,437.85,398.29,0.0,0,3526.2185617990626,3526.2185617990626,4928.0,5056.0
0.0,483.98,1920.0,0.0,0.0,0.0,0.0,0.0,396.17,5024.0,1920.0,0.0,,0.0,459.2,5088.0,8,0.0,0.0,472.99,0,,,0.0,0.0,0.0,0.0,,97,1680699739.0,33120,,462.0,5088.0,4096.0,64060,8,0.0,,,0.0,0.5,415.74,437.85,398.29,0.0,0,3526.2185617990626,3526.2185617990626,4928.0,5056.0
0.0,483.98,1920.0,0.0,0.0,0.0,0.0,0.0,396.17,5024.0,1920.0,0.0,,0.0,459.2,5088.0,9,0.0,0.0,472.99,0,,,0.0,0.0,0.0,0.0,,102,1680699744.0,33120,,462.0,5088.0,4096.0,78928,8,0.0,,,0.0,0.5,415.74,437.85,398.29,0.0,0,3526.2185617990626,3526.2185617990626,4928.0,5056.0
