_step,_runtime,cpu/logical_core_count,memory/total_memory_sys_MB,_timestamp,cpu/load/avg_sys_load_fifteen_min_percent,disk/time/disk_read_time_sys_s,disk/time/disk_busy_time_sys_s,memory/used_memory_sys_MB,bandwidth/disk_write_sys_bandwidth_MBs,cpu/interrupts/ctx_switches_count,bandwidth/net_sent_sys_bandwidth_Mbits,process/memory/shared_memory_proc_MB,disk/counter/disk_write_sys_count,process/memory/resident_set_size_proc_MB,disk/counter/disk_read_sys_count,process/memory/dirty_pages_proc_count,bandwidth/disk_read_sys_bandwidth_MBs,cpu/load/avg_sys_load_one_min_percent,cpu/interrupts/soft_interrupts_count,bandwidth/net_recv_sys_bandwidth_Mbits,memory/available_memory_sys_MB,process/memory/text_resident_set_proc_MB,process/voluntary_proc_ctx_switches,disk/time/disk_write_time_sys_s,process/memory/lib_memory_proc_MB,process/memory/data_resident_set_proc_MB,cpu/interrupts/interrupts_count,memory/used_memory_sys_percent,cpu/load/avg_sys_load_five_min_percent,process/memory/virtual_memory_size_proc_MB,process/involuntary_proc_ctx_switches,02_timing/dataload_cuda_move_time_s,02_timing/loss_calc_time_s,02_timing/forward_time_s,02_timing/backward_time_s,03_hivemind/num_peers,02_timing/opt_step_time_s,01_general/locally_processed_samples,01_general/minibatch_loss,02_timing/step_time_s,03_hivemind/global_epoch,01_general/lr,02_timing/dataload_time_s,01_general/dataset_iteration_count,01_general/step
0,1,30.0,211076.595712,1683050295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,,,1683050295,1.2333333333333334,0.0,0.0040000000000048885,1160.290304,0.0,42.0,0.6835865352407431,178.499584,0.0,395.010048,2.0,0.0,83.07993123246534,0.6666666666666667,12.0,0.7664455096286711,208177.11104,2.711552,180.0,0.0,2481.426432,0.0,31.0,1.4,1.7666666666666668,9975.27552,58.0,,,,,,,,,,,,,,
2,2,,,1683050296,1.2333333333333334,0.0,0.008000000000009777,1274.990592,0.00817052130815007,8890.0,2.1069492449705485,180.748288,2.0,397.35296,2.0,0.0,0.0,0.6666666666666667,4650.0,1.333542379452245,208062.398464,2.711552,193.0,0.0010000000000047748,2489.950208,0.0,7518.0,1.4,1.7666666666666668,10050.781184,58.0,,,,,,,,,,,,,,
3,3,,,1683050297,1.2333333333333334,0.0,0.016000000000005343,1276.022784,2.1161453934969052,26139.0,9.770089511445015,180.748288,7.0,397.365248,2.0,0.0,0.0,0.6666666666666667,14747.0,2.336380391206531,208061.366272,2.711552,193.0,0.005000000000009663,2489.962496,0.0,20794.0,1.4,1.7666666666666668,10050.781184,58.0,,,,,,,,,,,,,,
4,4,,,1683050298,1.2333333333333334,0.0,0.028000000000005798,1280.55296,2.4439441936801796,40043.0,11.785858932500348,180.748288,242.0,397.365248,2.0,0.0,0.0,0.6,23154.0,1.9599781728042944,208056.819712,2.711552,193.0,0.1600000000000108,2489.966592,0.0,31714.0,1.4,1.7333333333333332,10050.781184,58.0,,,,,,,,,,,,,,
5,5,,,1683050299,1.2333333333333334,0.0030000000000001137,0.056000000000011596,1895.190528,0.004086729043676751,53582.0,10.787679579498551,354.103296,243.0,1097.56416,48.0,0.0,4.421840820712897,0.6,31138.0,2.291018703150411,207431.712768,2.711552,269.0,0.1600000000000108,3054.436352,0.0,43527.0,1.7,1.7333333333333332,11357.77792,63.0,,,,,,,,,,,,,,
6,6,,,1683050300,1.2333333333333334,0.004000000000001336,0.06800000000001205,2636.017664,0.004076402803661714,66691.0,10.80405978263448,509.997056,244.0,2016.468992,51.0,0.0,0.14675050104157034,0.6,40251.0,2.630537762758666,206644.027392,2.711552,315.0,0.1600000000000108,4092.096512,0.0,72964.0,2.1,1.7333333333333332,15190.1184,147.0,,,,,,,,,,,,,,
7,7,,,1683050301,1.2333333333333334,0.006000000000000227,0.0799999999999983,2941.927424,0.004073592974573657,88650.0,11.60337499719613,554.426368,245.0,2094.395392,68.0,0.0,0.8310129674348832,0.6,59772.0,72.4390331114393,206291.61984,2.711552,349.0,0.1600000000000108,4197.122048,0.0,265834.0,2.3,1.7333333333333332,15944.368128,312.0,,,,,,,,,,,,,,
8,8,,,1683050302,1.2333333333333334,0.006000000000000227,0.09199999999999875,4353.683456,0.17568199944707213,99589.0,7.941207806384465,818.282496,248.0,3318.710272,68.0,0.0,0.0,0.6,76440.0,574.0147197199482,204603.256832,2.711552,361.0,0.16300000000001091,5180.530688,0.0,280153.0,3.1,1.7333333333333332,18089.713664,1429.0,0.00299555400005147,,,,,,,,,,,,,
9,9,,,1683050303,1.2333333333333334,0.006000000000000227,0.10000000000000853,5061.136384,0.2941818590367366,130613.0,8.308307301308012,1039.613952,296.0,4173.33248,68.0,0.0,0.0,0.8333333333333334,88782.0,783.1633416055471,203802.284032,2.711552,371.0,0.19700000000000273,5824.684032,0.0,303769.0,3.4,1.7666666666666668,19707.449344,1793.0,,0.00020788099999435872,1.3355420390000177,0.10199856799999907,,,,,,,,,,
