03_hivemind/num_peers,04_peers/peer_2_epoch,03_hivemind/actual_total_samples_per_second,_runtime,04_peers/peer_1_epoch_oos,04_peers/peer_1_epoch,03_hivemind/global_epoch,03_hivemind/epoch_based_sps,04_peers/peer_1_samples_per_second,03_hivemind/num_clients,03_hivemind/next_fetch_time_s,03_hivemind/overshot_TBS,03_hivemind/undershot_TBS,03_hivemind/total_training_samples,03_hivemind/estimated_current_samples,03_hivemind/global_samples_accumulated,03_hivemind/reached_TBS,03_hivemind/eta_next_epoch_s,04_peers/peer_2_samples_per_second,04_peers/peer_2_samples_accumulated,_step,03_hivemind/epoch_s,04_peers/peer_1_samples_accumulated,03_hivemind/per_epoch_training_samples,03_hivemind/optimistic_total_samples_per_second,_timestamp,04_peers/peer_2_epoch_oos
2,1.0,902.9890927153665,78,0.0,1.0,1,,380.83,0,3.29,,,,8964,8864,,8.22,462.16,3968.0,32,,3808.0,,902.9890927153665,1680688922.0,0.0
2,1.0,902.3205591160564,79,0.0,1.0,1,,461.82,0,2.82,,,,10011,9920,,7.06,441.17,4512.0,33,,4352.0,,902.3205591160564,1680688923.0,0.0
2,1.0,828.1075374717453,81,0.0,1.0,1,,417.45,0,2.58,,,,11034,10912,,6.46,484.87,5088.0,34,,4832.0,,828.1075374717453,1680688925.0,0.0
2,1.0,880.8470795136183,82,0.0,1.0,1,,362.82,0,1.95,,,,12098,12000,,4.87,465.29,5632.0,35,,5280.0,,880.8470795136183,1680688926.0,0.0
2,1.0,829.6457797994829,83,0.0,1.0,1,,405.75,0,1.6,,,,13057,12960,,4.01,475.1,6208.0,36,,5792.0,,829.6457797994829,1680688927.0,0.0
2,1.0,918.5742508942185,84,0.0,1.0,1,,341.21,0,0.98,,,,14144,13888,,2.44,488.43,6752.0,37,,6208.0,,918.5742508942185,1680688928.0,0.0
2,1.0,760.5594424497008,85,0.0,1.0,1,,466.87,0,0.83,,,,14813,14688,,2.07,451.71,7232.0,38,,6656.0,,760.5594424497008,1680688929.0,0.0
2,1.0,955.1951315455808,86,0.0,1.0,1,,283.31,0,0.5,,,,16024,15840,,0.38,477.25,7776.0,39,,6912.0,,955.1951315455808,1680688930.0,0.0
2,1.0,704.5491423659084,88,0.0,1.0,1,,453.01,0,0.5,,,,16639,16160,,0.0,502.18,8384.0,40,,7456.0,,704.5491423659084,1680688932.0,0.0
2,1.0,704.5491423659084,89,0.0,1.0,1,,205.73,0,0.5,,,,17477,16160,,0.0,498.82,8672.0,41,,7488.0,,704.5491423659084,1680688933.0,0.0
2,1.0,848.5437783386881,90,0.0,1.0,2,,205.73,0,7.43,,,,631,512,,18.57,498.82,8672.0,42,,7488.0,,848.5437783386881,1680688934.0,0.0
2,2.0,944.9667335219588,91,0.0,2.0,2,754.8531442225149,320.11,0,6.15,0.0,1.0,32544.0,1855,1664,1.0,15.37,528.43,256.0,43,21.408137627411634,256.0,16160.0,944.9667335219588,1680688935.0,0.0
2,2.0,819.6715814340658,92,0.0,2.0,2,,441.42,0,6.71,,,,2637,2528,,16.77,503.54,800.0,44,,864.0,,819.6715814340658,1680688936.0,0.0
2,2.0,874.6019216483601,94,0.0,2.0,2,,389.48,0,5.83,,,,3644,3552,,14.57,430.19,1280.0,45,,1248.0,,874.6019216483601,1680688938.0,0.0
2,2.0,702.8716386291107,95,0.0,2.0,2,,406.59,0,6.83,,,,4387,4288,,17.07,468.01,1824.0,46,,1728.0,,702.8716386291107,1680688939.0,0.0
2,2.0,738.1867186566474,96,0.0,2.0,2,,443.59,0,6.02,,,,5271,5152,,15.05,259.28,2048.0,47,,2240.0,,738.1867186566474,1680688940.0,0.0
2,2.0,698.5295716337985,97,0.0,2.0,2,,271.63,0,5.93,,,,6035,5952,,14.81,466.56,2656.0,48,,2496.0,,698.5295716337985,1680688941.0,0.0
2,2.0,933.1951030496684,98,0.0,2.0,2,,391.42,0,3.93,,,,7210,7072,,9.83,307.11,2944.0,49,,3008.0,,933.1951030496684,1680688942.0,0.0
2,2.0,838.6164579397873,100,0.0,2.0,2,,446.72,0,3.89,,,,8221,8128,,9.73,486.47,3584.0,50,,3488.0,,838.6164579397873,1680688944.0,0.0
2,2.0,894.7854774864765,101,0.0,2.0,2,,445.35,0,3.16,,,,9307,9184,,7.91,393.26,4096.0,51,,4032.0,,894.7854774864765,1680688945.0,0.0
2,2.0,904.5295476468252,102,0.0,2.0,2,,429.19,0,2.67,,,,10353,10240,,6.67,465.59,4640.0,52,,4544.0,,904.5295476468252,1680688946.0,0.0
2,2.0,874.3460453117657,103,0.0,2.0,2,,442.02,0,2.29,,,,11375,11264,,5.73,462.51,5184.0,53,,5056.0,,874.3460453117657,1680688947.0,0.0
2,2.0,752.1749550748236,104,0.0,2.0,2,,475.52,0,2.22,,,,12208,12128,,5.55,398.83,5600.0,54,,5664.0,,752.1749550748236,1680688948.0,0.0
2,2.0,888.6584765363968,105,0.0,2.0,2,,302.56,0,1.38,,,,13312,13152,,3.46,449.62,6144.0,55,,5984.0,,888.6584765363968,1680688949.0,0.0
2,2.0,910.9395666463815,107,0.0,2.0,2,,439.69,0,0.88,,,,14387,14144,,2.19,448.97,6656.0,56,,6496.0,,910.9395666463815,1680688951.0,0.0
2,2.0,907.4859021762402,108,0.0,2.0,2,,454.38,0,0.5,,,,15370,15264,,1.12,456.56,7200.0,57,,6944.0,,907.4859021762402,1680688952.0,0.0
2,2.0,937.1474091923542,109,0.0,2.0,2,,405.93,0,0.5,,,,16509,16384,,0.0,501.55,7808.0,58,,7456.0,,937.1474091923542,1680688953.0,0.0
2,2.0,937.1474091923542,110,0.0,2.0,2,,433.38,0,0.5,,,,17621,16384,,0.0,503.76,8416.0,59,,7968.0,,937.1474091923542,1680688954.0,0.0
2,2.0,937.1474091923542,111,0.0,2.0,2,,433.38,0,0.5,,,,18733,16384,,0.0,503.76,8416.0,60,,7968.0,,937.1474091923542,1680688955.0,0.0
